Identificador;DISTRITO;UBICACION;CENTRO;TIPO_VIAL;PARTICULA;NOMBRE_VIA;NUMERO_VIA;COORDENADAX;COORDENADAY;Longitud;Latitud
CONT_ROP_USA_64;CARABANCHEL;Calle Verdad 29;"Centro Cultural ""Fernando L·zaro Carreter""";Calle;de;Verdad;29;4.391.395.223;4.471.463.533;-3.7171041;40.391543
CONT_ROP_USA_65;CARABANCHEL;Calle Comandante Fontanes 8;"Centro AtenciÛn Mujeres ""MarÌa Maeztu""";Calle;de;Comandante Fontanes;8;4.387.547.611;4.471.884.241;-3.7216805;40.395307
CONT_ROP_USA_66;CARABANCHEL;Calle Zaida 36;"Centro Servicios Sociales ""Zaida""";Calle;de;Zaida;36;4.375.312.396;4.471.671.067;-3.7360695;40.393298
CONT_ROP_USA_67;CARABANCHEL;Calle MonseÒor ”scar Romero 41.;"Centro Deportivo Municipal ""La Mina""";Calle;de;MonseÒor ”scar Romero;41;436.613.814;4.470.439.583;-3.7467628;40.382130
CONT_ROP_USA_68;CARABANCHEL;Calle Juli·n Gonz·lez 4;"InstalaciÛn Deportiva B·sica ""Juli·n Gonz·lez""";Calle;de;Juli·n Gonz·lez;4;4.389.519.294;4.472.258.121;-3.7193953;40.398691
CONT_ROP_USA_69;CARABANCHEL;Calle Ontanilla 16;"InstalaciÛn Deportiva B·sica ""Ontanilla""";Calle;de;Ontanilla;16;4.380.330.567;4.469.507.635;-3.7299445;40.373841
CONT_ROP_USA_70;USERA;Calle Moreja 11;"Centro Deportivo Municipal ""Orcasur""";Calle;de;Moreja;11;4.407.362.988;4.468.866.908;-3.6980470;40.368263
CONT_ROP_USA_71;USERA;Avenida Rafaela Ybarra 52;"Centro Deportivo Municipal ""Orcasitas""";Avenida;de;Rafaela Ybarra;52;4.394.982.017;4.469.689.983;-3.7127059;40.375588
CONT_ROP_USA_72;USERA;Calle Cestona 5;"Escuela Municipal De Musica ""Maestro Barbieri""";Calle;de;Cestona;5;4.393.838.185;4.469.380.952;-3.7140311;40.372796
CONT_ROP_USA_73;USERA;Calle Cristo de la Victoria 245;Punto Limpio Fijo;Calle;de;Cristo de la Victoria;245;4.397.802.861;4.470.024.567;-3.7094159;40.378626
CONT_ROP_USA_74;USERA;Calle AndrÈs Arteaga 5;"Centro Deportivo Municipal ""MoscardÛ""";Calle;de;AndrÈs Arteaga;5;4.400.886.173;4.471.171.262;-3.7058957;40.388981
CONT_ROP_USA_75;PUENTE VALLECAS;Avenida de las Glorietas 19;"Centro Cultural ""El Pozo""";Avenida;de las;Glorietas;19;4.439.693.444;4.469.437.026;-3.6600194;40.373630
CONT_ROP_USA_76;PUENTE VALLECAS;Calle Ronda del Sur 4;"Centro Deportivo Municipal ""EntrevÌas""";Calle;de la;Ronda del Sur;4;4.428.231.512;4.469.916.409;-3.6735609;40.377868
CONT_ROP_USA_77;PUENTE VALLECAS;Calle Sierra Carbonera;"Centro Sociocultural ""Talleres Creatividad""";Calle;de;Sierra Carbonera;74;4.435.419.782;4.471.288.795;-3.6652247;40.390277
CONT_ROP_USA_78;PUENTE VALLECAS;Calle JosÈ Paulete 43;Punto Limpio Fijo;Calle;de;JosÈ Paulete;43;444.457.536;4.471.703.424;-3.6544689;40.394077
CONT_ROP_USA_79;MORATALAZ;Avenida de Valdebernardo 2;"Centro Deportivo Municipal ""Moratalaz""";Avenida;de;Valdebernardo;2;4.463.502.861;4.472.198.567;-3.6322065;40.398660
CONT_ROP_USA_80;MORATALAZ;Calle Fuente Carrantona 8;Junta Municipal Distrito;Calle;de;Fuente Carrantona;8;4.459.602.602;4.472.216.317;-3.6368035;40.398797
CONT_ROP_USA_81;MORATALAZ;Calle Fuente Carrantona 10;"Centro Sociocultural Juvenil Y Cultural ""Moratalaz""";Calle;de;Fuente Carrantona;10;4.459.732.361;4.472.260.406;-3.6366540;40.399194
CONT_ROP_USA_82;MORATALAZ;Calle Encomienda de Palacios  190;"Centro Alzehimer ""Nicanor Barroso""";Calle;de;Encomienda de Palacios;190;4.455.199.402;4.472.237.524;-3.6420017;40.398957
CONT_ROP_USA_83;MORATALAZ;Avenida de Moratalaz 130;"Centro Cultural ""El Torito""";Avenida;de;Moratalaz;130;4.451.453.955;4.473.032.726;-3.6464771;40.406095
