CODIGO;F_INSTALACION;DIRECCION;TIPO DE VALLA;TIPO DE SUELO;N.JUEGOS;AREA;PERIMETRO;DIRECCION AUXLIAR;LOCALIZACION;ACCESO;DISTRITO;BARRIO;latitud;longitud;UTMX_ETRS89;UTMY_ETRS89;CODNDP;IDENTIFICADOR
1021;2007-03-16;PLAZA RASTRILLO, Nº 1;VALLA METALICA VERDE;SUELO CAUCHO LISO;3;66,479;32,59;Pza · PLAZA JUAN PUJOL , ASCENDIENTE 1: 015 · UNI;PLAZA;0;CENTRO;UNIVERSIDAD;40.425321;-3.703876;440291,573;4475203,25;11005850;18
1022;01/07/2004;CALLE SOMBRERETE, Nº 26;VALLA DE MADERA DE COLOR MARRON;ARENA;5;201,231;73,58;Pza · PLAZA AGUSTÍN LARA , ASCENDIENTE 1: 012 · E;0;0;CENTRO;EMBAJADORES;40.408452;-3.703781;440284,699;4473330,744;11002132;19
1023;2007-06-28;PLAZA SANTA ANA, Nº 8;VALLA METALICA DE COLORINES;CAUCHO CON COLORINES;3;50,435;28,66;Pza · PLAZA SANTA ANA 8 , ASCENDIENTE 1: 013 · CO;0;0;CENTRO;CORTES;40.414586;-3.700684;440552,834;4474009,508;11003720;20
1024;2007-06-28;PLAZA SANTA ANA, Nº 4;VALLA METALICA DE COLORINES;CAUCHO LISO COLOR NARANJA;2;72,768;36,25;Pza · PLAZA SANTA ANA , ASCENDIENTE 1: 013 · CORT;0;0;CENTRO;CORTES;40.414847;-3.700575;440562,387;4474038,426;11003872;21
1025;01/07/2004;PLAZA CAMPILLO DEL MUNDO NUEVO, Nº 3;VALLA METALICA DE COLORINES;CAUCHO LISO COLOR VERDE;5;116,256;45,17;C · CALLE RONDA DE TOLEDO , ASCENDIENTE 1: 012 ·;EN PLAZA PEATONAL, ENCIMA APARCAMIENTO;0;CENTRO;EMBAJADORES;40.406293;-3.708339;439895,993;4473094,157;31035660;22
1027;01/07/2004;PLAZA LEALTAD, Nº 6;SIN VALLA;ARENA;10;1086,297;182,3;BULEVAR PASEO DE LA CASTELLANA;0;0;CENTRO;CORTES;40.416492;-3.693908;441129,418;4474216,61;31047833;23
1029;2007-06-28;CALLE HUERTAS, Nº 71;VALLA METALICA DE COLORINES;CAUCHO LISO COLOR NARANJA;4;109,614;43,04;C · CALLE HUERTAS 70 , ASCENDIENTE 1: 013 · CORTE;0;0;CENTRO;CORTES;40.413156;-3.695453;440995,456;4473847,312;11003476;25
1030;30/01/2010;CALLE CASINO, Nº 5;VALLA METALICA DE COLORINES;ARENA;9;408,502;78,56;PARQUE CASINO DE LA REINA;EN PARQUE CASINO DE LA REINA;0;CENTRO;EMBAJADORES;40.406297;-3.705429;440142,943;4473092,7;11002264;26
1031;0;PLAZA TIRSO DE MOLINA, Nº 4;SIN VALLA;CAUCHO LISO COLOR VERDE;4;81,054;48,84;Pza · PLAZA TIRSO DE MOLINA , ASCENDIENTE 1: 012;EN PLAZA PEATONAL;0;CENTRO;EMBAJADORES;40.412351;-3.703912;440276,992;4473763,614;11001664;27
1032;2007-07-16;CUESTA SANTO DOMINGO, Nº 9;VALLA METALICA DE COLORINES;CAUCHO COLORINES CON DIBUJOS;2;50,314;28,6;C · CALLE CUESTA DE SANTO DOMINGO 16 , ASCENDIENT;0;0;CENTRO;PALACIO;40.419916;-3.709;439852,058;4474606,75;11000193;28
1033;2007-07-16;CUESTA SANTO DOMINGO, Nº 22;VALLA METALICA DE COLORINES;CAUCHO COLORINES CON DIBUJOS;2;63,31;32,78;C · CALLE CUESTA DE SANTO DOMINGO 22 , ASCENDIENT;0;0;CENTRO;PALACIO;40.419865;-3.708532;439891,72;4474600,825;11000189;29
1034;2007-10-15;PLAZA SANTA MARIA SOLEDAD TORRES ACOSTA, Nº 1;VALLA METALICA DE COLORINES;CAUCHO COLORINES;5;124,48;54,67;Pza · PLAZA SANTA MARIA SOLEDAD TORRES ACOSTA , A;0;0;CENTRO;UNIVERSIDAD;40.420942;-3.704908;440200,094;4474717,847;31037270;30
1035;2007-12-21;PLAZA LAVAPIES, Nº 4;VALLA METALICA DE COLORINES;CAUCHO LISO COLOR MARRON;3;48,785;27,91;Pza · PLAZA LAVAPIES , ASCENDIENTE 1: 012 · EMBAJ;0;0;CENTRO;EMBAJADORES;40.408898;-3.701138;440509,308;4473378,52;20004788;31
1036;06/06/2013;PLAZA DOS DE MAYO, Nº 10;VALLA METALICA CON COLORINES;ARENA;4;166,197;51,78;Pza · PLAZA DEL DOS DE MAYO , ASCENDIENTE 1: 015;0;0;CENTRO;UNIVERSIDAD;40.426754;-3.703841;440295,768;4475362,333;11006171;32
1038;0;PLAZA SANTA BARBARA, Nº 8;SIN VALLA;CAUCHO LISO COLOR NARANJA;4;136,138;48,51;Pza · PLAZA SANTA BARBARA , ASCENDIENTE 1: 014 ·;0;0;CENTRO;JUSTICIA;40.426912;-3.696388;440928,099;4475374,826;11005154;33
1039;12/01/2011;CALLE MINISTRILES CHICA, Nº 1;VALLA DE INFRAESTRUCTURA;LOSETA CAUCHO COLOR MARRON;4;77,038;55,09;C · CALLE MINISTRILES 19 , ASCENDIENTE 1: 012 · E;0;0;CENTRO;EMBAJADORES;40.410716;-3.7024;440403,902;4473581,166;20004678;34
1042;06/06/2013;CALLE MARQUES DE LA ENSENADA, Nº 1;VALLA METALICA CON COLORINES;ARENA;3;289,265;68,03;PLAZA VILLA DE PARIS, ZONA 2;EN JARDINES DE LA PLAZA DE LA VILLA DE PARIS;0;CENTRO;JUSTICIA;40.425391;-3.692659;441243,12;4475203,511;31052952;35
1043;0;PLAZA TIRSO DE MOLINA, Nº 2;SIN VALLA;CAUCHO LISO COLOR VERDE;3;26,494;23,68;PLAZA TIRSO DE MOLINA, ZONA 2;EN PLAZA PEATONAL;0;CENTRO;EMBAJADORES;40.41238;-3.703632;440300,796;4473766,649;11001662;36
1044;0;CALLE SAN LUCAS, Nº 1;VALLA METALICA CON COLORINES;CAUCHO LISO;2;43,71;28,59;PLAZA PEATONAL;0;0;CENTRO;JUSTICIA;40.423853;-3.696948;440877,99;4475035,706;31037827;37
2001;2007-03-12;CALLE JUAN DUQUE, Nº 25;VALLA DE MADERA TIPO TALANQUERA;ARENA;3;202,363;70,35;C · CALLE JUAN DUQUE 25 , ASCENDIENTE 1: 021 · IM;0;0;ARGANZUELA;IMPERIAL;40.411602;-3.718993;438996,783;4473690,819;11008100;38
2002;0;PASEO IMPERIAL, Nº 26;0;0;6;179,466;53,92;0;0;0;ARGANZUELA;IMPERIAL;40.404885;-3.717751;439096,161;4472944,34;20120126;39
2003;0;CALLE MUÑOPEDRO, Nº 6;0;0;5;687,607;118,71;0;0;0;ARGANZUELA;IMPERIAL;40.406284;-3.715433;439294,096;4473098,048;31001522;40
2004;2007-03-12;CALLE MUÑOPEDRO, Nº 6;0;0;2;864,469;128,9;0;0;0;ARGANZUELA;IMPERIAL;40.406185;-3.715659;439274,84;4473087,171;31001522;41
2005;2007-04-24;CALLE GASOMETRO, Nº 4;VALLA METALICA DE COLORINES;ARENA;2;133,467;40,93;C · CALLE CONCEJAL BENITO MARTIN LOZANO 14 , ASCE;PARQUE GASOMETRO;0;ARGANZUELA;ACACIAS;40.405197;-3.708537;439878,263;4472972,696;20174702;42
2006;2007-03-16;CALLE SAN ALEJANDRO, Nº 1;0;0;7;225,27;64,15;0;0;0;ARGANZUELA;IMPERIAL;40.404108;-3.721631;438766,171;4472860,813;31041800;43
2014;2007-06-28;PASEO YESERIAS, Nº 43;0;0;4;248,529;63,82;0;0;0;ARGANZUELA;ACACIAS;40.39768;-3.706763;440022,102;4472137,051;11008377;47
2015;2006-01-30;PASEO YESERIAS, Nº 35;0;0;3;133,413;48,9;0;0;0;ARGANZUELA;ACACIAS;40.398861;-3.707797;439935,4;4472268,839;20007460;48
2016;2007-01-24;CALLE ARGANDA, Nº 32;0;0;3;125,449;52,68;0;0;0;ARGANZUELA;ACACIAS;40.399313;-3.707341;439974,517;4472318,702;11010584;49
2017;2007-01-24;CALLE ARGANDA, Nº 32;0;0;3;181,927;54,89;0;0;0;ARGANZUELA;ACACIAS;40.399727;-3.707258;439981,902;4472364,651;11010584;50
2018;2007-06-01;PASEO JUAN ANTONIO VALLEJO-NAJERA BOTAS, Nº 39;VALLA METALICA DE COLORINE;ARENA;4;85,452;48,3;P? · PASEO DEL DOCTOR VALLEJO NAJERA  , ASCENDIEN;0;0;ARGANZUELA;ACACIAS;40.403152;-3.711833;439596,759;4472747,975;20002191;51
2019;2007-03-12;CALLE GENERAL LACY, Nº 23;0;0;2;196,658;56,27;0;0;0;ARGANZUELA;PALOS DE MOGUER;40.400874;-3.690654;441391,943;4472480,801;11009962;52
2020;2007-02-23;CALLE GASOMETRO, Nº 32;VALLA METALICA DE COLORINES;ARENA;7;237,648;62,22;0;0;ACCESO CON VALLA RETRANQUEADA;ARGANZUELA;ACACIAS;40.402217;-3.707818;439936,616;4472641,347;31044316;53
2021;0;PASEO JUAN ANTONIO VALLEJO-NAJERA BOTAS, Nº 15;CERRAMIENTO DE ESTRUCTURA CON PERGOLA;SUELO CAUCHO DE LOSETAS;5;330,791;72,67;Pq · PARQUE PEÑUELAS , ASCENDIENTE 1: 022 · ACACI;EN PARQIE PE?UELAS;0;ARGANZUELA;ACACIAS;40.400767;-3.705124;440163,909;4472478,602;31041998;3474
2022;2006-12-14;PASEO JUAN ANTONIO VALLEJO-NAJERA BOTAS, Nº 20;SIN VALLA;ARENA;15;787,487;100,15;0;0;0;ARGANZUELA;ACACIAS;40.401723;-3.70436;440229,628;4472584,207;20118591;55
2023;2007-04-24;PLAZA PEÑUELAS, Nº 12;0;0;4;230,649;65,81;0;0;0;ARGANZUELA;ACACIAS;40.40086;-3.702655;440373,525;4472487,273;11008632;56
2024;0;GLORIETA SANTA MARIA DE LA CABEZA, Nº 12;VALLA METALICA CON COLORINES;ARENA;4;528,29;93,37;Gta · GLORIETA SANTA MARIA DE LA CABEZA , ASCENDI;0;0;ARGANZUELA;ACACIAS;40.400786;-3.699872;440609,658;4472477,211;31033184;57
2025;2007-03-16;PLAZA LUCA DE TENA, Nº 10;VALLA METALICA DE COLORINES;SUELO DE CAUCHO;4;173,927;59,79;Pza · PLAZA LUCA DE TENA 11 , ASCENDIENTE 1: 026;0;0;ARGANZUELA;PALOS DE MOGUER;40.401582;-3.694239;441088,378;4472561,818;11010081;58
2026;2007-02-23;PLAZA LUCA DE TENA, Nº 6;VALLA METALICA DE COLOR GRIS;CAUCHO CON DIBUJOS;2;209,128;67,86;Pza · PLAZA LUCA DE TENA , ASCENDIENTE 1: 026 · P;EN PLAZA;0;ARGANZUELA;PALOS DE MOGUER;40.401568;-3.693455;441154,872;4472559,672;11009927;59
2027;2007-03-16;PLAZA LUCA DE TENA, Nº 3;VALLA METALICA CON COLORINES;SUELO CAUCHO CON DIBUJOS;4;261,939;65,28;Pza · PLAZA LUCA DE TENA , ASCENDIENTE 1: 026 · P;0;0;ARGANZUELA;PALOS DE MOGUER;40.402217;-3.693368;441162,832;4472631,67;31042873;60
2028;2006-12-26;PLAZA LUCA DE TENA, Nº 13;VALLA METALICA CON COLORINES;SUELO CAUCHO CON DIBUJOS;3;138,441;50,54;Pza · PLAZA LUCA DE TENA 13 , ASCENDIENTE 1: 026;EN PLAZA;0;ARGANZUELA;PALOS DE MOGUER;40.402283;-3.694252;441087,841;4472639,563;20149805;61
2029;2006-05-16;CALLE TORRES MIRANDA, Nº 2;VALLA METALICA DE COLORINES;ARENA;7;298,722;75,93;C · CALLE TORRES MIRANDA 2 , ASCENDIENTE 1: 023 ·;0;ACCESO CON VALLA RETRANQUEADA;ARGANZUELA;CHOPERA;40.397898;-3.698341;440737,045;4472155,551;11008769;62
2030;2007-03-09;CALLE JUAN DE MARIANA, Nº 8;VALLA MADERA DE COLORINES;ARENA;4;104,739;38,74;C · CALLE JUAN DE MARIANA , ASCENDIENTE 1: 025 ·;0;0;ARGANZUELA;DELICIAS;40.398361;-3.687331;441671,797;4472199,67;20134606;63
2031;2007-03-09;CALLE JUAN DE MARIANA, Nº 10;VALLA METALICA CON COLORINES;ARENA;3;160,983;56,52;C · CALLE JUAN DE MARIANA 14 , ASCENDIENTE 1: 025;0;VALLA RETRANQUEADA;ARGANZUELA;DELICIAS;40.397804;-3.686511;441740,851;4472137,265;20064300;64
2032;2007-03-16;CALLE MENDEZ ALVARO, Nº 40;VALLA METALICA CON COLORINES;SUELO CAUCHO CON DIBUJOS;4;144,716;48,93;C · CALLE MENDEZ ALVARO , ASCENDIENTE 1: 025 · DE;EN PLAZA PEATONAL;ACCESO CON VALLA RETRANQUEADA;ARGANZUELA;DELICIAS;40.399292;-3.684816;441885,982;4472301,387;11009555;65
2034;2006-03-16;CALLE MELILLA, Nº 9;0;0;6;163,165;61,85;0;0;0;ARGANZUELA;ACACIAS;40.401528;-3.709688;439777,342;4472566,156;20123737;66
2036;2006-01-10;CALLE ALMEZ, Nº 2;VALLA DE MADERA COLOR GRIS;ARENA;3;237,463;59,13;C · CALLE TEJO , ASCENDIENTE 1: 027 · ATOCHA , AS;0;0;ARGANZUELA;ATOCHA;40.397317;-3.678844;442391,089;4472078,27;20139361;67
2037;2007-01-24;CALLE TEJO, Nº 18;VALLA DE MADERA COLOR ROJO;ARENA;6;230,305;56,15;C · CALLE TEJO , ASCENDIENTE 1: 027 · ATOCHA , AS;0;0;ARGANZUELA;ATOCHA;40.397125;-3.67899;442378,588;4472057,005;20139370;68
2038;2007-02-23;PLAZA RUTILIO GACIS, Nº 2;SIN VALLA;SUELO DE CAUCHO CON DIBUJOS;5;302,068;73,51;Pza · PLAZA RUTILIO GACIS 3 , ASCENDIENTE 1: 023;EN PLAZA PEATONAL;0;ARGANZUELA;CHOPERA;40.394335;-3.696768;440867,409;4471759,001;11008989;69
2039;2008-05-26;CALLE GRANITO, Nº 20;VALLA METALICA CON COLORINES;ARENA;3;210,134;57,36;C · CALLE GRANITO 12-18 , ASCENDIENTE 1: 025 · DE;0;0;ARGANZUELA;DELICIAS;40.393651;-3.692632;441217,77;4471680,343;31006449;70
2040;2006-09-14;CALLE PUERTO DE LA CRUZ VERDE, Nº 19;VALLA MADERA - TALANQUERA;ARENA;13;1296,661;148,45;C · CALLE PUERTO DE LA CRUZ VERDE , ASCENDIENTE 1;EN JARDIN EMBAJADORES M-3 (MADRO?OS);0;ARGANZUELA;LEGAZPI;40.386665;-3.685998;441774,826;4470900,507;20118237;71
2042;2007-04-25;CALLE BRONCE, Nº 5;VALLA MADERA TIPO TALANQUERA;ARENA;5;176,189;57,75;Pq · PARQUE BRONCE 22 , ASCENDIENTE 1: 024 · LEGA;EN PARQUE DEL BRONCE;0;ARGANZUELA;LEGAZPI;40.390256;-3.687315;441666,084;4471299,984;31007293;72
2044;2007-02-21;CALLE ANTRACITA, Nº 35;VALLA MADERA TIPO TALANQUERA;ARENA;7;1202,947;210,3;Pq · PARQUE BRONCE II , ASCENDIENTE 1: 024 · LEGA;EN PARQUE DEL BRONCE;0;ARGANZUELA;LEGAZPI;40.392016;-3.686569;441730,939;4471494,887;20170739;73
2045;2007-03-16;CALLE PARROCO EUSEBIO CUENCA, Nº 13;VALLA METALICA CON COLORINES;SUELO CAUCHO CON DIBUJOS;8;333,341;101,42;C · CALLE PARROCO EUSEBIO CUENCA 42 , ASCENDIENTE;EN PARQUE DE LAS DELICIAS;0;ARGANZUELA;DELICIAS;40.395634;-3.688559;441565,23;4471897,748;31041801;74
2046;2007-03-09;CALLE RICARDO DAMAS, Nº 1;0;0;7;352,205;73,55;0;0;0;ARGANZUELA;LEGAZPI;40.387404;-3.6944;441062,298;4470988,113;31047828;75
2047;2008-05-26;PASEO MOLINO, Nº 2;VALLA METALICA VERDE;ARENA;3;136,918;55,04;P? · PASEO MOLINO , ASCENDIENTE 1: 024 · LEGAZPI;0;0;ARGANZUELA;LEGAZPI;40.390356;-3.694442;441061,348;4471315,858;11009265;76
2048;2007-03-12;CALLE CONCEJAL BENITO MARTIN LOZANO, Nº 8;VALLA METALICA COLOR VERDE;ARENA;4;139,257;42,22;C · CALLE CONCEJAL BENITO MARTIN LOZANO 10 , ASCE;ZONA PEATONAL INTERBLOQUES;0;ARGANZUELA;ACACIAS;40.404894;-3.709479;439798,04;4472939,626;20174646;77
2049;2007-10-01;CALLE ORIANA, Nº 10;VALLA METALICA CON COLORINES;ARENA;3;75,349;30,98;C · CALLE ORIANA 25 , ASCENDIENTE 1: 025 · DELICI;0;0;ARGANZUELA;DELICIAS;40.395605;-3.68143;442170,145;4471889,923;31017167;78
2050;2007-04-05;PASEO CHOPERA, Nº 27;VALLA METALICA DE COLORINES;ARENA;2;93,75;41,54;P? · PASEO CHOPERA 29 , ASCENDIENTE 1: 023 · LA C;EN PARQUE;0;ARGANZUELA;CHOPERA;40.39547;-3.700486;440552,811;4471887,57;31050620;79
2051;2007-03-09;CALLE RAMIREZ DE PRADO, Nº 6;VALLA METALICA CON COLORINES;ARENA;6;265,714;69,28;C · CALLE RAMIREZ DE PRADO , ASCENDIENTE 1: 025 ·;0;0;ARGANZUELA;DELICIAS;40.399124;-3.687117;441690,566;4472284,21;31030453;80
2052;2007-03-09;CALLE TITAN, Nº 15;SIN VALLA;ARENA;1;406,51;80,67;PARQUE ENRIQUE TIERNO GALVAN;EN PARQUE TIERNO GALVAN;0;ARGANZUELA;LEGAZPI;40.389781;-3.680144;442274,309;4471242,589;31011890;81
2053;2007-04-09;AVENIDA PLANETARIO, Nº 13;0;0;10;1289,716;137,68;PARQUE ENRIQUE TIERNO GALVAN;0;0;ARGANZUELA;LEGAZPI;40.39257;-3.683083;442027,269;4471554,114;20141801;82
2054;2007-03-16;PASEO IMPERIAL, Nº 93;VALLA METALICA DE COLORINES;SUELO DE CAUCHO LISO COLOR NARANJA;3;357,122;81,93;P? · PASEO IMPERIAL 40 , ASCENDIENTE 1: 021 · IMP;EN JARDIN DO?A CONCHA PIQUER;0;ARGANZUELA;IMPERIAL;40.402071;-3.714782;439345,548;4472629,895;20084979;83
2055;2007-03-16;CALLE TOLEDO, Nº 178;VALLA METALICA DE COLORINES;SUELO DE CAUCHO CON DIBUJOS;1;295,27;70,92;P? · PASEO IMPERIAL 40 , ASCENDIENTE 1: 021 · IMP;EN JARDIN DO?A CONCHA PIQUER;0;ARGANZUELA;IMPERIAL;40.401992;-3.714313;439385,286;4472620,816;20084999;84
2056;2007-06-28;CALLE SAN ISIDORO DE SEVILLA, Nº 17;VALLA METALICA COLOR VERDE + MURETE HORMIGON;ARENA;4;139,262;41,97;C · CALLE CONCEJAL BENITO MARTIN LOZANO 10 , ASCE;ZONA PEATONAL INTERBLOQUES;0;ARGANZUELA;ACACIAS;40.40423;-3.70944;439800,756;4472865,923;11008331;85
2057;2006-05-16;CALLE TORRES MIRANDA, Nº 12;VALLA METALICA DE COLORINES;ARENA;4;185,531;57,43;C · CALLE TORRES MIRANDA 12 , ASCENDIENTE 1: 023;0;0;ARGANZUELA;CHOPERA;40.397979;-3.699501;440638,645;4472165,361;11008774;86
2058;0;CALLE EROS, Nº 6;SIN VALLA;ARENA;7;712,072;106,64;C · CALLE EROS , ASCENDIENTE 1: 024 · LEGAZPI , A;0;0;ARGANZUELA;LEGAZPI;40.393208;-3.680148;442276,897;4471622,937;31040720;87
2059;2007-03-09;CALLE VILLARROBLEDO, Nº 13;VALLA METALICA CON COLORINES;ARENA;4;222,049;59,55;C · CALLE EROS , ASCENDIENTE 1: 024 · LEGAZPI , A;0;0;ARGANZUELA;LEGAZPI;40.392642;-3.680719;442228,012;4471560,483;31024059;88
2060;2006-12-26;CALLE JUAN DE VERA, Nº 31;VALLA METALICA CON COLORINES;ARENA;4;343,13;90,62;C · CALLE JUAN DE VERA 31 , ASCENDIENTE 1: 025 ·;EN PARQUE;ACCESO CON VALLA RETRANQUEADA;ARGANZUELA;DELICIAS;40.396124;-3.69092;441365,224;4471953,749;31000782;89
2061;2006-11-15;CALLE TENIENTE CORONEL NOREÑA, Nº 45;VALLA DE MADERA DE COLORINES;ARENA;5;135,655;49,72;C · CALLE TENIENTE CORONEL NOREÑA 30 , ASCENDIENT;0;0;ARGANZUELA;LEGAZPI;40.387696;-3.691906;441274,247;4471018,879;11009276;90
2062;2007-02-21;CALLE PLOMO, Nº 18;VALLA METALICA VERDE;ARENA;2;57,486;32,84;C · CALLE GRANITO 34 , ASCENDIENTE 1: 025 · DELIC;0;0;ARGANZUELA;DELICIAS;40.394046;-3.689848;441454,386;4471722,366;31023930;91
2063;2006-12-29;CALLE AGUILON, Nº 15;VALLA METALICA CON COLORINES;ARENA;3;148,628;50,66;C · CALLE AGUILON JUNTO N?15 , ASCENDIENTE 1: 023;0;0;ARGANZUELA;CHOPERA;40.397281;-3.700305;440569,785;4472088,46;11008805;92
2064;2006-12-30;PASEO VIRGEN DEL PUERTO, Nº 69;0;0;4;139,554;47,52;0;0;0;ARGANZUELA;IMPERIAL;40.400747;-3.719058;438981,476;4472485,934;31028713;93
2065;2006-12-26;CALLE TEJO, Nº 18;VALLA DE MADERA COLOR AZUL;ARENA;4;431,652;82,34;C · CALLE TEJO , ASCENDIENTE 1: 027 · ATOCHA , AS;0;0;ARGANZUELA;ATOCHA;40.397246;-3.679252;442356,391;4472070,579;20139370;94
2066;2006-11-15;CALLE ALMEZ, Nº 2;VALLA DE MADERA CON COLORINES;ARENA;4;233,461;56,72;C · CALLE TEJO , ASCENDIENTE 1: 027 · ATOCHA , AS;0;0;ARGANZUELA;ATOCHA;40.397441;-3.679075;442371,599;4472092,097;20139361;95
2067;2007-04-11;CALLE PARROCO EUSEBIO CUENCA, Nº 6;VALLA METALICA CON COLORINES;ARENA;4;147,784;48,6;C · CALLE TOMAS BRETON 47 POST. , ASCENDIENTE 1:;0;0;ARGANZUELA;DELICIAS;40.398324;-3.692236;441255,509;4472198,861;31047496;96
