Codigo_temporada;Codigo_competicion;Codigo_fase;Codigo_grupo;Codigo_equipo;Posicion;Puntos;Partidos_jugados;Partidos_ganados;Partidos_empatados;Partidos_perdidos;Goles_favor;Goles_contra;Nombre_temporada;Nombre_competicion;Nombre_fase;Nombre_grupo;Nombre_deporte;Nombre_categoria;Nombre_equipo;Nombre-Sexo;Nombre_distrito
2016;1         ;1;4;112991;5;30;18;12;0;6;547;495;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-F  UNICO;BALONCESTO                                        ;SENIOR                                            ;MARAVILLAS                                        ;FEMENINO;Salamanca
2016;1         ;1;4;113148;7;25;18;7;0;11;434;528;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-F  UNICO;BALONCESTO                                        ;SENIOR                                            ;BASKETEMATAS                                      ;FEMENINO;Salamanca
2016;1         ;1;4;113419;8;21;18;3;0;15;446;638;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-F  UNICO;BALONCESTO                                        ;SENIOR                                            ;LAS CHICAS DE ORO                                 ;FEMENINO;Salamanca
2016;1         ;1;4;114033;10;16;18;0;0;18;250;735;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-F  UNICO;BALONCESTO                                        ;SENIOR                                            ;LAS PANTERAS                                      ;FEMENINO;Salamanca
2016;1         ;1;4;114034;1;36;18;18;0;0;718;335;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-F  UNICO;BALONCESTO                                        ;SENIOR                                            ;ESCROTAS                                          ;FEMENINO;Salamanca
2016;1         ;1;4;114192;4;30;18;12;0;6;611;459;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-F  UNICO;BALONCESTO                                        ;SENIOR                                            ;BOCADITOSDULCES.COM                               ;FEMENINO;Salamanca
2016;1         ;1;4;114419;3;30;18;12;0;6;566;374;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-F  UNICO;BALONCESTO                                        ;SENIOR                                            ;DISTRITO 22                                       ;FEMENINO;Salamanca
2016;1         ;1;5;112478;2;33;14;11;0;3;50;26;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-11  SENIOR   1¦ FASE;FUTBOL                                            ;SENIOR                                            ;FURIA ROJA                                        ;MASCULINO;Salamanca
2016;1         ;1;5;112479;1;33;14;11;0;3;58;21;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-11  SENIOR   1¦ FASE;FUTBOL                                            ;SENIOR                                            ;INDEPENDIENTE                                     ;MASCULINO;Salamanca
2016;1         ;1;5;112481;4;20;14;6;2;6;55;62;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-11  SENIOR   1¦ FASE;FUTBOL                                            ;SENIOR                                            ;NAVAMORCUENDE                                     ;MASCULINO;Salamanca
2016;1         ;1;5;112484;6;18;14;6;1;7;40;41;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-11  SENIOR   1¦ FASE;FUTBOL                                            ;SENIOR                                            ;NKG ESPA¥A                                        ;MASCULINO;Salamanca
2016;1         ;1;5;112486;5;19;14;6;1;7;35;30;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-11  SENIOR   1¦ FASE;FUTBOL                                            ;SENIOR                                            ;RAKIS MEINIS                                      ;MASCULINO;Salamanca
2016;1         ;1;5;112866;7;11;14;3;2;9;26;48;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-11  SENIOR   1¦ FASE;FUTBOL                                            ;SENIOR                                            ;SPORTING DE CHAMARTIN                             ;MASCULINO;Salamanca
2016;1         ;1;5;112873;3;24;14;8;0;6;44;36;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-11  SENIOR   1¦ FASE;FUTBOL                                            ;SENIOR                                            ;ALCOLEA FC                                        ;MASCULINO;Salamanca
2016;1         ;1;5;113150;8;6;14;2;0;12;25;69;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-11  SENIOR   1¦ FASE;FUTBOL                                            ;SENIOR                                            ;C.D VIENA CAPELLANES                              ;MASCULINO;Salamanca
2016;1         ;1;6;112982;4;22;16;6;4;6;42;50;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  SM  1;FUTBOL-7                                          ;SENIOR                                            ;U.D. ALMUDENA                                     ;MASCULINO;Salamanca
2016;1         ;1;6;113451;8;10;16;9;2;5;46;26;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  SM  1;FUTBOL-7                                          ;SENIOR                                            ;OLALLATION                                        ;MASCULINO;Salamanca
2016;1         ;1;6;113452;3;29;16;9;2;5;52;42;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  SM  1;FUTBOL-7                                          ;SENIOR                                            ;ACCA LAURENTIA                                    ;MASCULINO;Salamanca
2016;1         ;1;6;113454;2;29;16;8;5;3;42;32;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  SM  1;FUTBOL-7                                          ;SENIOR                                            ;LA FUENTE DEL BERRO                               ;MASCULINO;Salamanca
2016;1         ;1;6;113461;7;11;16;3;2;11;35;57;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  SM  1;FUTBOL-7                                          ;SENIOR                                            ;MIGUELETES                                        ;MASCULINO;Salamanca
2016;1         ;1;6;113462;1;42;16;13;3;0;68;27;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  SM  1;FUTBOL-7                                          ;SENIOR                                            ;HIDROLOGIC BIOCONTROL                             ;MASCULINO;Salamanca
2016;1         ;1;6;113492;5;18;16;5;4;7;33;38;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  SM  1;FUTBOL-7                                          ;SENIOR                                            ;SANPE                                             ;MASCULINO;Salamanca
2016;1         ;1;6;113496;6;14;16;3;5;8;38;52;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  SM  1;FUTBOL-7                                          ;SENIOR                                            ;WEST  GUMP UNITED FC                              ;MASCULINO;Salamanca
2016;1         ;1;6;113687;9;7;16;2;1;13;29;61;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  SM  1;FUTBOL-7                                          ;SENIOR                                            ;LOS JUANJOS                                       ;MASCULINO;Salamanca
2016;1         ;1;7;112984;7;15;16;5;0;11;48;54;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  ST  2;FUTBOL-7                                          ;SENIOR                                            ;ARSENALGAS F.C.                                   ;MASCULINO;Salamanca
2016;1         ;1;7;112995;1;43;16;14;1;1;84;24;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  ST  2;FUTBOL-7                                          ;SENIOR                                            ;C.D. SALAMANCA                                    ;MASCULINO;Salamanca
2016;1         ;1;7;113144;2;43;16;14;1;1;70;31;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  ST  2;FUTBOL-7                                          ;SENIOR                                            ;LOS GOLOSOS                                       ;MASCULINO;Salamanca
2016;1         ;1;7;113671;3;31;16;10;1;5;73;37;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  ST  2;FUTBOL-7                                          ;SENIOR                                            ;TANCITARO  -  A                                   ;MASCULINO;Salamanca
2016;1         ;1;7;113679;5;25;16;9;0;7;50;35;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  ST  2;FUTBOL-7                                          ;SENIOR                                            ;SAMBE FAR WEST                                    ;MASCULINO;Salamanca
2016;1         ;1;7;113686;9;-1;16;1;0;15;20;58;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  ST  2;FUTBOL-7                                          ;SENIOR                                            ;LOS REMOLONES                                     ;MASCULINO;Salamanca
2016;1         ;1;7;113691;6;16;16;6;0;10;36;63;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  ST  2;FUTBOL-7                                          ;SENIOR                                            ;IMPRESENTABLES C.F.                               ;MASCULINO;Salamanca
2016;1         ;1;7;114068;8;3;16;1;0;15;20;116;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  ST  2;FUTBOL-7                                          ;SENIOR                                            ;S.F INTER DE MILLAN                               ;MASCULINO;Salamanca
2016;1         ;1;7;114315;4;31;16;10;1;5;56;39;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  ST  2;FUTBOL-7                                          ;SENIOR                                            ;FRENARBACHE                                       ;MASCULINO;Salamanca
