30/09/2017 16:23;73;Calidad del aire: Datos diarios aÒos 2001 a 2017;Medio-ambiente;16;20615;1497;;MENSUAL;12/03/2014 0:00;16/01/2017 0:00;13/09/2017 0:00
30/09/2017 16:23;307;Calidad del Aire: Datos en tiempo real;Medio-ambiente;1;402078;3333;TXT;TIEMPO REAL;09/04/2015 0:00;16/01/2017 0:00;
30/09/2017 16:23;72;Calidad del aire: Datos horarios aÒos 2001 a 2017;Medio-ambiente;16;9581;1300;OTROS;MENSUAL;12/03/2014 0:00;16/01/2017 0:00;13/09/2017 0:00
30/09/2017 16:23;308;Calidad del Aire: Estaciones de control;Medio-ambiente;1;14038;1030;XLS;ANUAL;09/04/2015 0:00;16/01/2017 0:00;18/04/2017 0:00
30/09/2017 16:23;559;Callejero municipal: ejes de viario;Urbanismo-infraestructuras ;1;92;1;OTROS;MENSUAL;18/07/2017 0:00;18/07/2017 0:00;14/09/2017 0:00
30/09/2017 16:23;309;Callejero oficial del Ayuntamiento de Madrid;Urbanismo-infraestructuras ;8;11797;1781;;DIARIA;09/04/2015 0:00;16/05/2016 0:00;06/10/2017 0:00
30/09/2017 16:23;3;Callejero, informaciÛn adicional asociada: tramos postales, zonas de carterÌa, SER, categorÌa fiscal, etc.;Urbanismo-infraestructuras ;4;8594;1732;CSV-TXT;MENSUAL;12/03/2014 0:00;13/05/2016 0:00;13/09/2017 0:00
30/09/2017 16:23;540;Callejero. Cambios de denominaciÛn Comisionado de Memoria HistÛrica;Urbanismo-infraestructuras ;1;654;35;CSV-XLS;SIN DEFINIR;28/04/2017 0:00;28/04/2017 0:00;05/05/2017 0:00
30/09/2017 16:23;191;Carga y descarga: reserva de estacionamiento para carga y descarga de mercancÌas en vÌa p˙blica;Transporte;1;5820;1301;CSV-XLS-KMZ;ANUAL;08/08/2014 0:00;16/08/2017 0:00;24/08/2017 0:00
30/09/2017 16:23;37;CartografÌa del Ayuntamiento de Madrid, actualizada con el vuelo realizado en 2010. Servicio WMS;Urbanismo-infraestructuras ;1;12814;1564;OTROS;ANUAL;12/03/2014 0:00;19/11/2013 0:00;
30/09/2017 16:23;313;CartografÌa municipal por distritos a escala 1:1000, formato SHP, ETRS89;Urbanismo-infraestructuras ;23;22676;1285;CSV-OTROS;ANUAL;09/04/2015 0:00;31/08/2015 0:00;14/08/2017 0:00
30/09/2017 16:23;312;CartografÌa municipal por distritos a escala 1:20000, formato SHP, ETRS89;Urbanismo-infraestructuras ;23;4913;1276;CSV-OTROS;ANUAL;09/04/2015 0:00;31/08/2015 0:00;22/03/2017 0:00
30/09/2017 16:23;310;CartografÌa municipal por distritos a escala 1:5000, formato SHP, ETRS89;Urbanismo-infraestructuras ;23;5901;1626;CSV-OTROS;ANUAL;09/04/2015 0:00;31/08/2015 0:00;22/03/2017 0:00
30/09/2017 16:23;591;Cat·logo de edificios protegidos. Cambios de catalogaciÛn;Urbanismo-infraestructuras ;0;317;2;CSV-XLSX;ANUAL;13/09/2017 0:00;13/09/2017 0:00;13/09/2017 0:00
