"dc:date";"dc:identifier";"dc:modified";"geo:lat";"geo:long";"id";"lpgc:cierre";"lpgc:estado";"lpgc:tematica"
"2013-04-01T07:40:22.475Z";"177";"2015-01-30 10:15:19";"28.09518";"-15.46494";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/177";"Nada que corregir";"Cerrado";"Aceras y calzadas / Socavón"
"2013-04-22T12:50:28.531Z";"176";"2015-01-30 10:15:19";"28.075181";"-15.419695";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/176";"Corregido";"Cerrado";"Saneamiento y abastecimiento / Tapa en mal estado"
"2013-04-03T08:56:51.673Z";"175";"2015-01-30 10:15:19";"28.075181";"-15.419695";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/175";"Corregido";"Cerrado";"Aceras y calzadas / Objetos abandonados"
"2013-04-01T12:52:47.014Z";"174";"2015-01-30 10:15:19";"28.112345";"-15.422459";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/174";"Corregido";"Cerrado";"Aceras y calzadas / Bache"
"2013-04-01T20:43:09.892Z";"173";"2015-01-30 10:15:19";"28.141617";"-15.429564";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/173";"Corregido";"Cerrado";"Arboles y jardines / Falta de limpieza"
"2013-04-01T09:25:23.263Z";"172";"2015-01-30 10:15:19";"28.1094299";"-15.416683";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/172";"Corregido";"Cerrado";"Aceras y calzadas / Objetos abandonados"
"2013-04-09T08:15:21.232Z";"171";"2015-01-30 10:15:19";"28.131149";"-15.445635";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/171";"Corregido";"Cerrado";"Playas / Falta de limpieza"
"2013-04-02T07:14:23.647Z";"170";"2015-01-30 10:15:19";"28.09045795";"-15.48000065";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/170";"Corregido";"Cerrado";"Aceras y calzadas / Socavón"
"2013-04-01T07:18:29.594Z";"169";"2015-01-30 10:15:19";"28.135745";"-15.434473";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/169";"Notificado a tercero";"Cerrado";"Aceras y calzadas / Ocupación de vía"
"2013-04-01T10:09:47.039Z";"168";"2015-01-30 10:15:19";"28.150698";"-15.429111";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/168";"Corregido";"Cerrado";"Papeleras y contenedores / Desaparecida"
"2013-03-27T20:38:48.730Z";"167";"2015-01-30 10:15:19";"28.111135";"-15.419187";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/167";"Corregido";"Cerrado";"Aceras y calzadas / Falta de limpieza"
"2013-04-03T09:35:33.485Z";"166";"2015-01-30 10:15:19";"28.085707";"-15.418819";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/166";"Corregido";"Cerrado";"Arboles y jardines / Falta de limpieza"
"2013-04-03T09:38:50.137Z";"165";"2015-01-30 10:15:19";"28.085707";"-15.418819";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/165";"Corregido";"Cerrado";"Arboles y jardines / Falta poda"
"2013-04-05T06:43:48.002Z";"164";"2015-01-30 10:15:19";"28.085707";"-15.418819";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/164";"Nada que corregir";"Cerrado";"Saneamiento y abastecimiento / Tubería rota"
"2013-04-09T08:19:00.777Z";"163";"2015-01-30 10:15:19";"28.145515";"-15.432366";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/163";"Corregido";"Cerrado";"Playas / Falta de limpieza"
"2013-03-27T13:55:27.686Z";"162";"2015-01-30 10:15:19";"0";"0";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/162";"Nada que corregir";"Cerrado";"Aceras y calzadas / Grieta"
"2013-04-03T07:05:12.176Z";"161";"2015-01-30 10:15:19";"28.10867";"-15.41952";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/161";"Corregido";"Cerrado";"Aceras y calzadas / Socavón"
"2013-04-01T12:51:19.513Z";"160";"2015-01-30 10:15:19";"28.111909";"-15.422259";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/160";"Corregido";"Cerrado";"Aceras y calzadas / Bache"
"2013-04-01T06:08:31.843Z";"159";"2015-01-30 10:15:19";"28.094422";"-15.417069";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/159";"Nada que corregir";"Cerrado";"Farolas e iluminación / Ausencia de iluminación"
"2013-04-02T06:04:19.764Z";"158";"2015-01-30 10:15:19";"28.029036";"-15.412401";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/158";"Corregido";"Cerrado";"Farolas e iluminación / Estropeada"
"2013-03-27T08:28:00.680Z";"157";"2015-01-30 10:15:19";"28.117043";"-15.422612";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/157";"Corregido";"Cerrado";"Semáforos y señales / Estropeado"
"2013-03-27T08:07:49.098Z";"156";"2015-01-30 10:15:19";"0";"0";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/156";"Nada que corregir";"Cerrado";"Aceras y calzadas / Ocupación de vía"
"2013-04-02T06:05:33.279Z";"155";"2015-01-30 10:15:19";"28.090538";"-15.480309";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/155";"Corregido";"Cerrado";"Farolas e iluminación / Ausencia de iluminación"
"2013-03-26T13:29:37.142Z";"154";"2015-01-30 10:15:19";"28.100159";"-15.447329";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/154";"Notificado a tercero";"Cerrado";"Aceras y calzadas / Ocupación de vía"
"2013-03-26T13:30:26.299Z";"153";"2015-01-30 10:15:19";"28.143806";"-15.431374";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/153";"Notificado a tercero";"Cerrado";"Aceras y calzadas / Ocupación de vía"
"2013-04-02T08:12:20.464Z";"152";"2015-01-30 10:15:19";"28.111259";"-15.420044";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/152";"Corregido";"Cerrado";"Semáforos y señales / Estropeado"
"2013-03-27T14:58:36.133Z";"151";"2015-01-30 10:15:19";"28.103825";"-15.432991";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/151";"Corregido";"Cerrado";"Aceras y calzadas / Falta de limpieza"
"2013-03-25T14:22:21.016Z";"150";"2015-01-30 10:15:19";"28.118529";"-15.432177";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/150";"No se puede corregir";"Cerrado";"Aceras y calzadas / Ocupación de vía"
"2013-03-26T17:16:32.809Z";"149";"2015-01-30 10:15:19";"28.112716";"-15.454232";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/149";"Corregido";"Cerrado";"Aceras y calzadas / Objetos abandonados"
"2013-03-26T17:14:51.056Z";"148";"2015-01-30 10:15:19";"28.110987";"-15.453775";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/148";"Corregido";"Cerrado";"Aceras y calzadas / Objetos abandonados"
"2013-03-26T13:30:45.695Z";"147";"2015-01-30 10:15:19";"28.081636";"-15.41686";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/147";"Corregido";"Cerrado";"Aceras y calzadas / Socavón"
"2013-04-01T06:06:30.537Z";"146";"2015-01-30 10:15:19";"28.104086";"-15.41804";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/146";"Corregido";"Cerrado";"Farolas e iluminación / Estropeada"
"2013-03-27T14:56:11.488Z";"145";"2015-01-30 10:15:19";"28.099485";"-15.474008";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/145";"Corregido";"Cerrado";"Papeleras y contenedores / Caída"
"2013-04-11T11:56:24.529Z";"144";"2015-01-30 10:15:19";"28.100456";"-15.473476";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/144";"Corregido";"Cerrado";"Arboles y jardines / Deteriorado"
"2013-03-26T13:54:40.628Z";"143";"2015-01-30 10:15:19";"28.11252";"-15.417";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/143";"Notificado a tercero";"Cerrado";"Aceras y calzadas / Bache"
"2013-03-22T09:33:24.332Z";"142";"2015-01-30 10:15:19";"28.1278552";"-15.429369";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/142";"Nada que corregir";"Cerrado";"Arboles y jardines / Falta tierra"
"2013-03-25T07:54:36.115Z";"141";"2015-01-30 10:15:19";"28.111191";"-15.420005";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/141";"No se puede corregir";"Cerrado";"Farolas e iluminación / Estropeada"
"2013-03-25T16:02:24.997Z";"140";"2015-01-30 10:15:19";"28.09235";"-15.414851";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/140";"Corregido";"Cerrado";"Arboles y jardines / Falta de limpieza"
"2013-03-25T16:01:59.897Z";"139";"2015-01-30 10:15:19";"28.092368";"-15.414837";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/139";"Corregido";"Cerrado";"Arboles y jardines / Falta de limpieza"
"2013-03-22T09:29:53.259Z";"138";"2015-01-30 10:15:19";"28.111934";"-15.419409";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/138";"Corregido";"Cerrado";"Farolas e iluminación / Ausencia de iluminación"
"2013-03-21T11:00:01.238Z";"137";"2015-01-30 10:15:19";"28.129602";"-15.433028";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/137";"Corregido";"Cerrado";"Semáforos y señales / Falta visibilidad"
"2013-03-22T10:37:43.797Z";"136";"2015-01-30 10:15:19";"0";"0";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/136";"No se puede corregir";"Cerrado";"Semáforos y señales / Falta visibilidad"
"2013-03-22T10:21:01.176Z";"135";"2015-01-30 10:15:19";"28.113737";"-15.420929";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/135";"Corregido";"Cerrado";"Aceras y calzadas / Bache"
"2013-03-22T23:13:50.153Z";"134";"2015-01-30 10:15:19";"28.111934";"-15.419409";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/134";"Nada que corregir";"Cerrado";"Arboles y jardines / Deteriorado"
"2013-03-21T18:49:06.577Z";"133";"2015-01-30 10:15:19";"28.121747";"-15.427391";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/133";"Nada que corregir";"Cerrado";"Arboles y jardines / Falta poda"
"2013-03-25T07:59:08.245Z";"132";"2015-01-30 10:15:19";"28.1320125";"-15.4317471";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/132";"Corregido";"Cerrado";"Papeleras y contenedores / Caída"
"2013-03-25T09:35:24.466Z";"131";"2015-01-30 10:15:19";"28.1338029";"-15.4382636";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/131";"Corregido";"Cerrado";"Papeleras y contenedores / Desaparecida"
"2013-03-20T08:44:08.161Z";"130";"2015-01-30 10:15:19";"28.126676";"-15.42968";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/130";"Corregido";"Cerrado";"Semáforos y señales / Estropeado"
