"dc:identifier";"dc:modified";"id";"lpgc:nombre_concesion";"lpgc:num_concesion";"lpgc:num_variante"
"1519";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1519";"TEATRO - LOMO DE LA CRUZ (POR SAN FRANCISCO)";"84";"321"
"1517";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1517";"SANTA CATALINA - ISLA PERDIDA (POR LA CIRCUNVALACIÓN)";"44";"322"
"1515";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1515";"SANTA CATALINA - LA ISLETA";"20";"322"
"1514";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1514";"SANTA CATALINA - EL SEBADAL ";"19";"322"
"1500";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1500";"TEATRO - EL SECADERO";"70";"312"
"1499";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1499";"TEATRO - EL SECADERO";"70";"311"
"1489";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1489";"PUERTO - TAMARACEITE (POR LOMO LOS FRAILES)";"47";"332"
"1488";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1488";"PUERTO - TAMARACEITE (POR LOMO LOS FRAILES)";"47";"331"
"1487";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1487";"PUERTO - TAMARACEITE (POR LOMO LOS FRAILES)";"47";"322"
"1486";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1486";"PUERTO - TAMARACEITE (POR LOMO LOS FRAILES)";"47";"321"
"1485";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1485";"PUERTO - TAMARACEITE (POR LOMO LOS FRAILES)";"47";"312"
"1484";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1484";"PUERTO - TAMARACEITE (POR LOMO LOS FRAILES)";"47";"311"
"1483";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1483";"SANTA CATALINA- HOSPITAL DR. NEGRÍN - LA FERIA - ESCALERITAS- PUERTO";"24";"312"
"1482";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1482";"PUERTO - ESCALERITAS- LA FERIA - HOSPITAL DR. NEGRÍN- SANTA CATALINA";"21";"311"
"1481";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1481";"SANTA CATALINA - LA ISLETA";"20";"321"
