"Proyecto/Centro","Taller","Plazas","Curso"
"EDUCARTE ARENALES","CORTE Y CONFECCIÓN (INICIACIÓN)",18,17,"2014/2015"
"EDUCARTE ARENALES","CORTE Y CONFECCIÓN (INTERMEDIO)",18,15,"2014/2015"
"EDUCARTE ARENALES","CORTE Y CONFECCIÓN (INICIACIÓN)",18,15,"2014/2015"
"EDUCARTE ARENALES","CORTE Y CONFECCIÓN (INICIACIÓN)",18,17,"2014/2015"
"EDUCARTE ARENALES","CORTE Y CONFECCIÓN (INICIACIÓN)",20,13,"2014/2015"
"EDUCARTE ARENALES","PINTURA",11,12,"2014/2015"
"EDUCARTE ARENALES","INGLÉS (INICIACIÓN)",20,13,"2014/2015"
"UP CONO SUR","DISEÑO Y MODA (Avanzado)",15,13,"2014/2015"
"UP CONO SUR","DISEÑO Y MODA (Avanzado)",15,13,"2014/2015"
"UP CONO SUR","DISEÑO Y MODA (Básico)",16,12,"2014/2015"
"UP CONO SUR","CERÁMICA ARTÍSTICA",15,10,"2014/2015"
"UP CONO SUR","CERÁMICA ARTÍSTICA",15,10,"2014/2015"
"UP CONO SUR","ALFARERÍA",18,14,"2014/2015"
"UP CONO SUR","ALFARERÍA",18,15,"2014/2015"
"UP CONO SUR","MACRAMÉ",15,12,"2014/2015"
"UP CONO SUR","TELARES Y TAPICES",16,12,"2014/2015"
"UP CONO SUR","BAILE SOCIAL",18,5,"2014/2015"
"UP CONO SUR","BAILE SALUD",20,15,"2014/2015"
"UP CONO SUR","BAILE CANARIO",24,11,"2014/2015"
"UP CONO SUR","TRAPERA CANARIA A GANCHILLO",15,1,"2014/2015"
"UP CONO SUR","TIMPLE (avanzado)",15,7,"2014/2015"
"UP CONO SUR","TIMPLE Y GUITARRA",20,13,"2014/2015"
"UP CONO SUR","CESTERÍA",15,14,"2014/2015"
"UP CONO SUR","PIROGRABADO (AVANZADO)",15,12,"2014/2015"
"UP CONO SUR","PIROGRABADO (BASICO)",15,13,"2014/2015"
"UP CONO SUR","PINTURA AL ÓLEO",16,10,"2014/2015"
"UP CONO SUR","PINTURA AL ÓLEO",16,12,"2014/2015"
"UP CONO SUR","PINTURA AL ÓLEO",16,10,"2014/2015"
"UP CONO SUR","CULTURA CANARIA",20,11,"2014/2015"
"UP LA ISLETA","TELARES Y TAPICES",16,17,"2014/2015"
"UP LA ISLETA","MACRAMÉ",15,16,"2014/2015"
"UP LA ISLETA","BAILE SOCIAL",22,21,"2014/2015"
"UP LA ISLETA","BAILE CANARIO",22,24,"2014/2015"
"UP LA ISLETA","BAILE SOCIAL",22,23,"2014/2015"
"UP LA ISLETA","TRAPERA CANARIA A GANCHILLO",15,8,"2014/2015"
"UP LA ISLETA","DIBUJO Y PINTURA (avanzado)",15,6,"2014/2015"
"UP LA ISLETA","DIBUJO Y PINTURA (básico)",15,10,"2014/2015"
"UP LA ISLETA","ACUARELA",15,7,"2014/2015"
"UP LA ISLETA","PINTURA AL ÓLEO (básico)",16,5,"2014/2015"
"UP LA ISLETA","PINTURA AL ÓLEO (avanzado)",16,6,"2014/2015"
"UP LA ISLETA","PATCHWORK (avanzado)",16,13,"2014/2015"
"UP LA ISLETA","PATCHWORK (básico)",16,15,"2014/2015"
"UP LA ISLETA","PATCHWORK (avanzado)",16,17,"2014/2015"
"UP LA ISLETA","ESTIRAMIENTO (más de 50 años)",12,13,"2014/2015"
"UP LA ISLETA","ESTIRAMIENTO (menos de 50 años)",12,8,"2014/2015"
"UP LOMO BLANCO","DISEÑO Y MODA (Básico)",16,12,"2014/2015"
"UP LOMO BLANCO","DISEÑO Y MODA (Básico)",16,13,"2014/2015"
"UP LOMO BLANCO","DISEÑO Y MODA (Avanzado)",15,16,"2014/2015"
"UP LOMO BLANCO","DIBUJO Y PINTURA",15,11,"2014/2015"
"UP LOMO BLANCO","ACUARELA",15,12,"2014/2015"
"UP LOMO BLANCO","CERÁMICA ARTÍSTICA",15,13,"2014/2015"
"UP LOMO BLANCO","CERÁMICA ARTÍSTICA",15,15,"2014/2015"
"UP TAMARACEITE","PATCHWORK (avanzado)",16,11,"2014/2015"
"UP TAMARACEITE","PATCHWORK (básico)",16,13,"2014/2015"
"UP TAMARACEITE","PATCHWORK (avanzado)",16,15,"2014/2015"
"UP TAMARACEITE","DIBUJO Y PINTURA",15,11,"2014/2015"
"UP TAMARACEITE","DIBUJO Y PINTURA",15,11,"2014/2015"
"UP TAMARACEITE","COSTURA CREATIVA",16,14,"2014/2015"
"UP TAMARACEITE","COSTURA CREATIVA",16,14,"2014/2015"
"UP TAMARACEITE","COSTURA CREATIVA",16,16,"2014/2015"
"UP CIUDAD ALTA","ALFARERÍA",15,15,"2014/2015"
"UP CIUDAD ALTA","ALFARERÍA",15,15,"2014/2015"
"UP CIUDAD ALTA","ALFARERÍA",15,12,"2014/2015"
"UP CIUDAD ALTA","DIBUJO Y PINTURA",15,12,"2014/2015"
"UP CIUDAD ALTA","DIBUJO Y PINTURA",15,12,"2014/2015"
"UP CIUDAD ALTA","DIBUJO Y PINTURA",15,13,"2014/2015"
"UP CIUDAD ALTA","ACUARELA",15,9,"2014/2015"
"UP CIUDAD ALTA","MACRAMÉ",15,15,"2014/2015"
"UP CIUDAD ALTA","MACRAMÉ",15,15,"2014/2015"
"UP CIUDAD ALTA","TELARES EN BASTIDORES Y OTRAS APLICACIONES",16,17,"2014/2015"
"UP CIUDAD ALTA","TELARES EN BASTIDORES Y OTRAS APLICACIONES",16,14,"2014/2015"
"UP CIUDAD ALTA","AULA DE PROYECTOS PICTÓRICOS",15,18,"2014/2015"
"UP GUANARTEME","TIMPLE (avanzado)",15,16,"2014/2015"
"UP GUANARTEME","TIMPLE Y GUITARRA",20,15,"2014/2015"
"UP GUANARTEME","TIMPLE (avanzado)",15,14,"2014/2015"
"UP GUANARTEME","TIMPLE Y GUITARRA",20,15,"2014/2015"
"UP GUANARTEME","PINTURA AL ÓLEO",16,15,"2014/2015"
"UP GUANARTEME","PINTURA AL ÓLEO",16,15,"2014/2015"
"UP GUANARTEME","PINTURA AL ÓLEO",16,16,"2014/2015"
"UP GUANARTEME","PELUQUERÍA (básico)",16,15,"2014/2015"
"UP GUANARTEME","PELUQUERÍA (avanzado)",16,14,"2014/2015"
"UP GUANARTEME","PELUQUERÍA (básico)",16,11,"2014/2015"
"UP GUANARTEME","MAQUILLAJE",16,20,"2014/2015"
"UP GUANARTEME","MANICURA-PEDICURA",16,17,"2014/2015"
"UP GUANARTEME","TRENZAS Y RECOGIDOS",16,16,"2014/2015"
"UP GUANARTEME","ESTIRAMIENTO (más de 50 años)",25,21,"2014/2015"
"UP GUANARTEME","ESTIRAMIENTO (menos de 50 años)",25,16,"2014/2015"
"UP GUANARTEME","DANZA MODERNA",16,16,"2014/2015"
"UP GUANARTEME","FOTOGRAFÍA CÁMARA RÉFLEX",16,15,"2014/2015"
"UP GUANARTEME","FOTOGRAFÍA CÁMARA RÉFLEX",16,16,"2014/2015"
"UP GUANARTEME","FOTOGRAFÍA BLANCO Y NEGRO",15,11,"2014/2015"
"UP GUANARTEME","FOTOGRAFÍA CÁMARA COMPACTA",16,15,"2014/2015"
"UP GUANARTEME","DIBUJO Y PINTURA",15,13,"2014/2015"
"UP GUANARTEME","DIBUJO Y PINTURA",15,12,"2014/2015"
"UP GUANARTEME","DIBUJO Y PINTURA",15,14,"2014/2015"
"UP GUANARTEME","TEATRO (avanzado)",15,14,"2014/2015"
"UP GUANARTEME","TEATRO (básico)",15,14,"2014/2015"
"UP GUANARTEME","CHI KUNG",28,23,"2014/2015"
"UP GUANARTEME","REFLEXOLOGÍA",20,15,"2014/2015"
"UP GUANARTEME","MAQUILLAJE",16,20,"2014/2015"
"UP GUANARTEME","MANICURA-PEDICURA",16,17,"2014/2015"
"UP GUANARTEME","TRENZAS Y RECOGIDOS",16,17,"2014/2015"
"UP GUANARTEME","MAQUILLAJE",16,27,"2014/2015"
"UP GUANARTEME","MANICURA-PEDICURA",16,15,"2014/2015"
"UP GUANARTEME","TRENZAS Y RECOGIDOS",16,15,"2014/2015"
"UP GUANARTEME","FOTOGRAFÍA CÁMARA RÉFLEX",16,17,"2014/2015"
"UP GUANARTEME","CHI KUNG",28,20,"2014/2015"
"UP GUANARTEME","REFLEXOLOGÍA",20,13,"2014/2015"
"UP GUANARTEME","ENFOCARTE",20,21,"2014/2015"
"EDUCARTE LA PATERNA","ARTETERAPIA",10,9,"2014/2015"
"EDUCARTE LA PATERNA","PINTURA (AVANZADO)",16,13,"2014/2015"
"EDUCARTE LA PATERNA","BAILE LATINO",20,5,"2014/2015"
"EDUCARTE LA PATERNA","AEROBAILE (INICIACIÓN)",20,16,"2014/2015"
"EDUCARTE LA PATERNA","AEROBAILE (AVANZADO)",20,21,"2014/2015"
"EDUCARTE LA PATERNA","INFORMÁTICA (INICIACIÓN)",20,18,"2014/2015"
"EDUCARTE LA PATERNA","INFORMÁTICA (INTERMEDIO)",20,17,"2014/2015"
"EDUCARTE LA PATERNA","INFORMÁTICA (AVANZADO)",20,18,"2014/2015"
"EDUCARTE LA PATERNA","DISEÑO GRÁFICO",20,12,"2014/2015"
"EDUCARTE LA PATERNA","GUITARRA (avanzado)",20,17,"2014/2015"
"EDUCARTE LA PATERNA","TIMPLE",30,15,"2014/2015"
"EDUCARTE LA PATERNA","GUITARRA (básico)",20,14,"2014/2015"
"EDUCARTE LA PATERNA","MANTENIMIENTO FÍSICO",20,22,"2014/2015"
"EDUCARTE LA PATERNA","PILATES A",15,14,"2014/2015"
"EDUCARTE LA PATERNA","PILATES B",15,16,"2014/2015"
"EDUCARTE LA PATERNA","INGLÉS (INICIACIÓN)",10,8,"2014/2015"
"EDUCARTE LA PATERNA","INGLÉS (INTERMEDIO)",20,11,"2014/2015"
"EDUCARTE LA PATERNA","INGLÉS (INICIACIÓN)",10,8,"2014/2015"
"EDUCARTE LA PATERNA","INFORMÁTICA (INTERMEDIO)",20,20,"2014/2015"
"EDUCARTE LA PATERNA","INFORMÁTICA (AVANZADO)",20,15,"2014/2015"
"EDUCARTE LA PATERNA","INFORMÁTICA (INICIACIÓN)",20,18,"2014/2015"
