"name","number","Street_Code","Street","Company","places","places_rotation","places_residency","finished","opening_date","municipal","photo1","photo2","map","Latitud","longitud"
"DON BENITO - SCHAMANN",0,1203,"PLAZA DE DON BENITO","Jesangar S.L.",450,0,450,1,15/04/1999,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_DonBenito1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_DonBenito2.jpg","http://maps.google.es/?ie=UTF8&ll=28.112372,-15.428587&spn=0.002673,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.112372,-15.428587
"PLAZA DORAMAS",0,1489,"PARQUE HERMANOS MILLARES","Barditel B.I",290,0,290,1,17/06/2002,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_Doramas1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_Doramas2.jpg","http://maps.google.es/?ie=UTF8&ll=28.115717,-15.436724&spn=0.002673,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.115717,-15.436724
"ELDER",1,630,"LUIS MOROTE","Sagulpa",181,181,0,1,01/01/1997,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_Elder1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_Elder2.jpg","http://maps.google.es/?ie=UTF8&ll=28.140767,-15.429391&spn=0.002673,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.140767,-15.429391
"FAST PARK (OFICINAS MUNICIPALES)",270,587,"LEON Y CASTILLO","Sagulpa",253,253,0,1,01/08/1998,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_FastPark1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_FastPark2.jpg","http://maps.google.es/?ie=UTF8&ll=28.124498,-15.427192&spn=0.002673,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.124498,-15.427192
"FRENTE AL CC LA BALLENA",0,3156,"CENTRO COMERCIAL LA BALLENA","Sagulpa",117,117,0,1,01/05/2003,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_FrenteCCLaBallena1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_FrenteCCLaBallena2.jpg","http://maps.google.es/?ie=UTF8&ll=28.100731,-15.442985&spn=0.002683,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.100731,-15.442985
"LA FERIA I",0,1563,"ALFEREZ PROVISIONAL","Sagulpa",287,0,287,1,21/03/2005,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_LaFeria1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_LaFeria2.jpg","http://maps.google.es/?ie=UTF8&ll=28.111922,-15.444632&spn=0.002683,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.111922,-15.444632
"LA PUNTILLA",0,45,"ALONSO OJEDA","Construcciones y Contratas S.A",400,60,340,1,04/10/1995,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_LaPuntilla1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_LaPuntilla2.jpg","http://maps.google.es/?ie=UTF8&ll=28.148756,-15.43166&spn=0.002672,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.148756,-15.43166
"MERCADO CENTRAL",22,106,"BARCELONA","Asociación de Comerciantes del Mercado Central",206,141,65,1,01/08/1998,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_MercadoCentral1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_MercadoCentral2.jpg","http://maps.google.es/?ie=UTF8&ll=28.133359,-15.432894&spn=0.002673,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.133359,-15.432894
"MERCADO DEL PUERTO",0,1309,"MERCADO DEL PUERTO","Gestión de aparcamientos 2004 S.L.",716,513,203,1,01/11/2006,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_MercadoPuerto1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_MercadoPuerto2.jpg","http://maps.google.es/?ie=UTF8&ll=28.147961,-15.426532&spn=0.002682,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.147961,-15.426532
"NUEVOS JUZGADOS",0,385,"EUFEMIANO JURADO","I.C. Plaza de Benalmádena Canarias  S.L.",462,462,0,1,02/11/2006,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_NJUZGADOS1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_NJUZGADOS2.jpg","http://maps.google.es/?ie=UTF8&ll=28.095076,-15.41392&spn=0.002683,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.095076,-15.41392
"NUEVA PATERNA",0,1868,"MANUEL DE FALLA","Sagulpa",180,180,0,1,01/02/2003,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_NuevaPAterna1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_NuevaPAterna2.jpg","http://maps.google.es/?ie=UTF8&ll=28.08918,-15.450672&spn=0.002683,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.08918,-15.450672
"PLAZA RAFAEL O'SHANAHAN",0,3046,"DOCTOR RAFAEL O'SHANAHAN","Técnicas Aparcamientos Urbanos",487,297,190,1,17/12/1992,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_OShanahan1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_OShanahan2.jpg","http://maps.google.es/?ie=UTF8&ll=28.118352,-15.425454&spn=0.005346,0.011694&t=h&z=17&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.118352,-15.425454
"PLAZA DE ESPAÑA SABA",321,296,"PASEO CHIL","SABA Aparcamientos S.A",459,251,208,1,18/03/1999,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_PlazaEspana1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_PlazaEspana2.jpg","http://maps.google.es/?ie=UTF8&ll=28.13396,-15.434745&spn=0.002673,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.13396,-15.434745
"PLAZA DEL PILAR",0,824,"PLAZA DEL PILAR","Sagulpa",282,0,282,1,14/12/2004,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_PlazaPilar1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_PlazaPilar2.jpg","http://maps.google.es/?ie=UTF8&ll=28.129101,-15.443521&spn=0.002682,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.129101,-15.443521
"PLAZA DEL PUEBLO",0,368,"PLAZA DEL PUEBLO","Lopesan Asfaltos y Construcciones S.A",243,0,243,1,14/04/2005,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_PlazaPueblo1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_PlazaPueblo2.jpg","http://maps.google.es/?ie=UTF8&ll=28.151154,-15.428281&spn=0.002682,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.151154,-15.428281
"PROLONGACIÓN PRIMERO DE MAYO",0,8888,"BERNARDINO VIERA","Aparcamientos Primero de Mayo S.L.",173,173,0,1,04/07/2011,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_PrimeroMayo1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_PrimeroMayo2.jpg","http://maps.google.es/?ie=UTF8&ll=28.100741,-15.418577&spn=0.002683,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.100741,-15.418577
"ROTONDA ANTERIOR AL CC LA BALLENA",0,2019,"DOCTOR MARAÑON","Sagulpa",86,86,0,1,01/03/2003,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_RotondaAnteriorBallena1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_RotondaAnteriorBallena2.jpg","http://maps.google.es/?ie=UTF8&ll=28.101749,-15.438747&spn=0.002683,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.101749,-15.438747
"CALLE RUPERTO CHAPI",0,1867,"RUPERTO CHAPI","Ayuntamiento Las Palmas",230,230,0,1,01/05/2003,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_RupertoChapi1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_RupertoChapi2.jpg","http://maps.google.es/?ie=UTF8&ll=28.094641,-15.44527&spn=0.002683,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.094641,-15.44527
"SAN BERNARDO",2,920,"SAN BERNARDO","Estacionamientos Subterráneos - Cintra",372,349,23,1,07/04/1970,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_SanBernardo1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_SanBernardo2.jpg","http://maps.google.es/?ie=UTF8&ll=28.105052,-15.418276&spn=0.002674,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.105052,-15.418276
"SAN FRANCISCO(URBANIZACION COPHERFAN)",0,2278,"JUAN SARAZA ORTIZ","Sagulpa",122,122,0,1,01/03/2003,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_SanFrancisco1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_SanFrancisco2.jpg","http://maps.google.es/?ie=UTF8&ll=28.10393,-15.426468&spn=0.002683,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.10393,-15.426468
"JUZGADOS DE VEGUETA (SANTA ISABEL)",0,951,"PLAZA DE SANTA ISABEL","Lord Almirante, S.L",250,250,0,1,06/03/2003,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_SantaIsabel1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_SantaIsabel2.jpg","http://maps.google.es/?ie=UTF8&ll=28.096865,-15.411458&spn=0.002674,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.096865,-15.411458
"PARQUE DE SAN TELMO",0,956,"SAN TELMO","Escapark Estacionamientos S.L.U.",481,314,167,1,18/03/2003,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_SanTelmo1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_SanTelmo2.jpg","http://maps.google.es/?ie=UTF8&ll=28.108232,-15.415519&spn=0.002673,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.108232,-15.415519
"EL SEBADAL (DEPOSITO MUNICIPAL)",20,2781,"DOCTOR JUAN DOMINGUEZ PEREZ","Sagulpa",139,0,139,1,19/06/1999,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_Sebadal1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_Sebadal2.jpg","http://maps.google.es/?ie=UTF8&ll=28.158986,-15.411812&spn=0.002672,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.158986,-15.411812
"SUBIDA DE MATA",0,680,"CTRA DE MATA","Sagulpa",120,120,0,1,20/06/1999,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_SubidaMata1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_SubidaMata2.jpg","http://maps.google.es/?ie=UTF8&ll=28.107437,-15.420926&spn=0.002683,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.107437,-15.420926
"MERCADO DE VEGUETA",0,1265,"ALCALDE DIAZ-SAAVEDRA NAVARRO","Sagulpa",215,215,0,1,18/06/2000,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_Vegueta1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_Vegueta2.jpg","http://maps.google.es/?ie=UTF8&ll=28.102553,-15.412574&spn=0.002674,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.102553,-15.412574
"VENEGAS",0,2621,"PLAZA DE LOS DERECHOS HUMANOS","Iniciativas y Promociones Canarias, S.A. (Inprocansa)",691,411,285,1,15/09/2006,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_venegas1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_venegas2.jpg","http://maps.google.es/?ie=UTF8&ll=28.112192,-15.417058&spn=0.002683,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.112192,-15.417058
"VIRGEN DEL LORETO",0,1368,"VIRGEN DE LORETO","Sagulpa",50,50,0,1,20/07/2005,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_VirgenLoreto1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_VirgenLoreto2.jpg","http://maps.google.es/?ie=UTF8&ll=28.106424,-15.435491&spn=0.002683,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.106424,-15.435491
