"dc:identifier";"dc:modified";"id";"lpgc:num_concesion";"lpgc:num_linea"
"1407";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1407";"1";"311"
"1332";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1332";"80";"211"
"1322";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1322";"61";"212"
"1321";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1321";"61";"211"
"1299";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1299";"84";"242"
"1298";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1298";"84";"231"
"1297";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1297";"82";"262"
"1296";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1296";"82";"221"
"1293";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1293";"80";"262"
"1292";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1292";"80";"231"
"1278";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1278";"54";"232"
"1277";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1277";"54";"231"
"1274";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1274";"52";"221"
"1273";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1273";"51";"252"
"1272";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1272";"51";"251"
"1255";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1255";"41";"222"
"1254";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1254";"41";"211"
"1253";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1253";"35";"212"
"1244";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1244";"25";"231"
"1242";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1242";"25";"211"
"1230";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1230";"17";"281"
"1229";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1229";"13";"322"
"1228";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1228";"13";"311"
"1217";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1217";"8";"242"
"1216";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1216";"8";"231"
"1215";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1215";"7";"321"
"1214";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1214";"7";"312"
"12";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/12";"55";"351"
"11";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/11";"50";"351"
"10";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/10";"55";"341"
"9";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/9";"50";"341"
"8";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/8";"55";"331"
"7";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/7";"50";"322"
"6";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/6";"55";"322"
"5";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/5";"50";"321"
"4";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/4";"50";"312"
"3";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/3";"55";"312"
"2";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/2";"55";"311"
"1";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1";"50";"311"
