"INVENTARIO","MATR�CULA","CLASE","MARCA","MODELO","DESTINO"
361,"GC-7204-AU","CAMION RECOLECTOR","MERCEDES BENZ","1922/48","SML"
362,"GC-7205-AU","CAMION RECOLECTOR","MERCEDES BENZ","1922/48","SML"
363,"GC-1172-AZ","CAMION RECOLECTOR COMPACTADOR","MERCEDES BENZ","1922/48","SML"
364,"GC-1173-AZ","CAMION RECOLECTOR COMPACTADOR","MERCEDES BENZ","1922/48","SML"
365,"GC-1174-AZ","CAMION RECOLECTOR COMPACTADOR","MERCEDES BENZ","1922/48","SML"
367,"GC-1176-AZ","CAMION RECOLECTOR COMPACTADOR","MERCEDES BENZ","1922/48","SML"
368,"GC-1177-AZ","CAMION RECOLECTOR COMPACTADOR","MERCEDES BENZ","1922/48","SML"
369,"GC-7211-G","GUAGUA","PEGASO","5064-A","SML"
371,"GC-9491-AJ","TURISMO","RENAULT","R4","SML"
372,"GC-9492-AJ","TURISMO","RENAULT","R4","SML"
373,"GC-5919-AS","TURISMO","RENAULT","R 5 FIVE","SML"
374,"GC-5918-AS","TURISMO","RENAULT","R 5 FIVE","SML"
375,"GC-5920-AS","TURISMO","RENAULT","R 5 FIVE","SML"
376,"GC-5916-AS","TURISMO","RENAULT","R 5 FIVE","SML"
377,"GC-5917-AS","TURISMO","RENAULT","R 5 FIVE","SML"
379,"GC-8334-BC","TURISMO","RENAULT","R 19 RT 1800","IR"
380,"GC-6292-BD","CAMION MIXTO","MERCEDES BENZ","814 D","B"
387,"GC-9050-BF","FURGON","RENAULT","TRAFIC T113","SML"
389,"GC-8335-BH","CAMION CAJA","IVECO","59 E 12","A"
391,"GC-8337-BH","CAMION CAJA","IVECO","85 E 18","A"
392,"GC-9780-BG","TURISMO","FIAT","PUNTO 55-S  5P","V"
393,"GC-9782-BG","TURISMO","FIAT","PUNTO 55-S  5P","V"
394,"GC-9781-BG","VEHICULO MIXTO ADAPTABLE","FIAT","DUCATO COMBI","C"
395,"GC-2655-BK","AUTOBOMBA","MERCEDES BENZ","2031","B"
398,"GC-6595-BJ","CAMION FURGON","IVECO","30-8.1","P"
402,"GC-3986-BK","FURGONETA MIXTA","NISSAN","PATROL","P"
403,"GC-3987-BK","FURGONETA MIXTA","NISSAN","PATROL","ADM"
404,"LM-27065","CICLOMOTOR","PIAGGIO","TYPHOON","SML"
405,"LM-27066","CICLOMOTOR","PIAGGIO","TYPHOON","SML"
406,"LM-27067","CICLOMOTOR","PIAGGIO","TYPHOON","SML"
407,"LM-27068","CICLOMOTOR","PIAGGIO","TYPHOON","SML"
408,"LM-27069","CICLOMOTOR","PIAGGIO","TYPHOON","SML"
409,"LM-27070","CICLOMOTOR","PIAGGIO","TYPHOON","SML"
410,"LM-27071","CICLOMOTOR","PIAGGIO","TYPHOON","SML"
411,"LM-27072","CICLOMOTOR","PIAGGIO","TYPHOON","SML"
412,"LM-27073","CICLOMOTOR","PIAGGIO","TYPHOON","SML"
413,"LM-27074","CICLOMOTOR","PIAGGIO","TYPHOON","SML"
414,"GC-1306-BM","VEHICULO MIXTO ADAPTABLE","FIAT","DUCATO COMBI","SML"
416,"GC-8970-BJ","TURISMO FURGONETA","RENAULT","4L EXPRESS","SML"
417,"GC-8969-BJ","TURISMO FURGONETA","RENAULT","4L EXPRESS","SML"
418,"GC-8968-BJ","TURISMO FURGONETA","RENAULT","4L EXPRESS","SML"
419,"GC-8967-BJ","TURISMO FURGONETA","RENAULT","4L EXPRESS","SML"
420,"GC-2582-BK","CAMION DOBLE CABINA","NISSAN","L80.095","SML"
421,"GC-2581-BK","CAMION DOBLE CABINA","NISSAN","L80.095","SML"
422,"GC-5001-BL","CAMION RECOLECTOR COMPACTADOR","SCANIA","","SML"
426,"GC-02674-R","CAMION CISTERNA","MERCEDES BENZ","1C5A0S","PC"
427,"GC-4731-BS","TURISMO","VOLVO","","AL"
429,"GC-5907-BP","CAMION CISTERNA","MERCEDES BENZ","1520","B"
438,"GC-2399-BT","TURISMO","RENAULT","MEGANE","P"
444,"GC-9644-BU","VEHICULO MIXTO ADAPTABLE","RENAULT","EXPRESS EXTRA COMBI 1.4","O"
445,"GC-9645-BU","VEHICULO MIXTO ADAPTABLE","RENAULT","EXPRESS EXTRA COMBI 1.4","C"
446,"GC-6878-BT","TURISMO","RENAULT","MEGANE","SML"
447,"GC-2025-VE","BARREDORA","JOHNSTON","BRITAIN 2.0","SML"
448,"GC-2026-VE","BARREDORA","JOHNSTON","BRITAIN 2.0","SML"
449,"GC-2117-VE","BARREDORA ASPIRADORA","MAD-VAC","D101","SML"
450,"GC-2118-VE","BARREDORA ASPIRADORA","MAD-VAC","D101","SML"
451,"GC-1510-BW","FURGON","NISSAN","T100 LTA","SML"
452,"GC-9039-BV","FURGON","MERCEDES BENZ","308D/35 SPRINTER","P"
454,"GC-1509-BW","TURISMO TODO TERRENO","NISSAN","TTDT S-A","SML"
455,"GC-5061-BV","TURISMO","RENAULT","LAGUNA 2.0","TM"
460,"GC-2865-BW","MOTOCICLETA","YAMAHA","4KM XJ900S","P"
471,"C-9656-BCM","CICLOMOTOR","SUZUKI","71 EWQ","AR"
472,"GC-0687-BX","CAMION MIXTO","LAND ROVER","DEFENDER 130","B"
473,"GC-0688-BX","CAMION MIXTO","LAND ROVER","DEFENDER 130","B"
478,"GC-3754-BX","FURGONETA","SEAT","INCA 1.6","A"
479,"GC-3755-BX","TURISMO","SEAT","CORDOBA VARIO 1.6","U"
480,"GC-3756-BX","TURISMO","SEAT","TOLEDO 1.9 T.D.I","CDTSLT"
481,"GC-3757-BX","VEHICULO MIXTO ADAPTABLE","SEAT","INCA 1.4","TM"
485,"GC-9079-BX","FURGONETA","SEAT","INCA 1.4","IMEF"
486,"GC-5001-BW","CAMION RECOLECTOR COMPACTADOR","SCANIA","P 94GB","SML"
488,"","REMOLQUE EMBARCACIONES","SANCHIS","CANADA 5.0 C/F","B"
489,"","REMOLQUE EMBARCACIONES","SANCHIS","CANADA 5.0 C/F","B"
490,"","GRUPO ELECTROGENO","G.M.I.","G.M.I.- DA1","PL"
491,"GC-4313-BY","CAMION MIXTO","IVECO","59 E 12","TM"
493,"LADY HARIMAG","INTRABORDA","FORCE/SPORT JET","DUARRY BRIO 520","PC"
494,"EL ATLANTE","INTRABORDA","FORCE/SPORT JET","DUARRY BRIO 520","PC"
496,"GC-7247-BY","CAMION MIXTO","LAND ROVER","DEFENDER 130","PC"
497,"GC-2182-VE","BARREDORA","JOHNSTON","BRITAIN 2.0","SML"
498,"GC-2183-VE","BARREDORA","JOHNSTON","BRITAIN 2.0","SML"
499,"GC-7511-BW","LAVACONTENEDORES","SCANIA","P94GB4X2NZ220CV","SML"
500,"GC-7512-BW","LAVACONTENEDORES","SCANIA","P94GB4X2NZ220CV","SML"
501,"GC-2184-VE","MAQUINA FREGADORA","TENNANT","7400D","SML"
503,"GC-2186-VE","MAQUINA FREGADORA","TENNANT","7400D","SML"
504,"GC-0294-BZ","TURISMO","VOLKSWAGEN","POLO VAR. 1.6 5V","CDVCST"
505,"GC-2303-VE","BARREDORA ASPIRADORA","APPLIED","414RS","SML"
506,"GC-2302-VE","BARREDORA ASPIRADORA","APPLIED","414RS","SML"
507,"GC-8657-BZ","CAMION CUBA","SCANIA","P94DB NZ","SML"
508,"GC-8658-BZ","CAMION CUBA","SCANIA","P94DB NZ","SML"
509,"GC-8569-BZ","CAMION CUBA","SCANIA","P94DB NZ","SML"
510,"GC-2501-CB","CAMION RECOLECTOR","SCANIA","P94DB6X2*4NA","SML"
511,"GC-2502-CB","CAMION RECOLECTOR","SCANIA","P94DB6X2*4NA","SML"
512,"GC-2503-CB","CAMION RECOLECTOR","SCANIA","P94DB6X2*4NA","SML"
513,"GC-02391-VE","PALA CARGADORA","CATERPILLAR","428CX","SML"
516,"GC-3280-CB","CAMION MIXTO","NISSAN","PICK UP","CDTSLT"
517,"GC-8370-CB","TURISMO","NISSAN","ALMERA","STT"
518,"GC-0517-CC","FURGONETA","SEAT","INCA 1.4","IMEF"
519,"GC-2836-CC","MOTOCICLETA","HONDA","NT 650","P"
520,"GC-2837-CC","MOTOCICLETA","HONDA","NT 650","P"
521,"GC-2838-CC","MOTOCICLETA","HONDA","NT 650","P"
522,"GC-2839-CC","MOTOCICLETA","HONDA","NT 650","P"
523,"GC-2840-CC","MOTOCICLETA","HONDA","NT 650","P"
524,"GC-2841-CC","MOTOCICLETA","HONDA","NT 650","P"
525,"GC-2842-CC","MOTOCICLETA","HONDA","NT 650","P"
528,"----","REMOLQUE","HOYO","SEYALIZACION","PYJ"
529,"GC-8775-CC","VEHICULO MIXTO ADAPTABLE","MERCEDES BENZ","108 CDI","P"
530,"GC-9511-CC","TURISMO","NISSAN","ALMERA","P"
531,"GC-9512-CC","TURISMO","NISSAN","ALMERA","P"
536,"GC-9517-CC","TURISMO","NISSAN","ALMERA","P"
540,"GC-5471-CD","CAMION RECOLECTOR","SCANIA","P94DB4X2NZ","SML"
541,"GC-5472-CD","CAMION RECOLECTOR","SCANIA","P94DB4X2NZ","SML"
542,"GC-5473-CD","CAMION RECOLECTOR","SCANIA","P94DB4X2NZ","SML"
545,"GC-0604-CF","VEHICULO MIXTO ADAPTABLE","SEAT","INCA 1.4","I"
546,"GC-5566-CF","TURISMO","NISSAN","ALMERA","P"
549,"GC-5569-CF","TURISMO","NISSAN","ALMERA","P"
550,"GC-5570-CF","TURISMO","NISSAN","ALMERA","P"
551,"GC-5571-CF","TURISMO","NISSAN","ALMERA","P"
552,"GC-5572-CF","TURISMO","NISSAN","ALMERA","P"
553,"GC-5573-CF","VEHICULO MIXTO ADAPTABLE","NISSAN","VANETTE CARGO","P"
554,"GC-2975-CG","TURISMO","SSANGYONG","MUSSO 4 X 4 WAGON","ES"
555,"","BICICLETA","","MONTA�A","STT"
556,"","BICICLETA","","MONTA�A","STT"
557,"","BICICLETA","","MONTA�A","STT"
558,"","BICICLETA","","MONTA�A","STT"
559,"","BICICLETA","","MONTA�A","STT"
560,"","BICICLETA","","MONTA�A","STT"
561,"","BICICLETA","","MONTA�A","STT"
562,"","BICICLETA","","MONTA�A","STT"
563,"","BICICLETA","","MONTA�A","STT"
564,"","BICICLETA","","MONTA�A","STT"
565,"GC-8448-CF","VEHICULO MIXTO ADAPTABLE","NISSAN","TRADE","P"
566,"GC-7669-CG","TURISMO TODO TERRENO","NISSAN","PICK UP","M"
567,"GC-6640-CF","CAMION RECOLECTOR COMPACTADOR","IVECO","80E14","SML"
568,"GC-6642-CF","CAMION RECOLECTOR COMPACTADOR","IVECO","80E14","SML"
570,"GC-6641-CF","CAMION RECOLECTOR COMPACTADOR","IVECO","80E14","SML"
571,"GC-2222-CC","LAVACONTENEDORES","SCANIA","94L4X2-43","SML"
572,"GC-9184-CC","AMPLIROLL","SCANIA","P 94GB","SML"
575,"C-4727-BCM","CICLOMOTOR","SUZUKI","P 94GB","AR"
576,"GC-2784-CB","CAMION CAJA","IVECO","35E10","SML"
577,"GC-2785-CB","CAMION CUBA","IVECO","35E10","SML"
578,"GC-2786-CB","CAMION CUBA","IVECO","35E10","SML"
579,"GC-2787-CB","CAMION CUBA","IVECO","35E10","SML"
580,"GC-2788-CB","CAMION CISTERNA","IVECO","35E10","SML"
581,"GC-2789-CB","CAMION CAJA","IVECO","35E10","SML"
582,"GC-2790-CB","CAMION CAJA","IVECO","35E10","SML"
583,"GC-2791-CB","CAMION CAJA","IVECO","35E10","SML"
584,"GC-8468-CB","VEHICULO MIXTO ADAPTABLE","RENAULT","KC0D","SML"
585,"GC-8469-CB","VEHICULO MIXTO ADAPTABLE","RENAULT","KC0D","SML"
586,"GC-3061-CH","VEHICULO MIXTO ADAPTABLE","NISSAN","VANETTE CARGO","PC"
587,"GC-2950-CH","VEHICULO MIXTO ADAPTABLE","SEAT","INCA 1.4","A"
588,"GC-2951-CH","TURISMO","SEAT","IBIZA 1.4 5V 5P","A"
590,"GC-6634-CH","AMPLIROLL","SCANIA","P94GB4X2NZ260CV","SML"
591,"GC-2784-CB","CAMION","IVECO","85 E 15","SML"
592,"GC-7588-CJ","CAMION","IVECO","85 E 15","SML"
593,"GC-7589-CJ","CAMION","IVECO","85 E 15","SML"
594,"GC-7587-CJ","CAMION","IVECO","85 E 15","SML"
595,"GC-0512-CJ","MOTOCICLETA","HONDA","TRANSALP 600","P"
596,"GC-0513-CJ","MOTOCICLETA","HONDA","TRANSALP 600","P"
597,"GC-0514-CJ","MOTOCICLETA","HONDA","TRANSALP 600","P"
598,"GC-0515-CJ","MOTOCICLETA","HONDA","TRANSALP 600","P"
599,"GC-0517-CJ","MOTOCICLETA","HONDA","TRANSALP 600","P"
600,"GC-0518-CJ","MOTOCICLETA","HONDA","TRANSALP 600","P"
601,"GC-0519-CJ","MOTOCICLETA","HONDA","TRANSALP 600","P"
603,"GC-0521-CJ","MOTOCICLETA","HONDA","TRANSALP 600","P"
604,"GC-0545-CJ","MOTOCICLETA","HONDA","TRANSALP 600","P"
605,"GC-3007-CB","TURISMO","RENAULT","CLIO","SML"
606,"GC-3008-CB","TURISMO","RENAULT","CLIO","SML"
608,"GC-3010-CB","TURISMO","RENAULT","CLIO","SML"
609,"GC-3011-CB","TURISMO","RENAULT","CLIO","SML"
610,"GC-3012-CB","TURISMO","RENAULT","CLIO","SML"
614,"GC-0365-CK","CAMION GRUA","NISSAN","ECO-T","A"
616,"GC-1330-CL","TURISMO","SEAT","CORDOBA VARIO 1.6","B"
617,"GC-6954-CK","CAMION DOBLE CABINA","IVECO","180E23","SML"
618,"GC-6952-CK","CAMION DOBLE CABINA","IVECO","180E23","SML"
619,"GC-6953-CK","CAMION DOBLE CABINA","IVECO","180E23","SML"
620,"8-GC-5/03","MOTO ACUATICA","BOMBARDIER","GTS'00","PC"
621,"GC-0719-CM","TURISMO TODO TERRENO","NISSAN","TERRANO","PYJ"
622,"GC-5620-CM","TURISMO","SEAT","CORDOBA STELLA 1.6","P"
624,"GC-7128-CM","TURISMO","NISSAN","PRIMERA 1.6","CDCA"
626,"MOP20906","VOLQUETE","IVECO","","SML"
627,"GC-5790-BG","FURGON","RENAULT","","SML"
628,"GC-2627-AD","VEHICULO","RENAULT","F6","SML"
629,"GC-2360-H","GUAGUA","PEGASO","","SML"
630,"GC-1972-AJ","VEHICULO","RENAULT","F6","SML"
631,"GC-8103-X","FURGONETA MIXTA CARGA","SEAT","TRANS","SML"
632,"GC-8978-AU","VEHICULO MIXTO ADAPTABLE","NISSAN","TRADE","SML"
633,"GC-9977-U","CAMION RECOLECTOR","PEGASO","1217","SML"
634,"GC-6886-CH","CAMION RECOLECTOR","MERCEDES BENZ","","SML"
635,"GC-01338-VE","DUMPER","AUSA","S 150 - DA","SML"
641,"9843 BFF","VEHICULO MIXTO ADAPTABLE","MAZDA","E2200 GLASS VAN","PC"
642,"9844 BFF","MICROBUS","MAZDA","E2200 GLASS VAN","B"
643,"7959 BBH","CAMION RECOLECTOR COMPACTADOR","MERCEDES BENZ","1831 ACTROS","SML"
644,"7960 BBH","CAMION RECOLECTOR COMPACTADOR","MERCEDES BENZ","1831 ACTROS","SML"
645,"7961 BBH","CAMION RECOLECTOR COMPACTADOR","MERCEDES BENZ","1831 ACTROS","SML"
646,"9823 BFF","TURISMO","SSANGYONG","KORANDO TD","U"
647,"9824 BF","TURISMO TODO TERRENO","SSANGYONG","KORANDO TD","U"
648,"4367 BDT","TURISMO","SEAT","IBIZA 1.4 5V 5P","A"
649,"4369 BDT","TURISMO","SEAT","IBIZA 1.4 5V 5P","A"
650,"4368 BDT","TURISMO","SEAT","CORDOBA STELLA 1.4","A"
651,"7156 BBH","TURISMO","NISSAN","ALMERA","P"
653,"2572 BDY","CAMION RECOLECTOR","SCANIA","P94DB4X2NA","SML"
654,"2571 BDY","CAMION RECOLECTOR","SCANIA","P94DB4X2NA","SML"
655,"2573  BDY","CAMION RECOLECTOR","SCANIA","P94DB4X2NA","SML"
657,"6339 BGJ","CAMION PLATAFORMA","IVECO","150.18 E 4185","A"
658,"9431 BGB","MOTOCICLETA","BMW","F 650 GS","P"
665,"9438 BGB","MOTOCICLETA","BMW","F 650 GS","P"
669,"8904 BHN","CAMION CAJA VOLQUETE","IVECO","130.18 E","SML"
671,"3254 BGN","FURGON","NISSAN","TRADE","A"
672,"3255 BGN","FURGON","NISSAN","TRADE","A"
673,"3256 BGN","FURGON","NISSAN","TRADE","A"
677,"GC-2151-BC","TURISMO","RENAULT","R19","E"
679,"GC-9775-BF","FURGON","RENAULT","EXPRESS 1.6D","E"
681,"GC-2662-BP","CAMION CAJA VOLQUETE","NISSAN","ECO-T","E"
682,"6315 BKS","MOTOCICLETA","BMW","F 650 GS","P"
683,"8-GC-4/03","MOTO ACUATICA","BOMBARDIER","GTI","B"
684,"5260 BMR","TURISMO","NISSAN","ALMERA","STT"
685,"C-8590-BHN","CICLOMOTOR","VESPA","1002","E"
686,"5987 BKS","CAMION PLATAFORMA","MERCEDES BENZ","413 CDI","A"
687,"9494 BPW","FURGON","MERCEDES BENZ","313/40 CDI","B"
689,"3855 BPR","TURISMO","NISSAN","ALMERA","P"
690,"----","GRUPO ELECTROGENO","F.G.WILSON","L 17.5","B"
691,"5596 BSS","VEHICULO MIXTO ADAPTABLE","SEAT","INCA 1.4","IMEF"
692,"5846 BTR","TURISMO","NISSAN","ALMERA","CDC"
693,"4378 BVN","VEHICULO MIXTO ADAPTABLE","SEAT","INCA 1.4","SP"
694,"","MOTOBOMBA","IVECO","EUROFIRE 2000","B"
695,"C-0712 BMT","CICLOMOTOR","SUZUKI","ZILLION 50","SML"
696,"C-0715 BMT","CICLOMOTOR","SUZUKI","ZILLION 50","SML"
697,"C-0714 BMT","CICLOMOTOR","SUZUKI","ZILLION 50","SML"
698,"C-0713 BMT","CICLOMOTOR","SUZUKI","ZILLION 50","SML"
699,"8846 BVM","CAMION BOMBEROS","MERCEDES BENZ","1325 F","B"
700,"5965 BXD","TURISMO","SEAT","IBIZA 1.4 5V 5P","PREV"
701,"8917 BZR","CAMION RECOLECTOR","SCANIA","94L4X2-43","SML"
702,"8918 BZR","CAMION RECOLECTOR","SCANIA","94L4X2-43","SML"
703,"8919 BZR","CAMION RECOLECTOR","SCANIA","94L4X2-43","SML"
704,"3774 BVX","CAMION AMPLIROLL","SCANIA","94L4X2-43","SML"
705,"3308 BVX","CAMION AMPLIROLL","SCANIA","94L4X2-43","SML"
710,"6243 CBR","TURISMO","RENAULT","MEGANE","P"
712,"6257 CBR","TURISMO","RENAULT","MEGANE","P"
713,"","REMOLQUE","FESTUCA","4TT","B"
724,"","MOTOBOMBA","ROSENBAUER","FOX","B"
726,"0812 CCG","MOTOCICLETA","HONDA","FORESIGHT","P"
727,"0940 CCG","MOTOCICLETA","HONDA","FORESIGHT","P"
728,"1019 CCG","MOTOCICLETA","HONDA","FORESIGHT","P"
729,"1050 CCG","MOTOCICLETA","HONDA","FORESIGHT","P"
731,"1126 CCG","MOTOCICLETA","HONDA","FORESIGHT","P"
732,"1153 CCG","MOTOCICLETA","HONDA","FORESIGHT","P"
733,"1159 CCG","MOTOCICLETA","HONDA","FORESIGHT","P"
734,"1179 CCG","MOTOCICLETA","HONDA","FORESIGHT","P"
735,"1200 CCG","MOTOCICLETA","HONDA","FORESIGHT","P"
736,"6796 CGL","CAMION","MERCEDES BENZ","923","B"
737,"6841 CGL","CAMION","MERCEDES BENZ","923","B"
738,"9689 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
739,"9691 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
740,"9708 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
742,"9717 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
743,"9718 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
744,"9720 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
745,"9723 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
746,"9728 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
747,"9733 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
748,"9744 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
749,"9747 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
750,"9749 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
751,"9751 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
752,"9753 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
753,"9762 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
754,"9768 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
755,"9770 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
756,"9773 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
757,"9775 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
758,"9777 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
759,"9780 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
760,"9781 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
761,"9783 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
762,"9784 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
763,"9785 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
764,"9786 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
765,"9787 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
766,"9788 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
767,"9790 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
768,"9792 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
769,"9798 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
770,"9803 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
771,"9805 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
773,"GC-0959-U","MOTOCICLETA","VESPA","200 CC","AR"
778,"---","GRUPO ELECTROGENO","INDAR","P27","A"
779,"---","CARRETILLA ELEVADORA","STILL","R50-15","AG"
780,"---","CARRETILLA ELEVADORA","CATERPILLAR","EP15T-48E","A"
781,"---","CARROZA","","","TM"
782,"---","CARROZA","EBRO","","TM"
783,"1678 CFD","CAMION PLATAFORMA","IVECO","35C11","SML"
784,"0647 CHG","CAMION GRUA","IVECO","190E27K","SML"
785,"--","REMOLQUE","CAMPOSUR","HM-450","B"
786,"--","REMOLQUE","IBERICA","IR-750","B"
788,"5308 CDZ","TURISMO","SMART","SMART-CDI JACK BLACK","SML"
789,"5299 CDZ","TURISMO","SMART","SMART-CDI JACK BLACK","SML"
790,"5301 CDZ","TURISMO","SMART","SMART-CDI JACK BLACK","SML"
791,"5298 CDZ","TURISMO","SMART","SMART-CDI JACK BLACK","SML"
792,"--","REMOLQUE","ERKA","800","ES"
793,"8916 CFS","CAMION RECOLECTOR COMPACTADOR","SCANIA","P94DB4X2NA","SML"
794,"8891 CFS","CAMION RECOLECTOR COMPACTADOR","SCANIA","P94DB4X2NA","SML"
796,"8465 CLG","CAMION RECOLECTOR COMPACTADOR","SCANIA","P94DB4X2NA","SML"
797,"8466 CLG","CAMION RECOLECTOR COMPACTADOR","SCANIA","P94DB4X2NA","SML"
798,"8468 CLG","CAMION RECOLECTOR COMPACTADOR","SCANIA","P94DB4X2NA","SML"
