CALLE, FECHA DE COMIENZO, HORARIO, FECHA  DE FINALIZACION
"san bernardo","05/03/2012","22,00/02,00",""
"ctra general del cardon nº 103/105","02/03/2012","07,30/12,30","02/03/2012"
"avda. escaleritas, 149","02/03/2012","",""
"panama, 31  verlarde 10","01/03/2012","",""
"leon y castill, 427","02/03/2012","",""
"espacios libres termino municipal","","",""
"bravo murillo, 17","06/03/2012","",""
"perojo  17","01/03/2012","8-18",""
"avda  jose mesa y mlopez entre daoiz churruca","07/03/2012","24",""
"varias calles","01/03/2012","24","01/03/2012"
"murga 6","02/03/2012","8-18",""
"avda alcalde francisco hernandez gonzalez 16-18","03/03/2012","24",""
"viera y clavijo nº18/20","08/03/2012","08,00/22,00",""
"acceso c.c el muelle","05/03/2012","7,30-13,30",""
"lorenzo godoy maestro  de la danza","05/03/2012","8-19",""
"secretario padilla  127","05/03/2012","24",""
"saulo toron  10","02/03/2012","8-18",""
"juan manuel duran gonzalez y otras","02/03/2012","20,30-6,00",""
"mar caspio con mar bonita","05/03/2012","24",""
"juan rejon  91","10/03/2012","8-20","10/03/2012"
"varias calles","02/03/2012","","02/03/2012"
"lentini esq. Triana","05/03/2012","8-20",""
"fontanales y frente 49","05/03/2012","24",""
"colon  8","05/03/2012","8-12",""
"diversas zonas del termino municipal","02/03/2012","n/c",""
"castillo casas consistoriales","12/03/2012","8-12",""
"bernardino correa viera","05/03/2012","8-20",""
"leon y castillo 420","07/03/2012","8-18","07/03/2012"
"juan saraza ortiz  17-23","05/03/2012","24",""
"juan e. dorestes rserva escolar","02/03/2012","",""
"cervantes nº4","06/03/2012","8/18",""
"simancas  21","06/03/2012","8-20",""
"teobaldo power 35 entrada plaza de la libertad","06/03/2012","8-20",""
"salvia  60","07/03/2012","24",""
"plaza aparejadores y arquitectos tecnicos ebar","06/03/2012","8-20",""
"varias calles","05/03/2012","24","05/03/2012"
"tomas miller 71-73","07/03/2012","8-18",""
"arena  13","06/03/2012","8-18","06/03/2012"
"hnos garcia de la torre","06/03/2012","07 a 13","30/03/2012"
"galileo nº2","06/03/2012","24","15/04/2012"
"olof palme nº46","06/03/2012","8/18","06/03/2012"
"la aldea nº5","19/03/2012","8/20","26/03/2012"
"hermanos garcia de la torre. Nº28","06/03/2012","8/18",""
"varias calles","06/03/2012","24","06/03/2012"
"tirso de molina  3","10/03/2012","8-18","10/03/2012"
"guantanamo  123","12/03/2012","24",""
"taliarte  52","09/03/2012","8-18",""
"matias padron 22","14/03/2012","24",""
"rafael ramirez  16","08/03/2012","24",""
"zaragoza  8","12/03/2012","24",""
"paseo de madrid  2","19/03/2012","24",""
"varias calles","07/03/2012","24",""
"VARIAS CALLES","08/03/2012","24","08/03/2012"
"domigo dorestes  8","09/03/2012","8-20","09/03/2012"
"torres quevedo  24","09/03/2012","24",""
"san bernardo","12/03/2012","22,00-2,00",""
"viera y clavijo nº18/20","14/03/2012","8/20",""
"avda escaleritas nº117","09/03/2012","8/18",""
"avd. jose mesa y lopez 67","12/03/2012","24","10/04/2012"
"varias calles","12/03/2012","8-20",""
"estacion de san telmo","12/03/2012","8-20",""
"dr miguel rosa junto hotel atlanta","12/03/2012","7,30-18",""
"benartemi  33-35con fontanales 94-96 viceversa","15/03/2012","8-20",""
"viera y clavijo  35","10/03/2012","8-18",""
"secretario padilla 59","12/03/2012","8-18","12/03/2012"
"pepe rey 3","16/03/2012","8-20","16/03/2012"
"moratin 5 carlos m. blandy","22/03/2012","24","23/03/2012"
"general  vives  12","12/03/2012","8-20","12/03/2012"
"varias calles","09/03/2012","24","09/03/2012"
"la naval perez muñoz","02/03/2012","8-20",""
"menendez y pelayo  16","13/03/2012","8-16","13/03/2012"
"obispo encina  16","14/03/2012","8-16","14/03/2012"
"castrillo leon y castillo","19/03/2012","8-20",""
"leon y castillo esq. Carvajal","19/03/2012","8-20",""
"puerto rico1 esq. Fdo guanarteme","19/03/2012","8-20",""
"avda jose mesa y lopez 84","21/03/2012","8-20",""
"jordan 37","26/03/2012","8-20",""
"portugal 49","16/03/2012","8-20","16/03/2012"
"doctor waksman nº1","13/03/2012","",""
"general martinez anido nº 4","19/03/2012","",""
"castrillo, 32","09/03/2012","",""
"padre pedro sanz sainz, 34","13/03/2012","8-20h",""
"general vives,44","14/03/2012","",""
"general vives,16-juan manuel durán gonzález,12","12/03/2012","",""
"juan manuel durán gonzález,26 -Galicia-","12/03/2012","",""
"juan manuel durán gonzález,38 con diderot","13/03/2012","",""
"juan manuel durán gonzález frente a la Central de telefónica","13/03/2012","",""
"avd escaleritas 117","12/03/2012","10 a 18","12/03/2012"
"sor simona 51","14/03/2012","8.30 a 13.30",""
"victor hugo 63","12/03/2012","24 horas",""
"jamat 8","13/03/2012","8 a 10",""
"varias calles","12/03/2012","24",""
"varias calles","13/03/2012","24","13/03/2012"
"albareda nº 54","15/03/2012","8-18",""
"CASTILLEJOS Nº49","14/03/2012","8/18",""
"profesor lozano nº2","15/03/2012","24","24/03/2012"
"varias calles","14/03/2012","24","14/03/2012"
"carretera de marzagan","19/03/2012","8-20",""
"perez muñoz tecen 50 viceversa","19/03/2012","24",""
"francisco gourie  22-24-26","15/03/2012","8-18",""
"termino municipal","15/03/2012","n/c",""
"leon y castillo nº111","15/03/2012","8/18",""
"torres quevedo, 15","16/03/2012","8-20","16/03/2012"
"fernando guanarteme, 149","16/03/2012","8-20","16/03/2012"
"bernardo de la torre, 50 con fernando guanarteme","16/03/2012","8-20","16/03/2012"
"luis morote, 61","17/03/2012","8-20","17/03/2012"
"LUIS MOROTE, 35","17/03/2012","8-20","17/03/2012"
"federico locrca nº10","19/03/2012","8/18",""
"avda de ansite carril izdo","19/03/2012","7,30-12,30","21/03/2012"
"c.c.el muelle","19/03/2012","7,30-13,30","23/03/2012"
" pi y margal 48","19/03/2012","24",""
"varias calles","15/03/2012","24","15/03/2012"
"pasion  23","19/03/2012","8-20",""
"general  vives  33","19/03/2012","24",""
"almansa frente al 30-32","26/03/2012","",""
"almansa al 30-32","26/03/2012","",""
"juan de quesada 10","19/03/2012","",""
"fernando guanarteme 171","19/03/2012","",""
"zonas peatonales","","",""
"AGUADULCE, CARVAJAL EN VARIOS TRAMOS VER PERMISO ORIGINAL","19/03/2012","",""
"cano 8","19/03/2012","",""
"acuarelista elias marrero","19/03/2012","",""
"taliarte-princesa guayarmina 44-42","19/03/2012","",""
"aconcagua, 10","19/03/2012","24","17/05/2012"
"aconcagua, 10","19/03/2012","8-18",""
"jaime torrent ballester- practicantecalixto rodriguez","20/03/2012","8´30 a 19",""
"calzada lateral del norte  ed. Los angeles 3","19/03/2012","",""
"jordan 59","","8  19",""
"pintor felo monzon 44","21/03/2012","","21/03/2012"
"el cid 53","20/03/2012","","20/03/2012"
"tristana 17","20/03/2012","24 horas","18/05/2012"
"doña perfecta nº53","27/03/2012","24","30/03/2012"
"parroco francisco rodriguez rodriguez 4","21/03/2012","",""
"inesilla 2","26/03/2012","24 horas","29/03/2012"
"avd. jose sanchez peñate . Salida cc arenas","21/03/2012","","13/06/2012"
"hernan perez nº69","22/03/2012","24",""
"isla de cuba, 5-7","23/03/2012","",""
"avda. alcalde jose ramirez bethencourt nº 26","26/03/2012","8,00 a 15,00",""
"juan manuel duran gonzalez, 26","22/03/2012","",""
"leon y castillo, 149","28/03/2012","","28/03/2012"
"triana,99","23/03/2012","",""
"salta nº 4","26/03/2012","8,00 a 18,00",""
"alfredo l jones 8","26/03/2012","8,00 a 19,00",""
"varias calles","22/03/2012","24","22/03/2012"
"murga nº48","26/03/2012","24","14/04/2012"
"venegas, 41","23/03/2012","8-18",""
"mayor de triana 120","26/03/2012","8/18","26/03/2012"
"tinguaro 32","23/03/2012","11/18","23/03/2012"
"diego alonso montaude 20","23/03/2012","11/18","23/03/2012"
"dean lopez martin 11","","",""
"doctor fleming 20","28/03/2012","8/18","28/03/2012"
"juna manuek duran ginzalez 9","28/03/2012","8/20","28/03/2012"
"la naval 44 /102/entre dos de mayo al 107jesus nazareno y maria dolorosa 43/47","27/03/2012","8/18",""
"buenos aires, castillo hasta la C/ sor jesus , general bravo ( desde remedios a maninidra)","27/03/2012","8/18",""
"portugal 70","26/03/2012","24",""
"el labrador","26/03/2012","24","30/03/2012"
"cebrian 8/10","26/03/2012","8/18","24/05/2012"
"corregidor aguirre 7","27/03/2012","24",""
"paeo de las canteras 77","27/03/2012","24",""
"alcande hernadez gonzales. Juan e. doreste.","26/03/2012","24","28/03/2012"
"francisco gouré nº113","26/03/2012","8/18",""
"pedro infinito 22","26/03/2012","8-20",""
"parque de san telmo trasera de la iglesia","26/03/2012","8-20",""
"varias calles","26/03/2012","24",""
"dolores de la rocha 14-1618","27/03/2012","8-18",""
"avd. pintor felo monzon 38","31/03/2012","9/18","31/03/2012"
"gral. Vives 1","31/03/2012","9/18","31/03/2012"
"RUIZ DE ALDA Nº34","28/03/2012","8/18",""
"PRUDENCIO MORALES Nº24","28/03/2012","8/12",""
"VIERA Y CLAVIJO Nº18-20","31/03/2012","8/22",""
"MONTEVIDEO Nº25","28/03/2012","24","10/04/2012"
"varias calles","27/03/2012","24","27/03/2012"
"juan de padilla  18","28/03/2012","24",""
"suarez naranjo  10","28/03/2012","24",""
"alcalde jose ramirez bethencourt 7-9-11","31/03/2012","8-18","31/03/2012"
"jose franchy roca  12-14","28/03/2012","8-18",""
"diferentes calles del termino municipal","28/03/2012","n/c",""
"viera y clavijo nº54","28/03/2012","8/18","11/04/2012"
"viera y clavijo nº54","28/03/2012","24","11/04/2012"
"becquer(entre pio II y doctor garcia castrillo.","28/03/2012","8/20",""
"juan manuel duran gonzalez con olof palme","31/03/2012","24","01/04/2012"
"castillejos con covadonga 77","09/04/2012","24","18/04/2012"
"teobaldo power plaza de la libertad","28/03/2012","",""
"VARIAS CALLES","28/03/2012","24",""
"ENRIQUE BOSCH Y HERMANOS VEGA","02/04/2012","8-20",""
"ARCO OBISPO VELA","02/04/2012","8-20",""
"VENAGAS 1","30/03/2012","8-18","30/03/2012"
"LUISD DOESTES SILVA 13","30/03/2012","8-18","30/03/2012"
"SECRETARIO ARTILES 4 MONTEVIDEO","16/04/2012","24","15/05/2012"
"FERRERA  19-21","16/04/2012","8-14",""
"NESTOR DE LA TORRE  10","30/03/2012","8-14","30/03/2012"
"PRUDENCIO MORALES 35","30/03/2012","8-18","30/03/2012"
"fernando guanarteme, 50","29/03/2012","24","13/04/2012"
"rafael almeida esq. Fdo guanarteme","09/04/2012","24",""
"rafael  alameida 1","09/04/2012","8-18",""
"juan de quesada  5","09/04/2012","24",""
"arco  53","09/04/2012","24",""
"avda jose mesa y lopez  21","31/03/2012","8-18","31/03/2012"
"juan ponce perez","02/04/2012","n/c","31/12/2012"
"pintor miro y diego betancort  hernandez","09/04/2012","8-20",""
"montejurra  sta maria d la cabeza","02/04/2012","8-20",""
"olof palme  46","02/04/2012","8-18",""
"francisco gourie nº35","02/04/2012","8/18","02/04/2012"
"corregidor aguierre nº6","02/04/2012","24","04/04/2012"
"varias","02/04/2012","24","02/04/2012"
"jordan 59","03/04/2012","8/18",""
"avd. alcalde diaz saavedra navarro20","03/04/2012","8/18",""
"carlos m blandy 49","03/04/2012","8/18","03/04/2012"
"pablo penaguilas , nuñez  de balboa","11/04/2012","8/18","13/04/2012"
"nuñez de balboa 13,17","09/04/2012","8/18","13/04/2012"
"feranando calpena  6-8","16/04/2012","8/18","17/04/2012"
"accesos a zonas peatonales del termino minicipal","02/04/2012","n/c",""
"fernando calpena 4","03/04/2012","24 horas a partir de las 12,00 horas del martes 3","09/04/2012"
"juan rodriguez quegles- avda. escaleritas","09/04/2012","",""
"eduardo benitez (paralelo a la plaza hermanos millares)","09/04/2012","","07/06/2012"
"doctor gomez ulla eduardo benitez gonzalez","09/04/2012","","07/06/2012"
"miguel sarmiento paseo de madrid","09/04/2012","",""
"santa fe nº 10, tucuman","22/05/2012","8/16",""
"batalla ebro zona aparcamiento","12/04/2012","7,30 a 15,00",""
"alto los leones 23-29","19/04/2012","7,30 a 15,00",""
"plaza sta. Juana de castilla","11/04/2012","9,30 a 12,30",""
"bernardo de la torre  41","04/04/2012","14-20",""
"carvajal  1","09/04/2012","8-18",""
"mesa y lopez, 26","05/04/2012","8-18","05/04/2012"
"varias","09/04/2012","24","09/04/2012"
"marihucha , zaragoza","09/04/2012","8/18","08/05/2012"
"republica dominicana 29-33","10/04/2012","24",""
"avd. jose mesa y lopez 80-82","10/04/2012","24","09/05/2012"
"los martinez de escobar  61","09/04/2012","24",""
"leon y castillo 431","09/04/2012","8-20",""
"zonas peatonales de la ciudad","10/04/2012","24","31/12/2012"
"secretario padilla  102","11/04/2012","24",""
"via 8010, 60","11/04/2012","8-20",""
"el taxista  1","11/04/2012","24",""
"secretario artiles 36","12/04/2012","8/18","12/04/2012"
"general mas de gaminde 14","13/04/2012","8/18","13/04/2012"
"avda. jose mesa y lopez 38","11/04/2012","24","20/04/2012"
"franchy roca 12-14","16/04/2012","8/18",""
"simon  bolivar hasta plaza comandante ramon franco","18/04/2012","8/18","20/04/2012"
"emilio castelar simon bolivar","18/04/2012","8/18","20/04/2012"
"plaza comandante ramon franco 1","20/04/2012","8/18","20/04/2012"
"nuñez de balboa 13","16/04/2012","8/18","17/04/2012"
"el marino presidente alvear","19/04/2012","8/18","20/04/2012"
"avda. jose mesa y lopez y juan manuel duran gonzalez","11/04/2012","22:00/06:00",""
"juan manuel duran gonzalez, avd. jose mesa y lopez, ruiz de alda,montevideo, cirilo moreno, luis morote, nicolaz estevanez, los martines de escobar, bernardo de la torre, tomas alba edison, rafael almeida, republica dominican","11/04/2012","8/20",""
"varias","11/04/2012","24","11/04/2012"
"el slavador 28","13/04/2012","8/18",""
"mariucha, tristana, mariucha, voluntad , zaragora.,","16/04/2012","24",""
"vial 8010, 17","12/04/2012","8-20",""
"viera y clavijo, 18-20","26/04/2012","8-20","27/04/2012"
"viera y clavijo, 18-20","19/04/2012","8-22",""
"joaquin costa junto apartamentos rivera","13/04/2012","8-12",""
"lomo blanco  31","13/04/2012","8-18","13/04/2012"
"carril derecho de carretera de tamaraceite.","17/04/2012","9,30/12,30",""
"peseo de chill, acceso a ctra de mata.","17/04/2012","07,30/14,00",""
"obispo romo sentido schamann","13/04/2012","07,30/14,00",""
"hermanos gracia de la torre, maestro valle brasil rael ramiez.","13/04/2012","07,30/13,00","30/04/2012"
"victor hugo nº55","16/04/2012","24","25/04/2012"
"el salvador nº59","13/04/2012","8/20",""
"el salvador nº59","16/04/2012","24","20/04/2012"
"alfonso xiii plaza concordia","16/04/2012","22,00 a 02,00",""
"muelle las palmas junto al parque san telmo","16/04/2012","22,00 a 02,00",""
"alameda de colon general bravo","17/04/2012","00,00 a 04,00",""
"tamaran, umiaga tanausu","23/04/2012","00,00 a 04,00",""
"VIERA Y CLAVIJO, 54","18/04/2012","8/18",""
"beni con catamarca o viceversa","16/04/2012","",""
"beni con catamarca o viceversa","16/04/2012","",""
"beni con catamarca o viceversa","16/04/2012","",""
"tomas miller 53","17/04/2012","8/18",""
"alonso alvarado 34","16/04/2012","24 horas",""
"plaza de san agustin junto a interseccion agustin millares","16/04/2012","",""
"plazoleta padre hilario, 2","16/04/2012","",""
"joaquin blume, 19","13/04/2012","",""
"ramon y cajal y sor jesus","18/04/2012","8/18",""
"concejal manuel rodriguez costas","16/04/2012","",""
"domingo j. navarro, 30","16/04/2012","8/18",""
"alcalde francisco hernandez gonzalez, 10-12","17/04/2012","",""
"nestor de la torre con plaza españa","16/04/2012","8/20",""
"muro , 4-6","28/04/2012","",""
"ruiz de alda  34","17/04/2012","8-18",""
"leon y castillo  393","16/04/2012","8-18","17/04/2012"
"trasera alca. Jose ramirez behtencourt","16/04/2012","8-18","16/04/2012"
"trasera alca. Jose ramirez bethencourt","17/04/2012","8-18","17/04/2012"
"general mas de gaminde  26","16/04/2012","8-20",""
"varias calles del termino municipal","13/04/2012","n/c",""
"cirilo moreno nº29","23/04/2012","24","06/06/2012"
"beni con catamarca o viceversa.","18/04/2012","8/18","16/05/2012"
"parque santa catalina a la altura de ripoche.","18/04/2012","24",""
"diego vega sarmiento nº7","21/04/2012","",""
"ctra general lomo blanco nº31/51","18/04/2012","24","22/04/2012"
"san bernardo (en todo un carril)","23/04/2012","00:00-04:00","25/04/2012"
"Al bareda (carril izquierdo)","17/04/2012","7-13","20/04/2012"
"varias vias","17/04/2012","24","17/04/2012"
"italia 67","23/04/2012","24",""
"obispo romo 19","17/04/2012","15/20","17/04/2012"
"paseo de chil carril anexo mediana ctra de mata","19/04/2012","7,30-14,00",""
"carril derecho avda de escaleritas","24/04/2012","9,30-14,00",""
"antonio gutierrez mellado  32","19/04/2012","8-20","19/04/2012"
"cardoncillo tenoya","18/04/2012","n/c",""
"ebar en c/ doctor juan domiguez perez","04/04/2012","8/20","02/06/2012"
"avda jose alcalde ramirez betencour nº8","23/04/2012","8/18",""
"vergara nº9","19/04/2012","8/20",""
"carretera general de almatriche nº164","20/04/2012","24","22/04/2012"
"paseo madrid, ocupacio parcial del carril","18/04/2012","22,00/02,00","18/04/2012"
"matias padron 4","19/04/2012","7-20",""
"agustin millares nº19","24/04/2012","24",""
"los martines de escobar nº33","23/04/2012","24",""
"eufemiano fuentes cabrera (trasera diega vega sermiento)nº7","24/04/2012","8/20",""
"betel nº19/21/23","03/05/2012","24",""
"san boronon nº","26/04/2012","24",""
"alarcon nº1","24/04/2012","8/20","14/05/2012"
"domingo j. navarro nº42","23/04/2012","8/20",""
"teobaldo power entrada plaza llibertad","20/04/2012","8/20",""
"colombia hasta cid","23/04/2012","24","26/04/2012"
"colombia nº15/17","23/04/2012","24","26/04/2012"
"carvajal nº2","26/04/2012","8/20",""
"juan manuel duran gonzales nº33","25/04/2012","8/20",""
"olof palme nº22","23/04/2012","8/20",""
"ruiz de alda nº26","24/04/2012","8/20",""
"ruiz de alda nº27","26/04/2012","8/20",""
"el marino","23/04/2012","07,30/13,00","27/04/2012"
"junto a los jardines e insletas de muelle","24/04/2012","07,30/13,30","27/04/2012"
"el callejon del molono","25/04/2012","7-15",""
"LA NAVAL  HOTEL NH  4","23/04/2012","8-12",""
"colombia nº16","26/04/2012","24",""
"secretario padilla nº28/35","26/04/2012","24",""
"GRAVINA Nº14","23/04/2012","24","03/05/2012"
"LOPEZ BOTAS Nº46/48","25/04/2012","24",""
"leon y castillo  1","25/04/2012","24",""
"bravo murillo  2","25/04/2012","24",""
"dolores de la rocha  5","24/04/2012","24",""
"plaza de la concordia y plaza peron.","23/04/2012","22,00/02,00","27/04/2012"
"antonio cardona nºsn","24/04/2012","8/20",""
"torres, 2","26/04/2012","8-18","26/04/2012"
"nuñez de balboa, 13","25/04/2012","8-18",""
"ocupacion de via y acceso a las zonas peatonales en el termino municipal de las palmas.","25/04/2012","24","31/12/2012"
"zaragoza del 1 al 6","07/05/2012","",""
"leon y castillo nº46","27/04/2012","8/18",""
"presidente alvear nº19","26/04/2012","8/20",""
"nestor de la torre nº20","30/04/2012","8/20",""
"estacion de bomberos del teatro.","25/04/2012","8/20","31/12/2012"
"jesus ferrer jimeno, jose mesa y lopez 77/79/81/83","30/04/2012","8/18","24/06/2012"
"profesor lozano nº14","26/04/2012","24","24/06/2012"
"sucre nº14","26/04/2012","24","24/06/2012"
"obispo rabadan nº30","27/04/2012","8/20",""
"antonio de viana nº25 o eufemiano jurado nº16","26/04/2012","24","24/06/2012"
"daoiznº23","30/04/2012","8/20","30/04/2012"
"plaza de la constitucion  1","26/04/2012","8-20",""
"simon bolivar  ed. Casa del marino  1","26/04/2012","8-20","26/04/2012"
"ernest hemingway  9","27/04/2012","8-18",""
"parroco jose c. quintana s. subida salto del negro.","30/04/2012","8/20",""
"kant 21","26/04/2012","","26/04/2012"
"real del castillo.","26/04/2012","9/13",""
"perojo  17","27/04/2012","8-20",""
"crurruca nº36","30/04/2012","8/18",""
"gorbernador marin acuña nº55","30/04/2012","8/18",""
"daoiz nº26","03/05/2012","24","04/05/2012"
"panamá, daoiz","03/05/2012","24","04/05/2012"
"secretario padillas , gravina","03/05/2012","24","04/05/2012"
"colombia churruca nº41","03/05/2012","24","04/05/2012"
"colombia, cravina nº27","02/05/2012","24","03/05/2012"
"termino municipal.","27/04/2012","24","31/12/2012"
"peru 38","02/05/2012","8/18",""
"tenteniguada nº23","02/05/2012","8/20",""
"viera y clavijo nº16/","30/04/2012","8/22",""
"cronista benitez inglott nº8","02/05/2012","8/18","02/05/2012"
"leon y castillo nº427","30/04/2012","8/18","30/04/2012"
"jose franchy roca nº12/14","02/05/2012","8/20",""
"luis morote entre la calle 29 de abril general vives","30/04/2012","","30/04/2012"
"pedro infinito 2","30/04/2012","24 horas","02/05/2012"
"varias de la ciudad","30/04/2012","24 horas","30/04/2012"
"sor simona 42","02/05/2012","8/18","03/05/2012"
"bernardo de la torre 108","03/05/2012","8/18","03/05/2012"
"paseo de chil 251 bis","02/05/2012","8/18",""
"lomo de enmedio20","02/05/2012","8/18",""
"palafox  20","02/05/2012","8-20","02/05/2012"
"acceso al muelle c.c cc. Comercial","02/05/2012","7,30-13,30",""
"luis morote 29 de abril","02/05/2012","10-12",""
"gomera entre 29 de abril  general vives","02/05/2012","10-12",""
"gustavo j. navarro nieto  1","24/05/2012","7,30-15,00","25/05/2012"
"29 de abril del 7-al 19 y frente 28","17/05/2012","24","18/05/2012"
"varias calles","03/05/2012","24",""
"sargento llagas  7","03/05/2012","8-20",""
"vergara  47","08/05/2012","8-20",""
"honduras  2","10/05/2012","8-20",""
"ingeniero salinas italia victor hugo con. Y otras","02/05/2012","9-14 y 16-20",""
"pio coronado con tormento  115","07/05/2012","24",""
"leon y castillo  427","04/05/2012","8-18","04/05/2012"
"leon y castillo  427","09/05/2012","8-18","09/05/2012"
"perojo  29","03/05/2012","24",""
"alcalde francisco hernandez hernandez gonzalez  6","05/05/2012","8-18","05/05/2012"
"tomas miller  26","03/05/2012","14-20","03/05/2012"
"paseo de san jose,124/jenernº1","03/05/2012","24",""
"siloé nº5","03/05/2012","8/18",""
"VARIAS CALLES","03/05/2012","24","03/05/2012"
"caleata- prolongacion paseo de las canteras) mary sanchez 19","07/05/2012","24",""
"comandante ramon franco","03/05/2012","22-2,00","03/05/2012"
"paseo blas cabrera felipe alcade diaz saavedra rafael cabrera y varias mas.","04/05/2012","8/20","02/06/2012"
"peru nº38","07/05/2012","8/18",""
"carril derecho e izdo ramblas de jinamar","07/05/2012","7,30-13,30",""
"parque del castillo","11/05/2012","24",""
"teobaldo power 5-19","10/05/2012","9-13","10/05/2012"
"bravo murillo 5","04/05/2012","",""
"pepe rey 1","14/05/2012","8 a 20","17/05/2012"
"pilarillo seco ( carril acceso estacion de guaguas)","07/05/2012","",""
"termino municipal LPGC","04/05/2012","24","31/12/2012"
"alcalde francisco  hernandez gonzalez 16-18","07/05/2012","24",""
"trasera avda alcalde jose ramirez bethencourt c. i. deportes","07/05/2012","8-20",""
"dr. Grau bassas 21","09/05/2012","24","10/05/2012"
"dr. Grau bassas obispo herrera nº 3-15","07/05/2012","24","10/05/2012"
"alcalde fco. Hernandez gonzalez( colegio san ignacio de loyola)","21/05/2012","8 a 18","11/06/2012"
"todo termino municipal de LPGC","04/05/2012","24","31/12/2012"
"juan manuel duran gonzalez 9","09/05/2012","8 a 18",""
"colombia 39","08/05/2012","",""
"varias calles","04/05/2012","24",""
"inesilla, carril derecho a la altura de la calle fernando calpena","15/05/2012","20/22","15/05/2012"
"blasco ibañez10","09/05/2012","8/18",""
"juan manuel duran gonzalez 9","09/05/2012","24",""
"juan manuel duran gonzalez 9","09/05/2012","24",""
"29 de abril 44, nicolas estevanez18","08/05/2012","24",""
"olof pame 18","08/05/2012","24",""
"carril aparcamiento en la calle sagasta y los gofiones","15/05/2012","24/02","18/05/2012"
"parraco villar reina carril derecho","29/05/2012","06/12","30/05/2012"
"pedro minio carril derecho y aparcamiento del margen derecho de la calle","15/05/2012","06/12","17/05/2012"
"carvajal 1","10/05/2012","08:00-18:00","11/05/2012"
"san dieg de alava","09/05/2012","7:30/13:30","18/05/2012"
"acceso a espacios libres término municipal","","",""
"careterra general de marzagan, frente 145-149","09/05/2012","07:30/13:30","16/05/2012"
"plaza de manuel becera ( frente gasolinera)","09/05/2012","8/12","09/05/2012"
"malaga aparcamiento","09/05/2012","7-12,30",""
"remedios 7-9","10/05/2012","24",""
"muelle de las palmas s/n","18/05/2012","8/18","18/05/2012"
"leon y castillo  170","10/05/2012","8-20","11/05/2012"
"ruiz de alda  38","10/05/2012","8-18","10/05/2012"
"cayetana manrique  35","10/05/2012","8-18","10/05/2012"
"gyanajuto  9","14/05/2012","24","18/05/2012"
"doctor grau bassas  50","11/05/2012","8-12",""
"paseo de las canteras  38","11/05/2012","24",""
"colon  8","11/05/2012","8-20",""
"canalejas  7-9","15/05/2012","24",""
"juan dominguez perez  s/n","09/05/2012","24",""
"nicolas estevanez  34","09/05/2012","24","10/05/2012"
"diderot  19","10/05/2012","24",""
"avda jose mesa y lopez nº67,","10/05/2012","8/20",""
"leon tolstoyo 10","11/05/2012","8/18","11/05/2012"
"luis dorestes silva  60","18/05/2012","8-18","18/05/2012"
"domingo dorestes  13","18/05/2012","8-18","18/05/2012"
"alfred nobel hermanos lumiere avda felo monzon","21/05/2012","8-20",""
"varias calles","08/05/2012","24",""
"varias calles","09/05/2012","24",""
