"Sede","Dirección","Teléfono","Geolocalización","Latitud","Longitud","Especialidad","Media anual de usuarios/as","Curso"
"La Isleta","Calle Osorio esq. Benecharo, Las Palmas de Gran Canaria","932 464 726","https://www.google.es/maps/place/Calle+Osorio,+58/@28.1525471,-15.4245222,17z/data=!3m1!4b1!4m2!3m1!1s0xc409548b50824b7:0xfeecc34344a178be","28.1525471","-15.4245222","Educación de la voz",49,"2013/2014"
"La Isleta","Calle Osorio esq. Benecharo, Las Palmas de Gran Canaria","933 464 726","https://www.google.es/maps/place/Calle+Osorio,+58/@28.1525471,-15.4245222,17z/data=!3m1!4b1!4m2!3m1!1s0xc409548b50824b7:0xfeecc34344a178be","28.1525471","-15.4245222","Timple",3,"2013/2014"
"La Isleta","Calle Osorio esq. Benecharo, Las Palmas de Gran Canaria","934 464 726","https://www.google.es/maps/place/Calle+Osorio,+58/@28.1525471,-15.4245222,17z/data=!3m1!4b1!4m2!3m1!1s0xc409548b50824b7:0xfeecc34344a178be","28.1525471","-15.4245222","Púa",1,"2013/2014"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 928 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a6","28.1079726","-15.4340981","Música y movimiento",210,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 929 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a7","28.1079726","-15.4340981","Viola",4,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 930 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a8","28.1079726","-15.4340981","Violín",68,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 931 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a9","28.1079726","-15.4340981","Violoncello",22,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 932 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a10","28.1079726","-15.4340981","Flauta",37,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 933 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a11","28.1079726","-15.4340981","Clarinete",24,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 934 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a12","28.1079726","-15.4340981","Saxofón",31,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 935 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a13","28.1079726","-15.4340981","Trompeta",25,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 936 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a14","28.1079726","-15.4340981","Trombón",12,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 937 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a15","28.1079726","-15.4340981","Trompa",3,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 938 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a16","28.1079726","-15.4340981","Piano",273,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 939 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a17","28.1079726","-15.4340981","Guitarra",185,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 940 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a18","28.1079726","-15.4340981","Percusión",11,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 941 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a19","28.1079726","-15.4340981","Educación de la voz",77,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 942 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a20","28.1079726","-15.4340981","Timple",9,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 943 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a21","28.1079726","-15.4340981","Púa",3,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 944 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a22","28.1079726","-15.4340981","Guitarra moderna",45,"2014/2015"
