"Centro","Nombre actividad","Participantes","Curso"
"UP CIUDAD ALTA","DICIEMBRE 2014","Manualidades variadas y ecológicas",15,"2014/2015"
"UP CIUDAD ALTA","DICIEMBRE 2014","Elaborar un duende de navidad",20,"2014/2015"
"UP CIUDAD ALTA","DICIEMBRE 2014","Pintar en abanicos",10,"2014/2015"
"UP CIUDAD ALTA","DICIEMBRE 2014","Hacer un perrito con toallita de baño",7,"2014/2015"
"UP CIUDAD ALTA","DICIEMBRE 2014","Fiesta de navidad del centro",99,"2014/2015"
"UP CONO SUR","DICIEMBRE 2014","Dulce de coco",17,"2014/2015"
"UP CONO SUR","DICIEMBRE 2014","Encuentro de navidad","-","2014/2015"
"UP CONO SUR","DICIEMBRE 2014","Técnicas de bebé soft",12,"2014/2015"
"UP GUANARTEME","DICIEMBRE 2014","Pastel de langostinos",11,"2014/2015"
"UP GUANARTEME","DICIEMBRE 2014","Escalibada de verduras",15,"2014/2015"
"UP GUANARTEME","DICIEMBRE 2014","Iniciación al Yoga",15,"2014/2015"
"UP GUANARTEME","DICIEMBRE 2014","Elaboración polvorones",10,"2014/2015"
"UP GUANARTEME","DICIEMBRE 2014","Aprender a montar en bici",15,"2014/2015"
"UP GUANARTEME","DICIEMBRE 2014","Conejo salmorejo",15,"2014/2015"
"UP GUANARTEME","DICIEMBRE 2014","Manipulador de alimentos",15,"2014/2015"
"UP GUANARTEME","DICIEMBRE 2014","Dulces de almendras",15,"2014/2015"
"UP GUANARTEME","DICIEMBRE 2014","Depilación de cejas al estilo hindú",14,"2014/2015"
"UP GUANARTEME","DICIEMBRE 2014","Cocina árabe",15,"2014/2015"
"UP GUANARTEME","DICIEMBRE 2014","Movil-whatsapp",15,"2014/2015"
"UP GUANARTEME","DICIEMBRE 2014","Introducción a la meditación",20,"2014/2015"
"UP GUANARTEME","DICIEMBRE 2014","Panel de patchwork",15,"2014/2015"
"UP LA ISLETA","DICIEMBRE 2014","Manipulador alimentos",18,"2014/2015"
"UP LA ISLETA","DICIEMBRE 2014","Taller de adornos navideños",10,"2014/2015"
"UP LA ISLETA","DICIEMBRE 2014","Taller técnica de soft",15,"2014/2015"
"UP LA ISLETA","DICIEMBRE 2014","Ruta de la brea",40,"2014/2015"
"UP TAMARACEITE","DICIEMBRE 2014","Taller de radio locución y técnica",15,"2014/2015"
"UP TAMARACEITE","DICIEMBRE 2014","Curso de iniciación a la informática",17,"2014/2015"
"UP TAMARACEITE","DICIEMBRE 2014","Taller de iniciación al inglés",8,"2014/2015"
"UP TAMARACEITE","DICIEMBRE 2014","Iniciación a la guitarra",10,"2014/2015"
"UP CIUDAD ALTA","ENERO 2015","Yoga y técnicas de relajación",18,"2014/2015"
"UP CIUDAD ALTA","ENERO 2015","Reciclado de prendas de ropa con técnicas de patchwork",15,"2014/2015"
"UP CIUDAD ALTA","ENERO 2015","Elaborar bebé syra my doll house",20,"2014/2015"
"UP CIUDAD ALTA","ENERO 2015","Elaborar una brujita en goma eva",15,"2014/2015"
