"INVENTARIO","NOMBRE","AUTOR","VIAL","CALLE"
136,"MONUMENTO A JUAN RODRIGUEZ DORESTE  -  SANTIAGO VARGAS","SANTIAGO VARGAS JORGE","ESPACIO LIBRE","TRAMO VII AUT. MARITIMA  (3)"
137,"MONUMENTO A CAYO RAMIREZ","","PLAZA","VUELTA DE LOS TARAHALES"
138,"MONUMENTO A LUIS MOROTE GREUS - FCA. MELIAN CHIRINO 1994","FRANCISCA MELIAN CHIRINO","CALLE","LUIS MOROTE"
139,"MONUMENTO A LUJAN PEREZ (SIN COLOCAR) - SANTIAGO VARGAS 1995","SANTIAGO VARGAS JORGE","CALLE","OBISPO CODINA"
140,"MONUMENTO A AGUSTIN MILLARES TORRES (SIN COLOCAR)  S. VARGAS","SANTIAGO VARGAS JORGE","PLAZA","DE SAN AGUSTIN"
141,"MONUMENTO A DOMINGO J. NAVARRO  -  FATIMA CABRERA 1994","FATIMA CABRERA RODRIGUEZ","PLAZOLETA","MANUEL PADRON QUEVEDO"
142,"MONUMENTO A FELO MONZON  -  TONI GALLARDO 1995","TONY GALLARDO","AVENIDA","PINTOR FELO MONZON"
143,"MONUMENTO A RAFAEL O'SHANAHAN BRAVO DE LAGUNA  - PERERA 1995","JOSE PERERA VALIDO","PLAZA","DOCTOR RAFAEL O'SHANAHAN"
144,"MONUMENTO AL PINTOR MANOLO MILLARES  -  M. ALONSO 1993","MIGUEL ALONSO MU�OZ","PARQUE","MANOLO MILLARES"
145,"ANTIGUA FUENTE DE LAS ISLAS CANARIAS","","ESPACIO LIBRE","JARDINES PUERTOS ATLANTICOS"
146,"MONUMENTO A LOLITA PLUMA  -  ""FAVILA 1998""","AMADO GONZALEZ HEVIA (""FAVILA"")","PARQUE","SANTA CATALINA"
147,"LA PORTADA  -  MAXIMO RIOL CIMAS  1997","MAXIMO RIOL CIMAS","ROTONDA","TRAMO VI AUT.MARITIMA (TUNEL)"
148,"FUENTE PARQUE SANTA CATALINA","","PARQUE","SANTA CATALINA"
149,"LA MUJER Y SU SOMBRA  -  CESAR MANRIQUE 1990","CESAR MANRIQUE","PASEO","DE LAS CANTERAS"
150,"MONUMENTO A JACQUES COUSTEAU  -  MANOLO GONZALEZ 1998","MANUEL GONZALEZ","PASEO","DE LAS CANTERAS"
151,"ROCODROMO DE LOS JARDINES DE ALONSO QUESADA","","JARDINES","ALONSO QUESADA"
152,"MONUMENTO A LA VELA LATINA  -  JUAN ANTONIO GIRALDO 1998","JUAN ANTONIO GIRALDO","PLAZA","DIEGO CAMBRELENG MESA"
153,"BUSTO DE AGUSTIN DE BETHENCOURT","JUAN TRUJILLO","PARQUE","SANTA CATALINA"
154,"ALIANZA  -  FACUNDO FIERRO   1999","FACUNDO FIERRO","AVENIDA","JUAN XXIII"
155,"EL REFUGIO","","AVENIDA","JUAN RODRIGUEZ DORESTE"
156,"MONUMENTO A PEPE GONCALVEZ  -  TONY GALLARDO 1994","TONY GALLARDO","CALLE","FERRERAS"
157,"MONUMENTO A SAN JUAN BOSCO  1998","","CALLE","LEON Y CASTILLO"
158,"FUENTE DEL PARQUE HERMANOS MILLARES","","PARQUE","HERMANOS MILLARES"
159,"ROCODROMO DEL PARQUE DE LAS REHOYAS","","CARRETERA","DEL NORTE"
160,"FUENTE PARQUE DE LAS REHOYAS","","CARRETERA","DEL NORTE"
161,"FUENTE PARQUE DE LAS REHOYAS","","CARRETERA","DEL NORTE"
162,"CIRCO SILENCIOSO  -  PEP  DURAN 1998","PEP DURAN","PARQUE","SANTA CATALINA"
163,"MOMUMENTO A JUAN BRITO GARCIA     1999","","PASEO","DE SAN JOSE"
164,"""AL PADRECITO"" -  MAXIMO RIOL CIMAS 1999","MAXIMO RIOL CIMAS","PARQUE","DE LA MUSICA"
165,"MONUMENTO A DON BENITO PEREZ GALDOS  -  TEO MESA 2000","TEO MESA","PARQUE","DORAMAS"
166,"FUENTE PARQUE DORAMAS","","PARQUE","DORAMAS"
167,"FUENTE PLAZA FUERO REAL DE GRAN CANARIA","","PLAZA","DEL FUERO REAL DE GRANCANARIA"
168,"FUENTE DE LAS RANAS","","PLAZA","HURTADO DE MENDOZA"
169,"FUENTE EN LA PLAZA DE RAFAEL O'SHANAHANN","","PLAZA","DOCTOR RAFAEL O'SHANAHAN"
170,"FUENTE OCTOGONAL EN LA PLAZA DEL CASTILLO DE LA LUZ","","PLAZA","DEL CASTILLO DE LA LUZ"
171,"FUENTE CUADRUPLE EN LA PLAZA DEL CASTILLO DE LA LUZ","","PLAZA","DEL CASTILLO DE LA LUZ"
172,"MONUMENTO A ALFREDO KRAUS  -  VICTOR OCHOA 2001","VICTOR OCHOA","ESPACIO LIBRE","JARDINES PUERTOS ATLANTICOS"
173,"MONUMENTO A GREGORIO CHIL Y NARANJO  -  JUAN CORREA 2001","JUAN CORREA","CALLE","CALLEJONES"
174,"RELOJ DE SOL","PEDRO ROMERA","PARQUE","SANTA CATALINA"
175,"MONUMENTO AL DOCTOR JOSE PONCE ARIAS  -  JUAN DELGADO 1999","JUAN DELGADO","PLAZA","GABRIEL MEGIAS POMBO"
176,"MONUMENTO A ANTONIO LOPEZ BOTAS - JUAN CORREA BORDES 2001","JUAN CORREA","CALLE","CALLEJONES"
177,"HOMENAJE A LOS OLIMPICOS DE LA PROVINCIA DE LAS PALMAS","JUAN BORDES CABALLERO","PLAZA","ALCARAVANERAS"
178,"CRUZ DEL CEMENTERIO DE VEGUETA","MANUEL PONCE DE LEON","CALLE","CALLEJONES"
179,"DOLOROSA (CEMENTERIO DE VEGUETA)","","CALLE","CALLEJONES"
180,"SAN JUAN EVANGELISTA (CEMENTERIO DE VEGUETA)","","CALLE","CALLEJONES"
181,"ARTE (FACHADA CASA CONSISTORIAL)","BOUTELLIER","PLAZA","DE SANTA ANA"
182,"COMERCIO (FACHADA CASA CONSISTORIAL)","BOUTELLIER","PLAZA","DE SANTA ANA"
183,"NAVEGACION (FACHADA CASA CONSISTORIAL)","BOUTELLIER","PLAZA","DE SANTA ANA"
184,"AGRICULTURA (FACHADA CASA CONSISTORIAL)","BOUTELLIER","PLAZA","DE SANTA ANA"
185,"SIN TITULO","PUEDE ATRIBUIRSE A MIGUEL RODRIGUEZ","CALLE","PRACTICANTE ANTONIO HENRIQUEZ"
186,"BUSTO DE AGUSTIN MILLARES CARLO - JUAN BORGES LINARES 1993","JUAN BORGES LINARES","CALLE","PEREZ DEL TORO"
187,"LADY HARIMAGUADA  -  MARTIN CHIRINO 1996","MARTIN CHIRINO","PLAZA","ESCULTOR MARTIN CHIRINO"
188,"DON JOSE PEROJO Y FIGUERAS  -  FACUNDO FIERRO 2000","FACUNDO FIERRO","PLAZA","PADRE HILARIO"
189,"MACETEROS DE LA PLAZA DE SANTA ANA","","PLAZA","DE SANTA ANA"
190,"PORTICO DEL CEMENTERIO DE VEGUETA","","CALLE","CALLEJONES"
191,"CABEZAS DE LEON DE LAS PLAZA DE SANTA ANA","ALFRED JACQUEMART","PLAZA","DE SANTA ANA"
192,"PLACA CONMEMORATIVA LA FACHADA ERMITA DE SAN ANTONIO ABAD","","PLAZA","SAN ANTONIO ABAD"
193,"LAPIDA CONMEMORATIVA DE LA CASA BENITO PEREZ GALDOS","","CALLE","BENITO PEREZ GALDOS, ESCRITOR"
194,"LAPIDA EN HONOR A DON JOSE DE VIERA Y CLAVIJO","","PLAZA","DE SANTA ANA"
195,"LAPIDA EN HONOR A LUJAN PEREZ EN LA FACHADA DE LA CATEDRAL","","PLAZA","DE SANTA ANA"
196,"PLACA SAN NICOLAS","","CALLE","SAN NICOLAS"
197,"MONUMENTO AL CAPITAN ETAYO  (CESION DE USO)","JOSE DE ARMAS","PARQUE","SANTA CATALINA"
198,"MONUMENTO A JUAN BRAVO MURILLO","ANA LUISA BENITEZ SUAREZ","PASEO","TOMAS MORALES"
200,"ESCULTURA ""EL PESCADOR""","SEBASTIAN M. NAVARRO BETANCOR (CHANO NAVARRO)","PLAZA","HERMANOS MOMO"
202,"""NI�OS JUGANDO CON AGUA""","ANA LUISA BENITEZ SUAREZ","PLAZOLETA","DE FARRAY"
203,"ESCULTURA ""SE�ORA DE COMPRA""","MAGDALENA JUAN RIJO","CALLE","MENDIZABAL"
204,"ESCULTURA ""HOMENAJE A LA TRAVESIA PE�A LA VIEJA""","MIGUEL PANADERO ESCALA","PASEO","DE LAS CANTERAS"
205,"THEMIS EN EL JARDIN DE LAS HESPERIDES","LEOPOLDO EMPERADOR","PLAZA","DE SANTA ISABEL"
206,"MONUMENTO A SANTIAGO GARCIA DIAZ ""CHARLOT""","MANUEL GONZALEZ","PLAZA","SANTIAGO GARCIA DIAZ"
207,"HOMENAJE A NESTOR ALAMO","ANA LUISA BENITEZ SUAREZ","CALLE","HERRERIA"
208,"ESCUDO DE LAS PALMAS DE GRAN CANARIA","ANTONIO CARDONA","PLAZA","DE SANTA ANA"
211,"FUENTE DE LA MINILLA - SIN TITULO","JUAN CORREA BORDES","PLAZA","DR. CESAREO ROSAS RODRIGUEZ"
212,"CONJUNTO DECORATIVO PLAZA DE SANTA ISABEL","JOSE LUIS GARCIA ALVAREZ","PLAZA","DE SANTA ISABEL"
213,"BENITO PEREZ GALDOS","ANA LUISA BENITEZ SUAREZ","PLAZA","DE DON BENITO"
214,"PLACA CONMEMORATIVA A ISABEL II","ANONIMO","CALLE","MENDIZABAL"
215,"PIEDRA ROJA","TONY GALLARDO","CALLE","CANDELARIA DE LEON"
216,"FUENTE EN PLAZA DE ESPA�A - MESA Y LOPEZ","","CALLE","OLOF PALME"
217,"PLANETA ELLA","CARMELA GARCIA","JARDINES","NICOLAS MARIA RUBIO"
218,"""CALOR"", HOMENAJE A FELO MONZON","MAXIMO RIOL CIMAS","AVENIDA","PINTOR FELO MONZON"
219,"IDEOGRAMA","JUAN HIDALGO","CALLE","HOYA DEL ENAMORADO"
220,"MONUMENTO CONMEMORATIVO A SCHAMANN","","PASEO","SAN ANTONIO"
221,"FUENTE EN LA PLAZA DEL EDIFICIO WOERMANN","","CALLE","EDUARDO BENOT"
222,"CORDIALIDAD","JUAN JOSE GIL","CALLE","CARVAJAL"
