"dc:identifier";"dc:modified";"geo:lat";"geo:long";"id";"lpgc:nombre_parada"
"1899";"2017-10-31 12:01:30";"28.150375";"-15.422071";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1899";"MANUEL BECERRA"
"1898";"2017-10-31 12:01:30";"28.07147";"-15.455304";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1898";"INGENIERÍAS"
"1897";"2017-10-31 12:01:30";"28.102137";"-15.42247";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1897";"C/ SIERRA NEVADA (SAN FRANCISCO)"
"1895";"2017-10-31 12:01:30";"28.102898";"-15.413322";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1895";"LATERAL NORTE - MERCADO VEGUETA"
"1894";"2017-10-31 12:01:30";"28.119217";"-15.44465";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1894";"HOSPITAL DR. NEGRÍN (CONSULTAS EXTERNAS)"
"1892";"2017-10-31 12:01:30";"28.067385";"-15.429117";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1892";"C/ SALAMANCA, 171 (PEDRO HIDALGO)"
"1799";"2017-10-31 12:01:30";"28.1085";"-15.42075";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1799";"PASEO TOMAS MORALES, 4"
"1797";"2017-10-31 12:01:30";"28.093678";"-15.461159";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1797";"C/ CUESTA BLANCA, 34"
"1795";"2017-10-31 12:01:30";"28.094713";"-15.460586";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1795";"C/ CUESTA BLANCA, FRENTE 11"
"1793";"2017-10-31 12:01:30";"28.090166";"-15.479367";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1793";"C/ LÁZARO DE ORTEGA, 39"
"1791";"2017-10-31 12:01:30";"28.09192";"-15.478608";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1791";"C/ LÁZARO  DE ORTEGA (CIUDAD DEL CAMPO)"
"1789";"2017-10-31 12:01:30";"28.125149";"-15.440323";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1789";"AVDA. GARCIA LORCA, 17"
"1788";"2017-10-31 12:01:30";"28.074095";"-15.446685";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1788";"CTRA. PICO VIENTO (ASILO DE ANCIANOS)"
"1787";"2017-10-31 12:01:30";"28.07416";"-15.446978";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1787";"CTRA. PICO VIENTO (ASILO DE ANCIANOS)"
"1786";"2017-10-31 12:01:30";"28.084835";"-15.436839";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1786";"CARRETERA SUBIDA A TAFIRA (LA FAVORITA)"
"1785";"2017-10-31 12:01:30";"28.152294";"-15.421606";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1785";"C/ ROQUE NUBLO, 4"
"1783";"2017-10-31 12:01:30";"28.108276";"-15.463409";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1783";"C/ DOÑA JUANA MARRERO, 70"
"1781";"2017-10-31 12:01:30";"28.107607";"-15.461569";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1781";"C/ DOÑA JUANA MARRERO, FRENTE 11"
"1780";"2017-10-31 12:01:30";"28.092838";"-15.461084";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1780";"C/ CUESTA BLANCA, 41"
"1779";"2017-10-31 12:01:30";"28.127934";"-15.438761";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1779";"AVDA. GARCIA LORCA, FRENTE 14"
"1778";"2017-10-31 12:01:30";"28.094748";"-15.460491";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1778";"C/ CUESTA BLANCA, 9"
"1777";"2017-10-31 12:01:30";"28.129238";"-15.439778";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1777";"C/ HABANA, 28"
"1776";"2017-10-31 12:01:30";"28.10822";"-15.463065";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1776";"C/ DOÑA JUANA MARRERO, 61"
"1775";"2017-10-31 12:01:30";"28.094044";"-15.45892";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1775";"C/ EL OLIVO (CARRETERA DE ALMATRICHE) "
"1774";"2017-10-31 12:01:30";"28.107498";"-15.461702";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1774";"C/ DOÑA JUANA MARRERO, 13"
"1773";"2017-10-31 12:01:30";"28.118095";"-15.443576";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1773";"C/ LEOPOLDO ALONSO "
"1772";"2017-10-31 12:01:30";"28.125559";"-15.438685";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1772";"C/ PINTOR JUAN GUILLERMO (C.C. LA MINILLA)"
"1771";"2017-10-31 12:01:30";"28.076283";"-15.476417";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1771";"CARRETERA SAN LORENZO 254"
"1770";"2017-10-31 12:01:30";"28.127485";"-15.437619";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1770";"C/ PINTOR JUAN GUILLERMO, FRENTE 19"
"1769";"2017-10-31 12:01:30";"28.081514";"-15.47814";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1769";"CARRETERA SAN LORENZO, 188"
"1768";"2017-10-31 12:01:30";"28.12935";"-15.439592";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1768";"C/ HABANA, 27"
"1767";"2017-10-31 12:01:30";"28.086151";"-15.478948";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1767";"CARRETERA SAN LORENZO, 154"
"1766";"2017-10-31 12:01:30";"28.09385";"-15.45905";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1766";"C/ OLIVO (CARRETERA DE ALMATRICHE)"
"1765";"2017-10-31 12:01:30";"28.088425";"-15.478905";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1765";"CARRETERA SAN LORENZO, 124"
"1764";"2017-10-31 12:01:30";"28.075817";"-15.474033";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1764";"CARRETERA SAN LORENZO, 282"
"1763";"2017-10-31 12:01:30";"28.093287";"-15.477993";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1763";"CARRETERA NUEVA DE SAN LORENZO (GASOLINERA)"
"1762";"2017-10-31 12:01:30";"28.076183";"-15.47265";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1762";"C/ LORENZO SUAREZ RIVERO, 22"
"1761";"2017-10-31 12:01:30";"28.09635";"-15.473686";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1761";"CARRETERA NUEVA DE SAN LORENZO"
"1760";"2017-10-31 12:01:30";"28.073584";"-15.46825";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1760";"C/ LORENZO SUÁREZ RIVERO, FRENTE 51"
