DILIG, LUGAR, ALTURA_DE, FECHA, HORA, VEHICULOS, HERIDOS, DESTINO, COLISION, INFR_COND, INFR_PEAT, DENUNCIAS
"94","AVDA. ESCALERITAS","128","08/01/2016","11:40","2","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"96","ACCESO DESDE EL C.C. EL MUELLE","RAMBLAS DE JINAMAR","05/01/2016","18:00","2","2","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"97","AVDA. ESCALERITAS","PASEO DE CHIL","05/01/2016","15:15","2","1","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"98","PINTOR JUAN GUILLERMO","1","05/01/2016","16:00","1","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"99","AVDA. GUILLERMO SANTANA RIVERO","39","05/01/2016","17:30","2","1","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"101","AVDA. RAFAEL CABRERA","14","05/01/2016","15:10","2","1","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"102","PIO XII","NUMERO 61-A","06/01/2016","12:15","1","0","Jefatura","Colisión","Conducción distraída","Ninguna infracción","0"
"103","ROTONDA DE LA AVIACION","CC LAS ARENAS","05/01/2016","11:55","2","0","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"104","DOCTOR MIGUEL ROSAS","27","05/01/2016","10:00","2","0","Jefatura","Colisión","Maniobras de marcha atrás","Ninguna infracción","0"
"105","ROTONDA HOSPITAL DR NEGRIN","","05/01/2016","15:00","2","1","Jefatura","Colisión","No cumplir la señal de 'Ceda el Paso'","Ninguna infracción","0"
"106","ALFREDO L.JONES","NUM.33","06/01/2016","15:40","2","2","Jefatura","Colisión","No respetar prioridad","Ninguna infracción","0"
"107","PLAZA DE LAS AMERICAS","SALIDA NORTE","06/01/2016","23:45","2","4","Jefatura","Colisión","No respetar prioridad","Ninguna infracción","0"
"109","JUAN MANUEL DURAN GONZALEZ","LEON TOLSTOI","07/01/2016","11:20","2","3","Jefatura","Colisión","No respetar indicaciones semáforo","Ninguna infracción","0"
"111","CRONISTA BENITEZ INGLOTT","AVD. DE ESCALERITAS","13/01/2016","07:25","5","0","Jefatura","Colisión","Otros factores o infracciones","Ninguna infracción","0"
"112","AGUSTINA DE ARAGON","143","09/01/2016","23:00","1","1","Jefatura","Colisión","Velocidad inadecuada","Ninguna infracción","0"
"113","PARKIN AEREO C.C. LA BALLENA","","09/01/2016","17:25","2","0","Jefatura","Colisión","Conducción distraída","Ninguna infracción","0"
"114","AVDA. JUAN XXIII","PEREZ DEL TORO","09/01/2016","04:10","1","1","Jefatura","Salida de la vía","Alcohol o drogas","Ninguna infracción","0"
"115","CONCEJAL GARCIA FEO","8","12/01/2016","15:30","2","1","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"116","PELOTA","1","09/01/2016","13:05","1","0","Jefatura","Salida de la vía","Estado o condición de la vía","Ninguna infracción","0"
"119","AVDA. ESCALERITAS","504 VVDAS. EN JINAMAR","09/01/2016","12:40","1","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"120","INGENIERO SALINAS Nº 6","","13/01/2016","15:05","2","0","Juzgado","Colisión","Sin definir","Ninguna infracción","0"
"121","ANDRES RAMOS","NUM.1","12/01/2016","13:05","2","0","Jefatura","Colisión","Conducción distraída","Ninguna infracción","0"
"122","CARRETERA DE CHILE","FRENTE AL NUM.102 BAJADA","12/01/2016","22:45","1","1","Jefatura","Otros","Estado o condición de la vía","Ninguna infracción","0"
"123","JUAN MANUEL DURAN GONZALEZ","VIRIATO","13/01/2016","16:50","2","1","Jefatura","Colisión","No cumplir la señal de 'Stop'","Ninguna infracción","0"
"124","FERNANDO GUANARTEME","101","12/01/2016","18:30","2","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"125","AVDA. ANSITE","JOAQUIN BLUME","09/01/2016","11:30","2","1","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"126","DOCTOR JUAN DOMINGUEZ PEREZ","RESTAURANTE HERMANOS GARCIA","12/01/2016","14:00","2","0","Jefatura","Colisión","Otros factores o infracciones","Ninguna infracción","0"
"127","CARRETERA DEL NORTE","CENTRO COMERCIAL LA BALLENA","09/01/2016","12:15","2","0","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"128","PIO XII","42","12/01/2016","14:30","1","0","Jefatura","Salida de la vía","Sin definir","Ninguna infracción","0"
"129","PARKING","CENTRO COMERCIAL MIRADOR","12/01/2016","15:00","2","0","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"130","JUAN SEBASTIAN BACH","BLOQUE 6","04/01/2016","19:45","2","2","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"131","OBISPO ROMO","25","12/01/2016","07:57","1","1","Jefatura","Otros","Estado o condición de la señalización","Ninguna infracción","0"
"132","HORTENSIA","NARDO","12/01/2016","07:00","1","1","Jefatura","Atropello","No respetar paso de peatones","Ninguna infracción","0"
"134","AVDA. ESCALERITAS","DOCTOR MARAÑON","13/01/2016","22:23","2","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"136","ANDAMANA","LA NAVAL","12/01/2016","12:00","2","2","Jefatura","Colisión","No cumplir la señal de 'Stop'","Ninguna infracción","0"
"137","AVDA. EUFEMIANO JURADO","CORDOBA","13/01/2016","07:48","2","1","Jefatura","Colisión","No cumplir la señal de 'Ceda el Paso'","Ninguna infracción","0"
"138","SANTA MARIA DE LA CABEZA","31","13/01/2016","19:30","2","0","Jefatura","Colisión","Otros factores o infracciones","Ninguna infracción","0"
"139","AVDA. ALCALDE JOSE RAMIREZ BETHENCOURT","PLAZA FUERO REAL DE GRAN CANARIA","13/01/2016","09:00","2","0","Jefatura","Colisión","No respetar prioridad","Ninguna infracción","0"
"140","AVDA. ALCALDE JOSE RAMIREZ BETHENCOURT","CARVAJAL","13/01/2016","09:00","2","0","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"141","AVDA. JUAN XXIII","","13/01/2016","18:00","2","0","Jefatura","Colisión","No respetar prioridad","Ninguna infracción","0"
"142","CADIZ","DON PEDRO INFINITO","13/01/2016","20:40","2","1","Jefatura","Colisión","Conducción distraída","Ninguna infracción","0"
"144","GC-23","KM 4","13/01/2016","12:50","2","0","Jefatura","Colisión","Entrar sin precaución en la circulación","Ninguna infracción","0"
"145","CARRETERA LAS PERRERAS","33","13/01/2016","07:55","3","2","Jefatura","Colisión","Conducción distraída","Ninguna infracción","0"
"146","PIZARRO","10","13/01/2016","14:50","2","1","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"147","AVDA. JUAN CARLOS I","HOSPITAL DE GRAN CANARIA 'DOCTOR NEGRIN'","14/01/2016","09:45","3","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"148","ALBAREDA","PADRE CUETO","12/01/2016","21:05","2","3","Jefatura","Colisión","No respetar indicaciones semáforo","Ninguna infracción","0"
"150","PASEO TOMAS MORALES","BRAVO MURILLO","14/01/2016","11:30","2","0","Jefatura","Colisión","Otros factores o infracciones","Ninguna infracción","0"
"151","SECRETARIO PADILLA","60 VVDAS. EN JINAMAR","14/01/2016","20:00","1","1","Jefatura","Atropello","No respetar prioridad","Ninguna infracción","0"
"152","SAN JOSE ARTESANO","15","14/01/2016","21:10","1","1","Jefatura","Colisión","No respetar paso de peatones","Ninguna infracción","0"
"154","AVDA. JUAN CARLOS I","HOSPITAL DE GRAN CANARIA 'DOCTOR NEGRIN'","15/01/2016","08:30","2","1","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"155","MAGDALENA","15","15/01/2016","11:15","2","0","Jefatura","Colisión","Conducción distraída","Ninguna infracción","0"
"156","LEON Y CASTILLO NUM.270","INTERIOR DEL PARKING DE SAGULPA","13/01/2016","12:00","2","0","Jefatura","Colisión","Otros factores o infracciones","Ninguna infracción","0"
"157","AVDA. ALCALDE JOSE RAMIREZ BETHENCOURT","23","15/01/2016","18:05","4","1","Jefatura","Colisión","Conducción distraída","Ninguna infracción","0"
"158","AVDA. ESCALERITAS","URB. SANSOFE","15/01/2016","15:50","2","1","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"159","ACONCAGUA","25","15/01/2016","22:50","3","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"160","EDUARDO BENOT","41","15/01/2016","23:30","2","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"170","BATERIA DE SAN JUAN","3","17/01/2016","12:00","1","1","Jefatura","Atropello","Maniobras de marcha atrás","Ninguna infracción","0"
"172","LEON Y CASTILLO","421","14/01/2016","12:00","1","1","Jefatura","Colisión","Mal estado del vehículo","Ninguna infracción","0"
"173","PINTOR FELO MONZON","Nº41","15/01/2016","17:15","2","0","Jefatura","Colisión","No respetar prioridad","Ninguna infracción","0"
"175","CTRA A LAS TORRES","ARCHIVERO JOAQUIN BLANCO MONTESDEOCA","15/01/2016","11:30","2","1","Jefatura","Colisión","No cumplir la señal de 'Stop'","Ninguna infracción","0"
"179","CEBRIAN","CANALEJAS","16/01/2016","18:15","2","0","Jefatura","Colisión","No cumplir la señal de 'Stop'","Ninguna infracción","0"
"180","CTRA. VECINAL DE LA MILAGROSA","282","17/01/2016","21:45","1","1","Jefatura","Salida de la vía","Conducción distraída","Ninguna infracción","0"
"181","AVDA. GUILLERMO SANTANA RIVERO","PUENTE DELA FERIA","17/01/2016","15:50","2","1","Jefatura","Colisión","No respetar prioridad","Ninguna infracción","0"
"182","CHURRUCA","Nº2","16/01/2016","23:00","2","0","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"183","VICTOR HUGO","44","17/01/2016","16:15","2","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"184","PIO XII","ACCESO TUNEL JULIO LUENGO","17/01/2016","12:40","1","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"186","AVDA. PINTOR JUAN GUILLERMO","47","15/01/2016","14:10","2","0","Jefatura","Colisión","Maniobras de marcha atrás","Ninguna infracción","0"
"187","GARCIA TELLO","31","14/01/2016","12:30","2","0","Jefatura","Colisión","Conducción distraída","Ninguna infracción","0"
"188","JUAN MANUEL DURAN GONZALEZ","","15/01/2016","12:15","1","1","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"189","AVENIDA JOSE MESA Y LOPEZ","62","18/01/2016","09:05","1","1","Jefatura","Atropello","Otros factores o infracciones","Ninguna infracción","0"
"190","EUFEMIANO FUENTES CABRERA","35","18/01/2016","12:25","1","1","Jefatura","Atropello","Circular dirección prohibida","Ninguna infracción","1"
"191","PASEO TOMAS MORALES","OBISPO ENCINA","15/01/2016","19:52","2","1","Jefatura","Colisión","No cumplir la señal de 'Stop'","Ninguna infracción","0"
"192","LEON Y CASTILLO","310 PLAZA DE LA ARMADA","15/01/2016","19:15","2","2","Jefatura","Colisión","No cumplir la señal de 'Stop'","Ninguna infracción","0"
"193","LUCY CABRERA SUAREZ (CANTANTE LIRICA)","ROTONDA CRUZ DEL OVEJERO","11/11/2016","08:15","2","0","Jefatura","Colisión","Sin infracción","Ninguna infracción","0"
"195","CAPITAN GENERAL IGNA","S/N","18/01/2016","16:50","2","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"196","ROTONDA DEL RINCON AVIADOR","","18/01/2016","11:40","2","0","Jefatura","Colisión","No respetar prioridad","Ninguna infracción","0"
"197","VIA 8010","TAMARCO","18/01/2016","13:35","2","0","Jefatura","Colisión","Adelantar antirreglamentariamente","Ninguna infracción","0"
"198","LUIS BENITEZ INGLOTT","CEIP GRAN CANARIA","18/01/2016","17:45","1","1","Jefatura","Atropello","Sin definir","Cruzar la vía antirreglamentariamente","0"
"199","ECHEGARAY","PARROCO VILLAR REINA","18/01/2016","02:00","2","0","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"202","ALONSO QUINTERO","REYES CATOLICOS","19/01/2016","09:40","1","1","Jefatura","Atropello","Conducción distraída","Ninguna infracción","0"
"203","EDUARDO BENOT","25","19/01/2016","10:30","2","1","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"204","PINTOR JOSE JORGE ORAMAS","S/N","19/01/2016","18:00","1","1","Juzgado","Salida de la vía","Inexperiencia del conductor","Ninguna infracción","0"
"205","ANTON DVORAK","NUMERO 12","19/01/2016","23:50","2","0","Juzgado","Colisión","Sin definir","Ninguna infracción","0"
"209","GC-1 AM","KM 8.30 N/S","18/01/2016","18:40","4","0","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"211","AVDA. DE JUAN CARLOS I","NARDO","19/01/2016","18:20","2","1","Jefatura","Colisión","No respetar prioridad","Ninguna infracción","0"
"212","AVDA. PINTOR FELO MONZON","CC HIPERCOR","19/01/2016","09:30","2","1","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"213","VIRGEN DEL PILAR","30","20/01/2016","12:45","4","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"216","PARKIN SAGULPA EDIFICIO ELDER","PARQUE DE SANTA CATALINA","13/01/2016","07:57","2","0","Jefatura","Colisión","Maniobras de marcha atrás","Ninguna infracción","0"
"218","GC-1","KM.4 (SENTIDO NORTE)","19/01/2016","13:10","2","0","Jefatura","Colisión","Otros factores o infracciones","Ninguna infracción","0"
"219","ROTONDA HOSPITAL NEGRIN","","19/01/2016","22:00","2","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"220","ROTONDA FERNANDO GIMENEZ NAVARRO","AVD. DE ESCALERITAS","21/01/2016","09:00","2","1","Juzgado","Colisión","No respetar prioridad","Ninguna infracción","0"
"222","HINOJO","23","20/01/2016","08:45","2","0","Jefatura","Colisión","Entrar sin precaución en la circulación","Ninguna infracción","0"
"223","VIRGEN DEL PILAR","41","20/01/2016","09:00","2","0","Jefatura","Colisión","Conducción distraída","Ninguna infracción","0"
"224","AVDA. PINTOR FELO MONZON","ARCHIVERO JOAQUIN BLANCO MONTESDEOCA","20/01/2016","20:00","2","0","Jefatura","Colisión","No respetar prioridad","Ninguna infracción","0"
"225","ROTONDA MARIO CESAR","S/N","21/01/2016","12:05","2","0","Jefatura","Colisión","No respetar prioridad","Ninguna infracción","0"
"226","JUAN HIDALGO (ARTISTA VISUAL)","12","20/01/2016","14:30","2","1","Jefatura","Colisión","No respetar prioridad","Ninguna infracción","0"
"227","AVDA. DE ESCALERITAS","ACCESO A LA ROTONDA DEL VIGIA","20/01/2016","19:35","2","0","Jefatura","Colisión","Conducción distraída","Ninguna infracción","0"
"228","CTRA. SAN LORENZO","PKM 4.8","20/01/2016","19:00","2","0","Jefatura","Colisión","Otros factores o infracciones","Ninguna infracción","0"
"229","AVDA. HOYA DE LA GALLINA","CEMENTERIO SAN LAZARO","20/01/2016","17:05","2","3","Jefatura","Colisión","Conducción distraída","Ninguna infracción","0"
"230","PLAZA DE TEGOYO","CORDOBA","19/01/2016","12:30","2","1","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"231","PIO XII","VELAZQUEZ","20/01/2016","11:15","2","0","Jefatura","Colisión","No cumplir la señal de 'Stop'","Ninguna infracción","0"
"232","PARKING","VIRGEN DE LORETO","21/01/2016","00:45","2","0","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"233","DOCTOR ALFONSO CHISCANO DIAZ","ACCESO DE CONSULTAS EXTERNAS HOSPITAL DE GRAN","21/01/2016","14:20","2","1","Jefatura","Colisión","No cumplir la señal de 'Stop'","Ninguna infracción","0"
"236","LENTISCO","NUMERO 11","22/01/2016","03:30","4","0","Juzgado","Colisión","Sin definir","Ninguna infracción","0"
"237","EXCMO SR. CAPITAN GENERAL GUTIERRZ MELLADO","27","22/01/2016","06:40","2","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"238","PLAZA FUERO REAL DE GRAN CANARIA","FUENTE LUMINOSA","21/01/2016","15:50","2","1","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"239","APARCAMIENTO DEL CC LA MINILLA","","20/01/2016","16:30","2","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"240","LUIS DORESTE SILVA","25","22/01/2016","11:00","2","2","Jefatura","Colisión","No cumplir la señal de 'Ceda el Paso'","Ninguna infracción","0"
"241","PUENTE AEREO DE LA FERIA","S/N","21/01/2016","08:20","2","2","Jefatura","Colisión","Conducción distraída","Ninguna infracción","0"
"242","AVDA. JUAN CARLOS I","NUM.13","09/01/2016","10:30","2","0","Jefatura","Colisión","Otros factores o infracciones","Ninguna infracción","0"
"243","LEON Y CASTILLO","375","21/01/2016","17:30","3","0","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"244","LEON Y CASTILLO","229","21/01/2016","16:40","2","0","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"245","TRIANA","SAN TELMO","21/01/2016","13:15","2","3","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"246","CARRETERA DEL NORTE","162","20/01/2016","20:00","2","0","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"247","ROTONDA DEL VIGIA, ACCESO","AVDA. ESCALERITAS - TARAHALES","21/01/2016","20:40","2","1","Jefatura","Colisión","No respetar prioridad","Ninguna infracción","0"
"248","JUAN REJON","PEREZ MUÑOZ","21/01/2016","22:50","2","1","Jefatura","Colisión","No respetar indicaciones semáforo","Ninguna infracción","0"
"250","VEINTINUEVE DE ABRIL","78","22/01/2016","00:45","2","2","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"251","PELOTA","LOCAL 10","19/01/2016","10:30","1","0","Jefatura","Salida de la vía","No mantener el intervalo seg.","Ninguna infracción","0"
"252","PASEO TOMAS MORALES","60 VVDAS. EN JINAMAR","20/01/2016","09:00","3","1","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"253","PASEO DE CHIL","228","22/01/2016","13:15","2","1","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"254","AVDA. PINTOR FELO MONZON","ROTONDA, ANTERIOR A LA ROTONDA GASOLINERA","22/01/2016","19:55","2","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"255","GC-1 - AUTOVIA MARITIMA - P.K. 5.900","","22/01/2016","15:40","2","2","Jefatura","Atropello","Otros factores o infracciones","Cruzar la vía antirreglamentariamente","1"
"259","GC.310","CARRETERAS EL DRAGONAL 38","22/01/2016","19:15","2","4","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"265","SARGENTO PROVISIONAL","1","24/01/2016","06:50","1","0","Jefatura","Salida de la vía","Sin definir","Ninguna infracción","0"
