"DILIG","LUGAR","ALTURA_DE","FECHA","HORA","VEHICULOS","HERIDOS","DESTINO","COLISION","INFR_COND","INFR_PEAT","DENUNCIAS"
4653,"AVDA. JOSE MESA Y LOPEZ","OLOF PALME",04/12/2011,"17:15",2,0,"Jefatura","Colisión","Circular dirección prohibida","Ninguna infracción",0
4654,"ENTRADA TUNEL JULIO LUENGO","SENTIDO NORTE",04/12/2011,"19:00",2,1,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4655,"AVDA. GUILLERMO SANTANA RIVERO",,03/10/2011,"21:10",1,1,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4656,"ROTONDA DE ALMATRICHE","DESDE LA GC 23",05/12/2011,"20:40",2,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4657,"SECRETARIO PADILLA","CHURRUCA",06/12/2011,"11:45",2,0,"Jefatura","Colisión","Otros factores o infracciones","Ninguna infracción",0
4658,"AVDA. ESCALERITAS","111",06/12/2011,"15:15",2,3,"Juzgado","Colisión","Alcohol o drogas","Ninguna infracción",0
4660,"PASEO DE SAN JOSE","NUM. 34- DIRECCION SUR",06/12/2011,"22:30",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4661,"LUIS MOROTE","DOCTOR MIGUEL ROSAS",06/12/2011,"03:20",2,0,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
4663,"CARRETERA DE LA MILAGROSA","NUM. 99",07/12/2011,"00:45",1,1,"Jefatura","Salida de la vía","Conducción distraída","Ninguna infracción",0
4664,"LOMO SAN LAZARO","NUMERO 4",07/12/2011,"03:45",2,0,"Juzgado","Colisión","Sin definir","Ninguna infracción",0
4665,"AUTOVIA NORTE-SUR","TUNEL 'JULIO LUENGO'",05/12/2011,"14:00",2,0,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
4666,"LENTINI","4",05/12/2011,"13:10",2,1,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4667,"FERRERAS","FRENTE AL 16",04/12/2011,"03:30",1,1,"Jefatura","Atropello","Sin infracción","No utilizar paso de peatones",0
4668,"DIEGO VEGA SARMIENTO","ALFREDO BESCOS (ARQUITECTO)",07/12/2011,"08:10",2,2,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4669,"PRESIDENTE ALVEAR","23",03/12/2011,"16:30",1,1,"Jefatura","Atropello","Conducción distraída","Ninguna infracción",0
4670,"NICOLAS ESTEVANEZ","TOMAS MILLER",03/12/2011,"21:00",2,3,"Jefatura","Colisión","No cumplir la señal de 'Stop'","Ninguna infracción",0
4671,"RAFAEL ALMEIDA","FERNANDO GUANARTEME",04/12/2011,"01:50",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4672,"SOR MERCEDES","SAMARA",04/12/2011,"13:35",3,1,"Jefatura","Colisión","No cumplir la señal de 'Stop'","Ninguna infracción",0
4673,"URB. RESIDENCIAL REINA MERCEDES","ROTONDA REINA MERCEDES",04/12/2011,"01:10",1,1,"Jefatura","Colisión","Inexperiencia del conductor","Ninguna infracción",0
4674,"GC-1 AM","PKM 7.1",05/12/2011,"16:20",2,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4675,"DIEGO DE ORDAZ","GASOLINERA",05/12/2011,"11:20",2,0,"Jefatura","Colisión","Sin infracción","Ninguna infracción",0
4678,"RUIZ DE ALDA","37",08/12/2011,"05:55",4,0,"Juzgado","Colisión","Alcohol o drogas","Ninguna infracción",0
4679,"AVENIDA JOSE MESA Y LOPEZ","GRAVINA",05/12/2011,"16:40",2,2,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4680,"AVDA. JOSE SANCHEZ PEÑATE ACCESO GC 2",,08/12/2011,"22:20",2,1,"Jefatura","Colisión","Velocidad inadecuada","Ninguna infracción",0
4683,"HERMANOS GARCIA DE LA TORRE","LEON Y CASTILLO",07/12/2011,"18:30",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4684,"ALBAREDA","56",09/12/2011,"11:30",2,0,"Jefatura","Colisión","Maniobras de marcha atrás","Ninguna infracción",0
4686,"ROTONDA HOSPITAL DR. NEGRIN",,09/12/2011,"13:20",2,1,"Jefatura","Colisión","No respetar prioridad","Ninguna infracción",0
4687,"MONTEVIDEO","URUGUAY",09/12/2011,"11:50",2,0,"Jefatura","Colisión","No cumplir la señal de 'Stop'","Ninguna infracción",0
4692,"MURGA","17",10/12/2011,"11:30",2,0,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
4694,"AV D. DE JOAN Y VICTOR JARA",,10/12/2011,"15:15",2,2,"Jefatura","Colisión","Velocidad inadecuada","Ninguna infracción",0
4697,"GC.1 AM S-N ACCESO AVDA. JUAN XXIII",,11/12/2011,"00:30",2,1,"Jefatura","Colisión","No respetar prioridad","Ninguna infracción",0
4698,"CAMPUS UNIVERSITARIO TAFIRA","EDIFICIO DE LA FACULTAD DE INFORMATICA",11/12/2011,"08:45",1,1,"Juzgado","Colisión","Alcohol o drogas","Ninguna infracción",0
4699,"GC-23","GC-3",11/12/2011,"16:00",2,2,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
4700,"AVDA. PRIMERO DE MAYO","PLAZA NUESTRA SEÑORA DEL PINO",11/12/2011,"22:35",1,1,"Jefatura","Atropello","Sin infracción","No respetar señal de peatones",0
4701,"PLAZA DE ESPAÑA",,11/12/2011,"20:40",2,0,"Jefatura","Colisión","No respetar prioridad","Ninguna infracción",0
4703,"SAN GABRIEL","9",09/12/2011,"13:15",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4705,"CTRA. GENERAL DEL NORTE","163",05/12/2011,"15:20",2,2,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4706,"LENTINI",,05/12/2011,"13:20",2,1,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4707,"PASEO DE SAN JOSE","216",12/12/2011,"12:00",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4709,"AVDA. ESCALERITAS","PASEO LA CORNISA",10/12/2011,"21:45",2,1,"Jefatura","Colisión","No respetar indicaciones semáforo","Ninguna infracción",0
4710,"JUAN REJON","PEREZ MUÑOZ",12/12/2011,"19:00",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4711,"C/. EL BATAN (SUPERMERCADO MERCADONA)","PARKING DESCUBIERTO MERCADONA",12/12/2011,"20:00",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4712,"GC.23","KM. 3",12/12/2011,"19:00",2,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4714,"SANTA BARBARA","27",02/12/2011,"20:15",2,0,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
4715,"TUNEL 'JULIO LUENGO'","SUR-NORTE",05/12/2011,"15:00",2,0,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
4716,"LENTINI","4",07/12/2011,"18:30",2,0,"Jefatura","Colisión","No respetar prioridad","Ninguna infracción",0
4717,"LUIS BENITEZ INGLOTT","26",12/12/2011,"21:40",1,0,"Jefatura","Otros","Sin infracción","Ninguna infracción",0
4718,"CUESTA RAMON","ACCESO MERCALASPALMAS",07/12/2011,"05:00",3,1,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4719,"SUAREZ NARANJO","101",13/12/2011,"13:10",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4720,"PROFESOR LOZANO","CATAMARCA",12/12/2011,"12:15",2,0,"Jefatura","Colisión","No cumplir la señal de 'Ceda el Paso'","Ninguna infracción",0
4721,"GC1","P.K. 6.9",30/11/2011,"07:30",2,1,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4722,"PLAZA APAREJADORES Y ARQUITECTOS TECNICOS",,09/12/2011,"07:20",2,0,"Jefatura","Colisión","No respetar prioridad","Ninguna infracción",0
4723,"AVDA. GUILLERMO SANTANA RIVERO","SARGENTO PROVISIONAL",12/12/2011,"16:00",2,0,"Jefatura","Colisión","No cumplir la señal de 'Ceda el Paso'","Ninguna infracción",0
4724,"JUAN SARAZA ORTIZ","23",13/12/2011,"20:00",1,1,"Jefatura","Atropello","Conducción distraída","Ninguna infracción",0
4726,"CALZADA LATERAL DEL NORTE","35",14/12/2011,"10:55",1,1,"Juzgado","Atropello","Otros factores o infracciones","No utilizar paso de peatones",0
4728,"MALAGA","23",11/12/2011,"22:50",3,2,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4729,"CTRA. DE MATA","PASEO SAN ANTONIO",12/12/2011,"12:00",1,2,"Jefatura","Colisión","Velocidad inadecuada","Ninguna infracción",0
4731,"FERNANDO GUANARTEME","NUMERO 96",15/12/2011,"04:45",4,1,"Juzgado","Colisión","Conducción distraída","Ninguna infracción",0
4732,"VALENCIA","62",15/12/2011,"13:10",2,0,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
4733,"ALBAREDA Nº 27","27",01/12/2011,"14:00",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4734,"EUSEBIO NAVARRO","69",15/12/2011,"09:45",2,0,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
4735,"FARNESIO","45",15/11/2011,"09:45",2,0,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
4736,"AVDA. DE AMURGA","504 VVDAS. EN JINAMAR",12/12/2011,"13:45",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4738,"AVDA. ESCALERITAS","55",05/12/2011,"21:40",2,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4739,"MALTESES","BINGO",16/12/2011,"03:30",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4740,"DOCTOR JIMENEZ NEYRA","COLEGIO GARCIA ESCAME",16/12/2011,"09:05",2,0,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
4741,"SIERRA NEVADA","SAN NICOLAS DE BARI",16/12/2011,"11:00",1,0,"Juzgado","Colisión","Alcohol o drogas","Ninguna infracción",0
4742,"CALLE ALAMEDA DE COLON","MURO",16/12/2011,"12:15",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4743,"GUARELA","15",16/12/2011,"06:00",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4744,"BERNARDO DE LA TORRE","7",16/12/2011,"19:00",5,0,"Juzgado","Colisión","Alcohol o drogas","Ninguna infracción",0
4745,"HOYA DEL ENAMORADO","LAS BORRERAS",16/12/2011,"15:00",2,4,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4746,"AVENIDA PINTOR FELO MONZON","NUM. 14",16/12/2011,"20:50",2,1,"Juzgado","Colisión","Alcohol o drogas","Ninguna infracción",0
4747,"TORRES LAS PALMAS","SUR - NORTE",17/12/2011,"03:28",2,1,"Juzgado","Colisión","Sin definir","Ninguna infracción",0
4748,"TUNEL 'JULIO LUENGO'",,17/12/2010,"13:05",2,2,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4749,"DOMINGO J NAVARRO","17",17/12/2011,"10:50",1,1,"Jefatura","Atropello","Otros factores o infracciones","Ninguna infracción",0
4750,"PASEO BLAS CABRERA FELIPE (FISICO)","S/N",17/12/2011,"10:15",1,1,"Jefatura","Atropello","No respetar paso de peatones","Ninguna infracción",0
4751,"SALVADOR MANRIQUE DE LARA","12",17/12/2011,"02:40",2,0,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
4752,"INCORPORACION ROTONDA PEDRO HIDALGO","AUTOVIA MARITIMO GC1 AM",05/12/2011,"10:50",2,2,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4753,"GENERAL VIVES","LUIS MOROTE",09/12/2011,"11:10",1,1,"Jefatura","Atropello","Conducción distraída","Ninguna infracción",0
4754,"AVDA. MARITIMA","PLAZA BELEN MARIA",09/12/2011,"10:20",2,0,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
4755,"AVDA. JOSE MESA Y LOPEZ","CHURRUCA",09/12/2011,"21:20",2,2,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
4756,"GC-23","PKM-0",09/12/2011,"12:15",2,0,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
4757,"MURO",,05/12/2011,"20:30",2,0,"Jefatura","Colisión","Otros factores o infracciones","Ninguna infracción",0
4758,"ROTONDA DE ACCESO A GC-23","SIETE PALMAS",17/12/2011,"19:00",2,1,"Juzgado","Colisión","Alcohol o drogas","Ninguna infracción",0
4760,"AVENIDA JUAN CARLOS I","23",18/12/2011,"18:05",2,0,"Juzgado","Colisión","Alcohol o drogas","Ninguna infracción",0
4761,"CARRETERA LAS COLORADAS","S/N",18/12/2011,"18:30",1,4,"Jefatura","Salida de la vía","Velocidad inadecuada","Ninguna infracción",0
4762,"VIRGEN DE FATIMA","NUMERO 12 - 14",17/12/2011,"22:20",2,0,"Jefatura","Colisión","Maniobras de marcha atrás","Ninguna infracción",0
4763,"GC-1 AM","KILOMETRO 8",16/12/2011,"18:20",4,2,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4764,"BRASIL","FORTUNY",19/12/2011,"09:20",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4765,"CTRA. GRAL DE ALMATRICHE","162",15/12/2011,"17:20",2,1,"Jefatura","Colisión","Entrar sin precaución en la circulación","Ninguna infracción",0
4766,"GC.1","INCORPORACION A JUAN XXIII",19/12/2011,"12:30",3,3,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4768,"AVDA. RAFAEL CABRERA","MUELLE LAS PALMAS",19/12/2011,"19:30",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4773,"ROTONDA HOSPITAL DOCTOR NEGRIN","SALIDA JULIO LUENGO",07/12/2011,"20:00",2,0,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
4774,"ROTONDA LAS BRUJAS",,07/12/2011,"16:30",2,0,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
4775,"LAS BORRERAS","8",07/12/2011,"18:30",2,0,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
4776,"ACCESO A LA GC- 3 DESDE ROTONDA ALMATRICHE",,07/12/2011,"13:50",2,1,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4777,"ANTON DVORAK","DEBUSSY",07/12/2011,"13:20",2,1,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4778,"TUNEL ACCESO GC-1","MERCADO VEGUETA",06/12/2011,"22:15",1,2,"Jefatura","Salida de la vía","Otros factores o infracciones","Ninguna infracción",0
4779,"PASEO DE SAN JOSE","256",06/12/2011,"10:30",1,1,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4780,"AVDA. MARITIMA","ACCESO RAFAEL CABRERA",06/12/2011,"20:00",1,1,"Jefatura","Otros","Estado o condición de la vía","Ninguna infracción",0
4781,"GC-2","KM. 0,700 DIRECCION ALCARAVANERAS",09/12/2011,"08:00",2,4,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
4782,"TUNERILLAS","CTRA. DEL NORTE",14/12/2011,"09:39",2,1,"Jefatura","Colisión","No cumplir la señal de 'Stop'","Ninguna infracción",0
4783,"GC-23","KM. 0 CON ROTONDA LAS AMERICAS",12/12/2011,"15:15",1,1,"Jefatura","Otros","Conducción distraída","Ninguna infracción",0
4787,"GC-23 KM 0","ROTONDA DE LAS AMERICAS",08/12/2011,"15:10",2,1,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4788,"INESILLA","TEODORO GOLFIN",08/12/2011,"23:45",2,4,"Jefatura","Colisión","No cumplir la señal de 'Stop'","Ninguna infracción",0
4789,"CC EL MIRADOR","APARCAMIENTO",09/12/2011,"15:15",3,1,"Jefatura","Colisión","No cumplir la señal de 'Ceda el Paso'","Ninguna infracción",0
4790,"CAYETANA MANRIQUE","65",10/12/2011,"16:50",2,0,"Jefatura","Colisión","Apertura de puertas sin precución","Ninguna infracción",0
4791,"GC-2","ACCESO GC-23",11/12/2011,"17:33",2,4,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4792,"ROTONDA AVDA. JUAN CARLOS I","NARDO",12/12/2011,"11:00",2,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4794,"ROTONDA APAREJADORES, INGENIEROS Y ARQUITECTO","ENTRADA TUNEL JULIO LUENGO",12/12/2011,"08:25",3,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4796,"PASEO BLAS CABRERA FELIPE (FISICO)","VILLA ZARAUZ",12/12/2011,"15:50",2,0,"Jefatura","Colisión","No respetar indicaciones semáforo","Ninguna infracción",0
4797,"AVDA. JOSE MESA Y LOPEZ","43",20/12/2011,"18:45",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4798,"GC. 1 AM","KM 7100",15/12/2011,"20:40",3,3,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4800,"ROTONDA MARIO CESAR",,12/12/2011,"20:00",2,2,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4801,"QUINTANA","CAMPOAMOR",13/12/2011,"21:05",2,1,"Jefatura","Colisión","No cumplir la señal de 'Stop'","Ninguna infracción",0
4802,"FERNANDO GUANARTEME","PLAZA LAS AMERICAS",13/12/2011,"22:10",2,0,"Jefatura","Colisión","Girar incorrectamente","Ninguna infracción",0
4803,"PLAZA DE ESPAÑA","7",12/12/2011,"22:15",2,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4804,"JUAN REJON","101",14/12/2011,"16:30",1,1,"Jefatura","Colisión","Maniobras de marcha atrás","Ninguna infracción",0
4805,"GC.1","KM.3500 DIRECCION PUERTO",16/12/2011,"11:15",3,6,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4806,"EL OLIVO","25",20/12/2011,"11:15",3,4,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4807,"AVDA. ESCALERITAS","ROTONDA ELECTRA OBRA DE PEREZ GALDOS",15/12/2011,"18:40",2,5,"Jefatura","Colisión","Girar incorrectamente","Ninguna infracción",0
4808,"CARRETERA DE MATA","48",15/12/2011,"19:50",2,0,"Jefatura","Colisión","Apertura de puertas sin precución","Ninguna infracción",0
4809,"GC-2","TUNEL 'JULIO LUENGO'",15/12/2011,"07:45",2,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4810,"JUAN MANUEL DURAN GONZALEZ","LEON TOLSTOI",15/12/2011,"16:00",2,0,"Jefatura","Colisión","No respetar indicaciones semáforo","Ninguna infracción",0
4811,"GC-2","PUNTO KILOMETRICO 2.3",15/12/2011,"13:15",2,1,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4812,"TORMENTO","VIRGEN DE LORETO",20/12/2011,"12:40",1,1,"Jefatura","Colisión","Sin infracción","Ninguna infracción",0
