"TITULO","TEMATICA","AUTOR","FECHA"
"Decoración de la boca del escenario del Teatro Pérez Galdós (5)","    Artes Plásticas. Pintura. Alegórica - Mitológica","    Néstor Martín - Fernández de la Torre"," C. 1925 - 1928"
"Pinturas del Salón Saint - Saëns (8)","    Artes Plásticas. Pintura. Alegórica - Mitológica","    Néstor Martín - Fernández de la Torre","C. 1925 - 1928"
"Pinturas del techo del escenario del Teatro Pérez Galdós (3)","    Artes Plásticas. Pintura. Alegórica - Mitológica","    Néstor Martín - Fernández de la Torre","C. 1925 - 1928"
"Retrato del poeta Tomás Morales","    Artes Plásticas. Pintura. Retrato","    José Hurtado de Mendoza","    C. 1930"
"Muelle de Santa Catalina","    Artes Plásticas. Pintura. Marina","    E. Ligtelyn Breukelen","    C. 1932"
"Ermita de San Telmo","    Artes Plásticas. Pintura. Vista urbana","    E. Ligtelyn Breukelen","    C. 1932"
"Retrato de Don Niceto Alcalá Zamora","    Artes Plásticas. Impresión. Retrato","    Carlos Ruano Llopis","    C. 1933"
"Retrato de Don Niceto Alcalá Zamora","    Artes Plásticas.Pintura. Retrato","    Cirilo Suárez Moreno","    1935"
"Mujer canaria","    Artes Plásticas. Pintura. Costumbrista","    Sergio Calvo","    1940"
"Rueiro en Souto","    Artes Plásticas. Pintura. Paisaje","    Carmelo F. González","    C. 1941"
"Paisaje","    Artes Plásticas. Pintura. Paisaje","    Juan Guillermo Rodríguez Báez","    1944"
"Papas y plátanos","    Artes Plásticas. Pintura. Bodegón","    Tomás Gómez Bosch","    1945"
"El Nublo desde Tejeda","    Artes Plásticas. Pintura. Paisaje","    Martín González","    C. 1947"
"Tríptico de la Iglesia de Santa Isabel de Hungría - Santa Isabel","    Artes Plásticas. Pintura. Religiosa","    Jesús González Arencibia","    1948"
"Tríptico de la Iglesia de Santa Isabel de Hungría - La estigmatización de San Francisco de Asís","    Artes Plásticas. Pintura. Religiosa","    Jesús González Arencibia","    1948"
"Tríptico de la Iglesia de Santa Isabel de Hungría - Santa Clara","    Artes Plásticas. Pintura. Religiosa","    Jesús González Arencibia","    1948"
"Gánigo con cactus","    Artes Plásticas. Pintura. Bodegón","    César Manrique","    1948"
"Pambaso y Risco de San Nicolás","    Artes Plásticas. Pintura. Paisaje","    Nicolás Massieu y Matos","    1949"
"Romería de Santa Lucía","    Artes Plásticas. Pintura. Religiosa","    Jesús González Arencibia","    1951"
"Martirio y Glorificación de Santa Catalina de Alejandría","    Artes Plásticas. Pintura. Religiosa","    Jesús González Arencibia","C. 1957 - 1958"
"Murales del Salón García Escámez (Panel central)","    Artes Plásticas. Pintura. Costumbrista","    Jesús González Arencibia","    1951"
"Murales del Salón García Escámez (Panel izquierdo)","    Artes Plásticas. Pintura.Costumbrista","    Jesús González Arencibia","    1951"
"Murales del Salón García Escámez (Panel izquierdo)","    Artes Plásticas. Pintura. Costumbrista","    Jesús González Arencibia","    1951"
"Murales del Salón García Escámez (Panel central - izquierdo)","    Artes Plásticas. Pintura. Costumbrista","    Jesús González Arencibia","    1951"
"Murales del Salón García Escámez (Panel central - derecho)","    Artes Plásticas. Pintura. Costumbrista","    Jesús González Arencibia","    1951"
"Murales del Salón García Escámez (Panel izquierdo)","    Artes Plásticas. Pintura. Costumbrista","    Jesús González Arencibia","    1951"
"Murales del Salón García Escámez (Panel derecho)","    Artes Plásticas. Pintura. Costumbrista","    Jesús González Arencibia","    1951"
"Murales del Salón García Escámez (Panel derecho)","    Artes Plásticas. Pintura. Costumbrista","    Jesús González Arencibia","    1951"
"Murales del Salón García Escámez (Panel derecho)","    Artes Plásticas. Pintura. Costumbrista","    Jesús González Arencibia","    1951"
"Murales del Salón García Escámez (Panel derecho)","    Artes Plásticas. Pintura. Costumbrista","    Jesús González Arencibia","    1951"
"Murales del Salón García Escámez (Panel izquierdo)","    Artes Plásticas. Pintura. Costumbrista","    Jesús González Arencibia","    1951"
"Murales del Salón Arencibia. Escena de caza","    Artes Plásticas. Pintura.Costumbrista","    Jesús González Arencibia","    1951"
"Murales del Salón Arencibia","    Artes Plásticas. Pintura. Costumbrista","    Jesús González Arencibia","    1951"
"Murales del Salón Arencibia.","    Artes Plásticas. Pintura. Costumbrista","    Jesús González Arencibia","    1951"
"Murales del Salón Arencibia. Pescadores","    Artes Plásticas. Pintura. Costumbrista","    Jesús González Arencibia","    1951"
"Murales del Salón Arencibia. Alegoría de la caza, la pesca y la agricultura","    Artes Plásticas. Pintura. Costumbrista","    Jesús González Arencibia","    1951"
"Bodegón","    Artes Plásticas. Pintura. Bodegón","    Nicolás Massieu y Matos","    1951"
"El vuelo de las brujas","    Artes Plásticas. Pintura. Alegoría","    Jesús González Arencibia","    1951"
"Retrato de Don Fernando del Castillo y Westerling, V Conde de la Vega Grande","    Artes Plásticas. Pintura. Retrato","    Tomás Gómez Bosch","    1952"
"Sinfonía azul (o Sinfonía en el mar)","    Artes Plásticas. Pintura. Abstracta","    César Manrique","    1954"
"San Pedro Mártir","    Artes Plásticas. Pintura. Religiosa","    Jesús González Arencibia","    1955"
"Maceta con anturio","    Artes Plásticas. Pintura. Bodegón","    Jane Millares Sall","    1956"
"Desnudo","    Artes Plásticas. Pintura. Desnudo","    José Aguiar","C. 1960-1970"
"Bodegón","    Artes Plásticas. Pintura. Bodegón","    Francisco Cossío","    1960"
"Tríptico de los Arcángeles","    Artes Plásticas. Pintura. Religiosa","    Jesús González Arencibia","    1962"
"La mariposa que voló sobre el mar","    Artes Plásticas. Pintura. Abstracta - Impresionista","    Juan Rodríguez González","    1962"
"Vista de Toledo","    Artes Plásticas. Pintura. Vista Urbana","    Andrés Conejo","    1962"
"Abstracción","    Artes Plásticas. Pintura. Abstracta","    Yolanda Graziani","    1963"
"Bodegón","    Artes Plásticas. Pintura. Bodegón","    Juan Betancor","    1965"
"Mujer con rosa y cuenco","    Artes Plásticas. Pintura. Alegoría","    Cristino de Vera","    1966"
"Sin título","    Artes Plásticas. Pintura. Costumbrista","    Juan Betancor","    1968"
"Pictogramas canarios (Pintaderas)","    Artes Plásticas. Pintura. Abstracta","    Jane Millares Sall","    C. 1971"
"Corvalier","    Artes Plásticas. Pintura. Abstracta","    Jose Luis Vega Álvarez","    1969"
"Corvalier","    Artes Plásticas. Pintura. Abstracta","    Jose Luis Vega Álvarez","    1969"
"Corvalier","    Artes Plásticas. Pintura. Abstracta","    Jose Luis Vega Álvarez","    1969"
"Corvalier","    Artes Plásticas. Pintura. Abstracta","    Jose Luis Vega Álvarez","    1969"
"Corvalier","    Artes Plásticas. Pintura. Abstracta","    Jose Luis Vega Álvarez","    1969"
"Corvalier","    Artes Plásticas. Pintura. Abstracta","    Jose Luis Vega Álvarez","    1969"
"Corvalier","    Artes Plásticas. Pintura. Abstracta","    Jose Luis Vega Álvarez","    1969"
"Alegoría Quijotesca","    Artes Plásticas. Pintura. Alegoría","    Julio Viera","    1969"
"Marinas y motivos de puertos","    Artes Plásticas. Pintura. Vista Portuaria","    Vinicio Marcos Trujillo","    1969"
"Marina - Vista de las Canteras","    Artes Plásticas. Pintura. Marina","    Jacqueline Huibers","    1970"
"Fase 4","    Artes Plásticas. Pintura. Abstracta - Deportiva","    María del Carmen del Toro Rodríguez","    1971"
"Sin título","    Artes Plásticas. Pintura. Alegórica - Deportiva.","    Medina","    1971"
"Futbolistas","    Artes Plásticas. Pintura. Alegórica - Deportiva","    Juan Betancor","    1971"
"Sin título","    Artes Plásticas. Pintura. Abstracta","    Raúl Hernández","    1973"
"Recuerda hombre. Procesión de Cristo Crucificado","    Artes Plásticas. Pintura. Religiosa","    Jesús González Arencibia","    1975"
"A David Lacón","    Artes Plásticas. Pintura. Abstracta","    Luis Alberto Hernández Plasencia","    1976"
"Sin título","    Artes Plásticas. Pintura. Abstracta","    Martín Bethencourt","    1976"
"La boda de una bruja","    Artes Plásticas. Pintura. Alegórico - Satírica","    Ruben Darío Velázquez","    1976"
"City of San Antonio (Misión de S. José, Texas)","    Artes Plásticas. Pintura. Paisaje","    A. P. Dédula","    1979 (marzo)"
"Reflexiones azules","    Artes Plásticas. Pintura. Abstracta","    Lato","    1983"
"Fiestas de San Juan 1985","    Artes Plásticas. Pintura. Alegórica.","    Angel Gustavo","    1985"
"Sin título","    Artes Plásticas. Pintura. Abstracta","    Juan Luis Coloma","    1988"
"Interior","    Artes Plásticas. Pintura. Bodegón","    Juan Guerra Hernández","    C. 1989"
"La máquina","    Artes Plásticas. Pintura. Alegórica - Abstracta","    Antonio Cuesta Villén","    1989"
"Sin título","    Artes Plásticas. Pintura. Abstracta","    Agustín López Acosta","    1990"
"La escalera de mi casa","    Artes Plásticas. Pintura. Abstracta","    Manolo Ruiz","    1992"
"Paisaje de tierra roja, Moya","    Artes Plásticas. Pintura. Paisaje","    Maria Luisa Espinosa (""Marisa"" Espinosa)",1998
"Las medianeras. Medusas","    Artes Plásticas. Pintura. Marítima","    José Antonio García Álvarez","    1994"
"Las medianeras. Delfines","    Artes Plásticas. Pintura. Marítima","    José Antonio García Álvarez","    1994"
"Las medianeras. Delfines","    Artes Plásticas. Pintura. Marítima","    Fernando Álamo","    1994"
"Las medianeras. Playa","    Artes Plásticas. Pintura. Marítima","    José Antonio García Álvarez","    1994"
"Las Medianeras. Playa","    Artes Plásticas. Pintura. Marítima","    José Antonio García Alvarez.","    1994"
"Las medianeras. Oleaje sobre la arena","    Artes Plásticas. Pintura. Marítima","    José Antonio García Álvarez","    1994"
"Las medianeras. Carretera del mar","    Artes Plásticas. Pintura. Marítima","    Manuel Padorno","    1994"
"Horno de pan","    Artes Plásticas. Pintura. Costumbrista","    Juan Marqués Mayol","    1996"
"Sin título","    Artes Plásticas. Pintura. Abstracta","    Páez","    C. 1996"
"Abstracto","    Artes Plásticas. Pintura. Abstracta","    Deli Codina","    1997"
"Geografías del vuelo","    Artes Plásticas. Pintura. Surrealista","    Augusto Vives","    1997"
"El hombre paisaje","    Artes Plásticas. Pintura. Alegoría","    Antonio Sánchez Cabrera","    1998"
"Jarrón con girasoles","    Artes Plásticas. Pintura. Bodegón","    María Luisa Espinosa. (""Marisa"" Espinosa)","    1998 (parte anterior) / 1996 (parte posterior)"
"Sin titulo","    Artes Plásticas. Pintura. Abstracta","    Anónimo","    1999"
"Risco","    Artes Plásticas. Pintura. Paisaje Urbano","    Marta Mariño Casillas","    C. 1999"
"Selección","    Artes Plásticas. Pintura. Alegórica","    Rosa Delia Marrero Santana","    C.1999"
"Sin título","    Artes Plásticas. Pintura. Paisaje","    Carmen Aguilar Santana","    C. 1999"
"Biopsia","    Artes Plásticas. Pintura. Alegórica","    José Enrique García Fuentes","    2000"
"C:/ 10","    Artes Plásticas. Pintura. Alegórica","    Alejandro Miranda Sureda","    C. 2000"
"Esperando","    Artes Plásticas. Pintura. Retrato","    Carmen Aguiar Chacón","    C. 2000"
"La ceremonia. El sueño de Osiris","    Artes Plásticas. Pintura. Alegórica","    Pepe Dámaso","    2000"
"Cartel del carnaval 2000","    Artes Plásticas. Pintura. Cartel","    José Dámaso","    2000"
"Estudios para el cartel del carnaval 2001","    Artes Plásticas. Pintura. Abstracta","    Jose Antonio García Álvarez","    2000"
"Estudios para el cartel del carnaval 2001","    Artes Plásticas. Pintura. Abstracta","    Jose Antonio García Álvarez","    2000"
"Estudios para el cartel del carnaval 2001","    Artes Plásticas. Pintura. Abstracta","    Jose Antonio García Álvarez","    2000"
"Estudios para el cartel del carnaval 2001","    Artes Plásticas. Pintura. Abstracta","    Jose Antonio García Álvarez","    2000"
"Estudios para el cartel del carnaval 2001","    Artes Plásticas. Pintura Abstracta","    Jose Antonio García Álvarez","    2000"
"Estudios para el cartel del carnaval 2001","    Artes Plásticas. Pintura. Abstracta","    Jose Antonio García Álvarez","    2000"
"Estudios para el cartel del carnaval 2001","    Artes Plásticas. Pintura. Abstracta","    Jose Antonio García Álvarez","    2000"
"Cartel del carnaval 2001","    Artes Plásticas. Pintura. Cartel","    Jose Antonio García Álvarez","    2000"
"Sin título","    Artes Plásticas. Pintura. Retrato","    Fernando Larraz Mora","    C. 2001"
"Estudio para el cartel del carnaval 2002","    Artes Plásticas. Grabado. Alegoría","    Juan Antonio Giraldo","    2001"
"Estudio para el cartel del carnaval 2002","    Artes Plásticas. Grabado. Alegoría","    Juan Antonio Giraldo","    2001"
"Estudio para el cartel del carnaval 2002","    Artes Plásticas. Dibujo coloreado. Alegoría","    Juan Antonio Giraldo","    2001"
"Estudio para el cartel del carnaval 2002","    Artes Plásticas. Dibujo coloreado. Alegoría","    Juan Antonio Giraldo","    2001"
"Estudio para el cartel del carnaval 2002","    Artes Plásticas. Dibujo coloreado. Alegoría","    Juan Antonio Giraldo","    2001"
"Estudio para el cartel del carnaval 2002","    Artes Plásticas. Dibujo coloreado. Alegoría","    Juan Antonio Giraldo","    2001"
"Estudio para el cartel del carnaval 2002","    Artes Plásticas. Dibujo coloreado. Alegoría","    Juan Antonio Giraldo","    2001"
"Estudio para el cartel del carnaval 2002","    Artes Plásticas. Dibujo coloreado. Alegoría","    Juan Antonio Giraldo","    2001"
"Estudio para el cartel del carnaval 2002","    Artes Plásticas. Dibujo coloreado. Alegoría","    Juan Antonio Giraldo","    2001"
"Estudio para el cartel del carnaval 2002","    Artes Plásticas. Dibujo coloreado. Alegoría","    Juan Antonio Giraldo","    2001"
"Estudio para el cartel del carnaval 2002","    Artes Plásticas. Dibujo coloreado. Alegoría","    Juan Antonio Giraldo","    2001"
"Estudio para el cartel del carnaval 2002","    Artes Plásticas. Dibujo coloreado. Alegoría","    Juan Antonio Giraldo","    2001"
"Estudio para el cartel del carnaval 2002","    Artes Plásticas. Dibujo coloreado. Alegoría","    Juan Antonio Giraldo","    2001"
"Estudio para el cartel del carnaval 2002","    Artes Plásticas. Dibujo coloreado. Alegoría","    Juan Antonio Giraldo","    2001"
"Sin título","    Artes Plásticas. Pintura. Marítima","    Andrea Basaez Simone","    C. 2001"
"Sin título","    Artes Plásticas. Pintura. Paisaje","    Ulises Parada Pérez","    C. 2001"
"""Caballero con armadura""","    Artes Plásticas. Pintura. Retrato","    Anónimo","    C. Siglo XVI"
"Paisaje","    Artes Plásticas. Pintura. Paisaje","    Anónimo","    C. Finales del siglo XVII, principios del siglo XVIII"
"Escena religiosa","    Artes Plásticas. Pintura. Religiosa","    Anónimo","    C. Siglo XVII"
"Escena religiosa","    Artes Plásticas. Pintura. Religiosa","    Anónimo","    C. Siglo XVII"
"Bodegón","    Artes Plásticas. Pintura. Bodegón","    Anónimo","    C. 1630-1640"
"Bodegón","    Artes Plásticas. Pintura. Bodegón","    Anónimo","    C. 1630-1640"
"Bodegón","    Artes Plásticas. Pintura. Bodegón","    Anónimo","    Circa Siglo XVIII"
"Bodegón","    Artes Plásticas. Pintura. Bodegón","    Anónimo","    C. Siglo XVIII"
"Retrato de dama","    Artes Plásticas. Pintura. Retrato","    Anónimo","    C. Primera mitad del siglo XIX"
"Retrato femenino","    Artes Plásticas. Pintura. Retrato","    Anónimo","    C. Mediados del siglo XIX"
"Retrato femenino","    Artes Plásticas. Pintura. Retrato","    Anónimo","    C. Mediados del siglo XIX"
"Retrato de Isabel de Portugal","    Artes Plásticas. Pintura. Retrato","    Anónimo","    C. Último tercio del siglo XIX"
"Retrato de Ana de Austria","    Artes Plásticas. Pintura. Retrato","    Anónimo","    C. Último tercio del siglo XIX"
"Retrato de Carlos V","    Artes Plásticas. Pintura. Retrato","    Anónimo","    C. Último tercio del siglo XIX"
"Retrato de Felipe II","    Artes Plásticas. Pintura. Retrato","    Anónimo","    C. Último tercio del siglo XIX."
"Retrato de caballero","    Artes Plásticas. Pintura. Retrato","    Anónimo","    C. Finales del siglo XIX"
"Retrato de Don Fernando de León y Castillo","    Artes Plásticas. Pintura. Retrato","    Mateu Balasch","    C. Principios del siglo XX"
"Decoración del techo del distribuidor de la Casa Palacio Rodríguez Quegles","    Artes Plásticas. Pintura. Alegórica mitológica","    Eduardo Laforet Alfaro","    C. Primera década del siglo XX"
"Decoración del techo del distribuidor de la Casa Palacio Rodríguez Quegles","    Artes Plásticas. Pintura. Decorativa","    Anónimo","    C. Primera década del siglo XX"
"Decoración del techo del distribuidor de la Casa Palacio Rodríguez Quegles","    Artes Plásticas. Pintura. Mitológica","    Anónimo","    C. Primera década del siglo XX"
"Decoración del techo del distribuidor de la Casa Palacio Rodríguez Quegles","    Artes Plásticas. Pintura. Alegórica","    Tomás Gómez Bosch","    C. Primera década del siglo XX"
"Decoración del techo del distribuidor de la Casa Palacio Rodríguez Quegles","    Artes Plásticas. Pintura. Retrato","    Anónimo","    C. Primera década del siglo XX"
"Decoración del techo del distribuidor de la Casa Palacio Rodríguez Quegles","    Artes Plásticas. Pintura. Alegórica","    Anónimo","    C. Primera década del siglo XX"
"Decoración del techo del zaguán de la Casa Palacio Rodríguez Quegles","    Artes Plásticas. Pintura. Mitológico - Alegórica","    Anónimo","    C. Primera década del siglo XX"
"Decoración del techo de la Sala 4 de la Casa Palacio Rodríguez Quegles","    Artes Plásticas. Pintura. Decorativa","    Anónimo","    C. Primera década del siglo XX"
"Decoración del techo de de la Sala ""Negociado de Habilitación"" de la Casa Palacio Rodríguez Quegles","    Artes Plásticas. Pintura. Decorativa","    Anónimo","    C. Primera década del siglo XX"
"Decoración encima del dintel de una puerta","    Artes Plásticas. Pintura. Alegórica - Mitológica","    Anónimo","    C. Primera década del siglo XX"
"Decoración encima del dintel de una puerta","    Artes Plásticas. Pintura. Alegórica - Mitológica","    Anónimo","    C. Primera década del siglo XX"
"Decoración encima del dintel de una puerta","    Artes Plásticas. Pintura. Alegórica - Mitológica","    Anónimo","    C. Primera década del siglo XX"
"Decoración encima del dintel de una puerta","    Artes Plásticas. Pintura. Alegórica - Mitológica","    Anónimo","    C. Primera década del siglo XX"
"Decoración encima del dintel de una puerta","    Artes Plásticas. Pintura. Alegórica - Mitológica","    Anónimo","    C. Primera década del siglo XX"
"Decoración encima del dintel de una puerta","    Artes Plásticas. Pintura. Alegórica - Mitológica","    Anónimo","    C. Primera década del siglo XX"
"Decoración encima del dintel de una puerta","    Artes Plásticas. Pintura. Alegórica - Mitológica","    Anónimo","    C. Primera década del siglo XX"
"Marina, playa de la Laja","    Artes Plásticas. Pintura. Marina","    Manuel López Ruiz","    C. Primera mitad del siglo XX"
"Sin título. Pintura en la pared de la sala de reuniones del Hotel Santa Catalina","    Artes Plásticas. Pintura. Costumbrista","    Santiago Santana","    C. 1945"
"Sin título. Pintura en la pared de la sala de reuniones del Hotel Santa Catalina","    Artes Plásticas. Pintura. Costumbrista","    Santiago Santana","    C. 1945"
"Mujeres. Pintura en la pared de la sala de reuniones del Hotel Santa Catalina","    Artes Plásticas. Pintura. Costumbrista","    Santiago Santana","    1945"
"Aguadoras, mujeres en el Risco","    Artes Plásticas. Pintura. Costumbrista","    Santiago Santana","    C. Década de 1970 del siglo XX"
"Cabeza de canaria","    Artes Plásticas. Pintura. Costumbrista","    Tirar","    C. mediados del siglo XX"
"Contraluz","    Artes Plásticas. Litografía coloreada. Paisaje","    Alberto Manrique","    C. Último tercio del siglo XX"
"Luna llena","    Artes Plásticas. Litografía Coloreada. Paisaje","    Alberto Manrique","    C. Último tercio del siglo XX"
"Plaza del Pilar Nuevo","    Artes Plásticas. Pintura. Vista Urbana","    Donina Romero","    C. Segunda mitad del Siglo XX"
"Fósiles","    Artes Plásticas. Pintura. Abstracta","    Juan Rodríguez González","    C. Segunda mitad del Siglo XX"
"Gasolinera de la Plaza de Stagno","    Artes Plásticas. Pinturas. Vista Urbana","    R. Lucas","    C. Último tercio del siglo XX"
"Atletas","    Artes Plásticas. Pintura. Deportiva","    Rafael Sánchez Gurrea","    C. Último tercio del siglo XX"
"Atletas","    Artes Plásticas. Pintura. Deportiva","    Rafael Sánchez Gurrea","    C. Último tercio del siglo XX"
"Atletas","    Artes Plásticas. Pintura. Deportiva","    Rafael Sánchez Gurrea","    C. Último tercio siglo XX"
"""Movimiento""","    Artes Plásticas. Pintura. Deportiva","    Raúl Hernández","    C. Último cuarto del siglo XX"
"Atleta","    Artes Plásticas. Pintura. Deportiva","  ","    C. 1993"
"Sin título","    Artes Plásticas. Pintura. Abstracta","    Jorge Quinta Caamaño","    1974"
"Retrato de S.M. Don Juan Carlos I","    Artes Plásticas. Pintura. Retrato","    Anónimo","    C. Último cuarto del siglo XX"
"Retrato de S. M. Don Juan Carlos I","    Artes Plásticas. Pintura. Retrato","    Anónimo","    C. Último cuarto del siglo XX"
"Retrato de S. M. Don Juan Carlos I","    Artes Plásticas. Pintura. Retrato","    Juan Guerra Hernández","    C. Segunda mitad de la década de 1970, inicios de la década de 1980 del siglo XX."
"Sin título","    Artes Plásticas. Pintura. Abstracta","    Rosa Delia Marrero Santana","    C. 1997"
"Atleta","    Artes Plásticas. Pintura. Deportiva","    Eudexis","    C. Último cuarto del siglo XX"
"Luchada","    Artes Plásticas. Pintura. Deportiva","    Farray","    C. Último cuarto del siglo XX"
"Manuscrito de Bach","    Artes Plásticas. Pintura. Alegórica","    Ana de la Puente","    C. Último cuarto del siglo XX"
"Sin título","    Artes Plásticas. Pintura. Abstracta","  ","    1990"
"Barcas","    Artes Plásticas. Pintura. Marítima","    Rosa Penoti Pujol","    1976"
"""Creoula""","    Artes Plásticas. Pintura. Abstracta","    J. Crespo Foix","    C. Último cuarto del siglo XX"
"Campesina lavandera","    Artes Plásticas. Pintura. Costumbrista","    Iberia Carque","    C. Inicios de la década de 1990"
"Marina","    Artes Plásticas. Pintura. Costumbrista","    Iberia Carque","    C. Inicios de la década de 1990"
"Paisaje","    Artes Plásticas. Pintura. Costumbrista","    Iberia Carque","    C. Inicios de la decada de 1990"
"Paisaje","    Artes Plásticas. Pintura. Costumbrista","    Iberia Carque","    C. Inicios de la década de 1990"
"Voluntad","    Artes Plásticas. Pintura. Abstracta","    Claudio Aguilar","    C. Inicios de la década de 1990"
"Sin título","    Artes Plásticas. Pintura. Abstracta","    Hildegard Hahn","    C. Primera mitad década de 1990 del siglo XX"
"Cultura abierta","    Artes Plásticas. Pintura. Alegórica","    Ada Santaella Santos","    C. Mediados década de 1990 del siglo XX"
"""Alamo San Antonio Tejas""","    Artes Plásticas. Pintura. Edificio","    R. Hamman","    Sin fecha"
"""Misión de San José en San Antonio Tejas""","    Artes Plásticas. Pintura. Edificio","    R. Hamman","    Sin fecha"
"Vista de la fachada del Teatro Tirso de Molina","    Artes Plásticas.Dibujo. Edificio Urbano","    Anónimo","    C. Primer tercio del siglo XX"
"Cabeza de muchacha","    Artes Plásticas. Escultura. Cabeza femenina","    Eduardo Gregorio","    1929"
"Cabeza de una negra","    Artes Plásticas. Escultura. Cabeza femenina","    Manolo Ramos González","    C. 1932"
"Tarrayero","    Artes Plásticas. Escultura. Pescador","    Plácido Fleitas Hernández","    C. 1932"
"Desnudo","    Artes Plásticas. Escultura. Desnudo femenino","    Eduardo Gregorio","    C. 1940"
"Piedad","    Artes Plásticas. Relieve Escultórico. Sacra","    Plácido Fleitas Hernández","    C. 1943"
"Mar","    Artes Plásticas. Escultura. Alegórica masculina","    Plácido Fleitas Hernández","    C. 1946"
"Tierra","    Artes Plásticas. Escultura. Alegórica femenina","    Plácido Fleitas Hernández","    C. 1946"
"La Aguadora","    Artes Plásticas. Escultura. Aguadora","    Eduardo Gregorio","    C. 1948 - 1950"
"Maternidad","    Artes Plásticas. Escultura. Maternidad","    Juan Borges Linares","    1969"
"Múltiples. Palomas (9)","    Artes Plásticas. Escultura. Paloma","    Eduardo Gregorio","    C. 1972 - 1973"
"Rostro","    Artes Plásticas. Escultura. Rostro","    Eduardo Gregorio","    C. 1972"
"Figura","    Artes Plásticas. Escultura. Figura masculina","    Eduardo Gregorio","    C. 1972"
"Múltiple. Murciélago (1)","    Artes Plásticas. Escultura. Murciélago","    Eduardo Gregorio","    C. 1974"
"Paisaje VIII","    Artes Plásticas. Escultura. Abstracta","    Martín Chirino","    1975"
"Arqueológica 80","    Artes Plásticas. Escultura. Abstracta","    Josep María Subirachs","    1982"
"Magma II","    Artes Plásticas. Escultura. Abstracta","    Tony Gallardo","    1983"
"Múltiple. Monumento al Atlante (1)","    Artes Plásticas. Escultura. Alegórica","    Tony Gallardo","    1984"
"Maqueta del Monumento al doctor Don Juan Negrín López","    Artes Plásticas. Maqueta escultórica. Conmemorativa","    Juan Bordes Caballero","    C. Década de 1990 del siglo XX"
"Paseando por la barra. Desnudo femenino, bajorrelieve de la Sala Sinfónica.","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Desnudo femenino, bajorrelieve de la Sala Sinfónica","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Desnudo femenino, bajorrelieve de la Sala Sinfónica","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Desnudo femenino, bajorrelieve de la Sala Sinfónica","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Desnudo femenino, bajorrelieve de la Sala Sinfónica","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Desnudo femenino, bajorrelieve de la Sala Sinfónica","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
