CALLE, FECHA DE COMIENZO, HORARIO, FECHA  DE FINALIZACION
"plaza de la ascencion frente al nº 9","24/04/2013","",""
"malfu ( entre menceyes y vacaguare) y umiaga( entre benartemi y malfu)","26/04/2013","12","27/04/2013"
"barrio de la isleta","03/05/2013","","05/05/2013"
"montevideo 29 general vives 19","27/04/2013","8/12","30/04/2013"
"general vives ( a la altura de montevideo 19)","27/04/2013","8/12","29/04/2013"
"varias de las coloradas","13/05/2013","varios","19/05/2013"
"mary sanchez 14","02/05/2013","9 a 13","02/05/2013"
"portugal (etnre galileo y viriato)","26/04/2013","24","27/05/2013"
"secretario padilla , viriato, prtugal","02/05/2013","24",""
"san jose  artesano a la altura de la plaza","07/05/2013","8-12","07/05/2013"
"alfredo calderon entre gral mas de gsaminde y concepcion arenal","02/05/2013","8-12","02/05/2013"
"camino viejo de san lorenzo( entre carrtra. Tamaraceite y juna arencibia cabrera)","02/05/2013","8,30/20,00","07/05/2013"
"tiscamanita 13 el zardo c e i p","01/05/2013","13,15 a 13,40","31/12/2013"
"29de abril entre luis morote y nocolas estevanez","09/05/2013","8-12","10/05/2013"
"travieso  12","09/05/2013","8-12",""
"garcia tello  tramo comprendido reyes catolicos san marcos","13/05/2013","24","13/07/2013"
"entrda y salida confital","13/05/2013","8-20",""
"MAYORAZGO ENTRE GAMONAL Y TIMAGAN","15/05/2013","8-20","16/05/2013"
"san fermin 28","22/05/2013","8-20","23/05/2013"
"pio coronado ( entre voluntad y traitana )","20/05/2013","8/12","21/05/2013"
"pedro hernandez benitez 7","27/05/2013","8.30 a 12,30",""
"paseo de san jose 28","25/05/2013","8/12","25/05/2013"
"varias  del barrrio la minilla","24/05/2013","","10/06/2013"
"doctor juan de padilla 40","27/05/2013","9:30 / 13:30",""
"lujan perez 67","01/06/2013","9-13","01/06/2013"
"luis morote entre tomas miller y bernardo de la torre 57","08/06/2013","9-13","08/06/2013"
"anzofe entre benecharo y artemi semidan 74","05/06/2013","9,30-13,30","05/06/2013"
"casa ayala 61","12/06/2013","9-10","12/06/2013"
"gomeraentr sagasta y albareda  salvador cuyas","12/06/2013","9-13",""
"profesor lozano, desde el nº 9 hasta la rotonda","07/06/2013","","08/06/2013"
"santa barbara nº 3","14/06/2013","",""
"dolores de la rocha tramo juan e. dorestes domingo dorestes","17/06/2013","24",""
"juan e. dorestes reyes catolocos","12/06/2013","24","12/06/2013"
"garcia tello tramo entre san marcos luis millares","17/06/2013","24",""
"pamochamoso  18","18/06/2013","8-12","19/06/2013"
"guadiana  5","19/06/2013","8-12","20/06/2013"
"taliarte entre princesa guayermina e ines chemida 38","20/06/2013","8-12","20/06/2013"
"FAMA Nº 23","19/06/2013","",""
"nuñez de la peña nº 7","25/06/2013","8:00-12:00",""
"manuel galvan rodriguez, 58","25/06/2013","","25/06/2013"
"CARVAJAL  ANGEL GUIMERA","26/06/2013","9-13",""
"CAMINO  LOS LIRIOS","27/06/2013","10-14","27/06/2013"
"ARCO 42","27/06/2013","10-14","27/06/2013"
"doctor juan dominguez, carril izq. Subida","26/06/2013","8-20","19/07/2013"
"voluntad (con don pio coronado), 17","05/07/2013","8-12","05/07/2013"
"real del castillo 31","05/07/2013","10-12","05/07/2013"
"varias calles de la isleta","06/07/2013","variado",""
"doctor juan de padilla  24","09/07/2013","8,30-12,30","09/07/2013"
"varias calles barrio de la isleta","10/07/2013","variado",""
"leon y castillo  entr juan xxIII y buenos aires","06/07/2013","22,00-6,00",""
"doctor juan de padilla  40","11/07/2013","9,30-13,30",""
"poetista agustina romero  11","12/07/2013","8-18","12/07/2013"
"VARIAS CALLES DEL BARRIO DE LA ISLETA","14/07/2013","VARIADO","16/07/2013"
"VARIAS CALLES DEL BARRIO DE LA ISTETA","16/07/2013","VARIADO",""
"faro entre la naval y ferreras","18/07/2013","22-6,00","18/07/2013"
"blas de lezo entre lujan perez y faro","23/07/2013","8-12",""
"agustina  de aragon entre pepet y cruce jimenez neyra","19/07/2013","15-19",""
"luis morote entre general vives y 29 de abril","22/07/2013","24",""
"gamonal  7","26/07/2013","9-13","26/07/2013"
"alfred nobel  21","29/07/2013","7-11","29/07/2013"
"barranco de tauro 15-17","30/07/2013","10-14","31/07/2013"
"asociacion 25","29/07/2013","10-14",""
"obispo tavira 28","31/07/2013","9-13","31/07/2013"
"alcalde francisco hernandez gonzalez  10-12","03/08/2013","8-18","03/08/2013"
"curva  36","13/08/2013","9-13",""
"varias calles de la isleta","14/08/2013","variado",""
"gral. Jose antonio gutierrez mellado","25/07/2013","","25/09/2013"
"luis morote entre albareda y general vives","12/08/2013","24 horas","10/10/2013"
"alfred nobel 21","12/08/2013","7 a 11","12/08/2013"
"mary sanchez entre egido y paseo alonso de ojeda 14","13/08/2013","9 a 13","13/08/2013"
"lla naval 127","24/08/2013","9/13","24/08/2013"
"plaz. San agustin , roque morera y san agustin.","14/08/2013","24","31/12/2013"
"leon y castillo  tramo perpetuo socorro  casa del marino","17/08/2013","8-12","17/08/2013"
"don pio coronado, 56","21/08/2013","8-12",""
"pio XII entre campoamor u maestro valle","16/08/2013","24","01/09/2013"
"lopez botas 37","","",""
"lopez bota 37","17/08/2013","","17/08/2013"
"varias calles","08/09/2013","20,30-2,30","08/09/2013"
"lucas fernandez navarro 32","22/08/2013","","22/08/2013"
"camino a tenoya y alrededores de la ermita de tenoya","30/08/2013","10-13","30/08/2013"
"curva nº 36","10/09/2013","",""
"paseo de san antonio 71","07/09/2013","09 a 13","07/09/2013"
"plaza del pilar","06/09/2013","08 a 18","20/09/2013"
"viriato 16","10/09/2013","08 a 15","11/09/2013"
"fco. De bethencurt 18","10/09/2013","08 a 15","11/09/2013"
"los martinez de escobar 40","13/09/2013","8 a 12",""
"camino de tenoya nº 16 al 60","16/09/2013","",""
"uruguay y martinez escobar 26","23/09/2013","","24/09/2013"
"nuñes de balboa","25/09/2013","10/14","26/09/2013"
"faya ( entre adargoma y saucillo)44","24/09/2013","14:00/18:00",""
"pirineo 8","02/10/2013","normal","03/10/2013"
"bentejui 2","26/09/2013","normal","27/09/2013"
"anzofe entre benecharo y artemi semidan","02/10/2013","8,30 a 12,30","02/10/2013"
"bethoven 2-4","01/10/2013","9,30 a 13","02/10/2013"
"padre jose sosa 22","05/10/2013","9 a 13","05/10/2013"
"portugal entre viriato y kant","04/10/2013","","04/10/2013"
"viriato entre guaanarteme y venezuela","03/10/2013","24","17/10/2013"
"pedro infinito - tristana","30/09/2013","8 a 1","15/10/2013"
"cierre al paso de varias calles dell barrio de guanarteme","12/10/2013","","12/10/2013"
"barrio de guanarteme","12/10/2013","",""
"bandama entre guadalfia y arauz 32","08/10/2013","9 a 13","09/10/2013"
"saucillo entre faya y perez muñoz","07/10/2013","",""
"blas de lezo  23","08/10/2013","",""
"portugal entre viriato y kant","10/10/2013","",""
"juan de  la cosa entre faro ynconcejal rodriguez costa 3","17/10/2013","9,30-13,30","17/10/2013"
"jenner s/n","14/10/2013","8-12","15/10/2013"
"varias calles de la isleta","19/10/2013","",""
"varias calles de la isleta","11/10/2013","variado",""
"federico viera  14","16/10/2013","10-14","17/10/2013"
"victor hugo  59","22/10/2013","10-14",""
"faya hasta la interseccion con la calle naval","16/10/2013","",""
"aguadulce entre paseo tomas morales y angel guimera 59-61","21/10/2013","9-13",""
"varias calles de la isleta","19/10/2013","","20/10/2013"
"andres deniz el raton","25/10/2013","8-12","25/10/2013"
"castrillo  a la altura de luis dorestes silva  77","26/10/2013","8-12","26/10/2013"
"cebrian  60","23/10/2013","",""
"juan rejon interseccion con ferreras a la altura de lujan perez","26/10/2013","","27/10/2013"
"suarez naranjo  93","28/10/2013","10-14","29/10/2013"
"don pio coronado  a la altura de voluntad 56","28/10/2013","",""
"anzofe entre benecharo y artemi semidan","31/10/2013","9 a 13",""
"wagner 8 a 10","01/11/2013","17 a 21",""
"portugal  93","11/11/2013","10-14","11/11/2013"
"padre francisco rodriguez perez 25","11/11/2013","10-14","12/11/2013"
"GENERAL VIVES ALTURA LUIS MOROTE","11/11/2013","24",""
"perdomo entre perez galdos y viera y clavijo  22","14/11/2013","9-13","14/11/2013"
"lucas fernandez navarro nº 12","14/11/2013","",""
"gordillo entre coronel rocha y salvago","13/11/2013","8-12",""
"doctor grau bassas nº 18-20","23/11/2013","","23/11/2013"
"29 de abril con ruiz de alda","18/11/2013","24","22/11/2013"
"dplly  5","25/11/2013","9-13","25/11/2013"
"harimaguada entre guanaben y 22 de mayo","22/11/2013","8-20","26/11/2013"
"guanaben entre roque nublo y harimaguada","22/11/2013","8-20","26/11/2013"
"vacaguare entre malfu y roque nublo","22/11/2013","8-20","26/11/2013"
"malfu entre palmar  y vacaguare","22/11/2013","8-20","26/11/2013"
"umiaga  entre tamaran y malfu","22/11/2013","8-20","26/11/2013"
"tamaran entre bbenecharo y guayedra","22/11/2013","8-20","26/11/2013"
"menceyes entre malfu y benecharo","25/11/2013","8-20","27/11/2013"
"tenesor entre benecharo y tanasu","25/11/2013","8-20",""
"tirma entre fondo de saco palmar","25/11/2013","8-20",""
"alcorac entre benecharo y andamana","25/11/2013","8-20",""
"majadilla entre angostura y alcorac","26/11/2013","8-20","28/11/2013"
"guadalfia entre angostura y alcorac","26/11/2013","8-20","28/11/2013"
"bandama entre coronel rocha y angostura","26/11/2013","8-20",""
"angostura entre arauz y tirma","27/11/2013","8-20","29/11/2013"
"coronel rocha entre bandama y angostura","27/11/2013","8-20","29/11/2013"
"fataga entre  benecharo y silva","28/11/2013","8-20","30/11/2013"
"aremota entre coronel rocha y fataga","28/11/2013","8-20","30/11/2013"
"silva  entre coronel rocha y palmar","28/11/2013","8-20","30/11/2013"
"gordillo entre coronel rocha y perchel","28/11/2013","8-20","30/11/2013"
"juncalillo entre osorio y guayedra","28/11/2013","8-20","30/11/2013"
"faicanes entre gordillo  y benecharo","29/11/2013","8-20",""
"LUIS MOROTE ENTRADA DESDE AVDA ALCALDE JUAN RODRIGUEZ DORESTES HASTA EDUARDO BENOT","25/11/2013","",""
"pedro de vera entre colmenares y cebrian","25/11/2013","8-20",""
"acda cesar manrique entre gc-3 rotonda y tiberianas","25/11/2013","8-20",""
"cabrera barrios entre el  cardon y fondo de saco","25/11/2013","8-20",""
"SANSON CARRASCO ENTRE DULCINEA Y DON QUIJOTE","29/11/2013","8-20",""
"DON QUIJOTE ENTRE EDUARDO PEÑATE Y QUIJANO","29/11/2013","8-20",""
"ALONSO QUIJANO ENTRE EDUARDO PEÑATE Y DON QUIJOTE","02/12/2013","8-20","05/12/2013"
"DON QUIJOTE ALONSO QUIJANO Y JOSE LUIS GUERRA","02/12/2013","8-20","05/12/2013"
"J. PALOMEQUE ENTRE ALONSO QUIJANO Y DON QUIJOTE","02/12/2013","8-20","05/12/2013"
"ROQUE GUINART ENTRE ALONSO QUIJANO Y JOSELUIS GUERRA","02/12/2013","8-20","05/12/2013"
"SIN NOMBRE ENTRE DULCINEADEL TOBOSO Y EDUARDO PEÑATE","29/11/2013","8-20","04/12/2013"
"DULCINEA DEL TOBOSO ENTRE EDUAERDO PEÑATE T ALONSO QUIJANO","29/11/2013","8-20","04/12/2013"
"SANCHO PANZA ENTRE DON QUIJOTE Y DON QUIJOTE","29/11/2013","8-20","04/12/2013"
"LEON TOLTOI ENTRE TOMAS A. EDISON Y FDP GUANARTEME","28/11/2013","",""
"PROLONGACION AVA ALCALDE DIAZ SAAVEDRA NAVARRO ENTRE CALLEJONES Y PLAZA BENAMADENA","30/11/2013","9-13","30/11/2013"
"CARRETERA SIETE PUERTAS  31","29/11/2013","10-14","30/11/2013"
"doctor juan de padilla 40","04/12/2013","","04/12/2013"
"PALMAR ENTRE GORDILLO Y ARTEMI SEMIDAN","02/12/2013","","03/12/2013"
"portugal, 37","03/12/2013","10-14",""
"EL  MOLINO ENTRE ACEQUIA Y CARRETERA  C-813","17/12/2013","24","19/12/2013"
"PASEO JUAN CARLOS MARINA FIOL ENTRDA HOTEL STA CATALINA","12/12/2013","8-20","12/12/2013"
"PASEO GINER DE LOS RIOS SALIDA HOTEL SANTA CATALINA","12/12/2013","8-20","12/12/2013"
"SAUCILLO ENTRE  FAYA  44 Y PEREZ MUÑOZ","10/12/2013","10-14",""
"bandama s/n","12/12/2013","9-12",""
"siloe con golgota 5","16/12/2013","9/13",""
"fernando guanarteme entre leon tolstoi i viriato","16/12/2013","20-08 h","18/12/2013"
"acuarelista elias marrero  29","19/12/2013","8,30-12,30","19/12/2013"
"castrillo entre matias padron y molino de viento  32","17/12/2013","",""
"OBISPO RABADAN 68","28/12/2013","",""
"cebrian ,","30/12/2013","10 a 14","30/12/2013"
"aguadulce 59-61","10/01/2014","",""
"covadonga entre paseo de las  canteras y numancia  17","10/01/2014","8-12",""
"faro  86","22/01/2014","15-19",""
"castrillo  51  a","21/01/2014","10-14","22/01/2014"
"tormento  20","22/01/2014","",""
"29 de abril entre luis morote y ripoche","23/01/2014","8-20","23/01/2014"
