EJERCICIO,PROGRAMA,DESCRIPCIÓN
2014,"2314","GUARDERIAS Y LUGARES INFANTILES Y JUVENILES"
2014,"2315","CENTRO MUNICIPAL Y PROGRAMAS DE MAYORES"
2014,"2316","CENTRO MUNICIPAL Y PROGRAMAS DE MENORES"
2014,"2317","CENTRO MUNICIPAL Y PROGRAMAS DE EMERGENCIA"
2014,"2318","MAS CERCA SAM"
2014,"232","PROMOCION SOCIAL"
2014,"2320","PROMOCION SOCIAL"
2014,"2321","PROGRAMAS DE ANIMACION SOCIO-CULTURAL"
2014,"2322","PROMOCION DE ACTIVIDADES PARA LA MUJER"
2014,"233","ASISTENCIA A PERSONAS DEPENDIENTES"
2014,"2330","ASISTENCIA A PERSONAS DEPENDIENTES"
2014,"2333",""
2014,"24","FOMENTO DEL EMPLEO"
2014,"240","ADMON GENERAL DE FOMENTO DEL EMPLEO"
2014,"2400","INSTITUTO DE FORMACION Y EMPLEO"
2014,"241","FOMENTO DEL EMPLEO"
2014,"2410","FOMENTO DEL EMPLEO"
2014,"2411","AGENCIA DE COLOCACION"
2014,"2412","ESCUELAS TALLER, T DE EMPLEO  Y CASA DE OFICIO"
2014,"3","PRODUCCIÓN BIENES PÚBLICOS CARÁCTER PREFERENTE"
2014,"31","SANIDAD"
2014,"312","HOSPITALES, SERVICIOS ASISTENCIALES Y C.SALUD"
2014,"313","ACCIONES PúBLICAS RELATIVAS A LA SALUD."
2014,"3130","SALUD PUBLICA"
2014,"3131","LABORATORIO MEDIO AMBIENTAL"
2014,"3132","DESINFECCION, DESRATIZACION Y DESINSECTACION"
2014,"3133","INSPECCION SANITARIA"
2014,"3134","PARQUE ZOOSANITARIO"
2014,"32","EDUCACIóN"
2014,"320","ADMINISTRACION GENERAL DE EDUCACION"
2014,"321","EDUCACIóN PREESCOLAR Y PRIMARIA"
2014,"3210","EDUCACION PREESCOLAR Y PRIMARIA"
2014,"3214",""
2014,"3215",""
2014,"322","ENSEñANZA  SECUNDARIA"
2014,"3220","EDUCACION SECUNDARIA OBLIGATORIA"
2014,"323","PROMOCIóN EDUCATIVA"
2014,"3230","EDUCACION DE ADULTOS"
2014,"3231","CONSORCIO AYUNTAMIENTO UNED"
2014,"3232","CONSORCIO ESCUELA DE HOSTELERIA DE MALAGA"
2014,"3233","PROGRAMAS EDUCATIVOS"
2014,"3234","SERVICIOS EDUCATIVOS"
2014,"3235","FORMACION LABORAL"
2014,"324","SERVICIOS COMPLEMENTARIOS DE EDUCACION"
2014,"3240","EMPRESA DE LIMPIEZA MPAL Y PARQUE DEL OESTE"
2014,"33","CULTURA"
2014,"330","ADMINISTRACIóN GENERAL DE LA CULTURA"
2014,"3300","SERVICIOS GENERALES CULTURALES"
2014,"332","BIBLIOTECAS Y ARCHIVOS"
2014,"3320","ARCHIVO"
2014,"3321","BIBLIOTECAS MUNICIPALES"
2014,"333","MUSEOS Y ARTES PLáSTICAS"
2014,"3330","MUSEO CIUDAD DE MALAGA"
2014,"3331","CENTRO DE ARTE CONTEMPOR."
2014,"3332","MUSEO INTERACTIVO DE LA  MUSICA"
2014,"3333","MUSEO FELIX REVELLO DE TORO"
2014,"3334","FUNDACION PALACIO VILLALON"
2014,"3339","OTROS MUSEOS"
2014,"334","PROMOCIóN CULTURAL"
2014,"3340","OTRAS ACTIVIDADES CULTURALES"
2014,"3341","BANDA DE MUSICA"
2014,"3342","F.P. MUNICIPAL PABLO RUIZ PICASSO"
2014,"3343","SALAS DE EXPOSICIONES"
2014,"3344","EDIFICIO MAS JOVEN"
2014,"3345","PALACIO DE FERIAS Y CONGRESOS"
2014,"335","ARTES ESCéNICAS"
2014,"3350","TEATRO MUNICIPAL MIGUEL DE CERVANTES SAM"
2014,"3351","FESTIVAL CINE DE MALAGA E INICIATIVAS AUDIOV. S.A."
2014,"3352","CONSORCIO ORQUESTA CIUDAD DE MALAGA"
2014,"3353","CONSORCIO AUDITORIO CIUDAD DE LA MUSICA"
2014,"336","ARQUEOLOGíA Y PROTECCIóN PATR. HISTóRICO-ARTíSTICO"
2014,"3360","MONUMENTOS Y OTRO PATRIMONIO HISTORICO ARTISTICO"
2014,"337","OCIO Y TIEMPO LIBRE"
2014,"3370","ACTIVIDADES RECREATIVAS EN PLAYAS"
2014,"338","FIESTAS POPULARES Y FESTEJOS"
2014,"3380","FERIA DE MALAGA"
2014,"3381","OTROS FESTEJOS"
2014,"34","DEPORTE"
2014,"340","ADMINISTRACION GENERAL DE DEPORTES"
2014,"3400","F.P. DEPORTIVA MUNICIPAL"
2014,"3401","MALAGA DEPORTES Y EVENTOS SAM"
2014,"3402","ADMINISTRACION GENERAL DE DEPORTES"
2014,"341","PROMOCION Y FOMENTO DEL DEPORTE"
2014,"3410","PROMOCION DEL DEPORTE"
2014,"3411","ACTIVIDADES Y ESCUELAS DEPORTIVAS"
2014,"3412","JUEGOS DEPORTIVOS MUNICIPALES"
2014,"3413","CALIDAD Y DIVULGACIóN"
2014,"3414","EVENTOS DEPORTIVOS"
2014,"342","INSTALACIONES DEPORTIVAS"
2014,"3420","OTRAS INSTALACIONES DEPORTIVAS"
2014,"3421","INSTALACION DEPORTIVA TIRO DE PICHóN"
2014,"3422","INSTALACIóN DEPORIVA JOSé PATERNA"
2014,"3423","INSTALACIóN DEPORTIVA LA MOSCA"
2014,"3424","INSTALACIóN DEPORTIVA CIUDAD JARDíN"
2014,"4","ACTUACIONES DE CARÁCTER ECONOMICO"
2014,"41","AGRICULTURA, GANADERíA Y PESCA"
2014,"410","ADMóN GRAL DE AGRICULTURA, GANADERíA Y PESCA"
2014,"412","MEJORA ESTRUCT AGROPECUARIAS Y SIST PRODUCTIVOS"
2014,"414","DESARROLLO RURAL"
2014,"415","PROTECCIóN Y DESARROLLO DE RECURSOS PESQUEROS"
2014,"417","OTRAS ACTUACIONES AGRICULTURA, GANADERíA Y PESCA"
2014,"42","INDUSTRIA Y ENERGíA"
2014,"420","ADMóN GENERAL DE INDUSTRIA Y ENERGíA"
2014,"422","INDUSTRIA"
2014,"4220","REHAB Y GESTIÓN PARQUES INDUSTR Y EMPRESARIALES"
2014,"423","MINERíA"
2014,"425","ENERGíA"
2014,"4250","F.P. AGENCIA MPAL. DE LA ENERGIA DE MALAGA"
2014,"43","COMERCIO, TURISMO Y PEQUEñAS Y MEDIANAS EMPRESAS"
2014,"430","ADMóN GRAL COMERCIO, TURISMO Y PYMES"
2014,"4300","SERVICIO DE LICENCIA DE APERTURA"
2014,"4301","GESTION ADMINISTRATIVA DE LA VIA PUBLICA"
2014,"4309","ADMINISTRACION GENERAL DE COMERCIO"
2014,"431","COMERCIO"
2014,"4310","MERCADOS"
2014,"432","ORDENACIóN Y PROMOCIóN TURíSTICA"
2014,"4320","SERVICIOS GENERALES DE TURISMO"
2014,"4321","PROMOCION TURISTICA"
2014,"4322","INFORMACION TURISTICA"
2014,"4323","MALAGA CONVENTION BUREAU"
2014,"433","DESARROLLO EMPRESARIAL"
2014,"4330","EMPRESA M. INICIATIVAS Y ACT. EMPRESARIALES S.A."
2014,"4331","FOMENTO DE LA ACTIVIDAD ECONOMICA"
2014,"439","OTRAS ACTUACIONES SECTORIALES"
2014,"44","TRANSPORTE PUBLICO"
2014,"440","ADMINISTRACIóN GENERAL DE TRANSPORTE"
2014,"4400","TRANSPORTES"
2014,"4401","INSTITUTO MUNICIPAL DEL TAXI"
2014,"441","Promoción, mantenimiento y desarrollo transporte"
2014,"4410","EMPRESA MALAGUEÑA DE TRANSPORTES, S.A.M."
2014,"4411","CONSORCIO CENTRO TRANSPORTE DE MERCANCIAS"
2014,"4412","CONSORCIO DE TRANSPORTES DEL AREA DE MALAGA"
2014,"442","INFRAESTRUCTURAS DEL TRANSPORTE"
2014,"4420","INFRAESTRUCTURA DEL TRANSPORTE"
2014,"443","CEMENTERIOS POR ERROR MATERIAL DE HECHO"
2014,"4431","CEMENTERIOS POR ERROR MATERIAL DE HECHO"
2014,"45","INFRAESTRUCTURAS"
2014,"451","ADMóN GENERAL DE INFRAESTRUCTURAS"
2014,"4510","ADMINISTRACION GRAL DE INFRAESTRUCTURAS"
2014,"452","RECURSOS HIDRáULICOS"
2014,"4520","RECURSOS HIDRÁULICOS"
2014,"453","CARRETERAS"
2014,"4530","CARRETERAS"
2014,"454","CAMINOS VECINALES"
2014,"4540","CAMINOS VECINALES"
2014,"459","OTRAS INFRAESTRUCTURAS"
2014,"4590","OTRAS INFRAESTRUCTURAS"
2014,"46","INVESTIGACIóN, DESARROLLO E INNOVACIóN"
2014,"462","INVEST Y ESTUDIOS RELACIONADOS CON SERV PúBLICOS"
2014,"463","INVESTIGACIóN CIENTíFICA, TéCNICA Y APLICADA"
2014,"49","OTRAS ACTUACIONES DE CARáCTER ECONOMICO"
2014,"491","SOCIEDAD DE LA INFORMACION"
2014,"4910","EMPRESA MPAL. DE RADIO Y TELEVISION ONDA AZUL"
2014,"492","GESTION DEL CONOCIMIENTO"
2014,"4920","NUEVAS TECNOLOGIAS"
2014,"493","OFICINA DE  DEFENSA AL CONSUMIDOR"
2014,"4930","INSPECCION DE CONSUMO"
2014,"4931","JUNTA ARBITRAL DE CONSUMO"
2014,"9","ACTUACIONES DE CARÁCTER GENERAL"
2014,"91","ALTA DIRECCIóN"
2014,"912","ÓRGANOS DE GOBIERNO"
2014,"9120","ALCALDIA"
2014,"9121","CORPORACION Y GRUPOS POLITICOS"
2014,"9122","GABINETE DE PRESIDENCIA"
2014,"92","SERVICIOS DE CARáCTER GENERAL"
2014,"920","ADMINISTRACIóN GENERAL"
2014,"9200","ASESORIA JURIDICA"
2014,"9201","SECRETARIA GENERAL"
2014,"9202","PARQUE MOVIL"
2014,"9203","ORGANIZACION Y PERSONAL"
2014,"9204","FORMACION Y PERFECCIONAMIENTO"
2014,"9205","REGIMEN INTERIOR"
2014,"9206","SERVICIO DE PROGRAMAS EUROPEOS"
2014,"9209","OTROS SERVICIOS ADMINISTRATIVOS GENERALES"
2014,"922","COORD Y ORGANIZACIóN INSTITUCIONAL DE LAS EE. LL."
2014,"9220","PROTOCOLO Y RELACIONES INSTITUCIONALES"
2014,"9221","INFORMACION Y PUBLICACIONES"
2014,"923","INFORMACIóN BáSICA Y ESTADíSTICA"
2014,"9230","ESTADISTICA Y PADRONES"
2014,"924","PARTICIPACIóN CIUDADANA"
2014,"9240","FOMENTO DE PARTICIPACION Y RELACIONES CIUDADANAS"
2014,"9241","JUVENTUD"
2014,"925","ATENCION A LOS CIUDADANOS"
2014,"9250","JUNTAS DE DISTRITO"
2014,"926","COMUNICACIONES INTERNAS"
2014,"9260","SERVICIOS INFORMATICOS"
2014,"929","IMPREVISTOS Y FUNCIONES NO CLASIFICADAS"
2014,"9290","IMPREVISTOS"
2014,"93","ADMINISTRACIóN FINANCIERA Y TRIBUTARIA"
2014,"931","POLíTICA ECONóMICA Y FISCAL"
2014,"9310","ECONOMIA Y HACIENDA"
2014,"9311","INTERVENCION"
2014,"932","GESTIóN DEL SISTEMA TRIBUTARIO"
2014,"9320","GEST. TRIBUTARIA Y OTROS SERV. DEL AYTO. MALAGA"
2014,"9321","GESTION DE INGRESOS"
2014,"9322","JURADO TRIBUTARIO"
2014,"933","GESTIóN DEL PATRIMONIO"
2014,"9330","OTROS EDIFICIOS DE LA CORPORACIÓN"
2014,"9331","EDIFICIO CONSISTORIAL"
2014,"9332","EDIFICIO MUNICIPAL EN LA ANTIGUA FABRICA DE TABACO"
2014,"9339","GESTION DEL PATRIMONIO"
2014,"934","GESTIóN DE LA DEUDA Y LA TESORERíA"
2014,"9340","TESORERIA"
2014,"9341","GESTION DE LA DEUDA"
2014,"94","TRANSFERENCIAS A OTRAS ADMINISTRACIONES PúBLICAS"
2014,"941","TRANSFERENCIAS A COMUNIDADES AUTóNOMAS"
2014,"9410","TRANSF GENERICAS A LA JUNTA DE ANDALUCIA"
2014,"942","TRANSFERENCIAS A ENTIDADES LOCALES TERRITORIALES"
2014,"9420","TRANSF GENERICAS A EE LOCALES TERRITORIALES"
2014,"943","TRANSFERENCIAS A OTRAS ENTIDADES LOCALES"
2014,"9430","TRANSF GENERICAS A OTRAS ENTIDADES LOCALES"
2014,"944","TRANSFERENCIAS A LA ADMóN GRAL DEL ESTADO"
2014,"9440","TRANSF GENERICAS A LA ADMON GRAL DEL ESTADO"
