FID,ID_EQUIPAMIENTO,TOOLTIP,FINALIDAD,SDOPUNTO
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-a9c,1566,Sala de Exposiciones Moreno Villa,"Esta sala tiene una programación heterogénea. En ella caben exposiciones de artes plásticas clásicas y contemporáneas, exposiciones de fotografías, de artesanía, etc. 

",POINT (373437.3738174248 4065151.672161486)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-a9b,1574,Sala de Exposiciones Espacio Tres,<br>,POINT (373362.2452025407 4064964.1483112937)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-a9a,1581,Sala de Exposiciones del Ateneo de Málaga,<br>,POINT (372970.0761909885 4064902.2751874444)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-a99,1705,Rectorado de la Universidad de Málaga. Antiguo Edificio de Correos. Sala de exposiciones.,"PERIODO
Siglo XX

Edificio proyectado por Teodoro de Anasagasti, inagurado en 1923, para albergar las dependencias de correos. Su estilo Neomudéjar lo convierte en un hito arquitectónico muy valorado. Es de planta cuadrada con las esquinas de la fachada principal redondeadas, en las cuales se empotran unas torrecillas circulares, la de la izquierda sobresale en altura y se cubre con un tejadillo que le da una apariencia oriental. Edificio decorativo que mantuvo siempre una relación entre la estética y la funcionalidad, que prima por encima de cualquier otra consideración en el edificio. 

Este antiguo edificio de Correos y Telégrafos, ejerció su función hasta 1986. En la actualidad ha sido rehabilitado para convertirse en la sede del Rectorado de la Universidad de Málaga. ",POINT (373585.0772020241 4064750.025060442)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-a98,1186,Palacio Episcopal.  Sala de Exposiciones,"Periodo: Siglo XVI - XVIII.
Se conoce con este nombre a un conjunto de edificios que delimitan una amplia manzana comprendida entre las calles de Santa María, Molina Lario, Salinas, Fresca y Plaza del Obispo. 
Se trata de un conglomerado de construcciones diversas, de distintas formas y estilos, que han experimentado innumerables transformaciones a lo largo del tiempo en función de las necesidades de uso.
Exposición permanente de arte africano y contemporáneo. Ars Málaga.",POINT (373171.0284218524 4064779.4547071927)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-a97,1583,Sala de Exposiciones Denis Belgrano (Centro Cultural Provincial),Sala de exposiciones,POINT (372980.46788255934 4065361.505085542)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-a96,1903,Sala de Exposiciones Mingorance Acien,"<br>Exposiciones temporales de la obra pictórica del pintor Mingorance Acien, agrupadas por etapas. Durante todo el año.",POINT (372903.4014689241 4064442.7717628386)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-a95,2466,Arte Africano Antiguo,<br>,POINT (373320.47700618114 4065219.9796680785)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-a94,2770,La Caja Blanca,"Un lugar único, de vanguardia para difundir el arte y todas las creaciones artística imaginables e inimaginables: un espacio para la creación y el arte joven. Un lugar que ofrece a los ciudadanos/as la oportunidad de participar en los retos de la creación y de la expectación. Este centro de la imaginación es el futuro y se hace presente en la extraordinaria realidad cultural de Málaga y el gran momento de creatividad de sus jóvenes.",POINT (368293.15892833006 4065562.218792838)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-a93,1580,Sala de Exposiciones Sala Siglo Unicaja,<br>,POINT (373177.6645473789 4064925.826453678)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-a92,1582,Sala de Exposiciones José Nogales (Centro Cultural Provincial),<br>,POINT (372960.1424105057 4065376.2320286515)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-a91,3152,Sala de Exposiciones de la Fundación Picasso. Museo Casa Natal,Sala de Exposiciones temporales organizadas por la Fundación Picasso. Museo Casa Natal,POINT (373379.37488966045 4065155.8592698188)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-a90,34,Casa de la cultura Gerald Brenan (Distrito 8 - Churriana),"Casa de la cultura 'Gerald Brenan'.
Difusion y encauzamiento de todo tipo de actividades culturales, conferencias, exposiciones, talleres, aula abierta, etc....",POINT (365613.06310136407 4058896.727701168)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-a8f,6248,Salas de exposiciones La Coracha del Museo del Patrimonio Municipal de Málaga,"El Museo del Patrimonio Municipal cuenta, además del módulo original, con otro módulo de tres plantas, obra de los arquitectos Miguel Rodríguez González y Pau Soler Serratosa<br> que, adosado a la cara norte del edificio original y comunicado con él, supone una ampliación del espacio expositivo, utilizándose como salas para la celebración de exposiciones temporales<br> Estas salas están dispuesta en tres alturas con una superficie expositiva de unos 800 metros cuadrados<br> El edificio fue inaugurado en abril de 2003 con una exposición del Museo del Prado, que comenzaba su itinerancia en Málaga, titulada ""Carlos de Haes en el Museo del Prado (1826-1898)""<br>

A partir de entonces, en las salas de la Coracha se han organizado y producido exposiciones temporales tanto de pintura, escultura, fotografía, instalaciones<br> etc., que han permitido ofrecer y difundir la producción y las tendencias artísticas de autores y épocas muy diversas<br> Muchas de estas muestras, se han realizado en colaboración con Museos e instituciones y todas se completan con la publicación de catálogos que vienen a reforzar el carácter divulgativo de las mismas pudiendo ser adquiridos por el público en el propio Museo<br>
Para conocer las exposiciones que se han celebrado desde su inauguración hasta ahora se puede consultar la página web del área de cultura www.cultura.malaga.eu
",POINT (374101.90841656254 4064845.59888789)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-a8e,6188,Sala de Ámbito cultural de El Corte Inglés,<br>,POINT (372329.3222608787 4064584.4730313104)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-a8d,4079,"Biblioteca Pública Municipal ""Bernabé Fernández-Canivell""(Pedregalejo)","Biblioteca Pública Municipal que se encuentra en el distrito 2. Es un  centro vivo de cultura que pretende:<br>
<br>- Ofertar servicios que garanticen la igualdad de oportunidades en las fuentes de información, formación y ocio.
<br>- Crear y consolidar los hábitos de lectura y fomentar entre la población infantil y adulta el uso de las bibliotecas.
<br>- Estimular el interés en el conocimiento y favorecer el aprendizaje.
<br><br>
<b>Se ofrece:</b>
<br>
<br>- Información general.
<br>- Referencia e información bibliográfica.
<br>- Préstamo individual.
<br>- Préstamo interbibliotecario.
<br>- Lectura en sala: Infantil-Adultos.
<br>- Hemeroteca. 
<br>- Reserva de documentos.
<br>- Reprografía.
<br>- Disideratas.
<br>- Consulta CD-ROM.
<br>- Sección Local.
<br>- Audiovisuales (DVD, Videos, CDs musicales, CD-Rom...)
<br>- Multimedia.
<br>- Formación de usuarios
<br>- Actividades de dinamización y fomento a la lectura.",POINT (377250.17880830663 4064874.1945915823)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-a8c,5668,Sala de Exposiciones Manuel Barbadillo,Sala de exposiciones que recibe el nombre del pintor malagueño Manuel Barbadillo.,POINT (372718.30412401096 4064130.3899528477)
