Fecha de la Visita,Distrito,Barrio,Dirección,Origen Petición,Área Actuación,Servicios Aplicados,Vectores Tratados
15/04/2014,CRUZ DE HUMILLADERO,CRUZ DE HUMILLADERO,CL CONDE DE GUADALHORCE Nr: 15,Junta Municipal de Distrito,Otro Edificio de Depdencia Mun,Desinsectación;Desratización,Pulgas;Ratas
15/04/2014,BAILEN-MIRAFLORES,GAMARRA,PL BASCONIA Nr: 1,Linea 900,Privado,Control de Gaviotas,Gaviota
15/04/2014,CENTRO,PERCHEL SUR,CL CUARTELES Nr: 40,Linea 900,Privado,Control de Gaviotas,Gaviota
15/04/2014,CENTRO,LA MERCED,CL ALAMOS Nr: 45,Quejas y Sugerencias,Vía Pública,Desinsectación,Mosquitos
15/04/2014,CRUZ DE HUMILLADERO,CRUZ DE HUMILLADERO,CL HORACIO LENGO Nr: 14,Linea 900,Vía Pública,Desratización,Ratas
15/04/2014,ESTE,EL PALO,CL ANGEL DE ALORA Nr: 1,Linea 900,Vía Pública,Desinsectación,Pulgas
15/04/2014,CENTRO,CENTRO HISTORICO,CL RAMON FRANQUELO Nr: 1,Linea 900,Vía Pública,Desinsectación,Mosquitos
15/04/2014,ESTE,SAN ISIDRO,CL AMARANTO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
15/04/2014,ESTE,SAN FRANCISCO,CL IVAN TURGUENIEV Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
15/04/2014,ESTE,PARQUE DEL MORLACO,PQUE MORLACO DEL Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
15/04/2014,ESTE,EL MAYORAZGO,CL BRIDA DE LA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
15/04/2014,ESTE,LAS PALMERAS,CL PALMERAS DEL LIMONAR Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
15/04/2014,ESTE,LA VAGUADA,CL CHARLOT Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
15/04/2014,ESTE,HACIENDA CLAVERO,CL FEDERICO FELLINI Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
15/04/2014,CRUZ DE HUMILLADERO,CEMENTERIO SAN RAFAEL,CMNO SAN RAFAEL Nr: 90,Actuación Programada,Servicios Operativos,Desratización,Ratones;Ratas
15/04/2014,ESTE,MIRAFLORES ALTO,CL PABLO DE SARASATE Nr: 3,Linea 900,Privado,Desinsectación,Abejas
15/04/2014,CIUDAD JARDIN,CIUDAD JARDIN,CL ACTRIZ ROSARIO PINO Nr: 1,Linea 900,Vía Pública,Desratización,Ratas
15/04/2014,CHURRIANA,MAKRO,CRIL SAN ISIDRO Nr: 1,Linea 900,Vía Pública,Desratización,Ratas
15/04/2014,CRUZ DE HUMILLADERO,CRUZ DE HUMILLADERO,CL MERLO Nr: 9,ALTA DE OFICIO,Vía Pública,Control de Palomas,Paloma
15/04/2014,CENTRO,CAÑADA DE LOS INGLESES,AV PRIES Nr: 13,Linea 900,Vía Pública,Control de Palomas,Paloma
16/04/2014,CRUZ DE HUMILLADERO,LA BARRIGUILLA,CL SAINT EXUPERY Nr: 22,Actuación Programada,Otro Edificio de Depdencia Mun,INSPECCIÓN,Indeterminado
16/04/2014,CRUZ DE HUMILLADERO,SANTA MARTA,CMNO SAN RAFAEL Nr: 1,Actuación Programada,Otro Edificio de Depdencia Mun,INSPECCIÓN,Indeterminado
16/04/2014,CRUZ DE HUMILLADERO,LOS PRADOS,CL DRIZA Nr: 1,Actuación Programada,Centro Servicios Sociales,Desinsectación;Desratización,Cucarachas;Ratones
16/04/2014,ESTE,EL LIMONAR,PSO LIMONAR Nr: 1,Linea 900,Privado,Control de Gaviotas,Gaviota
16/04/2014,TEATINOS-UNIVERSIDAD,HACIENDA BIZCOCHERO,CL FRANZ KAFKA Nr: 8,Quejas y Sugerencias,Vía Pública,Desinsectación,Garrapatas
16/04/2014,CENTRO,LAGUNILLAS,CL GOMEZ SALAZAR Nr: 18,Linea 900,Vía Pública,Desratización,Ratas
16/04/2014,CHURRIANA,PARQUE EMP. AEROPUERTO,CTRA AEROCLUB Nr: 1,ALTA DE OFICIO,Vía Pública,Desratización,Ratas
16/04/2014,CHURRIANA,HELIOMAR,PJE DOCTOR RAMOS ACOSTA Nr: 2,CORREO ELECTRÓNICO,Vía Pública,Desinsectación;Desratización,Cucarachas;Ratas
16/04/2014,CHURRIANA,CHURRIANA,CL CORREOS Nr: 4,Linea 900,Vía Pública,Desratización,Ratas
16/04/2014,CIUDAD JARDIN,CIUDAD JARDIN,CL RAFAEL CALVO Nr: 37,Linea 900,Vía Pública,Desinsectación,Garrapatas
