ID;NOMBRE;DESCRIPCION;BAJA
80770;CM01513;1513 Ibarra - Pries;0
80924;CM01518;1518 Rosal 1;0
81078;CM01519;1519 Lucero - Juan de la Encina;0
81232;CM01520;1520 Juan Martín Díaz 4;0
81386;CM01521;1521 Juan de Canderrera 3;0
81540;CM01522;1522 CT Sevillana;0
81694;CM01523;1523 CT Sevillana;0
81848;CM01525;1525 Marmolistas;0
98372;CM01650;1650 Monte Sancha 2;0
98526;CM01651;1651 Cañada de los Ingleses 2;0
98680;CM01653;1653 Ramal Monte Sancha 16;0
98834;CM02306;2306 Bradamantes 5;0
98988;CM02574;2574 Bailaora Carmen Amaya 6;0
99296;CM02577;2577 Peinado Grande 21;0
99450;CM02582;2582 Pepote 5;0
99758;CM02587;2587 Ventura de la Vega 8;0
100066;CM02591;2591 Brasil 10;0
100220;CM02592;2592 Obispo Rodrigo de Soria 3;0
100374;CM02595;2595 Pintor José Ponce 18;0
100528;CM02596;2596 Conde de las Navas 43;0
100682;CM02605;2605 Avda Hernán Núñez de Toledo 1;0
100836;CM02606;2606 Glorieta Francisco Haro;0
100990;CM02607;2607 Camino de San Antón;0
101144;CM02611;2611 Martínez Falero 39;0
101298;CM02617;2617 Avda Juan Sebastián Elcano 189;0
102530;CM02641;2641 Maestro Solano - CT Sevillana;0
102684;CM02642;2642 José Mª Amado - CT Sevillana;0
102992;CM02645;2645 Camino Viejo de Vélez 6;0
103620;CM02657;2657 Sierra del Co;0
103460;CM02652;2652 Rocío 29;0
