FID,ogc_fid,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_331d,2685,POINT (372656.7960856811 4065069.7279283656),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Pasillo Guimbarda,1<br /> <div style='width: 400px'> <b>Desde:</b> 17-11-2015 - <b>Hora inicio:</b> <br /> <b>Hasta:</b> -- - <b>Hora fin:</b> <br /> </div> <hr> <b>Afectación:</b> Corte<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Corte sentido SUR obras metro. Itinerarios alternativos: 1)Av. Fátima,c/Mármoles,c/Armengual de la Mota; y 2)Av. Arroyo de los Ángeles,c/Mazarredo,c/Don Juan de Austria,c/Jaboneros,c/Armengual de la Mota<br /> <b>Notas:</b> UTE Metro Atarazanas </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_3328,2696,POINT (372783.64460919675 4064030.675488359),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Alameda de Colón,34<br /> <div style='width: 400px'> <b>Desde:</b> 17-01-2017 - <b>Hora inicio:</b> 08:00 <br /> <b>Hasta:</b> 17-01-2017 - <b>Hora fin:</b> 13:00 <br /> </div> <hr> <b>Afectación:</b> Ocupación de calzada<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Ocupación de calzada en Alameda de Colón nº 34 para realizar operaciones de carga y descarga de materiales.<br /> <b>Notas:</b> Particular. </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_3329,2697,POINT (372322.83159469574 4064652.381594869),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Don Cristian,9<br /> <div style='width: 400px'> <b>Desde:</b> 09-10-2017 - <b>Hora inicio:</b> 15:00 <br /> <b>Hasta:</b> 09-02-2018 - <b>Hora fin:</b> 20:00 <br /> </div> <hr> <b>Afectación:</b> Corte<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Corte de tráfico en c/Don Cristian en el tramo comprendido entre c/ Armengual de la Mota y c/ Don Ricardo,para realizar operaciones de carga y descarga.<br /> <b>Notas:</b> 4 meses de plazo,1 día a la semana,5 horas. Se cortará el tráfico en las calles indicadas y el estacionamiento en la zona de ocupación. </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_332a,2698,POINT (374141.22675916925 4064846.5873969877),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Paseo de Reding,37<br /> <div style='width: 400px'> <b>Desde:</b> 31-10-2017 - <b>Hora inicio:</b> 09:45 <br /> <b>Hasta:</b> 31-12-2017 - <b>Hora fin:</b> 12:15 <br /> </div> <hr> <b>Afectación:</b> Ocupación de calzada<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Ocupación de carril de circulación en Paseo de Reding,nº 37,para realizar operaciones de carga y descarga.<br /> <b>Notas:</b> Los trabajos deberán realizarse durante 2 meses,2 días a la semana,entre martes y jueves. </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_332b,2699,POINT (375375.27949293196 4065680.5932867853),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Monte Miramar,34<br /> <div style='width: 400px'> <b>Desde:</b> 27-09-2017 - <b>Hora inicio:</b> 09:30 <br /> <b>Hasta:</b> 27-02-2018 - <b>Hora fin:</b> 13:00 <br /> </div> <hr> <b>Afectación:</b> Corte<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Corte de tráfico para trabajos de carga y descarga y hormigonado por obra en c/ Monte Miramar nº34. (Expte. VE-2561/2017). Ampliación del plazo.<br /> <b>Notas:</b> Carga y descarga: 3 días a la semana - Martes,miércoles y jueves. </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_332c,2700,POINT (373041.69765223557 4065394.5641553593),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Parras,10<br /> <div style='width: 400px'> <b>Desde:</b> 18-04-2017 - <b>Hora inicio:</b> 09:00 <br /> <b>Hasta:</b> 18-04-2018 - <b>Hora fin:</b> 19:00 <br /> </div> <hr> <b>Afectación:</b> Ocupación de calzada<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Ocupación de vía pública en C/Parras nº10 para trabajos de hormigonado y carga y descarga.<br /> <b>Notas:</b> 2 días a la semana para hormigonado,de 09:00 a 13:00. 2 días a la semana de 15:00 a 19:00 para carga y descarga. Se permite el paso de residentes y vados autorizados </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_332d,2701,POINT (379052.4629668178 4064797.0549931186),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Rodrígo de Saavedra,<br /> <div style='width: 400px'> <b>Desde:</b> 29-08-2017 - <b>Hora inicio:</b> 09:30 <br /> <b>Hasta:</b> 28-02-2018 - <b>Hora fin:</b> 13:30 <br /> </div> <hr> <b>Afectación:</b> Ocupación de calzada<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Ocupación de calzada para operaciones de carga y descarga en c/Rodrigo de Saavedra con Isla Canarias. La ocupación será los martes miércoles y jueves de 9:30 - 13:30 horas.<br /> <b>Notas:</b> Particular </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_332e,2702,POINT (372759.03528127284 4064340.293317776),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> San Lorenzo,6<br /> <div style='width: 400px'> <b>Desde:</b> 18-10-2017 - <b>Hora inicio:</b> 08:00 <br /> <b>Hasta:</b> 18-11-2017 - <b>Hora fin:</b> <br /> </div> <hr> <b>Afectación:</b> Ocupación de calzada<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Ocupación de calzada en c/San Lorenzo,nº 6 para realizar trabajos en fachada. <br /> <b>Notas:</b> PROMOCIONES BEATAS,SL </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_332f,2703,POINT (373942.12759560975 4064738.223883707),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Maestranza,3<br /> <div style='width: 400px'> <b>Desde:</b> 16-01-2017 - <b>Hora inicio:</b> 08:00 <br /> <b>Hasta:</b> 17-01-2017 - <b>Hora fin:</b> 20:00 <br /> </div> <hr> <b>Afectación:</b> Ocupación de calzada<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Ocupación de calzada de la c/Maestranza a la altura de la finca nº 3 para realizar obras de abastecimiento de agua potable.<br /> <b>Notas:</b> EMASA Ocupación de calzada y prohibición de estacionamiento en la parada de Taxi existente a la altura de la finca nº2. </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_3330,2704,POINT (381490.3523622744 4063884.9304679227),AFECTACION," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Carretera de Almería,17<br /> <div style='width: 400px'> <b>Desde:</b> 22-11-2016 - <b>Hora inicio:</b> 10:30 <br /> <b>Hasta:</b> -- - <b>Hora fin:</b> 12:30 <br /> </div> <hr> <b>Afectación:</b> Ocupación de calzada<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Ocupación de Calzada en Carretera de Almería,17 para retirada de aceite usado.<br /> <b>Notas:</b> REMASUR MEDIO AMBIENTE,SL </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_3331,2705,POINT (372714.9689996342 4064638.88270031),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Pasillo Santa Isabel,<br /> <div style='width: 400px'> <b>Desde:</b> 25-09-2017 - <b>Hora inicio:</b> 08:00 <br /> <b>Hasta:</b> 25-01-2018 - <b>Hora fin:</b> 00:00 <br /> </div> <hr> <b>Afectación:</b> Ocupación de calzada<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> El tráfico rodado de Pasillo Santa Isabel en el tramo comprendido entre calle Prim y Plaza Arriola quedará en dos carriles sentido único desapareciendo el carril de acceso al parking Camas.<br /> <b>Notas:</b> Metro Malaga. </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_3332,2706,POINT (375375.27949293196 4065680.5932867853),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Monte Miramar,34<br /> <div style='width: 400px'> <b>Desde:</b> 27-09-2017 - <b>Hora inicio:</b> 08:00 <br /> <b>Hasta:</b> 17-02-2018 - <b>Hora fin:</b> 18:00 <br /> </div> <hr> <b>Afectación:</b> Corte<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Corte de tráfico para trabajos de carga y descarga y hormigonado por obra en c/ Monte Miramar,nº34. Ampliación del plazo.<br /> <b>Notas:</b> Hormigonado 3 días a la semana - Lunes,miércoles y viernes,durante 3 meses. </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_3333,2707,POINT (373891.9107363648 4066918.0356039563),AFECTACION," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Tréboles,2<br /> <div style='width: 400px'> <b>Desde:</b> 05-12-2016 - <b>Hora inicio:</b> 08:00 <br /> <b>Hasta:</b> 09-12-2016 - <b>Hora fin:</b> 20:00 <br /> </div> <hr> <b>Afectación:</b> Corte<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Corte de calle para realizar obras correspondientes al proyecto de remodelación de las Conducciones de conexión del depósito de aceiteros.<br /> <b>Notas:</b> EMASA </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_3334,2708,POINT (371282.284492993 4063789.587862448),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Antonio Martelo,10<br /> <div style='width: 400px'> <b>Desde:</b> 16-01-2017 - <b>Hora inicio:</b> 08:00 <br /> <b>Hasta:</b> 30-01-2017 - <b>Hora fin:</b> 20:00 <br /> </div> <hr> <b>Afectación:</b> Ocupación de calzada<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Aprovechamiento de los recursos subterráneos,distrito municipal nº6,Cruz de Humilladero. Fase II. Ampliación de la Red de Baldeo de la Unión a C/Reboul y Santa Julia.<br /> <b>Notas:</b> EMASA </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_3335,2709,POINT (371058.21818824625 4063700.5282921772),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Camino de San Rafael,16<br /> <div style='width: 400px'> <b>Desde:</b> 17-01-2017 - <b>Hora inicio:</b> 08:00 <br /> <b>Hasta:</b> 31-01-2017 - <b>Hora fin:</b> 20:00 <br /> </div> <hr> <b>Afectación:</b> Ocupación de calzada<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Aprovechamiento de los recursos subterráneos,distrito municipal nº 6,Cruz de Humilladero. Fase II. Ampliación de la red de baldeo de la Unión a C/ Reboul y Santa Julia.<br /> <b>Notas:</b> EMASA. Ocupación de carril derecho y zona de aparcamiento. </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_3336,2710,POINT (372722.7149171756 4064667.173853456),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Plaza Arriola,<br /> <div style='width: 400px'> <b>Desde:</b> 18-07-2016 - <b>Hora inicio:</b> 00:01 <br /> <b>Hasta:</b> -- - <b>Hora fin:</b> 23:59 <br /> </div> <hr> <b>Afectación:</b> Corte<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Ocupación carril de circulación en Plaza Arriola para obras de instalación de isla ecológica.<br /> <b>Notas:</b> </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_3337,2711,POINT (371517.30694319983 4062275.4091813345),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Concejal Muñoz Cervan,<br /> <div style='width: 400px'> <b>Desde:</b> 23-10-2017 - <b>Hora inicio:</b> 10:00 <br /> <b>Hasta:</b> 03-11-2017 - <b>Hora fin:</b> 20:00 <br /> </div> <hr> <b>Afectación:</b> Corte<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Corte del vial de servicio de c/Pacífico,c/Concejal Muñoz Cerván y Pintor Pepe Bornoy para mejoras de drenaje urbano de la barriada Dos Hermanas hasta el mar.<br /> <b>Notas:</b> EMASA </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_3338,2712,POINT (371123.177107514 4063505.2535430966),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Pedro de Paz,3<br /> <div style='width: 400px'> <b>Desde:</b> 09-01-2017 - <b>Hora inicio:</b> 08:00 <br /> <b>Hasta:</b> 23-01-2017 - <b>Hora fin:</b> 20:00 <br /> </div> <hr> <b>Afectación:</b> Ocupación de estacionamiento<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Proyecto de 'Aprovechamiento de los Recursos Subterráneos Distrito Municipal nº6 Cruz de Humilladero. Fase II: Ampliación de la Red de Baldeo de La Unión a c/ Reboul y Santa Julia'.<br /> <b>Notas:</b> Emasa </hr> ",,,,,-1,-1,-1,0,
