FID,residuo,recogida,volumen,cantidad,fecha,tooltip,geometry
da_industria.fid--295bdb9_15f5b982349_-1b03,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T06:56:35.703,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368157.5528478058 4063574.5812871866)
da_industria.fid--295bdb9_15f5b982349_-1b02,INDUSTRIA,CARGA TRASERA,5000,1,2017-08-31T09:01:41.58,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368262.8330204655 4063505.7327445825)
da_industria.fid--295bdb9_15f5b982349_-1b01,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T07:09:23.4,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368394.49579499126 4063555.097124396)
da_industria.fid--295bdb9_15f5b982349_-1b00,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T07:13:39.23,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368416.2166148303 4063403.3365654936)
da_industria.fid--295bdb9_15f5b982349_-1aff,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T07:24:48.5,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368132.13133893267 4063985.4546357584)
da_industria.fid--295bdb9_15f5b982349_-1afe,INDUSTRIA,CARGA TRASERA,5000,1,2017-09-25T09:56:43.633,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368124.7677289543 4063779.7182725463)
da_industria.fid--295bdb9_15f5b982349_-1afd,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T07:32:29.093,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368309.43376735965 4064044.370890975)
da_industria.fid--295bdb9_15f5b982349_-1afc,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T07:34:45.897,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368308.8411450801 4064017.5383070414)
da_industria.fid--295bdb9_15f5b982349_-1afb,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T07:41:08.823,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368313.2049510651 4063960.4769934104)
da_industria.fid--295bdb9_15f5b982349_-1afa,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T07:43:57.723,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368310.58811366843 4063844.917277202)
