FID,serial,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,domicilio,tipo
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6725,4851,POINT (369302.1332835972 4063662.1071845414),,,,,,,-1,-1,-1,0,,C/ Robinson Crusoe_ 12,3
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6726,4852,POINT (372655.50342832174 4067697.0201776153),,,,,,,-1,-1,-1,0,,Av. Jane Bowles_ 15 Local 8,3
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6727,4853,POINT (372918.293465352 4064518.4660608666),,,,,,,-1,-1,-1,0,,Alameda Principal_ nº 16 (Librería Luces),5
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6728,4854,POINT (361604.1528507758 4066279.3797554383),,,,,,,-1,-1,-1,0,,Av. Juan López Peñalver_ 2,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6729,4855,POINT (368112.7265757038 4062522.3026276915),,,,,,,-1,-1,-1,0,,C/ Tarquina_ 25,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_672a,4856,POINT (362739.40561097104 4065197.5618988206),,,,,,,-1,-1,-1,0,,C/ José Calderón_ 23,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_672b,4857,POINT (359950.94704701845 4066394.914636453),,,,,,,-1,-1,-1,0,,Travesía Maqueda_ 58,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_672c,4858,POINT (369536.8617163324 4064291.814564269),,,,,,,-1,-1,-1,0,,C/ Fiscal Luis Portero García_ 6,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_672d,4859,POINT (365661.3673639606 4059011.684244572),,,,,,,-1,-1,-1,0,,C/ Silencio_ 22 Local A,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_672e,4860,POINT (372942.0130154488 4064621.253996259),,,,,,,-1,-1,-1,0,,C/ Puerta del Mar_ 5,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_672f,4861,POINT (374409.55147230794 4064856.6896557664),,,,,,,-1,-1,-1,0,,Av. de Príes_ 16,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6730,4862,POINT (372488.0514691888 4064120.3374115415),,,,,,,-1,-1,-1,0,,C/ Cuarteles Ed. Julián_16,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6731,4863,POINT (372815.1051428851 4065060.8345899587),,,,,,,-1,-1,-1,0,,C/ Carretería_ 27,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6732,4864,POINT (371720.1867932505 4063198.995004306),,,,,,,-1,-1,-1,0,,C/ Ayala_  84,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6733,4865,POINT (373394.39892801835 4065077.172243766),,,,,,,-1,-1,-1,0,,C/ Plaza de la Merced_ 2,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6734,4866,POINT (373148.3133245942 4065810.9234456825),,,,,,,-1,-1,-1,0,,Alameda de Capuchinos_ 5,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6735,4867,POINT (372042.80802852253 4064624.910962188),,,,,,,-1,-1,-1,0,,C/ Esperanto_ 11,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6736,4868,POINT (372087.1978603449 4063588.498644541),,,,,,,-1,-1,-1,0,,C/ Ayala_ 22,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6737,4869,POINT (372322.15258920833 4063934.293823799),,,,,,,-1,-1,-1,0,,C/ Cuarteles_ 62,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6738,4870,POINT (371528.479323255 4063311.650763934),,,,,,,-1,-1,-1,0,,C/ Domingo de Oureta_ 17,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6739,4871,POINT (372905.18886994995 4064491.8913583066),,,,,,,-1,-1,-1,0,,Alameda  Principal (kiosko),1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_673a,4872,POINT (371157.4572491231 4065851.1688108877),,,,,,,-1,-1,-1,0,,Av. Miraflores de los Ángeles_  3 L-1,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_673b,4873,POINT (373904.67386644566 4065530.4760062313),,,,,,,-1,-1,-1,0,,C/ Barcenillas_ 1,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_673c,4874,POINT (371576.7011941875 4062943.0218468527),,,,,,,-1,-1,-1,0,,C/ La Hoz_ 20 22 1-B,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_673d,4875,POINT (372953.426798385 4064596.6193887778),,,,,,,-1,-1,-1,0,,C/ Martínez_ 3,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_673e,4876,POINT (372943.5591530292 4065402.063981429),,,,,,,-1,-1,-1,0,,C/ Ollerías_ 53,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_673f,4877,POINT (373093.04359041643 4064944.171846433),,,,,,,-1,-1,-1,0,,C/ Granada_ 11,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6740,4878,POINT (371446.04002735065 4065919.6265966794),,,,,,,-1,-1,-1,0,,Pza. Monseñor Bocanegra_ 7,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6741,4879,POINT (373025.8478658603 4064481.5842799316),,,,,,,-1,-1,-1,0,,Alameda Principal_ 11,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6742,4880,POINT (372815.61550273246 4064922.5951018133),,,,,,,-1,-1,-1,0,,C/ Compañía_ 36,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6743,4881,POINT (371746.1671565933 4064039.8603431247),,,,,,,-1,-1,-1,0,,Pso. De los Tilos_ 36,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6744,4882,POINT (372195.62173110544 4064944.526098336),,,,,,,-1,-1,-1,0,,C/ Marmoles_ 64,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6745,4883,POINT (371307.5240450708 4064967.872221734),,,,,,,-1,-1,-1,0,,C/ Martínez Maldonado_ 70,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6746,4884,POINT (374258.9215763093 4064744.389065821),,,,,,,-1,-1,-1,0,,C/ Puerto_ 14  (Keromnés),1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6747,4885,POINT (372414.0089014516 4065396.2037075),,,,,,,-1,-1,-1,0,,C/ D. Juan de Austria_ 33,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6748,4886,POINT (373172.03800115985 4066796.8785353233),,,,,,,-1,-1,-1,0,,Plaza Nazaret_ 9,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6749,4887,POINT (373050.2030758033 4064654.683696777),,,,,,,-1,-1,-1,0,,C/ Marqués de Larios_ 10,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_674a,4888,POINT (370954.8196213094 4062769.355280489),,,,,,,-1,-1,-1,0,,Av de la Paloma_ 39,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_674b,4889,POINT (369482.39512815553 4065008.8717675204),,,,,,,-1,-1,-1,0,,Carril del Capitán 64,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_674c,4890,POINT (370115.2324224172 4062021.898291562),,,,,,,-1,-1,-1,0,,Av. de Bonaire_ 1,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_674d,4891,POINT (368162.3759195104 4064506.113375714),,,,,,,-1,-1,-1,0,,C/ Jiménez Fraud_ 7,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_674e,4892,POINT (372962.52039707766 4064540.3654591334),,,,,,,-1,-1,-1,0,,Puerta del Mar_ 15,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_674f,4893,POINT (373178.82138766185 4064593.5645815395),,,,,,,-1,-1,-1,0,,Plaza de la Marina_ 4,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6750,4894,POINT (370858.61853899417 4065020.950732877),,,,,,,-1,-1,-1,0,,Av. Carlos Haya_ 60,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6751,4895,POINT (368630.4422308841 4064757.543468716),,,,,,,-1,-1,-1,0,,Av José Rivera_ 39,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6752,4896,POINT (367641.77139825304 4065050.4817227456),,,,,,,-1,-1,-1,0,,C/ Aristofánes_ 9,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6753,4897,POINT (379353.7797930562 4064776.1745032026),,,,,,,-1,-1,-1,0,,Ctera. de Olías_ 48,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6754,4898,POINT (371602.6519262114 4065551.9826888046),,,,,,,-1,-1,-1,0,,C/ Moraima_ 8,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6755,4899,POINT (375095.160012117 4065038.197707516),,,,,,,-1,-1,-1,0,,Pso. Sancha_ 63,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6756,4900,POINT (376662.9418206836 4065341.346006869),,,,,,,-1,-1,-1,0,,Pso. Cerrado Calderón_ 18,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6757,4901,POINT (368457.44359727844 4065328.6005010647),,,,,,,-1,-1,-1,0,,C/ navarro Ledesma_ 144,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6758,4902,POINT (371535.65885649284 4062839.91466698),,,,,,,-1,-1,-1,0,,C/ La Hoz_ 37,9
