ID;MARCA;MODELO;FABRICANTE;DESCRICION;NIVEL;FECHA_TOMA_DATO
1;Cesva;LRF-04;CESVA;Limitadores;51.6;24-FEB-11 12.14.48,017169 PM
1;Cesva;LRF-04;CESVA;Limitadores;79.9;24-FEB-11 12.14.48,074778 PM
1;Cesva;LRF-04;CESVA;Limitadores;80.2;24-FEB-11 12.14.48,091382 PM
1;Cesva;LRF-04;CESVA;Limitadores;81.4;24-FEB-11 12.15.34,901365 PM
1;Cesva;LRF-04;CESVA;Limitadores;67.1;24-FEB-11 12.15.34,908575 PM
1;Cesva;LRF-04;CESVA;Limitadores;53.1;24-FEB-11 12.15.34,938783 PM
1;Cesva;LRF-04;CESVA;Limitadores;53.1;24-FEB-11 12.15.34,944299 PM
1;Cesva;LRF-04;CESVA;Limitadores;83.6;24-FEB-11 12.15.35,284232 PM
1;Cesva;LRF-04;CESVA;Limitadores;85.6;24-FEB-11 12.15.35,299547 PM
1;Cesva;LRF-04;CESVA;Limitadores;84.5;24-FEB-11 12.15.35,306883 PM
1;Cesva;LRF-04;CESVA;Limitadores;80.6;25-FEB-11 05.00.45,731114 AM
1;Cesva;LRF-04;CESVA;Limitadores;51.5;25-FEB-11 05.00.45,910917 AM
1;Cesva;LRF-04;CESVA;Limitadores;51.5;25-FEB-11 05.00.46,006455 AM
1;Cesva;LRF-04;CESVA;Limitadores;51.6;25-FEB-11 05.00.46,070234 AM
1;Cesva;LRF-04;CESVA;Limitadores;71.5;25-FEB-11 05.00.46,274551 AM
1;Cesva;LRF-04;CESVA;Limitadores;82.8;25-FEB-11 05.00.46,280898 AM
1;Cesva;LRF-04;CESVA;Limitadores;83.9;25-FEB-11 05.00.46,298403 AM
1;Cesva;LRF-04;CESVA;Limitadores;88.8;26-FEB-11 12.01.54,185902 PM
1;Cesva;LRF-04;CESVA;Limitadores;80.2;26-FEB-11 12.01.54,215887 PM
1;Cesva;LRF-04;CESVA;Limitadores;86.9;26-FEB-11 12.01.54,351725 PM
1;Cesva;LRF-04;CESVA;Limitadores;87.8;26-FEB-11 12.01.54,358429 PM
1;Cesva;LRF-04;CESVA;Limitadores;86.2;26-FEB-11 12.01.54,363533 PM
1;Cesva;LRF-04;CESVA;Limitadores;87.9;27-FEB-11 12.01.40,623736 PM
1;Cesva;LRF-04;CESVA;Limitadores;79;27-FEB-11 12.01.40,632042 PM
1;Cesva;LRF-04;CESVA;Limitadores;97.8;27-FEB-11 12.01.40,803832 PM
1;Cesva;LRF-04;CESVA;Limitadores;98.1;27-FEB-11 12.01.40,823959 PM
1;Cesva;LRF-04;CESVA;Limitadores;97.8;27-FEB-11 12.01.40,844962 PM
1;Cesva;LRF-04;CESVA;Limitadores;93.5;27-FEB-11 12.01.40,850167 PM
1;Cesva;LRF-04;CESVA;Limitadores;85;28-FEB-11 05.02.08,210968 PM
1;Cesva;LRF-04;CESVA;Limitadores;98.4;28-FEB-11 05.02.08,353775 PM
1;Cesva;LRF-04;CESVA;Limitadores;98.2;28-FEB-11 05.02.08,358314 PM
1;Cesva;LRF-04;CESVA;Limitadores;97.8;28-FEB-11 05.02.08,363449 PM
1;Cesva;LRF-04;CESVA;Limitadores;94.5;28-FEB-11 05.02.08,368015 PM
1;Cesva;LRF-04;CESVA;Limitadores;83.4;01-MAR-11 12.00.39,053991 PM
1;Cesva;LRF-04;CESVA;Limitadores;69.9;01-MAR-11 12.00.39,060745 PM
1;Cesva;LRF-04;CESVA;Limitadores;51.3;01-MAR-11 12.00.39,083181 PM
1;Cesva;LRF-04;CESVA;Limitadores;51.4;01-MAR-11 12.00.39,089172 PM
1;Cesva;LRF-04;CESVA;Limitadores;86.3;01-MAR-11 12.00.39,186495 PM
1;Cesva;LRF-04;CESVA;Limitadores;92;01-MAR-11 12.00.39,192605 PM
1;Cesva;LRF-04;CESVA;Limitadores;92.9;01-MAR-11 12.00.39,197983 PM
1;Cesva;LRF-04;CESVA;Limitadores;91.3;01-MAR-11 12.00.39,203577 PM
1;Cesva;LRF-04;CESVA;Limitadores;81.2;02-MAR-11 05.00.42,903766 AM
1;Cesva;LRF-04;CESVA;Limitadores;53.8;02-MAR-11 05.00.43,035415 AM
1;Cesva;LRF-04;CESVA;Limitadores;50.8;02-MAR-11 05.00.43,041378 AM
1;Cesva;LRF-04;CESVA;Limitadores;50.8;02-MAR-11 05.00.43,051854 AM
1;Cesva;LRF-04;CESVA;Limitadores;86.3;02-MAR-11 05.00.43,175910 AM
1;Cesva;LRF-04;CESVA;Limitadores;88.5;02-MAR-11 05.00.43,181252 AM
1;Cesva;LRF-04;CESVA;Limitadores;84.9;02-MAR-11 05.00.43,187051 AM
1;Cesva;LRF-04;CESVA;Limitadores;79.9;03-MAR-11 05.00.48,812326 AM
1;Cesva;LRF-04;CESVA;Limitadores;66.1;03-MAR-11 05.00.50,644002 AM
1;Cesva;LRF-04;CESVA;Limitadores;50.3;03-MAR-11 05.00.51,095300 AM
1;Cesva;LRF-04;CESVA;Limitadores;50.7;03-MAR-11 05.00.51,268163 AM
1;Cesva;LRF-04;CESVA;Limitadores;83.4;03-MAR-11 05.00.52,362745 AM
1;Cesva;LRF-04;CESVA;Limitadores;82.7;03-MAR-11 05.00.52,382169 AM
1;Cesva;LRF-04;CESVA;Limitadores;82.4;03-MAR-11 05.00.52,391860 AM
1;Cesva;LRF-04;CESVA;Limitadores;88.8;04-MAR-11 05.00.43,180223 AM
1;Cesva;LRF-04;CESVA;Limitadores;50.9;04-MAR-11 05.00.43,245521 AM
1;Cesva;LRF-04;CESVA;Limitadores;58.5;04-MAR-11 05.00.43,251788 AM
1;Cesva;LRF-04;CESVA;Limitadores;51;04-MAR-11 05.00.43,288349 AM
1;Cesva;LRF-04;CESVA;Limitadores;51.6;04-MAR-11 05.00.43,484161 AM
1;Cesva;LRF-04;CESVA;Limitadores;82.9;04-MAR-11 05.00.43,490463 AM
1;Cesva;LRF-04;CESVA;Limitadores;85.3;04-MAR-11 05.00.43,517227 AM
1;Cesva;LRF-04;CESVA;Limitadores;86.9;05-MAR-11 05.00.46,692436 AM
1;Cesva;LRF-04;CESVA;Limitadores;72.5;05-MAR-11 05.00.46,834502 AM
1;Cesva;LRF-04;CESVA;Limitadores;90.3;05-MAR-11 05.00.47,996587 AM
1;Cesva;LRF-04;CESVA;Limitadores;93.5;05-MAR-11 05.00.48,009818 AM
