Fecha de la Visita,Distrito,Barrio,Dirección,Origen Petición,Área Actuación,Servicios Aplicados,Vectores Tratados
04/09/2017,CARRETERA DE CADIZ,VIRGEN DE BELEN,AV VIRGEN DE BELEN Nr: 5,Quejas y Sugerencias,Vía Pública,Desratización,Ratas
04/09/2017,BAILEN-MIRAFLORES,FLORISOL,CL GALENO Nr: 1,ALTA DE OFICIO,Vía Pública,Desratización,Ratas
04/09/2017,CHURRIANA,CHURRIANA,CL MONSALVEZ Nr: 1,GECOR,Vía Pública,Desinsectación,Pulgas
04/09/2017,BAILEN-MIRAFLORES,PARQUE VICTORIA EUGENIA,AV ARROYO DE LOS ANGELES Nr: 93,GECOR,Vía Pública,Desinsectación;Desratización,Cucarachas;Ratas
04/09/2017,BAILEN-MIRAFLORES,GRANJA SUAREZ,CL VICTORIA KENT Nr: 1,GECOR,Vía Pública,Desinsectación,Garrapatas;Cucarachas
04/09/2017,BAILEN-MIRAFLORES,PARQUE VICTORIA EUGENIA,CL NUESTRA SEÑORA DE LOS CLARINES Nr: 6,GECOR,Vía Pública,Desratización,Ratas
04/09/2017,CRUZ DE HUMILLADERO,CAMINO DE ANTEQUERA,CL JUAN BAUTISTA MAURY Nr: 18,GECOR,Vía Pública,Desinsectación;Desratización,Cucarachas;Ratas
04/09/2017,CRUZ DE HUMILLADERO,SANTA JULIA,CL CARCELERAS Nr: 7,GECOR,Vía Pública,Desinsectación,Cucarachas
04/09/2017,CRUZ DE HUMILLADERO,PORTADA ALTA,CL GORRION Nr: 5,GECOR,Vía Pública,Desratización,Ratas
04/09/2017,ESTE,EL PALO,CL URUGUAY Nr: 33,GECOR,Vía Pública,Desratización,Ratas
04/09/2017,ESTE,VALLE DE LOS GALANES,CL CONDE DE LAS NAVAS Nr: 35,GECOR,Vía Pública,Desinsectación,Mosquitos
04/09/2017,CENTRO,PINARES DE OLLETAS,CMNO COLMENAR Nr: 77,GECOR,Vía Pública,Desinsectación,Pulgas
04/09/2017,PUERTO DE LA TORRE,SOLIVA ESTE,CL NAVARRO LEDESMA Nr: 198,GECOR,Vía Pública,Desratización,Ratas
04/09/2017,PUERTO DE LA TORRE,TORREMAR,CL ESCRITOR JACOBO ORELLANA ESPEJO Nr: 8,GECOR,Vía Pública,Desinsectación,Mosquitos
04/09/2017,PUERTO DE LA TORRE,LOS ASPERONES 1 Y 3,CL ASPERONES LOS 3 Nr: 33,Servicios Sociales,Privado,Desinsectación;Desratización,Cucarachas;Ratas
04/09/2017,CARRETERA DE CADIZ,SANTA ISABEL,CL ABUL BEKA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
04/09/2017,CARRETERA DE CADIZ,SAN ANDRES,PSO MARITIMO ANTONIO BANDERAS Nr: 24,Actuación Programada,Vía Pública,Desratización,Ratas
04/09/2017,CARRETERA DE CADIZ,AVE MARIA,CL JESUS CORCHON Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
04/09/2017,CARRETERA DE CADIZ,TABACALERA,CL CONCEJAL MUÑOZ CERVAN Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
04/09/2017,CARRETERA DE CADIZ,TORRES DE LA SERNA,CL PEÑON DEL BERRUECO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
04/09/2017,TEATINOS-UNIVERSIDAD,TORRE ATALAYA,CL NAVARRO LEDESMA Nr: 164,Actuación Programada,Vía Pública,Desratización,Ratas
04/09/2017,TEATINOS-UNIVERSIDAD,EL TEJAR,CL MARIA DE LA CRUZ Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
05/09/2017,CARRETERA DE CADIZ,ARDIRA,PL AVICENA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
05/09/2017,CARRETERA DE CADIZ,PACIFICO,CL PACIFICO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
05/09/2017,CENTRO,CENTRO HISTORICO,CL RODRIGUEZ RUBI Nr: 1,Actuación Programada,Colégio Público,Desratización,Ratas
05/09/2017,CAMPANILLAS,COLMENAREJO,CL PRINCIPAL DE COLMENAREJO Nr: 1,Actuación Programada,Colégio Público,Desratización,Ratas
05/09/2017,CAMPANILLAS,HUERTECILLA MAÑAS,CL SAMANIEGO Nr: 80,Actuación Programada,Colégio Público,Desratización,Ratas
05/09/2017,CENTRO,CENTRO HISTORICO,PL CONSTITUCION Nr: 9,GECOR,Privado,Control de Gaviotas,Gaviota
05/09/2017,CAMPANILLAS,COLMENAREJO,CL PRINCIPAL DE COLMENAREJO Nr: 1,GECOR,Colégio Público,Desratización,Ratones;Ratas
05/09/2017,CENTRO,CENTRO HISTORICO,CL RODRIGUEZ RUBI Nr: 3,GECOR,Colégio Público,Desinsectación;Desratización,Cucarachas;Ratas
05/09/2017,CENTRO,CENTRO HISTORICO,CL RODRIGUEZ RUBI Nr: 3,GECOR,Colégio Público,Control de Palomas,Paloma
05/09/2017,PUERTO DE LA TORRE,LOS ASPERONES 1 Y 3,CL ASPERONES LOS 3 Nr: 11,Servicios Sociales,Privado,Desinsectación,Cucarachas
05/09/2017,CARRETERA DE CADIZ,PARQUE DEL GUADALHORCE,AV VELAZQUEZ Nr: 279,Actuación Programada,paraje natural,Desinsectación,Mosquitos
05/09/2017,CENTRO,LA VICTORIA,CL VICTORIA Nr: 24,GECOR,Vía Pública,Desratización,Ratas
05/09/2017,CENTRO,LOS ANTONIOS,CL DECANO IGNACIO ALAMINOS Nr: 6,GECOR,Vía Pública,Desinsectación,Pulgas;Cucarachas
05/09/2017,CIUDAD JARDIN,HERRERA ORIA,CL VIRGEN DE LA SIERRA Nr: 2,GECOR,Vía Pública,Desratización,Ratas
05/09/2017,CIUDAD JARDIN,SAN JOSE,CL HOYO DEL SANTO Nr: 19,GECOR,Vía Pública,Desinsectación,Mosquitos
05/09/2017,CARRETERA DE CADIZ,PUERTA BLANCA,CL VIÑA DEL MAR Nr: 10,GECOR,Vía Pública,Desratización,Ratas
05/09/2017,CARRETERA DE CADIZ,LA PAZ,CL BRAHMS Nr: 5,GECOR,Vía Pública,Desinsectación,Cucarachas
05/09/2017,CARRETERA DE CADIZ,25 AÑOS DE PAZ,CL COMANDANTE ROMAN Nr: 12,GECOR,Vía Pública,Desinsectación,Cucarachas
05/09/2017,BAILEN-MIRAFLORES,LA TRINIDAD,CL RAFAELA Nr: 29,GECOR,Vía Pública,Desinsectación,Cucarachas
05/09/2017,CAMPANILLAS,ROQUERO,CL PENELOPE Nr: 8,GECOR,Vía Pública,Desratización,Ratas
05/09/2017,CAMPANILLAS,ROQUERO,CL PENELOPE Nr: 30,GECOR,Vía Pública,Desratización,Ratas
05/09/2017,CAMPANILLAS,HUERTECILLA MAÑAS,CL SAMANIEGO Nr: 80,GECOR,Colégio Público,Desinsectación;Desratización,Cucarachas;Ratones;Ratas
05/09/2017,CENTRO,LAGUNILLAS,CL PINILLOS Nr: 5,Ciudadano,Vía Pública,Desratización,Ratones;Ratas
05/09/2017,CENTRO,PINARES DE OLLETAS,CMNO COLMENAR Nr: 85,Ciudadano,Vía Pública,Desinsectación;Desratización,Pulgas;Cucarachas;Ratas
05/09/2017,TEATINOS-UNIVERSIDAD,CORTIJO ALTO,CL QUASIMODO Nr: 1,ALTA DE OFICIO,Vía Pública,Desinsectación,Moscas;Pulgas
05/09/2017,CIUDAD JARDIN,PARQUE DEL SUR,AV NUESTRA SEÑORA DE LAS GUIAS Nr: 9,GECOR,Vía Pública,Control de Palomas,Paloma
05/09/2017,CARRETERA DE CADIZ,LOS GIRASOLES,CL METRALLA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
05/09/2017,CARRETERA DE CADIZ,VIRGEN DE BELEN,CL CHICO DEL MATADERO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
05/09/2017,CARRETERA DE CADIZ,SAN CARLOS,CL FRANCISCO DE SALINAS Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
06/09/2017,CARRETERA DE CADIZ,POL IND CARRANZA,CL ALCALDE ISIDORO ENCISO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
06/09/2017,CARRETERA DE CADIZ,LA PAZ,CL RAVEL Nr: 2,GECOR,Vía Pública,Desratización,Ratas
06/09/2017,CAMPANILLAS,SANTA ROSALIA,CL ITACA Nr: 21,GECOR,Vía Pública,Desinsectación,Mosquitos
06/09/2017,PUERTO DE LA TORRE,PERI PT-4 LOS ALMENDROS,CL PLAUTO Nr: 22,GECOR,Vía Pública,Desinsectación,Mosquitos
06/09/2017,PUERTO DE LA TORRE,EL ATABAL,CL MALAKA Nr: 4,GECOR,Vía Pública,Desinsectación;Desratización,Mosquitos;Cucarachas;Ratas
06/09/2017,CRUZ DE HUMILLADERO,SANTA CRISTINA,CL ARENISCA Nr: 12,Ciudadano,Vía Pública,Desratización,Ratas
06/09/2017,BAILEN-MIRAFLORES,FLORISOL,CMNO CORTA Nr: 1,ALTA DE OFICIO,Vía Pública,Desratización,Ratas
