"codBus","codLinea","sentido","lon","lat","codParIni"
"602","20.0","2","-4.4477167","36.708008","2457"
"624","20.0","1","-4.437781","36.713093","406"
"662","20.0","1","-4.4218316","36.746773","228"
"655","20.0","2","-4.4252644","36.72162","202"
"665","20.0","2","-4.4769597","36.699272","2451"
"601","21.0","2","-4.437994","36.72154","847"
"523","21.0","1","-4.4242063","36.71708","3701"
"654","21.0","1","-4.436338","36.721603","802"
"555","21.0","1","-4.468108","36.7306","2102"
"651","21.0","2","-4.4439635","36.72162","845"
"579","21.0","2","-4.496917","36.75975","2151"
"591","21.0","1","-4.479236","36.736256","2106"
"495","21.0","2","-4.4783688","36.734833","2162"
"671","22.0","2","-4.474868","36.716335","2206"
"479","22.0","2","-4.4574256","36.708725","463"
"478","22.0","1","-4.4466367","36.71131","1560"
"467","22.0","2","-4.444006","36.708313","1517"
"534","22.0","1","-4.4544644","36.692997","2201"
"584","23.0","1","-4.4293065","36.719208","621"
"520","23.0","1","-4.482176","36.724323","2305"
"572","23.0","1","-4.477364","36.72448","2313"
"690","23.0","2","-4.4470987","36.722202","844"
"663","25.0","1","-4.505988","36.71317","2503"
"648","25.0","2","-4.449012","36.71495","2055"
"603","25.0","1","-4.553061","36.736794","2519"
"647","25.0","2","-4.43707","36.717014","1461"
"674","25.0","2","-4.546973","36.729202","2556"
"645","25.0","1","-4.4288116","36.716663","1701"
"633","25.0","2","-4.5570893","36.735497","2554"
"519","27.0","1","-4.4281487","36.712914","2416"
"507","28.0","2","-4.5156794","36.780136","2851"
"504","29.0","1","-4.352928","36.722176","2929"
"632","31.0","2","-4.4402013","36.70002","357"
"565","31.0","2","-4.4580426","36.685085","3117"
"497","31.0","1","-4.4502907","36.71927","1410"
"564","31.0","2","-4.4413967","36.71846","3159"
"587","32.0","2","-4.425358","36.71699","3263"
"581","32.0","2","-4.3994045","36.729965","3253"
"585","32.0","1","-4.422858","36.717445","3208"
"999","33.0","1","-4.383525","36.72935","3305"
"461","33.0","2","-4.4106874","36.721115","1170"
"630","33.0","1","-4.428338","36.715893","3328"
"705","34.0","2","-4.429917","36.717083","3263"
"505","34.0","1","-4.3687654","36.725555","3415"
"563","35.0","1","-4.42817","36.715885","3208"
"686","36.0","2","-4.4241333","36.71737","1803"
"502","37.0","1","-4.413615","36.72751","104"
"501","37.0","2","-4.412764","36.736687","3753"
"508","37.0","2","-4.418931","36.71882","1803"
"527","38.0","1","-4.427088","36.71789","3701"
"524","38.0","2","-4.4512444","36.722946","885"
"580","40.0","2","-4.421155","36.71616","462"
"521","62.0","2","-4.475493","36.716824","820"
"641","75.0","1","-4.421115","36.718243","166"
"643","75.0","2","-4.438492","36.702595","354"
"683","75.0","2","-4.4902883","36.677067","1956"
"707","71.0","1","-4.428871","36.71322","306"
"715","71.0","2","-4.416697","36.72337","170"
"714","71.0","2","-4.4309607","36.72567","957"
"713","71.0","1","-4.444465","36.72686","923"
"716","71.0","2","-4.422105","36.717888","166"
"712","72.0","1","-4.4311175","36.7263","963"
"711","72.0","1","-4.4163365","36.73302","107"
"709","72.0","1","-4.4246516","36.71695","118"
"708","72.0","2","-4.4385095","36.727562","606"
"710","72.0","1","-4.4136705","36.72016","1201"
"513","73.0","1","-4.396841","36.72384","3207"
"588","65.0","2","-4.4999757","36.715473","6552"
"528","65.0","2","-4.470937","36.71745","816"
