FECHA, PRODUCCION
2013-11-17, 128.28
2013-11-18, 123.63
2013-11-19, 155.11
2013-11-20, 150.97
2013-11-21, 71
2013-11-22, 109.43
2013-11-23, 68.74
2013-11-24, 159.67
2013-11-25, 157.11
2013-11-26, 155.53
2013-11-27, 113.12
2013-11-28, 47.79
2013-11-29, 156
2013-11-30, 143.3
2013-12-01, 156.88
2013-12-02, 150.48
2013-12-03, 118.88
2013-12-04, 70.95
2013-12-05, 145.92
2013-12-06, 147.04
2013-12-07, 148.74
2013-12-08, 146.33
2013-12-09, 79.64
2013-12-10, 115.34
2013-12-11, 128.88
2013-12-12, 121.26
2013-12-13, 101.06
2013-12-14, 96.38
2013-12-15, 117.77
2013-12-16, 61.77
2013-12-17, 26.01
2013-12-18, 61.62
2013-12-19, 54.5
2013-12-20, 152.91
2013-12-21, 144.12
2013-12-22, 139.91
2013-12-23, 74.84
2013-12-24, 25.36
2013-12-25, 10.1
2013-12-26, 159.24
2013-12-27, 137.48
2013-12-28, 110.29
2013-12-29, 154.06
2013-12-30, 123.21
2013-12-31, 131.28
