"EPIGRAFE","SUBEPIGRAFE","TOTAL ESTABLECIMIENTOS","TOTAL ESTABLECIMIENTOS VISITADOS","TOTAL INSPECIONES","TOTAL ANOMALIAS","TOTAL ACTUACIONES","MES"
"HOSTELERIA","CAFETERIAS CON COCINA, BARES, TABERNAS",2816,27,29,10,11,"MARZO"
"HOSTELERIA","CAFETERIAS SIN COCINA, BARES, TABERNAS",727,6,7,1,1,"MARZO"
"HOSTELERIA","RESTAURANTE, VENTA, CHIRINGUITO, PIZZERIA, CHINO",1123,12,17,0,1,"MARZO"
"HOSTELERIA","COMEDORES ESCOLARES",46,3,4,1,0,"MARZO"
"SERVICIOS PROFESIONALES","ESTETICA, BELLEZA",351,4,4,2,1,"MARZO"
"SERVICIOS PROFESIONALES","PELUQUERIAS",1449,6,6,2,0,"MARZO"
"ENSEÑANZA","COLEGIOS, INSTITUTOS",150,6,8,3,0,"MARZO"
"ENSEÑANZA","JARDIN INFANTIL",194,7,10,2,0,"MARZO"
"OCIO","SALONES RECREATIVOS, CLUBS SOCIALES, PEÑAS",114,1,1,1,0,"MARZO"
"HOTELES","HOTELES",166,3,5,2,0,"MARZO"
"HOTELES","HOSTALES",27,1,1,0,0,"MARZO"
"HOTELES","RESIDENCIAS Y ALBERGUES",37,1,1,0,0,"MARZO"
"HOTELES","RESIDENCIAS DE ANCIANOS",82,0,0,0,2,"MARZO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","MATADERO VACUNO,OVINO,CAPRINO",1,1,28,0,0,"ABRIL"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONSERVAS CARNE, AHUMADOS, EMBUTIDOS, SALAZONES",15,2,3,0,0,"ABRIL"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONGELACION PESCADO, PRODUCTOS DE PESCA",13,2,3,0,0,"ABRIL"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION P. LACTEOS, LECHE, YOGUR, MANTEQUILLA",3,1,2,0,0,"ABRIL"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION BEBIDAS ALCOHOLICAS, REFRESCOS",13,2,2,0,0,"ABRIL"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION ACEITES",7,3,10,0,0,"ABRIL"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION POLIVALENTES",11,3,3,0,1,"ABRIL"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CATERING ELABORACION COMIDAS",23,1,1,0,2,"ABRIL"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","OBRADOR DE PANADERIA Y CONFITERIA",348,5,6,2,1,"ABRIL"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","MATADERO DE AVES",2,1,19,0,0,"ABRIL"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","SALA DESPIECE CARNE VACUNO PORCINO",16,8,11,2,2,"ABRIL"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","SALA DESPIECE AVES",5,2,2,1,0,"ABRIL"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION DE ADITIVOS",2,1,2,0,1,"ABRIL"
"INDUSTRIA NO ALIMENTARIA FABRICACION","FABRICACION PRODUCTOS FARMACEUTICOS",2,1,3,0,1,"ABRIL"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN CARNES FRESCAS, CONGELADOS, REFRIGERADOS",35,5,7,0,0,"ABRIL"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN PESCADOS FRESCOS, CONGELADOS, CONSERVAS",46,1,2,0,0,"ABRIL"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN FRUTAS,HORTALIZAS,TUBERCULOS,LEGUMBRES",76,1,1,0,3,"ABRIL"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN PASTELERIA, PANADERIA",18,2,2,0,0,"ABRIL"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN HUEVOS",10,3,4,0,0,"ABRIL"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN BEBIDAS ALCOHOLICAS, REFRESCANTES",68,3,3,1,0,"ABRIL"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIOS FRIGORIFICOS POLIVALENTES",86,6,14,1,0,"ABRIL"
