"EPIGRAFE","SUBEPIGRAFE","TOTAL ESTABLECIMIENTOS","TOTAL ESTABLECIMIENTOS VISITADOS","TOTAL INSPECIONES","TOTAL ANOMALIAS","TOTAL ACTUACIONES","MES"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","OBRADOR DE PANADERIA Y CONFITERIA",348,8,8,1,0,"OCTUBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION DE HELADOS",10,1,1,0,0,"OCTUBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","MATADERO DE AVES",2,1,4,0,0,"OCTUBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","SALA DESPIECE CARNE VACUNO PORCINO",16,4,5,2,3,"OCTUBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","SALA DESPIECE AVES",5,3,8,1,0,"OCTUBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION DE ADITIVOS",2,1,1,0,0,"OCTUBRE"
"INDUSTRIA NO ALIMENTARIA FABRICACION","FABRICACION PRODUCTOS FARMACEUTICOS",2,0,0,0,1,"OCTUBRE"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN CARNES FRESCAS, CONGELADOS, REFRIGERADOS",35,1,2,0,0,"OCTUBRE"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN PESCADOS FRESCOS, CONGELADOS, CONSERVAS",46,2,4,0,0,"OCTUBRE"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN FRUTAS,HORTALIZAS,TUBERCULOS,LEGUMBRES",76,4,4,0,1,"OCTUBRE"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN PASTELERIA, PANADERIA",18,1,1,0,0,"OCTUBRE"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN LACTEOS",18,1,1,0,1,"OCTUBRE"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN BEBIDAS ALCOHOLICAS, REFRESCANTES",68,3,3,0,0,"OCTUBRE"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIOS FRIGORIFICOS POLIVALENTES",86,2,12,0,0,"OCTUBRE"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIO POLIVALENTE NO FRIGORIFICO",137,4,4,1,5,"OCTUBRE"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ADITIVOS Y ESPECIAS",16,2,2,0,1,"OCTUBRE"
"COMERCIO MENOR ALIMENTARIO","CARNICERIAS, CHARCUTERIAS, SALCHICHAS",499,10,11,1,2,"OCTUBRE"
"COMERCIO MENOR ALIMENTARIO","PESCADERIAS",420,2,2,0,0,"OCTUBRE"
"COMERCIO MENOR ALIMENTARIO","FRUTERIAS",425,3,3,3,1,"OCTUBRE"
"COMERCIO MENOR ALIMENTARIO","PANADERIAS",508,6,8,3,0,"OCTUBRE"
"COMERCIO MENOR ALIMENTARIO","ULTRAMARINOS, SUPERMERCADOS, TIENDAS COMESTIBLES",1542,12,12,2,2,"OCTUBRE"
"COMERCIO MENOR ALIMENTARIO","COMERCIO ALIMENTOS CONGELADOS POLIVALENTE",143,4,4,0,2,"OCTUBRE"
"COMERCIO MENOR ALIMENTARIO","MENOR VINOS, LICORES, AGUARDIENTES",34,1,1,1,0,"OCTUBRE"
"COMERCIO MENOR ALIMENTARIO","MENOR FRUTOS SECOS, CARAMELOS, GOLOSINAS",201,2,2,0,0,"OCTUBRE"
"COMERCIO MENOR ALIMENTARIO","ASADOR DE POLLOS Y COMIDAS ELABORADAS",299,3,5,2,1,"OCTUBRE"
"COMERCIO MENOR ALIMENTARIO","CARNICERIAS CON ELABORACION",16,2,2,1,0,"OCTUBRE"
"COMERCIO MENOR ALIMENTARIO","PASTELERIAS",59,1,1,0,0,"OCTUBRE"
"COMERCIO MENOR NO ALIMENTARIO","HERBORISTERIAS, ESPECIAS",164,5,7,0,1,"OCTUBRE"
"HOSTELERIA","HELADERIAS",100,1,1,0,1,"OCTUBRE"
"HOSTELERIA","CAFETERIAS CON COCINA, BARES, TABERNAS",2816,17,24,6,3,"OCTUBRE"
"HOSTELERIA","CAFETERIAS SIN COCINA, BARES, TABERNAS",727,0,0,0,4,"OCTUBRE"
"HOSTELERIA","RESTAURANTE, VENTA, CHIRINGUITO, PIZZERIA, CHINO",1123,21,27,1,6,"OCTUBRE"
"SERVICIOS PROFESIONALES","ESTETICA, BELLEZA",351,6,6,0,0,"OCTUBRE"
"SERVICIOS PROFESIONALES","PELUQUERIAS",1449,4,4,1,0,"OCTUBRE"
"ENSEÑANZA","COLEGIOS, INSTITUTOS",150,4,5,1,0,"OCTUBRE"
"ENSEÑANZA","JARDIN INFANTIL",194,7,11,1,1,"OCTUBRE"
"OCIO","SALONES RECREATIVOS, CLUBS SOCIALES, PEÑAS",114,1,1,0,0,"OCTUBRE"
"OCIO","COMPLEJOS DEPORTIVOS Y RECREATIVOS",166,1,1,0,0,"OCTUBRE"
"HOTELES","HOTELES",166,6,10,4,0,"OCTUBRE"
"HOTELES","APARTAHOTELES",2,1,2,0,0,"OCTUBRE"
"HOTELES","RESIDENCIAS DE ANCIANOS",82,4,6,1,0,"OCTUBRE"
