DATA_ACCIDENT,ANY_ACCIDENT,MES_ACCIDENT,HORA_ACCIDENT
08/10/2017,2017,10,22:45
10/10/2017,2017,10,17:00
10/10/2017,2017,10,19:15
11/10/2017,2017,10,12:55
06/10/2017,2017,10,22:40
11/10/2017,2017,10,18:20
30/05/2016,2016,5,08:00
14/05/2016,2016,5,21:30
13/05/2016,2016,5,13:05
13/05/2016,2016,5,11:45
12/05/2016,2016,5,21:00
12/05/2016,2016,5,14:10
11/05/2016,2016,5,18:32
11/05/2016,2016,5,15:28
11/05/2016,2016,5,12:45
10/05/2016,2016,5,12:00
02/06/2016,2016,6,13:30
01/06/2016,2016,6,13:10
01/06/2016,2016,6,16:20
09/04/2017,2017,4,07:55
09/04/2017,2017,4,11:30
09/04/2017,2017,4,16:13
13/10/2017,2017,10,18:00
14/10/2017,2017,10,07:20
16/10/2017,2017,10,14:00
14/10/2017,2017,10,13:45
19/10/2017,2017,10,16:07
20/10/2017,2017,10,13:40
21/10/2017,2017,10,14:20
20/10/2017,2017,10,22:52
23/10/2017,2017,10,11:19
23/10/2017,2017,10,13:00
24/10/2017,2017,10,16:12
25/10/2017,2017,10,06:05
25/10/2017,2017,10,18:15
25/10/2017,2017,10,11:05
03/04/2017,2017,4,09:00
03/04/2017,2017,4,16:46
03/04/2017,2017,4,17:40
04/04/2017,2017,4,18:00
05/04/2017,2017,4,08:00
05/04/2017,2017,4,14:20
05/04/2017,2017,4,22:00
05/04/2017,2017,4,21:45
06/04/2017,2017,4,08:05
06/04/2017,2017,4,09:30
20/06/2016,2016,6,13:15
19/06/2016,2016,6,02:20
19/06/2016,2016,6,14:15
19/06/2016,2016,6,16:40
18/06/2016,2016,6,19:15
18/06/2016,2016,6,11:31
17/06/2016,2016,6,16:51
17/06/2016,2016,6,13:12
17/06/2016,2016,6,05:50
15/06/2016,2016,6,17:05
15/06/2016,2016,6,07:35
15/06/2016,2016,6,10:05
14/06/2016,2016,6,16:20
13/06/2016,2016,6,14:03
11/06/2016,2016,6,21:30
