ID,DATA_CONVOCATORIA,ANY_CONVOCATORIA,CODI_TIPUS_CONVOCATORIA,TIPUS_CONVOCATORIA,CODIGO_CONVOCATORIA,CONVOCATORIA,MESA_CODI,MESA_DISTRICTE,MESA_SECCIO,MESA,MESA_OBERTA,MESA_COMUNICADA,MESA_HORA_COMUNICADA,MESA_CENS,MESA_AVANÇ1,MESA_AVANÇ2,MESA_AVANÇ3,MESA_VOTS_NULS,MESA_VOTS_BLANCS,MESA_TOTAL_VOTS,PARTIT_ENTEL,PARTIT_COLOR,PARTIT_CODI,PARTIT_SIGLES,PARTIT_NOM,PARTIT_VOTS,TOTAL_CENS,TOTAL_AVANC1,TOTAL_AVANC2,TOTAL_AVANC3,TOTAL_VOTS_NULS,TOTAL_VOTS_BLANCS,DADES,ESTAT
2016-C2016-3904-296,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3904,1,3,A,SI,SI,22:47,505,172,233,342,1,1,342,8,#97668B,296,ECP,En Comú Podem,117,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3904-14,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3904,1,3,A,SI,SI,22:47,505,172,233,342,1,1,342,9,#FF0000,14,PCPC,Partit Comunista del Poble de Catalunya,0,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3905-200,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3905,1,3,B,SI,SI,22:49,679,243,341,473,1,7,473,1,#DF0101,200,PSC,Partit Socialistes de Catalunya,118,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3905-4,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3905,1,3,B,SI,SI,22:49,679,243,341,473,1,7,473,2,#FFBF00,4,ERC-CATSÍ,Esquerra Republicana de Catalunya-Catalunya Sí,53,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3905-2,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3905,1,3,B,SI,SI,22:49,679,243,341,473,1,7,473,3,#2E9AFE,2,PP,Partit Popular,45,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3905-222,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3905,1,3,B,SI,SI,22:49,679,243,341,473,1,7,473,4,#6B8B23,222,PACMA,Partit Antitaurí Contra el Maltractament Animal,14,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3905-223,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3905,1,3,B,SI,SI,22:49,679,243,341,473,1,7,473,5,#EF7A36,223,Cs,Ciutadans - Partido de la Ciudadania,61,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3905-298,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3905,1,3,B,SI,SI,22:49,679,243,341,473,1,7,473,6,#08088A,298,CDC,Convergencia Democràtica de Catalunya,14,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3905-294,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3905,1,3,B,SI,SI,22:49,679,243,341,473,1,7,473,7,#008000,294,RECORTESCERO,Recortes Cero-Grupo Verde,1,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3905-296,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3905,1,3,B,SI,SI,22:49,679,243,341,473,1,7,473,8,#97668B,296,ECP,En Comú Podem,159,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
