MESA_CODI,MESA_AVANÇ3,MESA_CENS,MESA_VOTS_NULS,MESA_VOTS_BLANCS,PARTIT_VOTS,DADES,ANY_CONVOCATORIA,CODI_TIPUS_CONVOCATORIA,TIPUS_CONVOCATORIA,CONVOCATORIA,MESA_OBERTA,MESA_AVANÇ1,MESA_AVANÇ2
3829,628,855,0,3,625,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,326,516
3825,370,562,0,2,368,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,195,311
3855,375,534,1,0,374,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,188,316
3873,423,625,1,1,421,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,216,334
3893,518,677,4,3,511,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,221,406
3875,467,695,1,3,463,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,259,378
3859,424,557,3,3,418,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,216,348
3853,310,444,2,1,307,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,159,255
3858,608,865,3,1,604,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,321,513
3857,558,781,2,1,555,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,289,472
3876,515,723,2,2,511,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,252,415
