ACTIVITAT,NOM_COMERCIAL,EMPLAÇAMENT,ZONA,WEB
VENDA AL DETALL DE CARBURANTS PER A MOTORS DE COMBUSTIÓ INTERNA,AGIP,"AV ELECTRICITAT, 40",DA3,
ESTACIÓ DE SERVEI,AGIP,"AV ELECTRICITAT, 40",DA3,
VENDA AL DETALL D'ANIMALS DE COMPANYIA I COMPLEMENTS,AGRIFAUNA,"C MARCONI, 3",DA6,
"VENDA AL DETALL DE FLORS, PLANTES, ADOBS I COMPLEMENTS",AGROROSELL,"C MENDEZ NUÑEZ, 10 01",DA4,
OFICINA D'ASSEGURANCES I ASSESSORIA,AGS ASESORIA GESTORA DE SEGUROS,"C PASTORA (LA), 23",DA5,
TALLER D'ENQUADERNACIÓ,AGT,"AV OLIMPIADES, 93-95 NV 05",PI. CAN ROSES,
BAR,BAR TORRES,"PG TORRES, 102 LOC 07",DA3,
PERRUQUERIA I CENTRE D'ESTÈTICA,AGUEDA ESTILISME,"C SAGUNT, 15",DA5,
PERRUQUERIA,AGUILA PELUQUERIA,"C MILA I FONTANALS, 11 PB 03",DA6,
MAGATZEM DE PRODUCTES D'INFORMÀTICA DE VENDA A L'ENGRÒS,AIGUAMOLLS E. INFORMATICA,"C EIVISSA, 2 PB 02",DA5,
MAGATZEM D'ACCESORIS HIDRÀULICS,AINTAS,"CAMI RIERA, 14-16 NV 01",PI. COVA SOLERA,
CAFETERÍA + ZONA PARA VENTA DE GOLOSINAS,AIXÒ ÉS DOLÇ,"C DOCTOR FERRAN, 13 PB 01",DA3,
OFICINA DE REFORMES,AL DISEÑO Y REFORMAS,"C DOCTOR ROBERT, 33",DA4,
CLÍNICA DENTAL,ALBE CLINIDENT,"C MONTURIOL, 4A 02 01",DA6,
MAGATZEM I OFICINA PRIVADA,ALBOEX PERIFERICOS,"PG TORRES, 100 LOC 04",DA3,
VENDA A L'ENGRÒS DE MAQUINÀRIA INDUSTRIAL,"ALBOEX, SL","PTGE DOCTOR FERRAN, 16 NV 17",PI. CA N'ALZAMORA,
IMPRESSIÓ DE TEXTOS O IMATGES PER QUALSEVOL PROCEDIMENT,ALCANTARA CANO,"C LUXEMBURG, 8-10 NV 02",PI. COVA SOLERA,
TALLER DE SERRALLERIA,ALDIM CERRAJERIA,"AV OLIMPIADES, 93-95 NV 06",PI. CAN ROSES,
COMERÇ AL DETALL DE ROBA,ALFONSI COSTURAS,"C PINTOR MURILLO, 72",DA4,
LLENCERIA,ALICIA ROBA INTERIOR,"C PITAGORAS, 1",DA6,
"COMERÇ AL DETALL DE PRODUCTES D'ALIMENTACIÓ, VENDA DE PA I PASTISSERIA",ALIMENTACIO SASA,"CTRA TERRASSA, 9 LOC",,
CARNISSERIA,ALIMENTACION CARNICERIA MOFADEL,"C BASSES, 3",DA4,
COMERÇ AL DETALL D'ALIMENTACIÓ AMB VENDA DE PA,ALIMENTACION LING,"C SANT CUGAT, 8 PB",DA4,
COMERÇ AL DETALL D'ALIMENTS I ALTRES,ALIMENTACIÓ,"C FONT DEL FERRO, 42-44 PB A",DA5,
COMERÇ AL DETALL D'ALIMENTACIÓ I CARNISSERIA,ALIMENTACIÓ ALAN I YOUNESS,"AV CAN CABANYES, 4 Esc 3 ST 06",DA3,
COMERÇ AL DETALL D'ALIMENTACIÓ,ALIMENTACIÓ CAN MIR,"AV CAN MIR, 221",DA2,
AUTOSERVEI AMB VENDA DE PA,ALIMENTACIÓ MAO,"AV BARCELONA, 64",DA4,
NETEJA I ENVASAT DE SERRADURES,ALMACEN DE SERRIN GOMA,"CTRA MOLINS DE REI, Km 8,7",PI. CAN JARDI,
VENDA AL DETALL DE JOIERIA I BIJUTERIA,ALONSO,"C MAXIMI FORNES, 27",DA4,
MAGATZEM I OFICINES PER COMERÇ A L'ENGRÒS DE MATERIALS DE CONSTRUCCIÓ,ALPIMA,"AV ELECTRICITAT, 19 01 04",PI. CA N'ALZAMORA,
TALLER MECANIC DE REPARACIO DE VEHICLES (LLOGUER DE BOXES),ALQUILER DE BOXES VALLES,"AV COVA SOLERA, 9",PI. COVA SOLERA,
FUSTERIA METÀL·LICA,ALU-MAR,"C OR, 20",DA1,
FUSTERIA METÀL·LICA,ALUINTER,"AV ESTATUT, 295",PI. CTRA. TERRASSA,
FUSTERIA METÀL·LICA,ALUINTER,"AV ESTATUT, 295",PI. CTRA. TERRASSA,
FUSTERIA METÀL·LICA,ALUJECAR,"C MURCIA, 33",DA5,
CARNISSERIA AMB OBRADOR,ALUJU,"AV BARCELONA, 41",DA4,
SERRALLERIA,"ALUMEC RUBI, SL","AV GAUDI, 144",PI. CAN PI DE VILAROC,
INSTAL.LACIONS METÀL.LIQUES,ALUMINIER TECHNAL,"C LONDRES, 5-11 NV 02",PI. COVA SOLERA,
FUSTERIA METÀL·LICA,ALUMINIOS ARCO,"C SEVILLA, 4",DA5,
FUSTERIA METÀL·LICA,"ALUMINIS CRISTALLERIA RIDOSA, SL","AV CAN SUCARRATS, 91-95 NV 13",PI. COVA SOLERA,
MAGATZEM MAQUINÀRIA INDUSTRIAL,AM ARISTEGUI MAQUINARIA,"C COLLITA, 44",PI. LA BASTIDA,
RESIDÈNCIA GERIÀTRICA,AMANECER,"C SANT JAUME, 28A",DA4,
TALLER MECÀNIC DE REPARACIÓ,AMC,"C LUXEMBURG, 14-16 NV 07",PI. COVA SOLERA,
COMERÇ AL DETALL DE TOT TIPUS D'ALIMENTS,AMN FORN DE PA I ALIMENTACIO,"C SABADELL, 22 PB 02",DA5,
FUSTERIA,AMOGAR,"PTGE DOCTOR FERRAN, 18 NV 18",PI. CA N'ALZAMORA,
REPARACIÓ D'ARTICLES ELECTRÒNICS,AMR ENERGIA,"AV ESTATUT, 223",DA5,
SERVEIS DE TOPOGRAFIA,"AMT, SL","C MARCONI, 1 04 01",DA6,
COMERÇ A L'ENGRÒS DE PERFILS DE PRODUCTES PLÀSTICS,ANDARIO PLASTICS,"AV GAUDI, 74 NV 08",PI. CAN PI DE VILAROC,
magatzem de productes farmacèutics,ANDERSEN-RUBINUM,"AV LLANA, 123-125",PI. LA LLANA,
VENDA AL DETALL DE LLENCERIA,ANG&LO,"C BARTRINA, 27 PB 02",DA6,
CENTRE DE FISIOTERÀPIA,ANNA FISIOTERÀPIA,"C RIERA, 12-14 PB 02",DA4,
TRACTAMENT I RECOBRIMENT DE METALLS,ANODIZADOS OLIVA,"C BACH, 1 PB A",PI. CAN JARDI,
VENDA A L'ENGRÒS DE CERÀMICA,ANPER,"C DUBLIN, 3 NV 11",PI. COVA SOLERA,
COMERÇ AL DETALL DE MATERIAL ELECTRIC,ANTELECTRIC,"C VICTOR BALAGUER, 19-21 PB 01",DA6,
OFICINA TÈCNICA D'INSTAL.LACIÓ DE GASOS TÈCNICS,ANTONI BOIRA GAS,"CTRA MOLINS DE REI, 39-41",DA3,
VENDA AL DETALL DE FRUITES I VERDURES,ANTONIA FRUITES I VERDURES,"CTRA SABADELL, 103",DA5,
FABRICACIÓ DE MAQUINÀRIA PER ENVASAR,ANTONIO MENGIBAR,"C CESAR MARTINELL, 33-41",PI. CAN PI DE VILAROC,
FABRICACIÓ DE MAQUINÀRIA INDUSTRIAL,"ANTONIO MENGIBAR, SA","C CESAR MARTINELL, 23-31",PI. CAN PI DE VILAROC,
SERRALLERIA,AO,"C SANT JAUME, 34 LOC 01",DA4,
GARAJE PRIVADO DE 94 PLAZAS,APARCAMENT,"C FRANCOLI, 29-31 PB 01",DA6,
APARCAMENT,APARCAMENT,"C LEPANT, 90",DA5,
APARCAMENT,APARCAMENT,"C LOLA ANGLADA, 18-20 PB 01",DA5,
APARCAMENT,APARCAMENT,"C VERDI, 20-26 Bl A",PI. CAN JARDI,
APARCAMENT,APARCAMENT,"C FONT DEL FERRO, 4 Esc 1 ST 01",DA5,
APARCAMENT,APARCAMENT,"C BOBILA, 18",DA5,
GARAJE PRIVADO DE 27 PLAZAS,APARCAMENT,"C TEROL, 3",DA6,
APARCAMENT PRIVAT DE VEHICLES,APARCAMENT C.P. NTRA SRA. LOURDES 17,"C MARE DE DEU DE LOURDES, 17",DA5,
APARCAMENT PRIVAT DE VEHICLES,APARCAMENT COMUNITAT PROPIETARIS JOAN FIVELLER 2-4,"C JOAN FIVELLER, 2-4",DA6,
APARCAMENT DE VEHICLES,APARCAMENT DE VEHICLES,"C MAGI RAMENTOL, 17",DA4,
APARCAMENT DE VEHICLES PRIVAT,APARCAMENT DE VEHICLES PRIVAT,"C SANTA FE, 9-13",DA5,
APARCAMENT PRIVAT DE VEHICLES,APARCAMENT LES TORRES,"PG TORRES, 1",DA3,
APARCAMENT PRIVAT DE VEHICLES,APARCAMENT PL. SALVADOR ALLENDE,PL SALVADOR ALLENDE,DA4,
APARCAMENT PRIVAT,APARCAMENT PRIVAT,"C BARCELONA, 22-24",DA4,
APARCAMENT PRIVAT DE VEHICLES,APARCAMENT PRIVAT,"C SABADELL, 14-16",DA4,
APARCAMENT,APARCAMENT PRIVAT,"CTRA SABADELL, 41",DA5,
APARCAMENT PRIVAT,APARCAMENT PRIVAT,"C CATI CURET, 23",DA1,
APARCAMENT PRIVAT,APARCAMENT PRIVAT,"PTGE POESIA, 10-18",DA3,
APARCAMENT PRIVAT DE VEHICLES,APARCAMENT PRIVAT,"C TORRENT DE L'ALBA, 8",DA4,
APARCAMENT,APARCAMENT PRIVAT,"C BERGUEDA, 8",DA3,
APARCAMENT PRIVAT DE VEHICLES,APARCAMENT PRIVAT DE VEHICLES,"C MARIA AURELIA CAPMANY, 36-38",DA5,
HOTEL,APART HOTEL PARK SEDO,"C PAISOS CATALANS, 13-15",DA3,
TRACTAMENT I RECOBRIMENT DE METALLS,"APILISO, SL","C SARDANA, 7-9",PI. COVA SOLERA,
"MAGATZEM , TALLER I MUNTATGE DE GRUES I CARROSSATS",APLITECH HIDRAULICA,"AV GAUDI, 107 NV 01",PI. CAN PI DE VILAROC,
MAGATZEM DE PECES METÀL·LIQUES,APOLO AECESA,"C LONDRES, 5-11 NV 09",PI. COVA SOLERA,
COMERÇA AL DETALL D'ARTICLES RELACIONATS AMB LA INFORMÀTICA,APP INFORMATICA.COM,"C MONTSERRAT, 11 LOC 02",DA4,
ASSAIGS I ANALISI DE MATERIALS DE LA CONSTRUCCIÓ (AMPLIACIO),APPLUS,"C PRAGA, 16",PI. COVA SOLERA,
ASSAIG I ANALISI DE MATERIALS DE LA CONSTRUCCIO,APPLUS,"C PRAGA, 16",PI. COVA SOLERA,
COMERÇ AL DETALL DE PEIXOS I AQUARIA,AQUADISSENYS AQUARIS,"C MONTURIOL, 8A",DA6,
MAGATZEM DE MAT. CONSTRUCCIÓ DE PISCINES,AQUANET,"CTRA SABADELL, 247 NV 72",PI. LA BASTIDA,
CENTRE FISIOTERAPÈUTIC,AQUASALUT,AV FERRER I DOMINGO,DA1,
ASSESSORS D'INFORMATICA,ARDITEC,"C MADRID, 38 Esc A PB 01",DA5,
VENDA DE RECANVIS I ACCESSORIS PER L'AUTOMÒBIL,AREA 8,"AV CAN ROSES, 33",PI. CAN ROSES,
"VENDA A L'ENGRÒS DE SUBMINISTRAMENTS MÈDICS, QUIRÚRGICS I HOSPITALARIS",AREA MEDICA,"C COLLITA, 32",PI. LA BASTIDA,
MAGATZEM DE MAQUINARIA PER A GIMNASOS,ARGES FITNESS,"CTRA SABADELL, 259 PB 06",PI. LA BASTIDA,
VENDA AL DETALL DE PA I PASTISSERIA,ARIBAU,"C CAL GERRER, 8",DA6,
FORN DE PA AMB DEGUSTACIÓ,ARIBAU,"PG PAU CLARIS, 27",DA4,
FORN DE PA AMB DEGUSTACIÓ,ARIBAU,"C JOAN MARAGALL, 1",DA6,
PERRUQUERIA,ARIZALA STILISME,"C DOCTOR FERRAN, 7",PI. CA N'ALZAMORA,
COMERÇ AL DETALL D'ARTICLES DE CAÇA I PESCA,ARMERIA SABARTÉS,"C MAXIMI FORNES, 30",DA4,http://www.sabartes.es/es/
TALLER DE SERRALLERIA,"ARMESIL, SA","C DOMENECH I MONTANER, 11 NV 13",PI. CAN PI DE VILAROC,www.armesil.es
"COMERÇ AL DETALL DE CAFÈ, MEL, MELMELADES",AROMES,"C SANT CUGAT, 16",DA4,
"COMERÇ AL DETALL DE PA, PASTISSERIA, CONFITERIA AMB DEGUSTACIÓ",ART-BO,"PG FRANCESC MACIA, 51 LOC 01",DA4,
TALLER DE JOIERIA I BIJUTERIA,"ARTESANIA FERRE, SA","C TALLERS, 33",DA3,
TALLER DE MANIPULACIÓ DE VIDRE,ARTESANIA TREVI,"C ALT, 13 NV 06",PI. CA N'ALZAMORA,
COMERÇ A L'ENGRÒS DE TEIXITS ( MAGATZEM I OFICINES ),ARTIPUN,"C SARDANA, 10-12",PI. COVA SOLERA,
TALLER DE MANIPULACIÓ DE PAPER I CARTRÓ,"ARTISTIQUES MARTI, SL","C MALLORCA, 35",DA5,
PERRUQUERIA,ARTS PERRUQUERS,"C CERVANTES, 84",DA4,
INSTAL·LACIÓ I REPARACIÓ DE PLATAFORMES ELEVADORES,"ASBA MANTENIMIENTOS, SL","CTRA TERRASSA, 91",PI. CTRA. TERRASSA,
CLUB DE FUMADORS DE CANNABIS,ASC PUNT VERD,"PL CONSTITUCIO, 5 Esc 1 PB 04",DA3,
MAGATZEM DE CARRETONS ELEVADORS,ASCARR,"CTRA SABADELL, 247 NV 157",PI. LA BASTIDA,
MUNTATGE D'ASCENSORS,"ASCENSORES MOLINOS, SL","AV CATALUNYA, 12",DA3,
MAGATZEM DE MATERIALS PER A LA CONSTRUCCIÓ,"ASERPOZ CONSTRUCCIONES, SL","C ALT, 17 NV 08",PI. CA N'ALZAMORA,
OFICINA PER ASSESSORIA,ASESORIA ALARCON,"C SANTA EULALIA, 5 PB 01",DA5,
ASSESSORIA,ASESORIA GESTORA SEGUROS,"C PASTORA (LA), 29",DA5,
REPARACIÓ MAQUINÀRIA INDUSTRIAL,ASM AIRLESS,"CTRA SABADELL, 247 NV 35",PI. LA BASTIDA,
OFICINA DE GESTIÓ DE TRANSPORT O ADUANES OBERTA A CLIENTS,ASM TRASPORTE URGENTE,"C JOAN MARAGALL, 49 Esc 1 ST 04",DA6,
CLUB DE FUMADORS DE CANNABIS,ASOCIACION USUARIOS DEL CANNABIS DEL NORTE,"AV ESTATUT, 221 PB 02",DA5,
CLUB DE FUMADORS DE CANNABIS,ASOCICACIÓN GOLOSSA MATARÓ,"C SANT JOSEP, 4",DA4,
OFICINA D'ASSEGURANCES,ASSEGURANCES JURADO,"C BALMES, 5",DA5,
OFICINA D'ASSEGURANCES,ASSESSORIA D'ASSEGURANCES FRANCISCO PUERTAS,"C NOU, 3",DA4,www.copuseguros.com
DESPATX D'ADVOCATS,ASSESSORIA MONTURIOL,"C MONTURIOL, 21 Esc 3 PB 17",DA6,
DESPATX DE GRADUAT SOCIAL,ASSESSORIA SERRA,"C TEROL, 1",DA6,
DISTRIBUCIÓ DE LLIBRES,ASSIMIL,"C ZAMORA, 40 LOC 02",DA5,
CENTRE D'EDUCACIÓ SOCIAL,ASSOCIACIO COMPARTIR,"URBAT PINAR, 6 PB 04",DA5,
CENTRE D'EDUCACIÓ SOCIAL,ASSOCIACIO COMPARTIR,"URBAT PINAR, 1",DA5,
CENTRE DE TATUATGES I PIERCINGS,ATOMIC TATTO,"C NOU, 3 Esc 1 ST 04",DA4,
INSTAL·LACIONS DE XARXES,ATTECOM ARDITEC,"C ASTURIES, 1 LOC 02",DA5,
VENDA AL DETALL D'ARTICLES DE FERRETERIA,AUBERT,"AV CAN SUCARRATS, 111",PI. COVA SOLERA,
CENTRE DE REFORÇ ESCOLAR,AUCA,"BDA SANT JOAN, 18",DA4,
SALA CULTURAL,AUDITORI VALLHONRAT ( MUSEU VALLHONRAT ),"C SANT PERE, 77-79 LOC",DA4,
AULA CULTURAL,AULA CULTURAL CAIXA D'ESTALVIS DE TERRASSA,"AV BARCELONA, 76",DA4,
GRANJA-ESCOLA,AULA ENTORN RURAL CAN JORDI,CTRA RUBI A ULLASTRELL,DA2,
AULA ENTORN RURAL,AULA ENTORN RURAL CAN JORDI,"CTRA RUBI A ULLASTRELL, CAN JORDI SCP",DA2,
"ENGINYERIA ACÚSTICA I DISTRIBUCIÓ DE SOLUCIONS ACÚSTIQUES PER ESTUDIS DE GRA., TV, RADIO, ETC.",AURALEX ACOUSTICS,"C IRIARTE, 23-29 LOC 08",DA6,
MAGATZEM DE PRODUCTES REUTILITZABLES D'AUTOMOCIO,AUTO CHOC,"CTRA SABADELL, 247 NV 07",PI. LA BASTIDA,
AUTOESCOLA,AUTO ESCUELA PERFECTO,"CTRA MOLINS DE REI, 39-41 LOC 01",DA3,
VENDA DE RECANVIS I ACCESSORIS PER L'AUTOMÒBIL,AUTO SANS,"AV ESTATUT, 41",DA6,
REPARACIÓ MAQUINÀRIA INDUSTRIAL,AUTO-TALLER,"AV CAN ROSES, 43 PB 02",PI. CAN ROSES,www.autotallersancugat.com
APARCAMENT PRIVAT D'AUTOCARS,AUTOCARES DANI MAR,"C PARIS, 6-10 NV 04",PI. COVA SOLERA,
GARATGE D'AUTOCARS I OFICINES,AUTOCARS FRANQUESA,"C SARDANA, 20",PI. COVA SOLERA,
"CENTRE DE REPARACIO, DESCONTAMINACIO I DEBALLESTAMENT DE VEHICLES FORA D'US",AUTOCHOK,"CTRA SABADELL, 247 NV 07",PI. LA BASTIDA,
TALLER DE REPARACIÓ DE VEHICLES,AUTOCRISTAL RALARSA,"AV ESTATUT, 21",DA6,
AUTOESCOLA,AUTOESCOLA ELS AMICS,"C JOAN MARAGALL, 25",DA6,
AUTOESCOLA,AUTOESCOLA EN MARXA,"C SANT GAIETA, 90 PB (AUTOESCOLA)",DA4,
AUTOESCOLA,AUTOESCOLA FORMULA,"PG FRANCESC MACIA, 39",DA4,
ESCOLA DE CONDUCCIÓ-AUTOESCOLA,AUTOESCOLA JAUME VALLS,"C LLUIS RIBAS, 27-29",DA6,
AUTOESCOLA,AUTOESCOLA PEGASUS,"AV CATALUNYA, 4 Esc 1 PB 11",DA3,
AUTOESCOLA,AUTOESCOLA PRUDENCIA,"C MARE DE DEU DE LOURDES, 1 ES 03",DA5,
AUTOESCOLA,AUTOESCOLA STEL,"AV BARCELONA, 62",DA4,
AUTOESCOLA,AUTOESCOLA ZIG- ZAG,"PL PROGRES, 9",DA6,
AUTOESCOLA,AUTOESCUELA ESTACION,"PG FERROCARRIL, 1 Esc 1 ES 03",DA4,
AUTOESCOLA,AUTOESCUELA LA RUBINENSE,"AV CAN FATJO, 1-3 PB 01",DA1,
AUTOESCOLA,AUTOESCUELA VIAL,"C TOLEDO, 7 PB 01",DA5,
TALLER MECÀNIC,AUTOMATEIX TALLER,"CTRA SABADELL, 213 NV 05",PI. LA BASTIDA,
TALLER DE REPARACIÓ D'AUTOMÒBILS,AUTOMOVILES ANTONIO MARTÍN,"C BRILLANT, 6",DA1,
TALLER DE REPARACIÓ DE VEHICLES DE MOTOR SENSE XAPA I PINTURA,AUTOMOVILES PORMOTOR,"C SEGOVIA, 10",DA5,
COMPRA-VENDA DE VEHICLES,AUTOMOVILES VALLHONRAT,"C MANUEL DE FALLA, 2",DA3,
RENTAT DE VEHICLES,AUTORENTAT RUBI,"CTRA TERRASSA, 128",PI. CTRA. TERRASSA,
COMERÇ AL DETALL DA'LIMENTACIÓ AUTOSERVEI,AUTOSERVEI,"C SABADELL, 88 LOC",DA5,
AUTOSERVEI AMB VENDA DE PA,AUTOSERVEI,"C MARE DE DEU DE FATIMA, 45-47 SS 1A",DA6,
COMERÇ AL DETALL D'ALIMENTACIÓ,AUTOSERVEI ALIMENTACIÓ,"C MARE DE DEU DE FATIMA, 31-33 PB 04",DA6,
AUTOSERVEI D'ALIMENTACIÓ,AUTOSERVEI D'ALIMENTACIÓ,"CTRA SABADELL, 70 LOC",DA5,
"VENDA, MANTENIMENT I REPARACIÓ DE VEHICLES",AUTOTALLERS RICHO,"AV CAN ROSES, 20-22",PI. CAN ROSES,
MAGATZEM I COMERÇ A L'ENGRÓS D'ACER,AUVISA,"C LONDRES, 5-11 NV 13",PI. COVA SOLERA,
CENTRE DE REHABILITACIÓ,AVAN,"C LLUIS RIBAS, 27-29 Esc A 01 05",DA6,
COMERÇ AL DETALL DE MENJAR PRECUINAT I ROSTISSERIA,AVIRUM BRASSA,"C CERVANTES, 65",DA4,
MAGATZEM D'ARTICLES TÈXTILS,AZ TRADING,"AV GAUDI, 78 NV 01",PI. CAN PI DE VILAROC,
FABRICACIÓ DE PRODUCTES FARMACÈUTICS,B BRAUN,"PG RIERA, 200",PI. CTRA. TERRASSA,
MAGATZEM DE PRODUCTES SANITARIS I CIRURGIA,B BRAUN,"C AVINYO, 2 NV 15",PI. CTRA. TERRASSA,
APARCAMENT PRIVAT DE VEHICLES,B BRAUN,"PG RIERA, 200",PI. CTRA. TERRASSA,
FABRICACIO DE FILATURES,B BRAUN,"AV LLANA, 105-107",PI. LA LLANA,
FUSTERIA,B. ANGUAS MUEBLES DE COCINA,"C MARE DE DEU DE FATIMA, 14 PB",DA6,
OFICINA COMERCIAL PER MINORISTES DE MATERIAL QUIRURGIC,B. BRAUN,"C AVINYO, 2",PI. CTRA. TERRASSA,
TALLER DE CONFECCIÓ DE ROBA INFANTIL,BABY CLUB SA,"C LUXEMBURG, 8-10 NV 01",PI. COVA SOLERA,
LUDOTECA,BADI JOCS,"C SANT PERE, 8",DA4,
ENTITAT BANCÀRIA,BANC SABADELL,"CTRA SABADELL, 1",DA5,
OFICINA BANCARIA,BANCO POPULAR,"CTRA SANT CUGAT, 63",DA6,
OFICINA BANCARIA,BANCO POPULAR,"AV BARCELONA, 34",DA4,
OFICINA BANCÀRIA,"BANCO SANTADER-CENTRAL HISPANO, SA","C DURAN I BAS, 5-7",DA6,
FABRICACIO DE MATERIAL PUBLICITARI,BANDERAS PUBLICITARIAS BP,"PTGE STRAUSS, 3",PI. CAN JARDI,
BAR,BAR 3 CAMPANAS,"C LEPANT, 55 01 01",DA5,
BAR RESTAURANT,BAR ACTUAL,"C SANT JOAN, 26",DA4,
BAR,BAR ALCAZAR,C GUADALAJARA,DA5,
BAR-RESTAURANT,BAR ARRABASADA,"C PEDRAFORCA, 51",DA2,
BAR,BAR ATLÉTICO DE TETUÁN,"C PRAT DE LA RIBA, 29A",DA4,
BAR,BAR BALAGUER,"C VICTOR BALAGUER, 39 PB 03",DA6,
BAR,BAR BERCHULES,"CTRA SANT CUGAT, 7",DA6,
BAR,BAR BODEGA RECHE,"CTRA SABADELL, 74",DA5,
BAR-RESTAURANT,BAR BRASILIA,"C SABADELL, 22 SS 01",DA4,
BAR,BAR BUDA,"PL CONSTITUCIO, 4 Esc 2 PB 04",DA3,
BAR,BAR CA LA PEPI,"AV CAN CABANYES, 6 ES 01",DA3,
BAR,BAR CA LA TERE,"C CERDANYA, 21 PB",DA3,
BAR,BAR CAFETERIA ANIMA,"C MARE DE DEU DE FATIMA, 55-57 PB 04",,
BAR,BAR CAFETERIA EL RINCONCITO,"C SANTA ROSA, 9 PB 2A",DA5,
BAR,BAR CAFETERIA LA PRUNA,"C TERRASSA, 21 PB",DA4,
BAR,BAR CAFETERIA ZIPI ZAPE,"CTRA SABADELL, 52 LOC DE",DA5,
BAR,BAR CAL MIQUEL,"C MARE DE DEU DE FATIMA, 35-37",DA6,
BAR,BAR CAN ORIOL DÖNER KEBAB,"C MARE DE DEU DE LOURDES, 47",DA5,
BAR,BAR CANTORIA,"C JUAN RAMON JIMENEZ, 22",DA6,
BAR RESTAURANT,BAR CARIBE,"PL NOVA, 10 LOC 18",,
BAR,BAR CASA TERE,"C MARE DE DEU DE LOURDES, 83",DA5,
BAR,BAR CASA TONY,"C MONTURIOL, 50 Esc 1 PB 09",DA3,
BAR,BAR CAZADORES,"GRUP VINT-I-CINC DE SETEMBRE, 48 PB 01",DA3,
BAR,BAR CRISTAL,"C SANT SALVADOR, 12-14",DA5,
BAR,BAR DEL MOO,"C VICTOR BALAGUER, 20 LOC",DA6,
BAR,BAR DIMAS,"C APEL.LES MESTRES, 8-12 LOC 01",DA6,
BAR,BAR DON QUIJOTE,"C FOLCH I TORRES, 10",DA5,
BAR,BAR DOS VIENTOS,"URBAT PINAR, 4",DA5,
BAR-RESTAURANT,BAR ECHATE P'ALLA,"C LUMIERE, 7 PB IZ",DA6,
BAR,BAR EL CAFETÓ,"PG FRANCESC MACIA, 72",DA4,
BAR,BAR EL COLIBRI,"CTRA SABADELL, 1 SS 01",,
BAR,BAR EL CORTIJO,"CTRA SABADELL, 52",DA5,
