EXERCICI,CODI_ORGANIC,ORANIC,CODI_FUNCIONAL,FUNCIONAL,CODI_ECONOMIC,ECONOMIC,APLICACION,PRESSUPOST_INICIAL
2016,2U028,ARXIU,9201,SECRETARIA I ARXIU,15005,Productivitat 25perc. funcionaris carrera,Paga productivitat 25%,390.97
2016,2U028,ARXIU,9201,SECRETARIA I ARXIU,15006,Productivitat 25perc. laborals,Paga productivitat 25%,711.19
2016,2U028,ARXIU,9201,SECRETARIA I ARXIU,1600002,Seguretat social personal funcionari de carrera,Seguretat Social,5903.29
2016,2U028,ARXIU,9201,SECRETARIA I ARXIU,1600003,Seguretat social personal laboral,Seguretat Social,13332.96
2016,2U028,ARXIU,9201,SECRETARIA I ARXIU,22000,Ordinari no inventariable.,Material d'oficina no inventariable,2000
2016,2U028,ARXIU,3322,ARXIUS,22199,Altres subministraments.,Altre subministrament,2500
2016,2U028,ARXIU,3322,ARXIUS,22602,Publicitat i propaganda.,Publicitat i propaganda,4886.85
2016,2U028,ARXIU,3322,ARXIUS,22609,Activitats culturals i esportives,Activitats culturals i esportives,4000
2016,2U028,ARXIU,9201,SECRETARIA I ARXIU,22699,Altres despeses diverses,Altres despeses diverses,185
2016,2U028,ARXIU,3322,ARXIUS,22799,Altres treballs realitzats per altres empreses i profes.,Altres treballs realitzats per altres empreses,33000
2016,2U028,ARXIU,9201,SECRETARIA I ARXIU,22799,Altres treballs realitzats per altres empreses i profes.,Altres treballs realitzats per altres empreses,1400
2016,2U028,ARXIU,3322,ARXIUS,62500,MOBILIARIO,Inversions en mobiliari,2700
2016,2U028,ARXIU,9201,SECRETARIA I ARXIU,62500,MOBILIARIO,Mobiliari,3000
2016,3U011,SERVEI D'IGUALTAT,2312,DONA,13002,Altres remuneracions.,Altres remuneracions,35650.72
2016,3U011,SERVEI D'IGUALTAT,2312,DONA,15006,Productivitat 25perc. laborals,Productivitat 25% Laboral,1158.26
2016,3U011,SERVEI D'IGUALTAT,2312,DONA,1600003,Seguretat social personal laboral,Seguretat social laboral,21537.03
2016,3U011,SERVEI D'IGUALTAT,2312,DONA,22001,"Premsa, revistes, llibres i altres publicacions.","Premsa, revistes, llibres i altres publicacions.",1000
2016,3U011,SERVEI D'IGUALTAT,2312,DONA,22602,Publicitat i propaganda.,Publicitat i propaganda,6500
2016,3U011,SERVEI D'IGUALTAT,2312,DONA,22609,Activitats culturals i esportives,Activitats culturals i esportives,25000
2016,3U011,SERVEI D'IGUALTAT,2312,DONA,22699,Altres despeses diverses,Altres despeses diverses,1500
2016,3U011,SERVEI D'IGUALTAT,2312,DONA,22799,Altres treballs realitzats per altres empreses i profes.,Altres treballs realitzats per altres empreses i profesional,83500
2016,3U033,SERVEIS SOCIALS,2310,ACCIÓ SOCIAL,12006,Triennis.,Triennis,5231.9
2016,3U037,ESCOLES BRESSOLS,3264,ESCOLA BRESSOL LA BRUNA,13002,Altres remuneracions.,Altres remuneracions,258031.15
2016,3U037,ESCOLES BRESSOLS,3264,ESCOLA BRESSOL LA BRUNA,14301,Retribucions per substitucions (no es correcte),Retribucions substitucions,70397.29
2016,3U037,ESCOLES BRESSOLS,3264,ESCOLA BRESSOL LA BRUNA,1500102,PRODUCTIVITAT 2. RENDIMENT laboral fix,Productivitat 2on rendiment,1887.34
2016,3U037,ESCOLES BRESSOLS,3264,ESCOLA BRESSOL LA BRUNA,15006,Productivitat 25perc. laborals,Paga productivitat 25%,7683.79
2016,3U037,ESCOLES BRESSOLS,3264,ESCOLA BRESSOL LA BRUNA,1600003,Seguretat social personal laboral,Seguretat social,171260.73
2016,3U037,ESCOLES BRESSOLS,3264,ESCOLA BRESSOL LA BRUNA,22000,Ordinari no inventariable.,Material d'oficina ordinari no inventariable,13000
2016,3U037,ESCOLES BRESSOLS,3264,ESCOLA BRESSOL LA BRUNA,22105,Productes alimenticis.,Productes alimentaris,97566.7
2016,3U037,ESCOLES BRESSOLS,3264,ESCOLA BRESSOL LA BRUNA,22110,Productes de neteja i lavabo.,Productes de neteja i acondicionament,3500
2016,3U037,ESCOLES BRESSOLS,3264,ESCOLA BRESSOL LA BRUNA,22609,Activitats culturals i esportives,Activitats culturals i esportives,3500
2016,3U037,ESCOLES BRESSOLS,3264,ESCOLA BRESSOL LA BRUNA,22699,Altres despeses diverses,Altres despeses diverses,1700
2016,3U037,ESCOLES BRESSOLS,3265,ESCOLA BRESSOL LA LLUNA,22799,Altres treballs realitzats per altres empreses i profes.,Altres treballs realitzats per altres empreses i profesional,570000
2016,3U037,ESCOLES BRESSOLS,3266,ESCOLA BRESSOL SOL SOLET,22799,Altres treballs realitzats per altres empreses i profes.,Altres treballs realitzats per altres empreses i profesional,570000
2016,3U038,ESCOLA D'ART,3262,ESCOLA D'ART,13002,Altres remuneracions.,Altres remuneracions,306301.18
2016,3U038,ESCOLA D'ART,3262,ESCOLA D'ART,15006,Productivitat 25perc. laborals,Paga productivitat 25%,9944.07
2016,3U038,ESCOLA D'ART,3262,ESCOLA D'ART,1600003,Seguretat social personal laboral,Seguretat Social,196389.77
2016,3U038,ESCOLA D'ART,3262,ESCOLA D'ART,2200001,Altre material divers,Altre material divers,6290
2016,3U038,ESCOLA D'ART,3262,ESCOLA D'ART,22001,"Premsa, revistes, llibres i altres publicacions.","Premsa, revistes i altres publicacions",4925
2016,3U038,ESCOLA D'ART,3262,ESCOLA D'ART,22609,Activitats culturals i esportives,Activitats culturals i esportives,2852
2016,3U038,ESCOLA D'ART,3262,ESCOLA D'ART,22699,Altres despeses diverses,Altres despeses diverses,2900
2016,3U038,ESCOLA D'ART,3262,ESCOLA D'ART,48002,TRANSFERENCIA A PARTICUL. (RESIDENCIAS),Premi concurs pintura Daniel Bass,1000
2016,3U038,ESCOLA D'ART,3262,ESCOLA D'ART,62900,Altres inv. noves assoc. al funcionament oper. serveis,Altres inversions noves associades al funcionament operatiu,9853
2016,3U041,SERVEI DE CULTURA,3330,MUSEUS,12000,Sous del Grup A1.,Sous del grup A1,11002.86
2016,3U041,SERVEI DE CULTURA,3330,MUSEUS,12103,Altres complements.,Altres complements,483.91
2016,3U041,SERVEI DE CULTURA,3330,MUSEUS,13002,Altres remuneracions.,Altres remuneracions,55486.76
2016,3U041,SERVEI DE CULTURA,3380,FESTES POPULARS,13002,Altres remuneracions.,Altres remuneracions,46903.5
2016,3U041,SERVEI DE CULTURA,3330,MUSEUS,15005,Productivitat 25perc. funcionaris carrera,Paga productivitat 25%,382.03
2016,3U041,SERVEI DE CULTURA,3330,MUSEUS,15006,Productivitat 25perc. laborals,Paga productivitat 25%,1532.62
2016,3U041,SERVEI DE CULTURA,3380,FESTES POPULARS,15006,Productivitat 25perc. laborals,Paga productivitat 25%,1334.61
2016,3U041,SERVEI DE CULTURA,3330,MUSEUS,1600002,Seguretat social personal funcionari de carrera,Seguretat Social,7056.84
2016,3U041,SERVEI DE CULTURA,3330,MUSEUS,1600003,Seguretat social personal laboral,Seguretat Social,29230.28
2016,3U041,SERVEI DE CULTURA,3380,FESTES POPULARS,1600003,Seguretat social personal laboral,Seguretat Social,24810.73
2016,3U041,SERVEI DE CULTURA,3330,MUSEUS,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,Arrendament material de transport,1000
2016,3U041,SERVEI DE CULTURA,3380,FESTES POPULARS,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,Arrendament material de transport,1000
2016,3U041,SERVEI DE CULTURA,3330,MUSEUS,21400,Material de transport,Material de transport,500
2016,3U041,SERVEI DE CULTURA,3330,MUSEUS,22199,Altres subministraments.,Altres subministraments.,200
2016,3U041,SERVEI DE CULTURA,3330,MUSEUS,22602,Publicitat i propaganda.,Publicitat i propaganda,19000
2016,3U041,SERVEI DE CULTURA,3380,FESTES POPULARS,22602,Publicitat i propaganda.,Publicitat i propaganda,14000
2016,3U041,SERVEI DE CULTURA,3330,MUSEUS,22609,Activitats culturals i esportives,Activitats culturals i esportives,113000.86
2016,3U041,SERVEI DE CULTURA,3380,FESTES POPULARS,22609,Activitats culturals i esportives,Activitats culturals i esportives,359000
2016,3U041,SERVEI DE CULTURA,3330,MUSEUS,22699,Altres despeses diverses,Altres despeses diverses,41000
2016,3U041,SERVEI DE CULTURA,3380,FESTES POPULARS,22699,Altres despeses diverses,Altres despeses diverses,10000
2016,3U041,SERVEI DE CULTURA,3380,FESTES POPULARS,22799,Altres treballs realitzats per altres empreses i profes.,Altres treballs realitzats per altres empreses i profes.,11000
2016,3U041,SERVEI DE CULTURA,3380,FESTES POPULARS,48000,TRANSFERENCIAS CTES. A PARTICULARES,Premis concursos,3550
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,2313,CIUTADANIA I CIVISME,12001,Sous del Grup A2.,Sous Grup A2,9658.95
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,2313,CIUTADANIA I CIVISME,1200101,Sous grup A2 interins,Seou grup A2 interins,12917.85
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,3370,JOVENTUT,1200101,Sous grup A2 interins,Sous grup A2,39106.7
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,3370,JOVENTUT,12006,Triennis.,Triennis,708.97
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,2313,CIUTADANIA I CIVISME,1210031,Altres complements interins,Altres complements interins,584.87
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,3370,JOVENTUT,1210031,Altres complements interins,Altres complements interins,1775.76
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,2313,CIUTADANIA I CIVISME,12103,Altres complements.,Altres complemnts,436.89
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,2313,CIUTADANIA I CIVISME,13002,Altres remuneracions.,Altres remuneracions,39842.01
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,3370,JOVENTUT,13002,Altres remuneracions.,Altres remuneracions,20848.8
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,2313,CIUTADANIA I CIVISME,15005,Productivitat 25perc. funcionaris carrera,Productivitat 25%,804.58
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,3370,JOVENTUT,15005,Productivitat 25perc. funcionaris carrera,Productivitat 25%,1379.28
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,2313,CIUTADANIA I CIVISME,15006,Productivitat 25perc. laborals,Productivitat 25%,1193.9
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,3370,JOVENTUT,15006,Productivitat 25perc. laborals,Productivitat 25% Laboral,576.19
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,2313,CIUTADANIA I CIVISME,1600002,Seguretat social personal funcionari de carrera,Seguretat social personal funcionari,5514.69
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,2313,CIUTADANIA I CIVISME,1600003,Seguretat social personal laboral,Seguretat social,23057.76
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,3370,JOVENTUT,1600003,Seguretat social personal laboral,Seguretat social laboral,11276.38
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,2313,CIUTADANIA I CIVISME,1600005,Seguretat Social funcionari interi,Seguretat social interins,9053.05
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,3370,JOVENTUT,1600005,Seguretat Social funcionari interi,Seguretat social interins,28931.57
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,2313,CIUTADANIA I CIVISME,20500,Arrendaments de mobiliari i estris,Arrendaments de mobiliari i estris,6000
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,2313,CIUTADANIA I CIVISME,22602,Publicitat i propaganda.,Publicitat i propaganda,7000
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,3370,JOVENTUT,22602,Publicitat i propaganda.,Publicitat i propaganda,6000
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,2313,CIUTADANIA I CIVISME,22609,Activitats culturals i esportives,Activitats culturals i esportives,45000
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,3370,JOVENTUT,22609,Activitats culturals i esportives,Activitats culturals i esportives,23000
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,2313,CIUTADANIA I CIVISME,22699,Altres despeses diverses,Altres despeses diverses,600
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,3370,JOVENTUT,22699,Altres despeses diverses,Altres despeses diverses,5000
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,2313,CIUTADANIA I CIVISME,22799,Altres treballs realitzats per altres empreses i profes.,Altres treballs realitzats per altres empreses i profesional,107363.33
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,3370,JOVENTUT,22799,Altres treballs realitzats per altres empreses i profes.,Altres treballs realitzats per altres empreses i profesional,50000
2016,3U059,SERVEIS DE CIUTADANIA I DRETS CIVILS,3370,JOVENTUT,48000,TRANSFERENCIAS CTES. A PARTICULARES,Subvencions a entitats,20000
2016,4U050,MOBILITAT,1340,MOBILITAT,22602,Publicitat i propaganda.,Publicitat i propaganda.,2500
2016,4U045,PROJECTES I OBRES,1510,URBANISME,1200101,Sous grup A2 interins,Sous grups A2 interins,13035.56
2016,4U045,PROJECTES I OBRES,1510,URBANISME,12006,Triennis.,Triennis.,1548.78
2016,4U045,PROJECTES I OBRES,1510,URBANISME,12103,Altres complements.,Altres complements.,1686.44
2016,4U045,PROJECTES I OBRES,1510,URBANISME,13002,Altres remuneracions.,Altres remuneracions.,70831.88
2016,4U045,PROJECTES I OBRES,1510,URBANISME,15005,Productivitat 25perc. funcionaris carrera,Productivitat 25% funcionaris,561.78
2016,4U045,PROJECTES I OBRES,1510,URBANISME,15006,Productivitat 25perc. laborals,Paga productivitat 25%,2187.07
2016,4U045,PROJECTES I OBRES,1510,URBANISME,1600003,Seguretat social personal laboral,Seguretat social,41910.58
2016,4U045,PROJECTES I OBRES,1510,URBANISME,1600005,Seguretat Social funcionari interi,Seguretat social personal interins,13232.94
2016,4U045,PROJECTES I OBRES,1510,URBANISME,22699,Altres despeses diverses,Altres despeses diverses,10000
2016,4U047,PARCS I JARDINS,1710,PARCS I JARDINS,13002,Altres remuneracions.,Altres remuneracions,152922.13
2016,4U047,PARCS I JARDINS,1710,PARCS I JARDINS,15006,Productivitat 25perc. laborals,Paga productivitat 25%,4132.58
2016,4U047,PARCS I JARDINS,1710,PARCS I JARDINS,1600003,Seguretat social personal laboral,Seguretat Social,89507.2
2016,4U047,PARCS I JARDINS,1710,PARCS I JARDINS,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,Arrendament de material de transport,15000
2016,4U047,PARCS I JARDINS,1710,PARCS I JARDINS,22699,Altres despeses diverses,Altres despeses diverses,35000
2016,4U047,PARCS I JARDINS,1710,PARCS I JARDINS,2269903,Altres despeses diverses,Mesures excepcionals. Pla de xoc accions posada al dia,99500.72
2016,4U047,PARCS I JARDINS,1710,PARCS I JARDINS,22799,Altres treballs realitzats per altres empreses i profes.,Altres treballs realitzats per altres empreses i profesional,111350.72
2016,4U050,MOBILITAT,1340,MOBILITAT,1200001,Sous del Grup A1 interins,Sou grup A1 interins,14824.08
2016,4U050,MOBILITAT,1340,MOBILITAT,12003,Sous del Grup C1.,Sous del grup C1,9983.68
2016,4U050,MOBILITAT,1340,MOBILITAT,12006,Triennis.,Triennis,5152.76
2016,4U050,MOBILITAT,1340,MOBILITAT,1210031,Altres complements interins,Altres complements interins,888.02
2016,4U050,MOBILITAT,1340,MOBILITAT,12103,Altres complements.,Altres complements,6022.52
2016,4U050,MOBILITAT,1340,MOBILITAT,13002,Altres remuneracions.,Altres remuneracions,85915.76
2016,4U050,MOBILITAT,1340,MOBILITAT,15005,Productivitat 25perc. funcionaris carrera,Paga productivitat 25%,1776.38
2016,4U050,MOBILITAT,1340,MOBILITAT,15006,Productivitat 25perc. laborals,Paga productivitat 25%,2089.51
2016,4U050,MOBILITAT,1340,MOBILITAT,1600002,Seguretat social personal funcionari de carrera,Seguretat Social,11679.6
2016,4U050,MOBILITAT,1340,MOBILITAT,1600003,Seguretat social personal laboral,Seguretat Social,46257.63
2016,4U050,MOBILITAT,1340,MOBILITAT,1600005,Seguretat Social funcionari interi,Seguretat social personal interins,13107.54
2016,4U050,MOBILITAT,1340,MOBILITAT,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,Arrendament material de transport,9500
2016,4U050,MOBILITAT,1340,MOBILITAT,21000,INFRAESTRUCTURA Y BIENES NATURALES,INFRAESTRUCTURA Y BIENES NATURALES,195000
2016,4U050,MOBILITAT,1340,MOBILITAT,2200001,Altre material divers,Altre material divers,5000
2016,4U050,MOBILITAT,4312,"MERCATS, ABASTAMENTS I LLOTGES",22701,Seguretat.,Seguretat.,10784.83
2016,4U050,MOBILITAT,1340,MOBILITAT,62900,Altres inv. noves assoc. al funcionament oper. serveis,Altres inversions noves associades al funcionament operatiu,35000
2016,4U052,MEDI AMBIENT,1720,MEDI AMBIENT,1200001,Sous del Grup A1 interins,Sou grup A1 interins,14824.08
2016,4U052,MEDI AMBIENT,1720,MEDI AMBIENT,12006,Triennis.,Triennis,1710.2
2016,4U052,MEDI AMBIENT,1720,MEDI AMBIENT,1210031,Altres complements interins,Altres complemnts interins,1897.28
2016,4U052,MEDI AMBIENT,1720,MEDI AMBIENT,13002,Altres remuneracions.,Altres remuneracions,47265.68
2016,4U052,MEDI AMBIENT,1720,MEDI AMBIENT,15005,Productivitat 25perc. funcionaris carrera,Paga productivitat 25%,592.57
2016,4U052,MEDI AMBIENT,1720,MEDI AMBIENT,15006,Productivitat 25perc. laborals,Paga productivitat 25%,1518.51
2016,4U052,MEDI AMBIENT,1720,MEDI AMBIENT,1600003,Seguretat social personal laboral,Seguretat Social,26557.78
2016,4U052,MEDI AMBIENT,1720,MEDI AMBIENT,1600005,Seguretat Social funcionari interi,Seguretat social personal interins,11338.33
2016,4U052,MEDI AMBIENT,1720,MEDI AMBIENT,22699,Altres despeses diverses,Altres despeses diverses,10000
2016,4U052,MEDI AMBIENT,1720,MEDI AMBIENT,22799,Altres treballs realitzats per altres empreses i profes.,Altres treballs realitzats per altres empreses,34780
2016,4U054,SERVEIS FUNERARIS,1640,CEMENTIRI,12003,Sous del Grup C1.,SOUS DEL GRUP C1,9983.66
2016,4U054,SERVEIS FUNERARIS,1640,CEMENTIRI,1200401,Sous del Grup C2 interins,Sous Grup C2,8462.34
2016,4U054,SERVEIS FUNERARIS,1640,CEMENTIRI,12006,Triennis.,TRIENNIS,4995.06
2016,4U054,SERVEIS FUNERARIS,1640,CEMENTIRI,1210031,Altres complements interins,altres complements,402.5
2016,4U054,SERVEIS FUNERARIS,1640,CEMENTIRI,12103,Altres complements.,ALTRES COMPLEMENTS,3539.76
2016,4U054,SERVEIS FUNERARIS,1640,CEMENTIRI,13002,Altres remuneracions.,ALTRES REMUNERACIONS,15980.72
2016,4U054,SERVEIS FUNERARIS,1640,CEMENTIRI,15005,Productivitat 25perc. funcionaris carrera,Paga productivitat 25%,922.39
2016,4U054,SERVEIS FUNERARIS,1640,CEMENTIRI,15006,Productivitat 25perc. laborals,Paga productivitat 25%,432.14
2016,4U054,SERVEIS FUNERARIS,1640,CEMENTIRI,1600002,Seguretat social personal funcionari de carrera,Seguretat Social,9027.91
2016,4U054,SERVEIS FUNERARIS,1640,CEMENTIRI,1600003,Seguretat social personal laboral,Seguretat Social,9864.56
2016,4U054,SERVEIS FUNERARIS,1640,CEMENTIRI,1600005,Seguretat Social funcionari interi,SEguretat social interi,8032.9
2016,4U054,SERVEIS FUNERARIS,1640,CEMENTIRI,22199,Altres subministraments.,Altre subministrament,1500
2016,4U054,SERVEIS FUNERARIS,1640,CEMENTIRI,22699,Altres despeses diverses,Altres despeses diverses,150
2016,1U016,COMERÇ,4311,FIRES,22700,Neteja i lavabo.,Neteja i lavabo,5500
2016,9U078,RELACIONS CIUTADANES I PROXIMITAT,9241,SUPORT A LES ENTITATS,22700,Neteja i lavabo.,Neteja,50000
2016,9U078,RELACIONS CIUTADANES I PROXIMITAT,9241,SUPORT A LES ENTITATS,12003,Sous del Grup C1.,Sous Grup C1,9983.66
2016,9U078,RELACIONS CIUTADANES I PROXIMITAT,9241,SUPORT A LES ENTITATS,12006,Triennis.,Triennis,4195.1
2016,9U078,RELACIONS CIUTADANES I PROXIMITAT,9241,SUPORT A LES ENTITATS,12103,Altres complements.,Altres complements,2463.58
2016,9U078,RELACIONS CIUTADANES I PROXIMITAT,9241,SUPORT A LES ENTITATS,13002,Altres remuneracions.,Altres remuneracions,78468.85
2016,9U078,RELACIONS CIUTADANES I PROXIMITAT,9241,SUPORT A LES ENTITATS,15005,Productivitat 25perc. funcionaris carrera,Productivitat 25% funcionaris,704.65
2016,9U078,RELACIONS CIUTADANES I PROXIMITAT,9241,SUPORT A LES ENTITATS,15006,Productivitat 25perc. laborals,Productivitat 25% laborals,2420.18
2016,9U078,RELACIONS CIUTADANES I PROXIMITAT,9241,SUPORT A LES ENTITATS,1600002,Seguretat social personal funcionari de carrera,Seguretat social personal funcionari,10045.08
2016,9U078,RELACIONS CIUTADANES I PROXIMITAT,9241,SUPORT A LES ENTITATS,1600003,Seguretat social personal laboral,Seguretat social personal laboral,46481.84
2016,9U078,RELACIONS CIUTADANES I PROXIMITAT,9241,SUPORT A LES ENTITATS,20500,Arrendaments de mobiliari i estris,Arrendament de mobiliari i altres,285169
2016,9U078,RELACIONS CIUTADANES I PROXIMITAT,9241,SUPORT A LES ENTITATS,22602,Publicitat i propaganda.,Publicitat i propaganda,36721.92
2016,9U078,RELACIONS CIUTADANES I PROXIMITAT,9241,SUPORT A LES ENTITATS,22699,Altres despeses diverses,Altres despeses diverses,24331
2016,9U078,RELACIONS CIUTADANES I PROXIMITAT,9241,SUPORT A LES ENTITATS,22701,Seguretat.,Seguretat,20000
2016,9U078,RELACIONS CIUTADANES I PROXIMITAT,9241,SUPORT A LES ENTITATS,22799,Altres treballs realitzats per altres empreses i profes.,Altres treballs realitzats per altres empreses i profesional,34000
2016,9U078,RELACIONS CIUTADANES I PROXIMITAT,9241,SUPORT A LES ENTITATS,48100,"Premis, beques i pensions d'estudis i investigacions",Premis al civisme,5000
2016,1U005,ÀREA DE DESENVOLUPAMENT LOCAL,9202,SERVEIS GENERALS ÀREA DESENVOLUPAMENT ECONÒMIC LOCAL,10100,Retribucions bàsiques.,Retribucions directius,59999.94
2016,1U005,ÀREA DE DESENVOLUPAMENT LOCAL,9202,SERVEIS GENERALS ÀREA DESENVOLUPAMENT ECONÒMIC LOCAL,1200001,Sous del Grup A1 interins,Sou grup A1 interins,14819.74
