EXERCICI,CODI_ORGANIC,ORGANIC,CODI_FUNCIONAL,FUNCIONAL,CODI_ECONOMIC,ECONOMIC,APLICACIO,PRESSUPOST_INICIAL,MODIFICACIONS_CREDIT,CREDIT_DEFINITIU,OBLIGACIONS_RECONEGUDES,PAGAMENTS_LIQUIDS,PENDENTS_PAGAMENT,PERC_EXECUCIO
2017,1U014,ÀMBIT DE PROMOCIÓ ECONÒMICA,4330,PROMOCIÓ ECONÒMICA I DESENVOLUPAMENT EMPRESARIAL,1600003,Seguretat social personal laboral,Seguretat Social,10670.68,0,10670.68,0,0,0,0%
2017,1U014,ÀMBIT DE PROMOCIÓ ECONÒMICA,4330,PROMOCIÓ ECONÒMICA I DESENVOLUPAMENT EMPRESARIAL,1600005,Seguretat Social funcionari interi,Seguretat social personal interins,22305.44,0,22305.44,0,0,0,0%
2017,1U014,ÀMBIT DE PROMOCIÓ ECONÒMICA,4330,PROMOCIÓ ECONÒMICA I DESENVOLUPAMENT EMPRESARIAL,1600006,Seguretat Social de personal laboral temporal,Seguretat Social de personal laboral temporal,0,0,0,0,0,0,
2017,1U014,ÀMBIT DE PROMOCIÓ ECONÒMICA,4330,PROMOCIÓ ECONÒMICA I DESENVOLUPAMENT EMPRESARIAL,16209,Altres despeses socials: garantització salari,Altres despeses socials: garantització salari,0,0,0,748.25,748.25,0,
2017,1U015,OFICINA DE SERVEI A L'EMPRESA,4330,PROMOCIÓ ECONÒMICA I DESENVOLUPAMENT EMPRESARIAL,1210303,Incapacitat temporal,Incapacitat temporal,0,0,0,573.48,573.48,0,
2017,1U015,OFICINA DE SERVEI A L'EMPRESA,4330,PROMOCIÓ ECONÒMICA I DESENVOLUPAMENT EMPRESARIAL,15005,Productivitat 25% funcionaris carrera,Paga productivitat 25%,1055.87,0,1055.87,0,0,0,0%
2017,1U015,OFICINA DE SERVEI A L'EMPRESA,4330,PROMOCIÓ ECONÒMICA I DESENVOLUPAMENT EMPRESARIAL,15006,Productivitat 25% laborals,Paga productivitat 25%,2158.13,0,2158.13,0,0,0,0%
2017,1U015,OFICINA DE SERVEI A L'EMPRESA,4330,PROMOCIÓ ECONÒMICA I DESENVOLUPAMENT EMPRESARIAL,1600003,Seguretat social personal laboral,Seguretat Social,48415.67,0,48415.67,0,0,0,0%
2017,1U015,OFICINA DE SERVEI A L'EMPRESA,4330,PROMOCIÓ ECONÒMICA I DESENVOLUPAMENT EMPRESARIAL,1600005,Seguretat Social funcionari interi,Seguretat social personal interins,20209.75,0,20209.75,0,0,0,0%
2017,1U015,OFICINA DE SERVEI A L'EMPRESA,4330,PROMOCIÓ ECONÒMICA I DESENVOLUPAMENT EMPRESARIAL,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.","REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",0,0,0,0,0,0,
2017,1U015,OFICINA DE SERVEI A L'EMPRESA,4330,PROMOCIÓ ECONÒMICA I DESENVOLUPAMENT EMPRESARIAL,22606,"Reunions, conferències i cursos.","Reunions, conferències i cursos",26000,0,26000,0,0,0,0%
2017,1U015,OFICINA DE SERVEI A L'EMPRESA,4330,PROMOCIÓ ECONÒMICA I DESENVOLUPAMENT EMPRESARIAL,21600,Equips per a processos d'informació.,Manteniment equips per a processos d'informació,1500,0,1500,361.79,361.79,0,24.12%
2017,1U015,OFICINA DE SERVEI A L'EMPRESA,4330,PROMOCIÓ ECONÒMICA I DESENVOLUPAMENT EMPRESARIAL,1210031,Altres complements interins,Altres complements interins,0,0,0,1265.71,1265.71,0,
2017,1U015,OFICINA DE SERVEI A L'EMPRESA,4330,PROMOCIÓ ECONÒMICA I DESENVOLUPAMENT EMPRESARIAL,22602,Publicitat i propaganda.,Publicitat i propaganda,48000,0,48000,2420,0,2420,5.04%
2017,1U016,COMERÇ,4310,COMERÇ,15005,Productivitat 25% funcionaris carrera,Paga productivitat 25%,574.13,0,574.13,0,0,0,0%
2017,1U016,COMERÇ,4310,COMERÇ,15006,Productivitat 25% laborals,Paga productivitat 25%,906.09,0,906.09,0,0,0,0%
2017,1U016,COMERÇ,4310,COMERÇ,1600003,Seguretat social personal laboral,Seguretat Social,19205.84,0,19205.84,0,0,0,0%
2017,1U016,COMERÇ,4310,COMERÇ,1600005,Seguretat Social funcionari interi,Seguretat social personal interins,11008.27,0,11008.27,0,0,0,0%
2017,1U016,COMERÇ,4310,COMERÇ,20500,Arrendaments de mobiliari i estris,Arrendaments de mobiliari i estris,3700,0,3700,0,0,0,0%
2017,1U016,COMERÇ,4310,COMERÇ,22602,Publicitat i propaganda.,Publicitat i propaganda,56000,0,56000,0,0,0,0%
2017,1U016,COMERÇ,4310,COMERÇ,22699,Altres despeses diverses,Altres despeses diverses,500,0,500,0,0,0,0%
2017,1U016,COMERÇ,4310,COMERÇ,22700,Neteja i lavabo.,Neteja i lavabo.,200,0,200,0,0,0,0%
2017,1U016,COMERÇ,4310,COMERÇ,22701,Seguretat.,Seguretat,250,0,250,0,0,0,0%
2017,1U016,COMERÇ,4310,COMERÇ,22300,Transports,Transports,13700,12500,26200,0,0,0,0%
2017,1U016,COMERÇ,4310,COMERÇ,47000,Subvencions per a foment de l'ocupació.,Subvenció millora activitat comercial,33000,33000,66000,0,0,0,0%
2017,1U016,COMERÇ,4310,COMERÇ,22609,Activitats culturals i esportives,Activitats culturals i esportives,47800,2603.92,50403.92,2482.92,2482.92,0,4.93%
2017,1U016,COMERÇ,4310,COMERÇ,22799,Altres treballs realitzats per altres empreses i profes.,Altres treballs realitzats per altres empreses i profesional,56150,8336.9,64486.9,3598.99,3598.99,0,5.58%
2017,1U016,COMERÇ,4310,COMERÇ,1200101,Sous grup A2 interins,sous grup A2 interins,13035.56,0,13035.56,4842.85,4842.85,0,37.15%
2017,1U016,COMERÇ,4310,COMERÇ,48001,A FAMILIAS,Conveni col.laboració Federació Associació Comerciants de Ru,37500,0,37500,0,0,0,0%
2017,1U016,COMERÇ,4313,COMERÇ AMBULANT,22602,Publicitat i propaganda.,Publicitat i propaganda,5420,0,5420,0,0,0,0%
2017,1U053,MERCAT,4312,"MERCATS, ABASTAMENTS I LLOTGES",1600003,Seguretat social personal laboral,Seguretat social laborals,30292.18,0,30292.18,0,0,0,0%
2017,1U053,MERCAT,4312,"MERCATS, ABASTAMENTS I LLOTGES",22799,Altres treballs realitzats per altres empreses i profes.,Altres treballs realitzats per altres empreses i profes.,0,0,0,0,0,0,
2017,2U017,RECURSOS HUMANS,9204,RECURSOS HUMANS I ORGANITZACIÓ,22300,Transports,Transports,0,0,0,0,0,0,
2017,1U053,MERCAT,4312,"MERCATS, ABASTAMENTS I LLOTGES",15006,Productivitat 25% laborals,Productivitat 25%,1524.22,0,1524.22,80.19,80.19,0,5.26%
2017,1U016,COMERÇ,4311,FIRES,20300,ARRENDAMIENTO MAQUIN. INSTALAC. Y UTILL.,"Arrendament maquinària, instal.lacions tècniques i utillatge",40000,8609.78,48609.78,882.04,882.04,0,1.81%
2017,1U016,COMERÇ,4311,FIRES,22609,Activitats culturals i esportives,Activitats culturals i esportives,26700,5565.4,32265.4,1573,1573,0,4.88%
2017,1U016,COMERÇ,4311,FIRES,22799,Altres treballs realitzats per altres empreses i profes.,Altres treballs realitzats per altres empreses,18000,21767.9,39767.9,0,0,0,0%
2017,1U016,COMERÇ,4313,COMERÇ AMBULANT,22609,Activitats culturals i esportives,Activitats culturals i esportives,2700,1125.3,3825.3,0,0,0,0%
2017,1U053,MERCAT,4312,"MERCATS, ABASTAMENTS I LLOTGES",22199,Altres subministraments.,Altres subministraments.,0,1325.43,1325.43,1125.3,1125.3,0,84.9%
2017,1U016,COMERÇ,4313,COMERÇ AMBULANT,22799,Altres treballs realitzats per altres empreses i profes.,Altres treballs realitzats per altres empreses,5400,0,5400,620.13,620.13,0,11.48%
2017,1U053,MERCAT,4312,"MERCATS, ABASTAMENTS I LLOTGES",13000,Retribucions bàsiques.,Retribucions bàsiques,27672.18,0,27672.18,10009.05,10009.05,0,36.17%
2017,1U053,MERCAT,4312,"MERCATS, ABASTAMENTS I LLOTGES",13002,Altres remuneracions.,Retribucions compelmntaries,55678.14,0,55678.14,19885,19885,0,35.71%
2017,1U053,MERCAT,4312,"MERCATS, ABASTAMENTS I LLOTGES",1530002,Complement dedicació especial laboral fix,Especial dedicacio laborals,8775.62,0,8775.62,3134.15,3134.15,0,35.71%
2017,1U055,IDENTITAT I PROJECCIÓ I RELACIONS INTERNACIONALS,4320,IDENTITAT I PROJECCIÓ EXTERIOR,1200101,Sous grup A2 interins,Sous grup A2 interins,13035.58,0,13035.58,4842.85,4842.85,0,37.15%
2017,1U055,IDENTITAT I PROJECCIÓ I RELACIONS INTERNACIONALS,4320,IDENTITAT I PROJECCIÓ EXTERIOR,1200601,Triennis interins,Triennis interins,0,0,0,456.56,456.56,0,
2017,1U055,IDENTITAT I PROJECCIÓ I RELACIONS INTERNACIONALS,4320,IDENTITAT I PROJECCIÓ EXTERIOR,15005,Productivitat 25% funcionaris carrera,Paga productivitat 25%,493.39,0,493.39,0,0,0,0%
2017,1U055,IDENTITAT I PROJECCIÓ I RELACIONS INTERNACIONALS,4320,IDENTITAT I PROJECCIÓ EXTERIOR,15006,Productivitat 25% laborals,Paga productivitat 25%,993.52,0,993.52,0,0,0,0%
2017,1U055,IDENTITAT I PROJECCIÓ I RELACIONS INTERNACIONALS,4320,IDENTITAT I PROJECCIÓ EXTERIOR,1600003,Seguretat social personal laboral,Seguretat Social,19464.72,0,19464.72,0,0,0,0%
2017,1U055,IDENTITAT I PROJECCIÓ I RELACIONS INTERNACIONALS,4320,IDENTITAT I PROJECCIÓ EXTERIOR,1600005,Seguretat Social funcionari interi,Seguretat social personal interins,9187.35,0,9187.35,0,0,0,0%
2017,1U055,IDENTITAT I PROJECCIÓ I RELACIONS INTERNACIONALS,4320,IDENTITAT I PROJECCIÓ EXTERIOR,22601,Atencions protocol·làries i representatives.,Atencions protocol.làries i representatives,2500,1525.6,4025.6,0,0,0,0%
2017,1U055,IDENTITAT I PROJECCIÓ I RELACIONS INTERNACIONALS,4320,IDENTITAT I PROJECCIÓ EXTERIOR,22609,Activitats culturals i esportives,Despeses d'activitats culturals i esportives,30634.19,200,30834.19,0,0,0,0%
2017,1U055,IDENTITAT I PROJECCIÓ I RELACIONS INTERNACIONALS,4320,IDENTITAT I PROJECCIÓ EXTERIOR,22699,Altres despeses diverses,Altres despeses diverses,3042.28,5445,8487.28,0,0,0,0%
2017,1U055,IDENTITAT I PROJECCIÓ I RELACIONS INTERNACIONALS,4320,IDENTITAT I PROJECCIÓ EXTERIOR,22700,Neteja i lavabo.,Neteja i lavabo.,3042.28,67.95,3110.23,0,0,0,0%
2017,1U055,IDENTITAT I PROJECCIÓ I RELACIONS INTERNACIONALS,4320,IDENTITAT I PROJECCIÓ EXTERIOR,1210031,Altres complements interins,Altres complements interins,0,0,0,259.18,259.18,0,
2017,1U055,IDENTITAT I PROJECCIÓ I RELACIONS INTERNACIONALS,4320,IDENTITAT I PROJECCIÓ EXTERIOR,1210101,Complement específic interí,Complement especific interins,421.4,0,421.4,4579.43,4579.43,0,1086.72%
2017,1U055,IDENTITAT I PROJECCIÓ I RELACIONS INTERNACIONALS,4320,IDENTITAT I PROJECCIÓ EXTERIOR,22203,Informàtiques.,Comunicacions informàtiques,304.23,605,909.23,605,605,0,66.54%
2017,1U062,SERVEI D'OCUPACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,15006,Productivitat 25% laborals,Paga productivitat 25%,3846.08,0,3846.08,0,0,0,0%
2017,1U062,SERVEI D'OCUPACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,1600003,Seguretat social personal laboral,Seguretat Social,67596.39,0,67596.39,0,0,0,0%
2017,1U062,SERVEI D'OCUPACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,1600009,Seguretat Social. Personal interí reforços i substitucions,Seguretat Social.,0,0,0,0,0,0,
2017,1U062,SERVEI D'OCUPACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,21600,Equips per a processos d'informació.,Manteniment d'equips per a processos d'informació,9000,0,9000,0,0,0,0%
2017,1U062,SERVEI D'OCUPACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,1310001,Laboral temporal per substitucions,Laboral temporal per substitucions,0,0,0,9.75,9.75,0,
2017,1U055,IDENTITAT I PROJECCIÓ I RELACIONS INTERNACIONALS,4320,IDENTITAT I PROJECCIÓ EXTERIOR,60900,OBRAS DE INVERSIONES,Altres inversions noves en infraestructures i bens,0,16360.22,16360.22,0,0,0,0%
2017,1U062,SERVEI D'OCUPACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,22000,Ordinari no inventariable.,Compra de material oficina no inventariable.,10000,44.09,10044.09,0,0,0,0%
2017,1U062,SERVEI D'OCUPACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,13000,Retribucions bàsiques.,Retribucions basiques,89626.02,0,89626.02,25678.57,25678.57,0,28.65%
2017,1U062,SERVEI D'OCUPACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,14301,Retribucions personal interí substitucions,Retribucions personal interí substitucions,0,0,0,4158.87,2786.04,1372.83,
2017,1U062,SERVEI D'OCUPACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,2269923,Altres despeses diverses. Quotes,Altres despeses diverses. Quotes,0,0,0,0,0,0,
2017,1U063,OFICINA D'INFORMACIÓ I ORIENTACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,15005,Productivitat 25% funcionaris carrera,Productivitat 25% funcionaris carrera,0,0,0,0,0,0,
2017,1U063,OFICINA D'INFORMACIÓ I ORIENTACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,15006,Productivitat 25% laborals,paga productivitat 25%,1049.96,0,1049.96,0,0,0,0%
2017,1U062,SERVEI D'OCUPACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,22799,Altres treballs realitzats per altres empreses i profes.,Altres treballs realitzats per altres empreses i profesional,76000,1120,77120,0,0,0,0%
2017,1U062,SERVEI D'OCUPACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,62301,MAQUINARIA,"Inversions en maquinària, instal.lacions tècniques i utillat",0,5264.44,5264.44,0,0,0,0%
2017,1U062,SERVEI D'OCUPACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,63201,INDUSTRIALES,Inversió de reposició en edificis i altres construccions,0,9740.15,9740.15,0,0,0,0%
2017,1U062,SERVEI D'OCUPACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,22602,Publicitat i propaganda.,Publicitat i propaganda,10000,0,10000,1393.32,1393.32,0,13.93%
2017,1U062,SERVEI D'OCUPACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,22699,Altres despeses diverses,Altres despeses diverses,61000,0,61000,200,200,0,0.33%
2017,1U063,OFICINA D'INFORMACIÓ I ORIENTACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,14303,Retribucions personal laboral per programes,Retribucions per programes,0,516729.17,516729.17,14851.34,14851.34,0,2.87%
2017,1U063,OFICINA D'INFORMACIÓ I ORIENTACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,1600003,Seguretat social personal laboral,Seguretat Social,20190.83,0,20190.83,0,0,0,0%
2017,1U063,OFICINA D'INFORMACIÓ I ORIENTACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,1600005,Seguretat Social funcionari interi,Seguretat Social.,0,0,0,0,0,0,
2017,1U063,OFICINA D'INFORMACIÓ I ORIENTACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,22002,Material informàtic no inventariable.,Material informàtic no inventariable.,0,0,0,0,0,0,
2017,1U063,OFICINA D'INFORMACIÓ I ORIENTACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,2269924,Altres despeses diverses,Altres despeses diverses. Assegurances,0,0,0,0,0,0,
2017,1U064,OFICINA DE FORMACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,15006,Productivitat 25% laborals,Paga productivitat 25%,1288.11,0,1288.11,0,0,0,0%
2017,1U064,OFICINA DE FORMACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,1600003,Seguretat social personal laboral,Seguretat Social,23604.78,0,23604.78,0,0,0,0%
2017,1U063,OFICINA D'INFORMACIÓ I ORIENTACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,1600010,Seguretat Social.,Seguretat Social.,0,13292.21,13292.21,0,0,0,0%
2017,1U063,OFICINA D'INFORMACIÓ I ORIENTACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,16209,Altres despeses socials: garantització salari,Altres despeses socials: garantització salari,0,0,0,715.38,715.38,0,
2017,1U063,OFICINA D'INFORMACIÓ I ORIENTACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,22000,Ordinari no inventariable.,Material d'oficina ordinari no inventariable.,0,0,0,0,0,0,
2017,1U063,OFICINA D'INFORMACIÓ I ORIENTACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,22203,Informàtiques.,Informàtiques.,0,0,0,242,242,0,
2017,1U063,OFICINA D'INFORMACIÓ I ORIENTACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,1600008,Seguretat Social personal temporal programes subvencionats,Seguretat Social.,0,208987.26,208987.26,0,0,0,0%
2017,1U063,OFICINA D'INFORMACIÓ I ORIENTACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,22400,Primes d'assegurances,Primes d'assegurances,0,0,0,255,255,0,
2017,1U063,OFICINA D'INFORMACIÓ I ORIENTACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,2279901,Descripción Económica,Altres treballs realitzats per altres empreses. Formadors cu,0,0,0,1392,1392,0,
2017,1U065,OFICINA D'INSERCIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,14303,Retribucions personal laboral per programes,Personal temporal per programes subvencionats,0,0,0,3967.64,3967.64,0,
2017,1U065,OFICINA D'INSERCIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,1600003,Seguretat social personal laboral,Seguretat Social,26935.39,0,26935.39,0,0,0,0%
2017,1U064,OFICINA DE FORMACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,16209,Altres despeses socials: garantització salari,Altres despeses socials: garantització salari,0,0,0,705.38,705.38,0,
2017,1U065,OFICINA D'INSERCIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,15006,Productivitat 25% laborals,paga productivitat 25%,1403.24,0,1403.24,221.26,221.26,0,15.77%
2017,1U064,OFICINA DE FORMACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,1600008,Seguretat Social personal temporal programes subvencionats,Seguretat Social.,0,33276.84,33276.84,0,0,0,0%
2017,1U064,OFICINA DE FORMACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,1600010,Seguretat Social.,Seguretat Social programes subvencionats interins,0,92583.71,92583.71,0,0,0,0%
2017,1U064,OFICINA DE FORMACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,22104,Vestuari.,Vestuari.,0,483.66,483.66,0,0,0,0%
2017,1U064,OFICINA DE FORMACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,22400,Primes d'assegurances,Primes d'assegurances,0,0,0,2080,2080,0,
2017,1U064,OFICINA DE FORMACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,22000,Ordinari no inventariable.,Ordinari no inventariable.,0,1043.62,1043.62,556.11,556.11,0,53.29%
2017,1U064,OFICINA DE FORMACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,22001,"Premsa, revistes, llibres i altres publicacions.","Premsa, revistes, llibres i altres publicacions.",0,0,0,997.61,997.61,0,
2017,1U064,OFICINA DE FORMACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,22002,Material informàtic no inventariable.,Material informàtic no inventariable.,0,360.77,360.77,426.89,426.89,0,118.33%
2017,1U064,OFICINA DE FORMACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,22199,Altres subministraments.,Altres subministraments.,0,23024.93,23024.93,750.89,750.89,0,3.26%
2017,1U064,OFICINA DE FORMACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,22602,Publicitat i propaganda.,Publicitat i propaganda.,0,6000,6000,1429.01,1429.01,0,23.82%
2017,1U064,OFICINA DE FORMACIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,22799,Altres treballs realitzats per altres empreses i profes.,Altres treballs realitzats per altres empreses i profes.,25000,0,25000,3608,3608,0,14.43%
2017,1U079,RUBÍ BRILLA,4250,RUBÍ BRILLA,15006,Productivitat 25% laborals,Productivitat 25% laborals,1547.75,0,1547.75,0,0,0,0%
2017,1U079,RUBÍ BRILLA,4250,RUBÍ BRILLA,1600003,Seguretat social personal laboral,Seguretat social personal laboral,35986.13,0,35986.13,0,0,0,0%
2017,1U079,RUBÍ BRILLA,4250,RUBÍ BRILLA,22112,"Sumin. de material electrònic, elèctric i de telecomunic.",Sumin. de material elèctric i de telecomunicacions,4757.65,0,4757.65,0,0,0,0%
2017,1U079,RUBÍ BRILLA,4250,RUBÍ BRILLA,22606,"Reunions, conferències i cursos.","Reunions, conferències i cursos",4000,0,4000,242,242,0,6.05%
2017,1U079,RUBÍ BRILLA,4250,RUBÍ BRILLA,20300,ARRENDAMIENTO MAQUIN. INSTALAC. Y UTILL.,ARRENDAMIENTO MAQUIN. INSTALAC. Y UTILL.,0,0,0,2556.91,2556.91,0,
2017,1U079,RUBÍ BRILLA,4250,RUBÍ BRILLA,20600,ARRENDAMIENTO DE EQUIPOS PARA PROCESOS DE INFORMACION,Arrendaments d'equips per a processos d'informació,780.58,0,780.58,516.32,516.32,0,66.15%
2017,1U079,RUBÍ BRILLA,4250,RUBÍ BRILLA,21400,Material de transport,Reparació elements de tansport,60.5,0,60.5,90.75,90.75,0,150%
2017,1U079,RUBÍ BRILLA,4250,RUBÍ BRILLA,21900,Material tècnic,"Reparació, manteniment i conservació d'altre inmobilitzat",0,0,0,2685.62,2685.62,0,
2017,1U065,OFICINA D'INSERCIÓ,2410,PROMOCIÓ DE L'OCUPACIÓ,16209,Altres despeses socials: garantització salari,Altres despeses socials: garantització salari,0,0,0,1084.23,1084.23,0,
