ANY_CONVOCATORIA,CODIGO_CONVOCATORIA,CONVOCATORIA,PARTIT_SIGLES,PARTIT_VOTS
2011,C11,Eleccions a Corts Generals 2011,ICV-EUiA,3529
1977,C77,Eleccions a Corts Generals 77,C.T.B.,57
1994,E94,Eleccions al Parlament Europeu 94,RUIZ-MATEO,60
1987,M87,Eleccions Municipals 87,ICV-EUiA,11170
2008,C08,Eleccions a Corts Generals 08,IR-PRE,35
1984,A84,Eleccions al Parlament de Catalunya 84,M.C.C-OEC,0
1989,C89,Eleccions a Corts Generals 89,P.S.T.,121
2008,C08,Eleccions a Corts Generals 08,AUN,3
1999,A99,Eleccions al Parlament de Catalunya 99,PP,2224
1999,A99,Eleccions al Parlament de Catalunya 99,PHC,9
1979,C79,Eleccions a Corts Generals 79,PSC,6508
1982,C82,Eleccions a Corts Generals 82,ERC,804
1991,M91,Eleccions Municipals 91,ERC,924
1983,M83,Eleccions Municipals 83,P.S.U.C.,12660
2006,A06,Eleccions al Parlament de Catalunya 06,ICV-EUiA,2343
2014,E2014,Eleccions al Parlament Europeu 2014,CIU,2606
1988,A88,Eleccions al Parlament de Catalunya 88,EV - LV,44
1999,A99,Eleccions al Parlament de Catalunya 99,PSC,11618
2004,C04,Eleccions a Corts Generals 04,PH,17
2004,E04,Eleccions al Parlament Europeu 04,PFiV,15
1980,A80,Eleccions al Parlament de Catalunya 80,BEAN-U.P.,68
2010,A2010,Eleccions al Parlament de Catalunya 2010,UPyD,106
2004,E04,Eleccions al Parlament Europeu 04,ARALAR,3
1999,E99,Eleccions al Parlament Europeu 99,CE,12
1984,A84,Eleccions al Parlament de Catalunya 84,ERC,627
1996,C96,Eleccions a Corts Generals 96,VE-AEC,85
2015,A2015,Eleccions al Parlament de Catalunya 2015,PACMA,434
2004,E04,Eleccions al Parlament Europeu 04,Los Parados,6
1994,E94,Eleccions al Parlament Europeu 94,CPNT,19
1980,A80,Eleccions al Parlament de Catalunya 80,P.S.U.C.,5779
1989,E89,Eleccions al Parlament Europeu 89,IPDE,13
1992,A92,Eleccions al Parlament de Catalunya 92,P.S.T.,68
1989,E89,Eleccions al Parlament Europeu 89,HB,97
2010,A2010,Eleccions al Parlament de Catalunya 2010,EB,106
1989,E89,Eleccions al Parlament Europeu 89,PST-PORE,59
1999,E99,Eleccions al Parlament Europeu 99,PDE,7
1982,C82,Eleccions a Corts Generals 82,PCE-ML,27
1999,E99,Eleccions al Parlament Europeu 99,EH,115
1977,C77,Eleccions a Corts Generals 77,AN. 18 JUL,59
2015,A2015,Eleccions al Parlament de Catalunya 2015,JxSí,10119
1980,A80,Eleccions al Parlament de Catalunya 80,F.N.,91
1999,E99,Eleccions al Parlament Europeu 99,LV-GV,374
1999,E99,Eleccions al Parlament Europeu 99,FEI,9
1984,A84,Eleccions al Parlament de Catalunya 84,PCE-ML,16
1977,C77,Eleccions a Corts Generals 77,ASD,87
2014,E2014,Eleccions al Parlament Europeu 2014,RecortesCero,72
1977,C77,Eleccions a Corts Generals 77,EC,1154
1994,E94,Eleccions al Parlament Europeu 94,PH,10
1982,C82,Eleccions a Corts Generals 82,PCC,683
1994,E94,Eleccions al Parlament Europeu 94,LVS,3
2000,C00,Eleccions a Corts Generals 00,PLN,18
1980,A80,Eleccions al Parlament de Catalunya 80,UC,57
2009,E09,Eleccions al Parlament Europeu 09,ICV-EUiA,1146
1988,A88,Eleccions al Parlament de Catalunya 88,A.R.,4
1989,C89,Eleccions a Corts Generals 89,ICV-EUiA,2238
2009,E09,Eleccions al Parlament Europeu 09,PSA,27
2010,A2010,Eleccions al Parlament de Catalunya 2010,PFiV,18
1992,A92,Eleccions al Parlament de Catalunya 92,AV-MOV,28
1988,A88,Eleccions al Parlament de Catalunya 88,P.H.C.,3
2011,M2011,Eleccions Municipals 2011,ERC,1734
1999,E99,Eleccions al Parlament Europeu 99,LV-IP,3040
2015,A2015,Eleccions al Parlament de Catalunya 2015,CUP,2850
2009,E09,Eleccions al Parlament Europeu 09,II,88
2000,C00,Eleccions a Corts Generals 00,EV-GVE,227
1977,C77,Eleccions a Corts Generals 77,PDC,1866
1992,A92,Eleccions al Parlament de Catalunya 92,P.O.R.E.,26
2012,A2012,Eleccions al Parlament de Catalunya 2012,ICV-EUiA,4169
1977,C77,Eleccions a Corts Generals 77,DSCC,84
1992,A92,Eleccions al Parlament de Catalunya 92,L.E.,81
2012,A2012,Eleccions al Parlament de Catalunya 2012,PSC,6592
2003,A03,Eleccions al Parlament  de Catalunya 03,PxC,55
1994,E94,Eleccions al Parlament Europeu 94,PAS,5
2010,A2010,Eleccions al Parlament de Catalunya 2010,ERC,1754
1989,C89,Eleccions a Corts Generals 89,PSC,11239
2009,E09,Eleccions al Parlament Europeu 09,PSC,7747
2004,C04,Eleccions a Corts Generals 04,PCPC,29
2003,A03,Eleccions al Parlament  de Catalunya 03,EV-AE,180
2012,A2012,Eleccions al Parlament de Catalunya 2012,PP,4803
1992,A92,Eleccions al Parlament de Catalunya 92,C.L.,30
1995,A95,Eleccions al Parlament de Catalunya 95,P.O.R.,49
1986,C86,Eleccions a Corts Generals 86,A.V-M.E.C,103
1999,M99,Eleccions Municipals 99,PI,60
1987,M87,Eleccions Municipals 87,AP,1103
2015,M2015,Eleccions Municipals 2015,CIU,2360
1992,A92,Eleccions al Parlament de Catalunya 92,CDS,154
1994,E94,Eleccions al Parlament Europeu 94,P.O.R.,33
2009,E09,Eleccions al Parlament Europeu 09,FN,7
1989,C89,Eleccions a Corts Generals 89,PP,1602
2009,E09,Eleccions al Parlament Europeu 09,PP,3328
1995,A95,Eleccions al Parlament de Catalunya 95,AEC-EVE,142
