CARRER_CODI,CARRER_TIPUS,CARRER_NOM
350,C,ALT
351,C,CA N'ALZAMORA
5999,LLOC,AUTOPISTA
6,C,BALMES
60,C,NARCIS MENARD
600,C,ESCACS
602,AV,GAUDI
784,C,MENAHEM BEGIN
785,C,ANWAR AL-SADAT
786,C,ANDREJ SAKHAROV
787,C,SEAN MAC BRIDE
788,C,WILLY BRANDT
789,C,RENE CASSIN
79,C,CAL PRINCEP
790,C,MARTIN LUTHER KING
791,RBLA,JOAN MIRO
792,C,SERRA DE COLLSEROLA
793,C,MOLA
794,C,FRANCESC ALBRICIAS
795,C,MIQUEL SEGURA
796,C,AGUSTI PUJOL
797,AV,FERRER I DOMINGO
798,C,MIQUEL MUMANY
8,PL,SOL
255,C,HUELVA
256,C,ALMERIA
257,C,MALAGA
258,C,CACERES
259,C,BADAJOZ
26,C,PINTOR COELLO
260,C,ORENSE
261,C,SANTANDER
262,C,BARCELONA
263,C,CASTELLO
264,C,SEGOVIA
265,C,MALLORCA
209,C,SIMPATIA
21,C,CERVANTES
210,C,SINCERITAT
473,C,LUMIERE
474,C,STRAVINSKY
475,C,ROSELLA
478,PTGE,AMETLLERS
485,PTGE,CARULLI
488,CAMI,CIRERERS
489,PTGE,CREU
49,C,PRAT DE LA RIBA
555,C,CICLISME
556,C,COMPOSITOR PUCCINI
557,PL,CONCORDIA
558,C,CONFLENT
559,PL,CONSTITUCIO
56,C,LLOBATERAS
806,PL,LLUIS COMPANYS
807,PTGE,CASTELLO
808,C,JOSEP TURU
809,C,PONT DE CAN CLAVERI
810,C,CAN SERRA
811,AV,LLANA
812,C,TORRENT DEL MANA
813,PL,VERNEDA
5030,.,CAN RAMONEDA
5035,URBAT,CAN SANT PERE
5040,.,CAN SERRALLACH
5045,.,CAN XERCAVINS
124,CTRA,TERRASSA
184,C,LEPANT
185,C,ALCANYIS
186,C,LLEIDA
187,C,AMISTAT
188,C,ALEGRIA
189,C,AMOR
19,C,CASTELL
190,AV,CASTELLBISBAL
191,C,CONCORDIA
192,C,CONSTANCIA
193,C,SENY
194,C,CASTEDAT
195,C,BONDAT
196,C,DOLÇOR
197,C,ENAMORATS
198,C,ESPERANÇA
199,C,JOVENTUT
2,C,APEL.LES MESTRES
20,AV,BARCELONA
200,C,FORMALITAT
201,C,FORTUNA
202,C,FIDELITAT
203,C,GRACIA
204,C,MUNTANYA
205,C,PAU
206,C,PENYA
207,C,PASSIO
669,C,CORNELLA
67,C,ABAT ESCARRE
670,C,CABANES
671,C,CANTALLOPS
672,AV,CAN MIR
673,C,CAMARASA
674,C,CASA DE PEDRA
68,PL,MARQUES DE BARBERA
693,C,SERRA DE LES GARRIGUES
694,C,PORT DEL COMTE
706,C,PUIGPEDROS
779,C,DESMOND TUTU
78,PL,CATALUNYA
780,C,ALVA MYRDAL
781,C,GARCIA ROBLES
782,C,PEREZ ESQUIVEL
783,C,TERESA DE CALCUTA
