Estat,Data registre,Data Baixa,Tipus d'identificació,Identificador,Espècie,Sexe,Mida,Data Naixement,Nom,Esterilitzat,Raça,Perillós,Gos d'assistència,Municipi
Vigent,17/06/2016,,XIP,977200007185028,Gos,Femella,,05/06/2007,KATI,No,indefinit,No,No,Rubí
Vigent,16/06/2016,,XIP,977200008767636,Gos,Mascle,,08/05/2015,OTTO,No,Staffordshire Bull Terrier,Si,No,Rubí
Vigent,13/06/2016,,XIP,941000018733032,Gos,Mascle,Gran,30/08/2015,DUKE,No,golden retriever,No,No,Rubí
Vigent,06/10/2016,,XIP,968000000365782,Gos,Mascle,,26/05/2007,WILY,No,podenc andalús,No,No,Rubí
Vigent,06/10/2016,,XIP,977200007362796,Gos,Femella,,04/02/2008,MAÑA,No,podenc andalús,No,No,Rubí
Vigent,06/10/2016,,XIP,941000013845809,Gos,Mascle,,15/05/2016,BLANKET,No,indefinit,No,No,Rubí
Vigent,06/10/2016,,XIP,985111000918643,Gos,Femella,Gran,02/01/2016,,No,Staffordshire Bull Terrier,Si,No,Rubí
Vigent,06/10/2016,,XIP,981098100510803,Gos,Mascle,,19/11/2007,FARUCO,No,podenc andalús,No,No,Rubí
Vigent,06/10/2016,,XIP,941000013847220,Gos,Mascle,,15/05/2011,PELUDO,No,indefinit,No,No,Rubí
Vigent,06/10/2016,,XIP,977200008062189,Gos,Femella,,02/12/2010,NEGRITA,No,basset lleonat de Bretanya ,No,No,Rubí
Vigent,06/09/2016,,XIP,981098100615981,Gos,Femella,,28/11/2007,SIRA,No,shar pei,No,No,Rubí
Vigent,06/09/2016,,XIP,941000018848013,Gos,Mascle,,02/01/2016,COCO,No,indefinit,No,No,Rubí
Vigent,06/09/2016,,XIP,9810981061087884,Gos,Mascle,,12/04/2015,OBI,No,shar pei,No,No,Rubí
Vigent,06/06/2016,,XIP,981058104253997,Gos,Femella,,15/01/2013,Estrella,No,podenc andalús,No,No,Rubí
Vigent,06/06/2016,,XIP,985170003135874,Gos,Mascle,Mitjà,13/03/2016,Dayko,No,retriever del Labrador,No,No,Rubí
Vigent,06/03/2016,,XIP,978101081580551,Gos,Mascle,,25/03/2016,OTTO,No,indefinit,No,No,Rubí
Vigent,06/02/2016,,XIP,985170003029771,Gos,Femella,Mitjà,02/08/2015,DANA DK,No,retriever del Labrador,No,No,Rubí
Vigent,06/02/2016,,XIP,941000018514194,Gos,Femella,,24/09/2015,ELLA,No,indefinit,No,No,Rubí
Vigent,06/01/2016,,XIP,981098106208665,Gos,Femella,,21/03/2016,NALA,No,indefinit,No,No,Rubí
Vigent,06/01/2016,,XIP,941000013846629,Gos,Femella,Petit,08/12/2012,ILLA ,No,ca rater mallorquí,No,No,Rubí
Vigent,06/01/2016,,XIP,985111000918890,Gat,Mascle,,04/03/2016,SIMBA,No,europeu de pèl curt,No,No,Rubí
Vigent,31/05/2016,,XIP,981098106123720,Gos,Femella,,10/05/2008,PRINCESA,No,indefinit,Si,No,Rubí
Vigent,30/05/2016,,XIP,941000017973109,Gos,Femella,Petit,20/01/2016,PUPPY,No,terrier de yorkshire ,No,No,Rubí
Vigent,28/05/2016,,XIP,941000018328684,Gos,Femella,,01/05/2016,SHIRA,No,indefinit,No,No,Rubí
Vigent,28/05/2016,,XIP,941000018515515,Gos,Mascle,Mitjà,15/11/2015,FOSCO,No,indefinit,No,No,Rubí
Vigent,26/05/2016,,XIP,900032002697991,Gos,Mascle,,05/08/2015,HAZE,No,rottweiler,Si,No,Rubí
Vigent,21/05/2016,,XIP,938000000781966,Gos,Femella,,01/02/2016,KAMM,No,ridgeback rhodesià ,No,No,Rubí
Vigent,20/05/2016,,XIP,941000017268618,Gos,Mascle,,19/05/2015,Newton,No,indefinit,No,No,Rubí
Vigent,19/05/2016,,XIP,985111000741635,Gos,Mascle,Mitjà,07/06/2014,DESTROY,Si,indefinit,No,No,Rubí
Vigent,19/05/2016,,XIP,985111000741716,Gos,Femella,Mitjà,13/01/2014,SIRA,Si,indefinit,No,No,Rubí
Vigent,17/05/2016,,XIP,977200008298423,Gos,Mascle,,08/05/2012,CAPO,No,indefinit,No,No,Rubí
Vigent,17/05/2016,,XIP,985111000920695,Gat,Mascle,Mitjà,03/09/2016,WILSON,No,europeu de pèl curt,No,No,Rubí
Vigent,16/05/2016,,XIP,977200007498208,Gos,Mascle,Gran,07/01/2011,PORTOS,No,pastor alemany,No,No,Rubí
Modificacio,13/05/2016,13/05/2016,XIP,941000018375693,Gos,Mascle,Petit,01/01/2005,Coco,No,indefinit,No,No,Rubí
Vigent,05/12/2016,,XIP,941000019031411,Gos,Femella,Gran,16/03/2016,HEIDI DE DREI MAST,No,Pastor blanc suís,No,No,Rubí
Vigent,05/12/2016,,XIP,941000017388079,Gos,Femella,Petit,10/07/2014,LALA,No,podenc andalús,No,No,Rubí
Vigent,05/11/2016,,XIP,938000000791448,Gos,Femella,Mitjà,29/01/2016,Trufa,No,bulldog anglès,No,No,Rubí
Vigent,05/11/2016,,XIP,941000018375693,Gos,Mascle,Petit,01/01/2005,Coco,No,indefinit,No,No,Rubí
Vigent,05/11/2016,,XIP,941000017268626,Gos,Mascle,Gran,12/07/2015,Thor,No,indefinit,No,No,Rubí
Vigent,05/11/2016,,XIP,94100016197769,Gos,Femella,,18/04/2015,Pruna,No,gos d'aigua espanyol,No,No,Rubí
Vigent,05/10/2016,,XIP,985111000918794,Gos,Mascle,Petit,27/01/2016,,No,Jack Russell terrier,No,No,Rubí
Vigent,05/10/2016,,XIP,981098106213723,Gat,Femella,,02/02/0159,Sasha,No,europeu de pèl curt,No,No,Rubí
Vigent,05/09/2016,,XIP,981098102369856,Gos,Mascle,,26/05/2009,Trosky,No,spaniel breton,No,No,Rubí
Vigent,05/09/2016,,XIP,985111000742086,Gat,Mascle,Gran,02/08/2011,GROOT,Si,europeu de pèl curt,No,No,Rubí
Vigent,05/08/2016,,XIP,977200008651606,Gos,Mascle,Petit,17/02/2014,José Mari,No,indefinit,No,No,Rubí
Vigent,05/07/2016,,XIP,985111000919034,Gat,Mascle,Mitjà,14/02/2015,REM,No,,No,No,Rubí
Modificacio,05/07/2016,05/07/2016,XIP,985111000919034,Gat,Mascle,Mitjà,14/02/2015,REM,No,,No,No,Rubí
Vigent,05/04/2016,,XIP,985170003134294,Gos,Femella,,27/02/2016,MINDI,No,schnauzer miniatura,No,No,Rubí
Modificacio,05/04/2016,05/04/2016,XIP,985170003134294,Gos,Femella,,27/02/2016,MINDI,No,schnauzer miniatura,No,No,Rubí
Vigent,05/02/2016,,XIP,981098102471644,Gos,Femella,,17/05/2016,KITTY,No,terrier de Lakeland,No,No,Rubí
Vigent,29/04/2016,,XIP,981098104202649,Gos,Mascle,Gran,23/06/2012,Ron,No,bòxer,No,No,Rubí
Modificacio,29/04/2016,29/04/2016,XIP,981098104202649,Gos,Mascle,Gran,23/06/2012,Ron,No,bòxer,No,No,Rubí
Vigent,29/04/2016,,XIP,941000018749113,Gos,Femella,Mitjà,02/08/2016,Sidra,No,bòxer,No,No,Rubí
Modificacio,28/04/2016,28/04/2016,XIP,941000017285658,Gos,Mascle,Mitjà,11/01/2014,Brat,No,indefinit,No,No,Rubí
Vigent,28/04/2016,,XIP,941000017285658,Gos,Mascle,Mitjà,11/01/2014,Brat,No,indefinit,No,No,Rubí
Vigent,27/04/2016,,XIP,90016400116987,Gos,Femella,,09/10/2015,KIRA,No,Shiba Inu,No,No,Rubí
Vigent,26/04/2016,,XIP,941000001355543,Gos,Femella,Mitjà,02/11/2007,NESKA,No,indefinit,No,No,Rubí
Vigent,26/04/2016,,XIP,967000009089594,Gos,Mascle,,18/02/2010,JACKIE,No,bichon maltès,No,No,Rubí
Vigent,25/04/2016,,XIP,941000018939342,Gat,Mascle,Petit,,DIOR,No,europeu de pèl curt,No,No,Rubí
Vigent,25/04/2016,,XIP,941000018732937,Gat,Mascle,Mitjà,07/07/2014,CHULO,No,europeu de pèl curt,No,No,Rubí
Vigent,25/04/2016,,XIP,941000018938050,Gat,Mascle,Petit,04/01/2015,SHELDON,No,europeu de pèl curt,No,No,Rubí
Vigent,25/04/2016,,XIP,941000019057949,Gos,Mascle,Mitjà,03/08/2014,TRASTO,No,indefinit,No,No,Rubí
Vigent,25/04/2016,,XIP,941000019048177,Gos,Mascle,,14/02/2014,SANDRO,No,pinscher,No,No,Rubí
Vigent,25/04/2016,,XIP,977200008920434,Gat,Femella,,08/09/2015,LUNA,No,europeu de pèl curt,No,No,Rubí
Vigent,25/04/2016,,XIP,977200008812505,Gos,Mascle,,23/01/2016,ANUK,No,indefinit,No,No,Rubí
Modificacio,25/04/2016,25/04/2016,XIP,977200008812505,Gos,Mascle,,23/01/2016,ANUK,No,indefinit,No,No,Rubí
Vigent,25/04/2016,,XIP,977200008636855,Gos,Femella,,13/06/2013,FIONA,No,terrier de Boston,No,No,Rubí
Vigent,25/04/2016,,XIP,9772000085109777,Gos,Femella,,25/04/2016,YUMI,No,indefinit,No,No,Rubí
Vigent,23/04/2016,,XIP,941000018738983,Gos,Mascle,,17/12/2015,TOPO,No,terrier de Boston,No,No,Rubí
Vigent,22/04/2016,,XIP,981098100974276,Gos,Mascle,Mitjà,08/10/2007,BOSTON,No,indefinit,No,No,Rubí
Vigent,20/04/2016,,XIP,941000017721376,Gos,Femella,,27/03/2015,XENA,No,bichon maltès,No,No,Rubí
Vigent,19/04/2016,,XIP,981098104780246,Gos,Mascle,,13/03/2014,CASANOVA,No,indefinit,No,No,Rubí
Vigent,19/04/2016,,XIP,981098106015972,Gos,Mascle,,27/11/2014,BUDA,No,,No,No,Rubí
Vigent,18/04/2016,,XIP,981098106124092,Gos,Mascle,,13/01/2013,HOMER MERENGUE,No,ratoner andalús/bodeguero anda,No,No,Rubí
Vigent,15/04/2016,,XIP,985111000919130,Gat,Femella,Mitjà,02/03/2014,LEIA,No,europeu de pèl curt,No,No,Rubí
Vigent,14/04/2016,,XIP,977200008301649,Gos,Femella,,03/01/2012,GORDI,No,indefinit,No,No,Rubí
Vigent,14/04/2016,,XIP,977200007561255,Gos,Mascle,,05/05/2009,CHULO,No,indefinit,No,No,Rubí
Vigent,14/04/2016,,XIP,985120031586524,Gos,Femella,,07/01/2007,CHATA,No,podenc andalús,No,No,Rubí
Vigent,14/04/2016,,XIP,977200007499369,Gos,Femella,,02/02/2009,BLANCA,No,podenc andalús,No,No,Rubí
Vigent,14/04/2016,,XIP,977200004637675,Gos,Femella,,01/01/2004,ESTRELLA,No,indefinit,No,No,Rubí
Vigent,14/04/2016,,XIP,985120030978128,Gos,Femella,,23/05/2006,LAIA,No,podenc portuguès,No,No,Rubí
Vigent,14/04/2016,,XIP,941000016317222,Gos,Mascle,,01/01/2015,COMPAS,No,beagle,No,No,Rubí
Vigent,14/04/2016,,XIP,981098106128042,Gos,Mascle,,22/12/2014,CHURCHILL,No,indefinit,No,No,Rubí
Vigent,14/04/2016,,XIP,977200007392572,Gos,Femella,,02/02/2009,CHICA,No,podenc andalús,No,No,Rubí
Vigent,13/04/2016,,XIP,941000019023574,Gos,Mascle,Gran,01/01/2016,RICKY,Si,indefinit,No,No,Terrassa
Vigent,04/12/2016,,XIP,941000018373666,Gos,Femella,,16/09/2015,NAYA,No,bichon frisé,No,No,Rubí
Vigent,04/12/2016,,XIP,981098106125803,Gos,Femella,,08/07/2015,LLUNA,No,bichon maltès,No,No,Rubí
Vigent,04/12/2016,,XIP,985111000918695,Gos,Femella,Gran,01/04/2016,AZUMI,No,golden retriever,No,No,Rubí
Vigent,04/12/2016,,XIP,977200008656903,Gos,Mascle,,21/06/2014,JUNIOR,No,terrier de yorkshire ,No,No,Rubí
Vigent,04/09/2016,,XIP,985111000920740,Gos,Femella,Petit,04/01/2010,WENDY,No,indefinit,No,No,Rubí
Vigent,04/09/2016,,XIP,94100018894481,Gos,Mascle,,01/10/2015,THEO,No,indefinit,No,No,Rubí
Modificacio,04/07/2016,04/07/2016,XIP,941000015092036,Gos,Femella,Petit,18/02/2013,NALA,No,ratoner andalús/bodeguero anda,No,No,Rubí
Vigent,04/07/2016,,XIP,941000015092036,Gos,Femella,Petit,18/02/2013,NALA,No,ratoner andalús/bodeguero anda,No,No,Rubí
Vigent,04/05/2016,,XIP,941000018659224,Gos,Mascle,Gran,26/11/2015,HERCULES DE VILOMARA,No,pastor alemany,No,No,Rubí
Vigent,04/05/2016,,XIP,947000000131169,Gos,Mascle,Petit,,BLAKY,No,terrier blanc de West Highland,No,No,Rubí
Vigent,04/04/2016,,XIP,977200008760184,Gos,Femella,Petit,15/08/2013,Luzy,No,indefinit,No,No,Rubí
Vigent,04/02/2016,,XIP,941000013766786,Gos,Mascle,Gran,,,No,dòberman,Si,No,Rubí
Vigent,04/01/2016,,XIP,985170003090292,Gos,Mascle,Petit,01/06/2016,FLOQUET,No,bichon maltès,No,No,Rubí
Vigent,30/03/2016,,XIP,941000001839947,Gos,Femella,Mitjà,15/08/2007,FOSCA,No,indefinit,No,No,Rubí
Vigent,30/03/2016,,XIP,941000018734344,Gos,Femella,Mitjà,15/01/2016,Leiva,No,indefinit,No,No,Rubí
Vigent,29/03/2016,,XIP,941000018937826,Gat,Mascle,,04/01/2015,COOPER,No,europeu de pèl curt,No,No,Rubí
Vigent,29/03/2016,,XIP,941000018749103,Gat,Femella,Petit,03/04/2015,PÚA,No,europeu de pèl curt,No,No,Rubí
Vigent,29/03/2016,,XIP,941000018937801,Gat,Mascle,,15/05/2015,NOA,No,europeu de pèl curt,No,No,Rubí
Vigent,29/03/2016,,XIP,941000019937829,Gat,Mascle,,09/01/2015,LUX,No,europeu de pèl curt,No,No,Rubí
Vigent,27/03/2016,,XIP,941000018939274,Gos,Femella,Petit,21/01/2016,Terry,No,indefinit,No,No,Rubí
Modificacio,23/03/2016,23/03/2016,XIP,941000014846262,Gos,Mascle,Petit,25/09/2015,LOLO,No,caniche,No,No,Rubí
Vigent,23/03/2016,,XIP,941000014846279,Gos,Femella,Gran,04/07/2015,PERLA,No,golden retriever,No,No,Rubí
Vigent,23/03/2016,,XIP,941000014846262,Gos,Mascle,Petit,25/09/2015,LOLO,No,caniche,No,No,Rubí
Vigent,22/03/2016,,XIP,977200008777397,Gos,Femella,Petit,07/01/2010,Nuca,No,indefinit,No,No,Rubí
Modificacio,21/03/2016,31/05/2016,XIP,981098106208665,Gos,Femella,,21/03/2016,NALA,No,indefinit,No,No,Rubí
Vigent,21/03/2016,,XIP,985111000742103,Gos,Mascle,Gran,15/05/2015,TOBY,Si,indefinit,No,No,Rubí
Vigent,14/03/2016,,XIP,941000018870386,Gos,Femella,Mitjà,04/10/2014,KITTY,No,bull terrier,No,No,Rubí
Vigent,14/03/2016,,XIP,97720008746153,Gos,Mascle,Petit,30/05/2014,Olaf,No,golden retriever,No,No,Rubí
Vigent,14/03/2016,,XIP,941000018870844,Gat,Mascle,Gran,04/01/2013,Sansón,Si,europeu de pèl curt,No,No,Rubí
Vigent,03/11/2016,,XIP,941000018733050,Gos,Mascle,Mitjà,01/01/2015,Hades,No,indefinit,No,No,Rubí
Vigent,03/11/2016,,XIP,985170002456235,Gos,Femella,Petit,26/09/2015,Chanel Dk,No,bichon maltès,No,No,Rubí
Vigent,03/11/2016,,XIP,985170003152228,Gos,Femella,Mitjà,30/09/2015,Siri Dk,No,golden retriever,No,No,Rubí
Vigent,03/11/2016,,XIP,941000017647232,Gos,Mascle,Mitjà,10/10/2014,Micro,No,indefinit,No,No,Rubí
Vigent,03/11/2016,,XIP,985111000640686,Gos,Femella,Gran,20/01/2015,Clara,Si,indefinit,No,No,Rubí
Vigent,03/11/2016,,XIP,985111000742117,Gos,Femella,Mitjà,05/11/2015,NUS,Si,indefinit,No,No,Rubí
Vigent,03/11/2016,,XIP,941000016555990,Gat,Mascle,Petit,04/02/2014,Bruno,No,europeu de pèl curt,No,No,Rubí
Modificacio,03/11/2016,03/11/2016,XIP,985111000640686,Gos,Femella,Gran,20/01/2015,Clara,Si,indefinit,No,No,Rubí
Modificacio,03/11/2016,03/11/2016,XIP,985111000742117,Gos,Femella,Mitjà,05/11/2015,NUS,Si,indefinit,No,No,Rubí
Vigent,03/11/2016,,XIP,941000018658432,Gos,Mascle,Mitjà,02/11/2015,Drago,No,indefinit,No,No,Rubí
Vigent,03/11/2016,,XIP,941000016555956,Gos,Mascle,Gran,11/01/2011,ZEN,Si,dog alemany arlequí,No,No,Rubí
Vigent,03/11/2016,,XIP,941000018658526,Gos,Mascle,Petit,15/11/2015,Terry,No,indefinit,No,Si,Rubí
Vigent,03/11/2016,,XIP,941000018733070,Gos,Mascle,Petit,14/04/2014,Chano,No,beagle,No,No,Rubí
Modificacio,03/11/2016,03/11/2016,XIP,941000018188386,Gos,Femella,Mitjà,02/12/2015,ARIA,Si,podenc andalús,No,No,Rubí
Vigent,03/11/2016,,XIP,941000018188386,Gos,Femella,Mitjà,02/12/2015,ARIA,Si,podenc andalús,No,No,Rubí
Vigent,03/10/2016,,XIP,981098104204537,Gos,Mascle,Petit,22/03/2013,Dom,No,bulldog francès,No,No,Rubí
Vigent,03/08/2016,,XIP,941000017285737,Gos,Femella,Gran,08/03/2014,Tota,No,pastor alemany,No,No,Rubí
Vigent,03/08/2016,,XIP,985170002187764,Gat,Mascle,Gran,01/08/2009,SHREK,Si,europeu de pèl curt,No,No,Rubí
Vigent,03/08/2016,,XIP,941000017006014,Gat,Mascle,Gran,08/01/2004,EDDY,Si,europeu de pèl curt,No,No,Rubí
Vigent,03/07/2016,,XIP,941000018374274,Gos,Mascle,Petit,14/08/2015,Freddy,No,indefinit,No,No,Rubí
Modificacio,03/07/2016,03/07/2016,XIP,985111000742086,Gat,Mascle,Gran,02/08/2011,GROOT,Si,europeu de pèl curt,No,No,Rubí
Modificacio,03/07/2016,05/08/2016,XIP,985111000742086,Gat,Mascle,Gran,02/08/2011,GROOT,Si,europeu de pèl curt,No,No,Rubí
Vigent,03/04/2016,,XIP,941000016878613,Gos,Mascle,Mitjà,29/09/2013,Ragnar,No,indefinit,No,No,Rubí
Vigent,03/03/2016,,XIP,981098106106352,Gos,Femella,Petit,18/11/2015,Bolita,No,terrier de yorkshire ,No,No,Rubí
Vigent,03/02/2016,,XIP,941000018257652,Gos,Mascle,Mitjà,08/08/2015,Duc,No,beagle,No,No,Rubí
Vigent,29/02/2016,,XIP,981098102377453,Gos,Femella,Petit,28/08/2009,Lola,No,bulldog francès,No,No,Rubí
Vigent,26/02/2016,,XIP,941000018256885,Gos,Mascle,Gran,13/05/2015,Raily,No,podenc andalús,No,No,Rubí
Vigent,23/02/2016,,XIP,941000017285597,Gos,Femella,Petit,30/09/2012,Mel,No,carlí (pug),No,No,Rubí
Vigent,23/02/2016,,XIP,977200008775527,Gos,Femella,Mitjà,20/09/2015,Nala,No,border collie,No,No,Rubí
Vigent,23/02/2016,,XIP,941000017285828,Gos,Mascle,Petit,20/08/2012,Dady,No,indefinit,No,No,Rubí
Vigent,22/02/2016,,XIP,981098100505890,Gos,Femella,Mitjà,11/01/2006,Fiona,No,indefinit,No,No,Rubí
Vigent,22/02/2016,,XIP,985111000919126,Gat,Mascle,Petit,17/02/2013,Sonne,No,indefinit (gat),No,No,Rubí
Vigent,22/02/2016,,XIP,977200008774713,Gos,Mascle,Petit,03/01/2015,Leo,No,indefinit,No,No,Rubí
Vigent,19/02/2016,,XIP,985170002443275,Gos,Mascle,Mitjà,22/10/2013,Elvis,No,indefinit,No,No,Rubí
Vigent,19/02/2016,,XIP,941000014178047,Gos,Mascle,Mitjà,06/02/2012,Samu,No,indefinit,No,No,Rubí
Modificacio,18/02/2016,03/10/2016,XIP,985111000742117,Gos,Femella,Mitjà,05/11/2015,NUS,Si,indefinit,No,No,Rubí
Vigent,13/02/2016,,XIP,941000017712311,Gat,Mascle,Petit,24/01/2014,Bowie,No,indefinit (gat),No,No,Rubí
Vigent,13/02/2016,,XIP,941000012423030,Gos,Femella,Petit,30/06/2010,Lya,No,bichon maltès,No,No,Rubí
Vigent,13/02/2016,,XIP,985111000919127,Gat,Mascle,Petit,13/03/2013,Ramón,No,indefinit (gat),No,No,Rubí
Vigent,02/12/2016,,XIP,941000017429003,Gat,Femella,Petit,22/08/2014,Roxy,No,indefinit (gat),No,No,Rubí
Vigent,02/12/2016,,XIP,941000018353870,Gat,Femella,Petit,06/01/2012,Misha,No,indefinit (gat),No,No,Rubí
Vigent,02/11/2016,,XIP,985111000919040,Gat,Mascle,Petit,26/11/2013,Misifú,No,indefinit (gat),No,No,Rubí
Vigent,02/10/2016,,XIP,985170003016533,Gos,Mascle,Gran,29/10/2015,Teo,No,retriever del Labrador,No,No,Rubí
Vigent,02/10/2016,,XIP,900062000179610,Gos,Femella,Gran,27/04/2015,Ona,No,rottweiler,Si,No,Rubí
Vigent,02/09/2016,,XIP,941000018270388,Gos,Femella,Mitjà,06/12/2015,Milka,No,indefinit,No,No,Rubí
Vigent,02/07/2016,,XIP,941000018708534,Gos,Mascle,Mitjà,09/02/2014,CADÍ,No,indefinit,No,No,Rubí
Vigent,02/06/2016,,XIP,941000018707077,Gos,Mascle,Gran,12/01/2013,BALTOC,Si,,No,No,Rubí
Vigent,02/06/2016,,XIP,941000018228808,Gat,Mascle,Petit,30/04/2015,Neko,No,indefinit (gat),No,No,Rubí
Vigent,02/05/2016,,XIP,977200008776913,Gos,Mascle,Gran,11/10/2015,Jack,No,golden retriever,No,No,Rubí
Vigent,02/05/2016,,XIP,982000196981498,Gos,Mascle,Petit,26/09/2014,Milú,No,indefinit,No,No,Rubí
Vigent,02/04/2016,,XIP,981098106029053,Gos,Mascle,Mitjà,04/08/2015,Atomium de Vallserrat,No,golden retriever,No,No,Rubí
Vigent,02/04/2016,,XIP,941000017661721,Gos,Mascle,Petit,25/09/2014,Spok,No,bichon maltès,No,No,Rubí
Vigent,02/03/2016,,XIP,900182000860989,Gos,Femella,Petit,15/11/2015,Akira,No,carlí (pug),No,No,Rubí
Vigent,02/02/2016,,XIP,982000192877917,Gos,Mascle,Gran,10/10/2015,Goku,No,indefinit,No,No,Rubí
Vigent,02/02/2016,,XIP,981098104562215,Gos,Mascle,Mitjà,10/06/2014,Grizzly,No,indefinit,No,No,Rubí
Vigent,27/01/2016,,XIP,981098104140253,Gos,Femella,Mitjà,01/01/2011,Molly,No,indefinit,No,No,Rubí
Vigent,27/01/2016,,XIP,981098104614188,Gos,Mascle,Petit,24/08/2013,Tes,No,Jack Russell terrier,No,No,Rubí
Vigent,21/01/2016,,XIP,941000018353876,Gat,Mascle,Mitjà,30/05/2015,Yasu,No,indefinit (gat),No,No,Rubí
Vigent,21/01/2016,,XIP,941000018365766,Gat,Mascle,Mitjà,04/08/2015,Rafi,No,indefinit (gat),No,No,Rubí
Vigent,21/01/2016,,XIP,985111000742249,Gat,Femella,Petit,10/06/2015,Nala,No,indefinit (gat),No,No,Rubí
Vigent,21/01/2016,,XIP,985111000741759,Gat,Mascle,Petit,24/08/2015,Obi,No,indefinit (gat),No,No,Rubí
Vigent,21/01/2016,,XIP,941000018515203,Gos,Femella,Petit,05/07/2015,Nina,Si,indefinit,No,No,Rubí
Vigent,21/01/2016,,XIP,941000018515526,Gat,Femella,Mitjà,06/01/2015,Leia,No,europeu de pèl curt,No,No,Rubí
Vigent,21/01/2016,,XIP,941000018188554,Gos,Mascle,Mitjà,05/01/2015,Tyrion,No,indefinit,No,No,Rubí
Vigent,21/01/2016,,XIP,941000018277846,Gat,Femella,Petit,22/05/2015,Altea,No,indefinit (gat),No,No,Rubí
Vigent,21/01/2016,,XIP,985111000741827,Gat,Mascle,Petit,17/07/2015,Marcel,No,indefinit (gat),No,No,Rubí
Vigent,21/01/2016,,XIP,941000018627320,Gos,Femella,Mitjà,17/07/2015,Nala,No,indefinit,No,No,Rubí
Vigent,21/01/2016,,XIP,941000018361790,Gat,Mascle,Petit,07/10/2015,Ross,No,indefinit (gat),No,No,Rubí
Vigent,21/01/2016,,XIP,941000018366062,Gat,Femella,Petit,07/10/2015,Nell,No,indefinit (gat),No,No,Rubí
Vigent,21/01/2016,,XIP,941000017492771,Gat,Femella,Mitjà,24/05/2014,Lia,No,siamès,No,No,Rubí
Vigent,21/01/2016,,XIP,941000018227476,Gat,Femella,Mitjà,27/06/2015,Arya,No,indefinit (gat),No,No,Rubí
Vigent,21/01/2016,,XIP,981098106123942,Gat,Femella,Mitjà,15/08/2015,Foxy,No,indefinit (gat),No,No,Rubí
Vigent,21/01/2016,,XIP,941000018186181,Gat,Femella,Mitjà,05/01/2015,Basheera,No,indefinit (gat),No,No,Rubí
Vigent,21/01/2016,,XIP,985111000919038,Gat,Femella,Mitjà,08/02/2015,Tina,No,indefinit (gat),No,No,Rubí
Vigent,21/01/2016,,XIP,941000018229201,Gat,Mascle,Mitjà,20/04/2015,Moss,No,indefinit (gat),No,No,Rubí
Vigent,21/01/2016,,XIP,941000018551380,Gat,Femella,Petit,22/08/2015,Gitana,No,indefinit (gat),No,No,Rubí
Vigent,21/01/2016,,XIP,941000018366067,Gat,Femella,Petit,07/10/2015,Nica,No,indefinit (gat),No,No,Rubí
