Identificador,Junta de Gobierno Local,Fecha,Link Convocatoria,Link Acta,Link Video
27/01/17,SESION JUNTA DE GOBIERNO DIA 27 DE ENERO DE 2017,27/01/17,http://www.alhaurindelatorre.es/images/DECRETO_62.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/JGL_27-01-17_acta.pdf,No
19/01/17,SESION JUNTA DE GOBIERNO DIA 19 DE ENERO DE 2017,19/01/17,http://www.alhaurindelatorre.es/images/TABLON/Convocatorias_JGL/Conv_JGL_2017/Decreto_32.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/JGL_19-01-17_acta.pdf,No
13/01/17,SESION JUNTA DE GOBIERNO DIA 13 DE ENERO DE 2017,13/01/17,http://www.alhaurindelatorre.es/images/DECRETO_22.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/JGL_13-01-17_acta.pdf,No
09/01/17,SESION JUNTA DE GOBIERNO DIA 9 DE ENERO DE 2017,09/01/17,http://www.alhaurindelatorre.es/images/TABLON/Convocatorias_JGL/Conv_JGL_2017/Decreto_4.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/JGL_09-01-17_acta.pdf,No
30/12/16,SESION JUNTA DE GOBIERNO DIA 30 DE DICIEMBRE DE 2016,30/12/16,http://www.alhaurindelatorre.es/images/DECRETO_2099.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2016/JGL30-12-16.pdf,No
23/12/16,SESION JUNTA DE GOBIERNO DIA 23 DE DICIEMBRE DE 2016,23/12/16,http://www.alhaurindelatorre.es/images/DECRETO_2063.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2016/JGL23-12-16.pdf,No
16/12/16,SESION JUNTA DE GOBIERNO DIA 16 DE DICIEMBRE DE 2016,16/12/16,http://www.alhaurindelatorre.es/images/DECRETO_20261.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2016/JGL16-12-16.pdf,No
12/12/16,SESION JUNTA DE GOBIERNO DIA 12 DE DICIEMBRE DE 2016,12/12/16,http://www.alhaurindelatorre.es/images/TABLON/Convocatorias_JGL/Conv_JGL_2016/DECRETO_1976.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2016/JGL12-12-16.pdf,No
02/12/16,SESION JUNTA DE GOBIERNO DIA 2 DE DICIEMBRE DE 2016,02/12/16,http://www.alhaurindelatorre.es/images/DECRETO_1946.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2016/JGL2-12-16.pdf,No
25/11/16,SESION JUNTA DE GOBIERNO DIA 25 DE NOVIEMBRE DE 2016,25/11/16,http://www.alhaurindelatorre.es/images/DECRETO_1906.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2016/Acta_25-11-16.pdf,No
18/11/16,SESION JUNTA DE GOBIERNO DIA 18 DE NOVIEMBRE DE 2016,18/11/16,http://www.alhaurindelatorre.es/images/DECRETO_1812.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2016/Acta_18-11-16.pdf,No
11/11/16,SESION JUNTA DE GOBIERNO DIA 11 DE NOVIEMBRE DE 2016,11/11/16,http://www.alhaurindelatorre.es/images/DECRETO_1858.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2016/Acta_11-11-16.PDF,No
04/11/16,SESION JUNTA DE GOBIERNO DIA 04 DE NOVIEMBRE DE 2016,04/11/16,http://www.alhaurindelatorre.es/images/DECRETO_1781.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2016/Acta_04-11-16.PDF,No
28/10/16,SESION JUNTA DE GOBIERNO DIA 28 DE OCTUBRE DE 2016,28/10/16,http://www.alhaurindelatorre.es/images/DECRETO_1762.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2016/Acta_28-10-16.pdf,No
21/10/16,SESION JUNTA DE GOBIERNO DIA 21 DE OCTUBRE DE 2016,21/10/16,http://www.alhaurindelatorre.es/images/DECRETO_1708.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2016/JGL_21-10-16_escaneada.pdf,No
