Identificador,Pleno,Fecha,Link Convocatoria,Link Acta,Link Video
17/06/16,SESIÓN ORDINARIA DÍA 17 DE JUNIO DE 2016,17/06/16,http://www.alhaurindelatorre.es/images/TABLON/2016/PLENO_17_06_16.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/plenos/2016/Pleno_ordinario_17-06-16.pdf,No
30/05/16,SESIÓN EXTRAORDINARIA DÍA 30 DE MAYO DE 2016,30/05/16,http://www.alhaurindelatorre.es/es/areas-municipales/secretaria/convocatorias-de-plenos/3916-convocatoria-pleno-extraordinario-para-el-30-05-16,http://www.alhaurindelatorre.es/es/areas-municipales/secretaria/actas-de-plenos/4086-acta-de-pleno-extraordinario-de-30-05-2016,No
13/05/16,SESIÓN ORDINARIA DÍA 15 DE MAYO DE 2016,13/05/16,http://www.alhaurindelatorre.es/es/areas-municipales/secretaria/convocatorias-de-plenos/3890-convocatoria-de-pleno-13-05-16,http://www.alhaurindelatorre.es/es/areas-municipales/secretaria/actas-de-plenos/4085-acta-de-pleno-ordinario-de-13-05-2016,No
29/04/16,SESIÓN ORDINARIA DÍA 29 DE ABRIL DE 2016,29/04/16,http://www.alhaurindelatorre.es/es/areas-municipales/secretaria/convocatorias-de-plenos/3857-convocatoria-pleno-para-el-29-04-16,http://www.alhaurindelatorre.es/es/areas-municipales/secretaria/actas-de-plenos/4084-acta-de-pleno-ordinario-de-29-04-2016,No
29/03/16,SESIÓN EXTRAORDINARIA DÍA 29 DE MARZO DE 2016,29/03/16,http://www.alhaurindelatorre.es/es/areas-municipales/secretaria/convocatorias-de-plenos/3812-convocatoria-de-pleno-extraordinario-para-el-29-03-16,http://www.alhaurindelatorre.es/images/AREAS/secretaria/plenos/2016/Pleno_Extraordinario_29-03-16.pdf,No
11/03/16,SESIÓN ORDINARIA DÍA 11 DE MARZO DE 2016,11/03/16,http://www.alhaurindelatorre.es/es/areas-municipales/secretaria/convocatorias-de-plenos/3779-convocatoria-de-pleno-para-el-11-03-16,http://www.alhaurindelatorre.es/images/AREAS/secretaria/plenos/2016/Pleno_ordinario_11-03-16.pdf,No
22/02/16,SESIÓN ORDINARIA DÍA 22 DE FEBRERO DE  2016,22/02/16,http://www.alhaurindelatorre.es/es/areas-municipales/secretaria/convocatorias-de-plenos/3746-orden-del-dia-pleno-22-02-16,http://www.alhaurindelatorre.es/images/AREAS/secretaria/plenos/2016/Pleno_Ordinario_22-02-16.pdf,No
25/01/16,SESIÓN ORDINARIA DÍA 25 DE ENERO DE 2016,25/01/16,La convocatoria se elimina a los 3 o 4 días de publicarsehttp://www.alhaurindelatorre.es/es/areas-municipales/secretaria/convocatorias-de-plenos,http://www.alhaurindelatorre.es/es/areas-municipales/secretaria/convocatorias-de-plenos/3686-pleno-25-01-2016,No
04/01/16,SESIÓN EXTRAORDINARIA DÍA 04 DE  ENERO DE 2016,04/01/16,La convocatoria se elimina a los 3 o 4 días de publicarsehttp://www.alhaurindelatorre.es/es/areas-municipales/secretaria/convocatorias-de-plenos,http://www.alhaurindelatorre.es/es/areas-municipales/secretaria/actas-de-plenos/3819-acta-de-pleno-extraordinario-de-04-01-2016,No
18/12/15,SESIÓN ORDINARIA DÍA 18 DE DICIEMBRE DE  2015,18/12/15,La convocatoria se elimina a los 3 o 4 días de publicarsehttp://www.alhaurindelatorre.es/es/areas-municipales/secretaria/convocatorias-de-plenos,http://www.alhaurindelatorre.es/es/areas-municipales/secretaria/actas-de-plenos/3706-acta-de-pleno-ordinario-de-18-12-2015,No
24/11/15,SESIÓN EXTRAORDINARIA DÍA 24 DE NOVIEMBRE DE  2015,24/11/15,La convocatoria se elimina a los 3 o 4 días de publicarsehttp://www.alhaurindelatorre.es/es/areas-municipales/secretaria/convocatorias-de-plenos,http://www.alhaurindelatorre.es/es/areas-municipales/secretaria/actas-de-plenos/3705-acta-de-pleno-extraordinario-de-24-11-2015,No
13/11/15,SESIÓN ORDINARIA DÍA 13 DE NOVIEMBRE DE  2015,13/11/15,La convocatoria se elimina a los 3 o 4 días de publicarsehttp://www.alhaurindelatorre.es/es/areas-municipales/secretaria/convocatorias-de-plenos,http://www.alhaurindelatorre.es/es/areas-municipales/secretaria/actas-de-plenos/3704-acta-de-pleno-ordinario-de-13-11-2015,No
09/10/15,SESIÓN ORDINARIA DÍA 9 DE OCTUBRE DE 2015,09/10/15,La convocatoria se elimina a los 3 o 4 días de publicarsehttp://www.alhaurindelatorre.es/es/areas-municipales/secretaria/convocatorias-de-plenos,http://www.alhaurindelatorre.es/es/areas-municipales/secretaria/actas-de-plenos/3586-acta-de-pleno-ordinario-de-09-10-2015,No
25/09/15,SESIÓN ORDINARIA DÍA 25 DE SEPTIEMBRE DE 2015,25/09/15,La convocatoria se elimina a los 3 o 4 días de publicarsehttp://www.alhaurindelatorre.es/es/areas-municipales/secretaria/convocatorias-de-plenos,http://www.alhaurindelatorre.es/es/areas-municipales/secretaria/actas-de-plenos/3585-acta-de-pleno-ordinario-de-25-09-2015,No
14/08/15,SESIÓN ORDINARIA DÍA 14 DE AGOSTO DE 2015,14/08/15,La convocatoria se elimina a los 3 o 4 días de publicarsehttp://www.alhaurindelatorre.es/es/areas-municipales/secretaria/convocatorias-de-plenos,http://www.alhaurindelatorre.es/es/areas-municipales/secretaria/actas-de-plenos/3532-acta-de-pleno-ordinario-de-14-08-2015,No
