Nß Inventario;Unidad Administrativa (WEB);Tipo de veh°culo;Modelo;A§o matriculaci¢n;;;;;;;;
534;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
535;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
536;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
537;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
539;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
540;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
541;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
542;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
543;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
544;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
545;AUVASA;AUTOBÈS; SEAT F-81 D INCA VAN;1998;;;;;;;;
547;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1999;;;;;;;;
548;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1999;;;;;;;;
549;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1999;;;;;;;;
550;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1999;;;;;;;;
551;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1999;;;;;;;;
552;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1999;;;;;;;;
553;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1999;;;;;;;;
554;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1999;;;;;;;;
555;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1999;;;;;;;;
556;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1999;;;;;;;;
558;AUVASA;AUTOBÈS; MARCA MERCEDES BENZ O 405 N3;1999;;;;;;;;
559;AUVASA;AUTOBÈS; MARCA MERCEDES BENZ O 405 N4;1999;;;;;;;;
563;AUVASA;AUTOBÈS;MARCA IVECO CITY CLASS 12.28;1999;;;;;;;;
566;AUVASA;AUTOBÈS;MARCA IVECO CITY CLASS 12.29;1999;;;;;;;;
567;AUVASA;AUTOBÈS;MARCA IVECO CITY CLASS 12.30;1999;;;;;;;;
573;AUVASA;AUTOBÈS;MARCA IVECO CITY CLASS 12.31;1999;;;;;;;;
653;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2000;;;;;;;;
654;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2000;;;;;;;;
655;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2000;;;;;;;;
656;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2000;;;;;;;;
657;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2000;;;;;;;;
658;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2000;;;;;;;;
659;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2000;;;;;;;;
660;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2000;;;;;;;;
661;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2000;;;;;;;;
662;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2000;;;;;;;;
663;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2000;;;;;;;;
664;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2000;;;;;;;;
665;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2000;;;;;;;;
666;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2000;;;;;;;;
667;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2000;;;;;;;;
668;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2000;;;;;;;;
669;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2000;;;;;;;;
670;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2000;;;;;;;;
672;AUVASA;CAMI‡N;MERCEDES BENZ MB 1622-S;2000;;;;;;;;
673;AUVASA;AUTOM‡VIL;SEAT IBIZA ESTELA 1.9 SDI ABAG;2000;;;;;;;;
674;AUVASA;FURGONETA;SEAT F-91-D;2000;;;;;;;;
693;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2001;;;;;;;;
694;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2001;;;;;;;;
695;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2001;;;;;;;;
696;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2001;;;;;;;;
713;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2002;;;;;;;;
714;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2002;;;;;;;;
715;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2002;;;;;;;;
716;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2002;;;;;;;;
717;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2002;;;;;;;;
718;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2002;;;;;;;;
730;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2003;;;;;;;;
731;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2003;;;;;;;;
732;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2003;;;;;;;;
733;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2003;;;;;;;;
734;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2003;;;;;;;;
735;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2003;;;;;;;;
736;AUVASA;AUTOBÈS;MARCA MAN NL 242 F/GLP;2003;;;;;;;;
760;AUVASA;AUTOBÈS;MARCA MAN MOD. NG 313 FE ARTICULADO;2005;;;;;;;;
761;AUVASA;AUTOBÈS;MARCA MAN MOD. NG 313 FE ARTICULADO;2005;;;;;;;;
771;AUVASA;AUTOBÈS;MARCA MAN NL 243 F/GLP;2005;;;;;;;;
772;AUVASA;AUTOBÈS;MARCA MAN NL 243 F/GLP;2005;;;;;;;;
773;AUVASA;AUTOBÈS;MARCA MAN NL 243 F/GLP;2005;;;;;;;;
774;AUVASA;AUTOBÈS;MARCA MAN NL 243 F/GLP;2005;;;;;;;;
775;AUVASA;AUTOBÈS;MARCA MAN NL 243 F/GLP;2005;;;;;;;;
776;AUVASA;AUTOBÈS;MARCA MAN NL 243 F/GLP;2005;;;;;;;;
777;AUVASA;AUTOBÈS;MARCA MAN NL 243 F/GLP;2005;;;;;;;;
778;AUVASA;AUTOBÈS;MARCA MAN NL 243 F/GLP;2005;;;;;;;;
858;AUVASA;AUTOBÈS;MARCA MAN NL 242 GLP;2009;;;;;;;;
859;AUVASA;IRISBUS;IRISBUS CITYCLASS 18.35;2009;;;;;;;;
860;AUVASA;IRISBUS;CITYCLASS 18.35;2009;;;;;;;;
861;AUVASA;IRISBUS;CITYCLASS 18.36;2009;;;;;;;;
862;AUVASA;IRISBUS;CITYCLASS 18.37;2009;;;;;;;;
863;AUVASA;IRISBUS;CITYCLASS 18.38;2009;;;;;;;;
864;AUVASA;IRISBUS;CITYCLASS 18.39;2009;;;;;;;;
865;AUVASA;IRISBUS;CITYCLASS 18.40;2009;;;;;;;;
866;AUVASA;IRISBUS;CITYCLASS 18.41;2009;;;;;;;;
867;AUVASA;IRISBUS;CITYCLASS 18.42;2009;;;;;;;;
868;AUVASA;IRISBUS;CITYCLASS 18.43;2009;;;;;;;;
869;AUVASA;IRISBUS;CITYCLASS 18.44;2009;;;;;;;;
870;AUVASA;IRISBUS;CITYCLASS 18.45;2009;;;;;;;;
871;AUVASA;IRISBUS;CITYCLASS 18.46;2009;;;;;;;;
872;AUVASA;IRISBUS;CITYCLASS 18.47;2009;;;;;;;;
873;AUVASA;IRISBUS;CITYCLASS 18.48;2009;;;;;;;;
874;AUVASA;IRISBUS;CITYCLASS 18.49;2009;;;;;;;;
875;AUVASA;IRISBUS;CITYCLASS 18.50;2009;;;;;;;;
876;AUVASA;IRISBUS;CITYCLASS 18.51;2009;;;;;;;;
877;AUVASA;IRISBUS;CITYCLASS 18.52;2009;;;;;;;;
878;AUVASA;IRISBUS;CITYCLASS 18.53;2009;;;;;;;;
879;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
880;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
881;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
882;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
883;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
884;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
885;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
886;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
887;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
888;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
889;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
890;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
891;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
892;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
893;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
894;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
895;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
896;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
897;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
898;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
899;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
900;AUVASA;AUTOBÈS;MAN LIONS CITY 273 F/GLP;2009;;;;;;;;
930;AUVASA;AUTOBÈS;MERCEDES BENZ;2010;;;;;;;;
931;AUVASA;AUTOBÈS;MERCEDES BENZ;2010;;;;;;;;
932;AUVASA;AUTOBÈS;MAN VEH÷CULOS INDUSTRIALES S.A.U.;2010;;;;;;;;
933;AUVASA;AUTOBÈS;MAN VEH÷CULOS INDUSTRIALES S.A.U.;2010;;;;;;;;
934;AUVASA;AUTOBÈS;MAN VEH÷CULOS INDUSTRIALES S.A.U.;2010;;;;;;;;
935;AUVASA;AUTOBÈS;MAN VEH÷CULOS INDUSTRIALES S.A.U.;2010;;;;;;;;
936;AUVASA;AUTOBÈS;MAN VEH÷CULOS INDUSTRIALES S.A.U.;2010;;;;;;;;
937;AUVASA;AUTOBÈS;MAN VEH÷CULOS INDUSTRIALES S.A.U.;2010;;;;;;;;
988;AUVASA;AUTOBÈS;MAN NG323F/D20/3TOB;2012;;;;;;;;
989;AUVASA;AUTOBÈS;MAN NG323F/D20/3TOB;2012;;;;;;;;
990;AUVASA;AUTOBÈS;MAN NG323F/D20/3TOB;2012;;;;;;;;
991;AUVASA;AUTOBÈS;MAN NG323F/D20/3TOB;2012;;;;;;;;
992;AUVASA;AUTOBÈS;MAN NG323F/D20/3TOB;2012;;;;;;;;
993;AUVASA;AUTOBÈS;MERCEDES BENZ 0-530 CITARO;2012;;;;;;;;
994;AUVASA;AUTOBÈS;MERCEDES BENZ 0-530 CITARO;2012;;;;;;;;
995;AUVASA;AUTOBÈS;MERCEDES BENZ 0-530 CITARO;2012;;;;;;;;
996;AUVASA;AUTOBÈS;MARCA MAN NL 253/2T/HYBRID SERIELL;2012;;;;;;;;
997;AUVASA;AUTOBÈS;MARCA MAN NL 243 F/GLP;2013;;;;;;;;
998;AUVASA;AUTOBÈS;MARCA MAN NL 243 F/GLP;2013;;;;;;;;
999;AUVASA;AUTOBÈS;MARCA MAN NL 243 F/GLP;2013;;;;;;;;
1000;AUVASA;AUTOBÈS;MARCA MAN NL 243 F/GLP;2013;;;;;;;;
1160;AUVASA;AUTOM‡VIL;RENAULT KANGOO;2015;;;;;;;;
1161;AUVASA;AUTOM‡VIL;RENAULT MEGANE SCENIC;2015;;;;;;;;
1119;AUVASA;AUTOBÈS; VECTIA VERIS 12 HYBRID;2016;;;;;;;;
1120;AUVASA;AUTOBÈS; VECTIA VERIS 12 HYBRID;2016;;;;;;;;
1121;AUVASA;AUTOBÈS; VECTIA VERIS 12 HYBRID;2016;;;;;;;;
1150;CENTRO DE FORMACI‡N PARA EL EMPLEO;AUTOM‡VIL;FORD TRANSIT CH-CABINA 2.5 2P;2002;;;;;;;;
855;CENTRO DE FORMACI‡N PARA EL EMPLEO;AUTOM‡VIL;RENAULT TRAFIC PASSENGER COMBI 2.0 DCI 115 CV;2008;;;;;;;;
706;CENTRO DE FORMACI‡N PARA EL EMPLEO;OTROS TIPOS;VEHICULO DUMPER AUSA MOD.150-DH-H (E.T.ARCAS REALES).;2000;;;;;;;;
1155;CENTRO DE GESTI‡N DE SERVICIOS URBANOS;AUTOM‡VIL;NISSAN MICRA 1.2 ACENTA 80 CV;2013;;;;;;;;
479;CENTRO DE GESTI‡N DE SERVICIOS URBANOS;AUTOM‡VIL;RENAULT CLIO 1.2;1994;;;;;;;;
416;CENTRO DE GESTI‡N DE SERVICIOS URBANOS;AUTOM‡VIL;RENAULT CLIO 1-2/RL;1991;;;;;;;;
1012;CENTRO DE GESTI‡N DE SERVICIOS URBANOS;AUTOM‡VIL;RENAULT LAGUNA;2000;;;;;;;;
1011;CENTRO DE GESTI‡N DE SERVICIOS URBANOS;AUTOM‡VIL;RENAULT MEGANE;2004;;;;;;;;
1013;CENTRO DE GESTI‡N DE SERVICIOS URBANOS;AUTOM‡VIL;RENAULT MEGANE;2006;;;;;;;;
852;CENTRO DE GESTI‡N DE SERVICIOS URBANOS;AUTOM‡VIL;RENAULT MEGANE;2008;;;;;;;;
1156;CENTRO DE GESTI‡N DE SERVICIOS URBANOS;AUTOM‡VIL;RENAULT TWIZY 80 TEC;2013;;;;;;;;
1021;CENTRO DE GESTI‡N DE SERVICIOS URBANOS;CAMI‡N;IVECO PEGASO;2000;;;;;;;;
1016;CENTRO DE GESTI‡N DE SERVICIOS URBANOS;CAMI‡N;IVECO PLUMA;2006;;;;;;;;
223;CENTRO DE GESTI‡N DE SERVICIOS URBANOS;CAMI‡N;NISSAN EBRO;1990;;;;;;;;
225;CENTRO DE GESTI‡N DE SERVICIOS URBANOS;CAMI‡N;NISSAN EBRO;1990;;;;;;;;
224;CENTRO DE GESTI‡N DE SERVICIOS URBANOS;CAMI‡N;NISSAN M-110;1990;;;;;;;;
1170;CENTRO DE GESTI‡N DE SERVICIOS URBANOS;CAMI‡N;IVECO VOLQUETE;2015;;;;;;;;
1022;CENTRO DE GESTI‡N DE SERVICIOS URBANOS;FURGONETA;FORD TRANSIT;2005;;;;;;;;
1018;CENTRO DE GESTI‡N DE SERVICIOS URBANOS;FURGONETA;FORD TRANSIT F-1;2002;;;;;;;;
1019;CENTRO DE GESTI‡N DE SERVICIOS URBANOS;FURGONETA;FORD TRANSIT F-2;2002;;;;;;;;
1020;CENTRO DE GESTI‡N DE SERVICIOS URBANOS;FURGONETA;FORD TRANSIT F-3;2005;;;;;;;;
218;CENTRO DE GESTI‡N DE SERVICIOS URBANOS;OTROS TIPOS;VOLVO BM PALA RETROEXCAVADORA;;;;;;;;;
369;CENTRO DE GESTI‡N DE SERVICIOS URBANOS;OTROS TIPOS;VOLVO FL 7 (CEDIDO USO A AGUALID).;1992;;;;;;;;
1159;CENTRO DE GETI‡N DE SERVICIOS URBANOS;CAMI‡N;CAMI‡N GRÈA CON PLATAFORMA ELEVADORA;2015;;;;;;;;
1028;CENTRO DE INFORMACI‡N GEOGRµFICA;AUTOM‡VIL;FIAT DOBLO PANORAM DYN 1.3 JTD;2005;;;;;;;;
426;CENTRO DE MANTENIMIENTO DE EDIFICIOS;AUTOM‡VIL;FORD FIESTA MOD. COURIER KOM 1.3;1992;;;;;;;;
729;CENTRO DE MANTENIMIENTO DE EDIFICIOS;AUTOM‡VIL;RENAULT CLIO 1.2;2002;;;;;;;;
425;CENTRO DE MANTENIMIENTO DE EDIFICIOS;AUTOM‡VIL;RENAULT CLIO MECANO 1.2 RN;1992;;;;;;;;
376;CENTRO DE MANTENIMIENTO DE EDIFICIOS;AUTOM‡VIL;RENAULT EXPRESS 1.4;1992;;;;;;;;
114;CENTRO DE MANTENIMIENTO DE EDIFICIOS;AUTOM‡VIL;RENAULT EXPRESS COMBI;1990;;;;;;;;
101;CENTRO DE MANTENIMIENTO DE EDIFICIOS;AUTOM‡VIL;RENAULT EXPRESS DIESEL COMBI;1990;;;;;;;;
113;CENTRO DE MANTENIMIENTO DE EDIFICIOS;AUTOM‡VIL;RENAULT EXPRESS FURGON;1989;;;;;;;;
784;CENTRO DE MANTENIMIENTO DE EDIFICIOS;AUTOM‡VIL;RENAULT KANGOO.;2005;;;;;;;;
120;CENTRO DE MANTENIMIENTO DE EDIFICIOS;AUTOM‡VIL;RENAULT TRAFIC 1100;1991;;;;;;;;
117;CENTRO DE MANTENIMIENTO DE EDIFICIOS;CAMI‡N;NISSAN;1991;;;;;;;;
856;CENTRO DE MANTENIMIENTO DE EDIFICIOS;CAMI‡N;NISSAN CABSTAR 4.5 1.5DC DOBLE CABINA;2009;;;;;;;;
119;CENTRO DE MANTENIMIENTO DE EDIFICIOS;CAMI‡N;PEGASO J4 1100;1986;;;;;;;;
1151;CENTRO DE MANTENIMIENTO DE EDIFICIOS;FURGONETA;DACIA KOKKER VAN BASE 1.6;2012;;;;;;;;
1008;CENTRO DE MANTENIMIENTO DE EDIFICIOS;FURGONETA;IVECO DAILY;2001;;;;;;;;
480;CENTRO DE MANTENIMIENTO DE EDIFICIOS;FURGONETA;RENAULT EXPRESS 1.1 COMBI;1993;;;;;;;;
1007;CENTRO DE MANTENIMIENTO DE EDIFICIOS;FURGONETA;RENAULT MASTER;2007;;;;;;;;
481;CENTRO DE MANTENIMIENTO DE EDIFICIOS;FURGONETA;RENAULT TRAFIC;1993;;;;;;;;
813;CENTRO DE MANTENIMIENTO DE EDIFICIOS;FURGONETA;RENAULT TRAFIC 1.9 DCI COMBI6;2005;;;;;;;;
1175;CENTRO DE MANTENIMIENTO DE EDIFICIOS;FURGONETA;DACIA DOKKER ;2015;;;;;;;;
1010;CENTRO DE MANTENIMIENTO DE EDIFICIOS;OTROS TIPOS;CARGADORA JCB;;;;;;;;;
1009;CENTRO DE MANTENIMIENTO DE EDIFICIOS;OTROS TIPOS;TRUNQUE RPL;2000;;;;;;;;
926;CENTRO DE MOVILIDAD URBANA;AUTOM‡VIL;FIAT PANDA;2009;;;;;;;;
927;CENTRO DE MOVILIDAD URBANA;AUTOM‡VIL;FIAT PANDA;2009;;;;;;;;
1172;CENTRO DE MOVILIDAD URBANA;FURGONETA;IVECO DAILY;2015;;;;;;;;
1196;CENTRO DE MOVILIDAD URBANA;AUTOBÈS;Nß 302 VERIS.12 HYBRID;2017;;;;;;;;
1197;CENTRO DE MOVILIDAD URBANA;AUTOBÈS;Nß 303 VERIS.12 HYBRID;2017;;;;;;;;
1070;FUNDACI‡N  MUNICIPAL DE DEPORTES;AUTOM‡VIL;RENAULT TRAFIC 1000  ;1993;;;;;;;;
1074;FUNDACI‡N  MUNICIPAL DE DEPORTES;FURGONETA;CITROEN BERLINGO 19D SXMODN;2001;;;;;;;;
1069;FUNDACI‡N  MUNICIPAL DE DEPORTES;FURGONETA;NISSAN TRADE 3.0 FURG‡N;1995;;;;;;;;
1073;FUNDACI‡N  MUNICIPAL DE DEPORTES;FURGONETA;OPEL;1999;;;;;;;;
1071;FUNDACI‡N  MUNICIPAL DE DEPORTES;FURGONETA;OPEL COMBO;1997;;;;;;;;
1072;FUNDACI‡N  MUNICIPAL DE DEPORTES;FURGONETA;PEUGEOT BOXER 2.2;2004;;;;;;;;
1068;FUNDACI‡N  MUNICIPAL DE DEPORTES;MOTOCICLETA;PEUGEOT SCOTTER;2003;;;;;;;;
1075;FUNDACI‡N MUNICIPAL DE CULTURA;FURGONETA;FORD TRANSIT CONNECT HCP/230L COMBI 1999 MAN;2006;;;;;;;;
1076;FUNDACI‡N MUNICIPAL DE CULTURA;FURGONETA;RENAULT KANGOO EXPRESS ZE;2012;;;;;;;;
1104;POLIC÷A MUNICIPAL;AUTOM‡VIL;FIAT DOBLO;2002;;;;;;;;
1105;POLIC÷A MUNICIPAL;AUTOM‡VIL;FIAT DOBLO;2002;;;;;;;;
1100;POLIC÷A MUNICIPAL;AUTOM‡VIL;FIAT SCUDO;1997;;;;;;;;
1103;POLIC÷A MUNICIPAL;AUTOM‡VIL;MITSUBISHI;1997;;;;;;;;
1106;POLIC÷A MUNICIPAL;AUTOM‡VIL;PEUGEOT 307;2002;;;;;;;;
1107;POLIC÷A MUNICIPAL;AUTOM‡VIL;PEUGEOT 307;2002;;;;;;;;
1108;POLIC÷A MUNICIPAL;AUTOM‡VIL;PEUGEOT 307;2002;;;;;;;;
1109;POLIC÷A MUNICIPAL;AUTOM‡VIL;PEUGEOT 307;2002;;;;;;;;
792;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT CLIO CL2CMY.;2005;;;;;;;;
1102;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT EXPRESS;1997;;;;;;;;
677;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT LAGUNA.;1999;;;;;;;;
1078;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT MEGANE;1997;;;;;;;;
1079;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT MEGANE;1997;;;;;;;;
1080;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT MEGANE;1997;;;;;;;;
1081;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT MEGANE;1997;;;;;;;;
1083;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT MEGANE;1997;;;;;;;;
1095;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT MEGANE;2002;;;;;;;;
1085;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT MEGANE;2002;;;;;;;;
1086;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT MEGANE;2002;;;;;;;;
1087;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT MEGANE;2002;;;;;;;;
1088;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT MEGANE;2002;;;;;;;;
1089;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT MEGANE;2002;;;;;;;;
1090;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT MEGANE;2002;;;;;;;;
1091;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT MEGANE;2002;;;;;;;;
1093;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT MEGANE;2002;;;;;;;;
1094;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT MEGANE;2002;;;;;;;;
709;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT MEGANE CLASSIC.;2000;;;;;;;;
712;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT MEGANE CLASSIC.;2000;;;;;;;;
649;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT MEGANE RN 1.9D.;1997;;;;;;;;
640;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT MEGANE RN 1.9D.;1997;;;;;;;;
630;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT MEGANE RN 1.9D.;1997;;;;;;;;
643;POLIC÷A MUNICIPAL;AUTOM‡VIL;RENAULT MEGANE RN 1.9D.;1997;;;;;;;;
