DENOMINACION;LOCALIZACION_TIPO DE VIA;LOCALIZACION_DENOMINACION DE LA  VIA;LOCALIZACION_NUMERO;C‡DIGO POSTAL;COORDENADA X;COORDENADA Y;TELêFONO;USO PRINCIPAL;ENTIDAD RESPONSABLE
"Centro de Personas Mayores ""Delicias""";Paseo;Juan Carlos I;28;47013;357216,91;4611402,84;983471138;Actividades Sociales;Ayuntamiento de Valladolid
Comisar°a de Distrito Cuarto;Ctra.;Rueda;29;47008;355008,92;4610037,84;983426462;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid
Vivienda;Calle;Huelgas;30;47005;357249,97;4612932,08;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Calle;Nicol†s Salmer¢n;31;47004;357010,78;4612178,33;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Calle;Tirso de Molina;32;47010;356473,22;4613760,52;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Ctra.;Fuensalda§a;33;47009;355563,87;4614650,71;;Patrimonio Municipal;Ayuntamiento de Valladolid
Centro Municipal de Ac£stica;Calle;Olimpiadas;40;47008;352412,65;4608734,17;983224764;Salud y Sanidad;Ayuntamiento de Valladolid
Comisar°a de Distrito Segundo;Avenida;Palencia;41;47010;357183,91;4613833,97;983426428;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid
Vivienda;Cmno. ;Viejo del Polvor°n;43;47012;358320,20;4612320,59;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Calle;La Victoria;45;47009;355854,73;4614158,11;;Actividades Sociales;Ayuntamiento de Valladolid
Antiguo C.P. JosÇ Zorrilla;Avenida;Palencia;45;47010;357224,00;4613890,65;983426100;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid
Vivienda;Calle;Tierra Baja;45;47010;357716,44;4614625,72;;Actividades Sociales;Ayuntamiento de Valladolid
C.P. Marina Escobar;Calle;Eusebio Gonz†lez Su†rez;45;47014;353501,66;4610727,85;983355920;Actividades Educativas;Ayuntamiento de Valladolid
