DENOMINACION;USO;LOCALIZACION_TIPO DE VIA;LOCALIZACION_DENOMINACION DE LA  VIA;LOCALIZACION_NUMERO;C‡DIGO POSTAL;COORDENADA X;COORDENADA Y;TELêFONO;ENTIDAD RESPONSABLE;OTRA INFORMACION
Biblioteca del Campus Miguel Delibes;Restringido;Paseo;BelÇn;9;47011;358199,12;4614058,33;983423033;Universidad de Valladolid;http://biblioteca.uva.es/export/sites/biblioteca/1.informaciongeneral/1.2.bibliotecas/1.2.11.campusdelibes/1.2.11.03.guia/
"Biblioteca Hist¢rica Universitaria ""Santa Cruz""";Restringido;Calle;Chanciller°a;6;47003;356929,97;4613332;983423029;Universidad de Valladolid;http://biblioteca.uva.es/export/sites/biblioteca/1.informaciongeneral/1.2.bibliotecas/1.2.11.campusdelibes/1.2.11.03.guia/
"Biblioteca General Universitaria ""Reina Sof°a""";Restringido;Plaza;Colegio Santa Cruz;8;47002;356868,35;4612717,8;983423000;Universidad de Valladolid;http://biblioteca.uva.es/export/sites/biblioteca/1.informaciongeneral/1.2.bibliotecas/1.2.11.campusdelibes/1.2.11.03.guia/
Biblioteca Estudio Teol¢gico Agustiniano de Valladolid;Libre;Paseo;Filipinos;7;47007;356049,73;4611906,8;983300621;Real Colegio de Agustinos;http://www.agustinosvalladolid.es/
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Biblioteca Campo Grande;;Calle;Acera de Recoletos;s/n;47004;356096,13;4612169,12;983300632;Ayuntamiento de Valladolid;
Biblioteca Francisco Javier Mart°n Abril;;Calle;L¢pez G¢mez;1;47002;356533,51;4612523,15;983211231;Ayuntamiento de Valladolid;
Biblioteca Francisco Pino;;Calle;Francisco Hern†ndez Pacheco;s/n;47014;355129,69;4612532,36;983143004;Ayuntamiento de Valladolid;
Biblioteca Adolfo Miaja de la Muela;;Plaza;Bi¢logo JosÇ Antonio Valverde;1;47012;357635,03;4611956,91;983143422;Ayuntamiento de Valladolid;
Biblioteca Blas Pajarero ;;Paseo;Juan Carlos I;20;47013;356976,03;4610954,14;983456153;Ayuntamiento de Valladolid;
Biblioteca Parque Alameda;;Calle;Armu§a;3;47008;354378,67;4609291,17;983131166;Ayuntamiento de Valladolid;
Biblioteca Rondilla;;Calle;Alberto Fern†ndez;3;47010;356452,07;4614065,27;983426408;Ayuntamiento de Valladolid;
Biblioteca Rosa Chacel ;;Plaza;Juan de Austria;11;47006;355203,76;4611242,86;983426343;Ayuntamiento de Valladolid;
Biblioteca Santiago de los Mozos;;Calle;Eusebio Gonz†lez Su†rez;69;47014;353417,88;4610860,27;983132018;Ayuntamiento de Valladolid;
Punto de PrÇstamo barrio Las Flores;;Calle;Margarita;16;47017;359027,21;4611697,07;983214425;Ayuntamiento de Valladolid;
Punto de PrÇstamo barrio La Pilarica;;Calle;Puente La Reina;1;47011;357818,81;4612792,33;983396577;Ayuntamiento de Valladolid;
Punto de PrÇstamo barrio de Puente Duero;;Calle;Real;105;47152;350755,01;4601965,96;983415133;Ayuntamiento de Valladolid;
Punto PrÇstamo Bibliotecario Barrio San Pedro Regalado;;Calle;Arturo Moliner;17;47011;358098,01;4614363,87;983252435;Ayuntamiento de Valladolid;
Punto de PrÇstamo barrio de La Victoria;;Calle;San Sebasti†n;7;47009;355902,72;4614088,16;983424203;Ayuntamiento de Valladolid;
Punto de PrÇstamo barrio de BelÇn;;Plaza;Nieves;14;47011;357939,67;4613423,11;983266390;Ayuntamiento de Valladolid;
Punto de PrÇstamo barrio Esgueva;;Calle;Madre de Dios;20;47011;357343,61;4613562,08;983310529;Ayuntamiento de Valladolid;
Punto de PrÇstamo barrio de La Overuela;;Calle;La 41;12;47009;357958,83;4617129,91;983358698;Ayuntamiento de Valladolid;
Punto de PrÇstamo barrio de San Juan;;Calle;Traves°a de la Verbena;1;47005;357257,67;4612666,87;983130438;Ayuntamiento de Valladolid;
