LOCALIZACI‡N;ZONA;TIPO;Nß DE PLAZAS;Coordenada X;Coordenada Y;;
CALLE MIGUEL DE PRADO;6;Normal;41;356990,11;4612223,43;;
CALLE GENERAL RUIZ (Dos de Mayo-Panaderos);4;Normal;6;356581,73;4612211,37;;
CALLE PAULINA HARRIET (Gregorio Fern†ndez-Juan de Juni);3;Normal;15;355778,24;4612195,77;;
CALLE PANADEROS (General Ruiz-Pedro Lagasca);4;Normal;17;356637,97;4612192,32;;
CALLE COLMENARES;4;Residentes;17;356304,04;4612189,71;;
CALLE GENERAL RUIZ (Muro-Dos de Mayo);4;Normal;29;356496,53;4612184,38;;
CALLE GREGORIO FERNµNDEZ;3;Normal;43;355713,52;4612175,73;;
CALLE NICOLAS SALMERON (Circular-San Luis);6;Normal;27;356999,11;4612166,28;;
CALLE GAMAZO;4;Normal;82;356362,82;4612164,31;;
PASEO DE ZORRILLA (Juan de Juni-Gregorio Fern†ndez);3;Normal;12;355819,57;4612147,61;;
CALLE DOS DE MAYO (General Ruiz-Ferrocarril);4;Normal;21;356585,56;4612146,85;;
CALLE MURO;4;Normal;128;356453,78;4612139,11;;
PLAZA CA•O DE ARGALES (Pedro Lagasca-Nicolas Salmer¢n);4;Normal;5;356664,42;4612136,23;;
CALLE BAILêN;4;Normal;18;356405,11;4612132,56;;
CALLE PADRE CLARET;6;Normal;15;357084,83;4612125,00;;
CALLE PAULINA HARRIET (Espiritu Santo-Gregorio Fern†ndez);3;Normal;17;355697,80;4612116,39;;
CALLE NICOLµS SALMER‡N (Labradores-Panaderos);4;Normal;9;356733,74;4612112,95;;
CALLE NI•A GUAPA (Padre Claret-San Luis);6;Normal;19;357016,57;4612107,54;;
PLAZA CA•O DE ARGALES (Ferrocarril-Panaderos);4;Normal;3;356641,14;4612106,07;;
CALLE ESTACION (Padre Claret-San Isidro);6;Normal;32;357155,90;4612082,07;;
CALLE NI•A GUAPA (Labradores-San Luis);6;Normal;11;356866,29;4612064,68;;
CALLE ASUNCI‡N (Padre Claret-San Luis);6;Normal;19;357019,45;4612061,30;;
CALLE FRANCISCO SUµREZ (Paseo del Hospital Militar-Espiritu Santo);3;Normal;18;355577,53;4612057,72;;
CALLE SAN LUIS (Nicol†s Salmer¢n-Estaci¢n);6;Normal;29;356930,84;4612056,74;;
CALLE ESPIRITU SANTO ;3;Normal;23;355650,02;4612054,55;;
PASEO DE ZORRILLA (Gregorio Fern†ndez-Paseo del Hospital Militar);3;Normal;17;355707,86;4612025,37;;
CALLE ESTACION (San Luis-Padre Claret);6;Normal;21;357032,61;4612022,27;;
CALLE ASUNCI‡N (San Luis-Labradores);6;Normal;35;356877,63;4612012,61;;
CALLE FERROCARRIL;4;Normal;28;356588,77;4612009,27;;
CALLE INDEPENDECIA;4;Normal;52;356478,79;4612007,43;;
CALLE PANADEROS (Ca§o Argales-Estaci¢n);4;Normal;78;356670,77;4611992,83;;
CALLE LOZA;4;Normal;0;356735,30;4611978,25;;
PASEO DE FILIPINOS  (Zorrilla-Arco de Ladrillo);5;Normal;16;355819,11;4611969,75;;
CALLE CAPUCHINOS (Reyes Cat¢licos-Francisco Su†rez);3;Normal;12;355451,79;4611963,20;;
CALLE ESTACI‡N (Labradores-San Luis);6;Normal;20;356884,97;4611956,13;;
CALLE GARC÷A VALLADOLID;4;Normal;14;356482,77;4611953,66;;
CALLE REYES CATOLICOS (Capuchinos-Camilo Calleja);3;Normal;14;355400,16;4611949,54;;
PASEO DE FILIPINOS (Arco de Ladrillo-Col¢n);5;Normal;58;356096,92;4611945,14;;
CALLE ESTACION (Col¢n-Ferrocarril);4;Normal;53;356439,33;4611916,18;;
CALLE VALDIVIA;3;Disuasorios;7;355308,82;4611905,37;;
PLAZA COL‡N;4;Normal;8;356249,56;4611904,45;;
CALLE CAPUCHINOS (Zorrilla-Francisco Su†rez);3;Normal;24;355510,00;4611902,35;;
CALLE ESTACION (Panaderos-Labradores);4;Normal;15;356735,40;4611898,72;;
CALLE ESTACION (Ferrocaril-Panaderos);4;Normal;13;356609,19;4611895,54;;
CALLE FRANCISCO SUµREZ (Paseo del Hospital Militar-Tres Amigos);3;Normal;57;355442,59;4611893,68;;
CALLE DOCTOR CAMILO CALLEJA;3;Normal;10;355389,72;4611888,46;;
PASEO ARCO LADRILLO (Filipinos-Calle del Hospital Militar);5;Normal;60;355900,07;4611861,35;;
PASEO DE ZORRILLA (Filipinos-Florida);5;Normal;14;355576,19;4611855,77;;
AVENIDA REYES CATOLICOS (Camilo Calleja-Hern†n Cortes);3;Disuasorios;85;355303,00;4611851,52;;
CALLE ESTACION DEL NORTE;4;Normal;64;356273,28;4611843,76;;
PASEO DEL HOSPITAL MILITAR (Zorrilla-Arco de Ladrillo);5;Normal;70;355745,29;4611831,64;;
CALLE RECONDO (Estaci¢n-Estaci¢n del Norte);4;Normal;32;356394,09;4611829,87;;
PLAZA AMERICA;3;Disuasorios;9;355261,87;4611817,89;;
CALLE TRES AMIGOS (Francisco Su†rez-Reyes Catolicos);3;Normal;32;355316,82;4611800,05;;
CALLE PEDRO PONCE DE LE‡N;3;Normal;22;355433,88;4611799,68;;
PASEO DE ZORRILLA (Capuchinos-Tres Amigos);3;Normal;28;355479,79;4611794,13;;
PASEO DEL CID;3;Disuasorios;78;355132,34;4611766,59;;
CALLE HERNAN CORTES (Reyes Catolicos-Cid);3;Disuasorios;30;355176,15;4611765,50;;
CALLE FLORIDA;5;Normal;16;355581,75;4611752,58;;
CALLE GABILONDO (Paseo del Hospital Militar-Puente Colgante);5;Normal;67;355640,22;4611745,70;;
CALLE VASCO NU•EZ DE BALBOA;3;Residentes;39;355303,06;4611738,67;;
CALLE TRES AMIGOS (Zorrilla-Francisco Su†rez);3;Normal;11;355384,02;4611727,56;;
PASEO DEL HOSPITAL MILITAR (Arco de Ladrillo-Recondo);5;Normal;53;356023,90;4611713,37;;
CALLE SAN JOSE;5;Normal;89;355762,46;4611703,64;;
CALLE PIZARRO (Reyes Cat¢licos-Cid);3;Residentes;29;355120,22;4611699,54;;
CALLE PORTUGAL;5;Normal;17;355596,83;4611689,61;;
CALLE HERNµN CORTêS (Magallanes-Reyes Cat¢licos);3;Normal;63;355280,14;4611684,66;;
CALLE RECONDO (Arco de Ladrillo-Estaci¢n del Norte);5;Normal;72;356121,83;4611677,47;;
AVENIDA REYES CATOLICOS (Hern†n Cortes-Puente Colgante);3;Disuasorios;53;355156,15;4611668,17;;
CALLE ITALIA;5;Normal;40;355546,03;4611663,15;;
PASEO ARCO LADRILLO (Calle del Hospital Militar-Puente Colgante);5;Normal;24;355909,60;4611651,46;;
CALLE PIZARRO (Magallanes-Reyes Cat¢licos);3;Residentes;25;355201,71;4611637,10;;
CALLE JUAN SEBASTIAN EL CANO;3;Disuasorios;17;355079,31;4611635,85;;
CALLE MAGALLANES;3;Normal;93;355306,06;4611633,33;;
CALLE ALEMANIA;5;Normal;25;355504,49;4611623,47;;
PASEO DE ZORRILLA (Magallanes-Puente Colgante);3;Normal;11;355398,82;4611621,62;;
CALLE PUENTE COLGANTE (Zorrilla-Recondo);5;Normal;75;355651,86;4611578,75;;
CALLE PUENTE COLGANTE (Zorrilla-Reyes Catolico);3;Normal;37;355263,06;4611554,89;;
CALLE PUENTE COLGANTE (Reyes Cat¢licos-Cid);3;Normal;12;355057,22;4611550,13;;
PLAZA DE LA INDIA ;Disuasorio-3;Disuasorios;199;355791,83;4611515,43;;
CALLE MERCEDES;3;Normal;31;355225,10;4611483,58;;
PASEO DE ZORRILLA (Puente Colgante-Estadio);3;Normal;12;355341,15;4611464,46;;
CALLE PERAL;5;Normal;23;355563,83;4611461,57;;
