DENOMINACION;LOCALIZACION_TIPO DE VIA;LOCALIZACION_DENOMINACION DE LA  VIA;LOCALIZACION_NUMERO;C‡DIGO POSTAL;TELêFONO;COORDENADA X;COORDENADA Y;SIUACI‡N INMUEBLE;TIPO DE USO;ENTIDAD RESPONSABLE;;
CEAS Rondilla-Santa Clara II;Calle;Alberto Fern†ndez;3;47010;983426410;356452,07;4614065,27;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
CEAS Vadillos;Calle;Traves°a de la Verbena;1;47005;983132551;357257,67;4612668,38;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
Cementerio El Carmen;Camno.;Cementerio ;1;47010;983320079;358438,02;4614474,78;Propiedad;Servicios Funerarios;Necr¢polis de Valladolid S.A. (NEVASA);;
Cementerio Las Contiendas;Avda.;Gij¢n;71;47009;983360405;353799,86;4613601,65;Propiedad;Servicios Funerarios;Necr¢polis de Valladolid S.A. (NEVASA);;
Cementerio Puente Duero;Camino;Cementerio (Puente Duero);s/n;47152;983360405;351265,08;4602161,92;Propiedad;Servicios Funerarios;Necr¢polis de Valladolid S.A. (NEVASA);;
Centro C°vico Bailar°n Vicente Escudero;Calle;Traves°a de la Verbena;1;47005;983132551;357257,67;4612666,87;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Centro C°vico Campillo;Calle;Hostieros;1;47004;983305525;356606,12;4612313,87;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Centro C°vico Casa Cuna (Arturo Eyries);Calle;Ecuador;2;47014;983457052;354599,84;4610502,34;Cedido al Ayuntamiento;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Centro C°vico Delicias ;Paseo;Juan Carlos I;20;47013;983472111;356976,03;4610954,14;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Centro C°vico Esgueva;Calle;Madre de Dios;20;47011;983310465;357343,61;4613562,08;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Centro C°vico Integrado Zona Este;Plaza;Bi¢logo JosÇ Antonio Valverde;1;47012;983143420;357635,03;4611956,91;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Centro C°vico Jose Luis Mar°a Luelmo;Calle;Armu§a;3;47008;983130030;354378,67;4609291,17;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Centro C°vico Jose Luis Mosquera (Huerta del Rey);Calle;P÷o del R°o Hortega;13;47014;983354735;355059,20;4612523,36;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
