DENOMINACION;LOCALIZACION_TIPO DE VIA;LOCALIZACION_DENOMINACION DE LA  VIA;LOCALIZACION_NUMERO;C‡DIGO POSTAL;TELêFONO;COORDENADA X;COORDENADA Y;SIUACI‡N INMUEBLE;TIPO DE USO;ENTIDAD RESPONSABLE;;
Parque Servicios-Protecci¢n Civil-Nave;Calle;Callej¢n de la Alcoholera;10;47008;983276450;354418,34;4610134,02;Propiedad;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid;;
Piscina cubierta Benito Sanz de la Rica;Paseo;Zorrilla;101;47007;983273782;355209,81;4610420,94;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Piscina cubierta Ribera de Castilla;Plaza;Ribera de Castilla;4A;47010;983310307;356936,22;4614290,48;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Piscina de verano de Puente Duero;Calle;Real;2B;47152;983426306;350953,80;4602619,06;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Piscina Henar Alonso Pimentel;Plaza;Bi¢logo JosÇ Antonio Valverde;3;47012;983212612;357667,36;4611894,72;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pista de Baloncesto Covaresa I;Plaza;Camilo JosÇ Cela;s/n;47008;983426306;354083,68;4608397,29;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pista de Baloncesto Covaresa II;Calle;Santiago Alba;s/n;47008;983426306;354253,44;4608094,22;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pista de Juegos Aut¢ctonos en Calle B†lago;Calle;B†lago;s/n;47009;983426306;355460,16;4613414,03;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pista de Petanca en Parque Patricia;Avenida;Fernando Ferreiro;s/n;47012;983426306;358062,04;4612055,96;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pista de Skate;Avenida;Mundial 82;s/n;47014;983426305;353598,34;4611974,14;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pista Deportes Aut¢ctonos en Barrio la Pilarica;Calle;Seo;s/n;47005;983426306;357768,84;4612871,25;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pista Deportivo-Recreativa Miguel Mart°n Luquero;Plaza;Juan de Austria;s/n;47006;983426306;355088,33;4611222,15;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pista Polideportiva Barrio BelÇn;Calle;Navidad;s/n;47011;983426306;357886,60;4613307,72;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pista Polideportiva en la Overuela;Calle;Calveras;s/n;47009;983426306;357760,48;4617212,83;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pista Polideportiva en Parquesol;Paseo;Eusebio Gonz†lez Su†rez;s/n;47014;983426306;353920,23;4610666,73;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pista Polideportiva Juan Manuel S†nchez;Calle;Romojaro;s/n;47011;983426306;357221,71;4613778,58;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pista Polideportiva Las Flores;Calle;Azalea;s/n;47017;983426306;358914,48;4611995,19;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pista Polideportiva Pinar de Antequera;Calle;Acacias;s/n;47153;983426306;353731,64;4605610,71;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pista Polideportiva Plaza de las Villas;Plaza;Las Villas;s/n;47008;983426306;353825,97;4609331,92;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pista Polideportiva Puente Duero;Cmno. ;El Pesquer¢n;s/n;47152;983426306;350855,27;4601847,69;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pistas de tenis de Parquesol;Calle;Eusebio Gonz†lez Su†rez;s/n;47014;983375847;353932,23;4610596,15;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pistas Deportes Aut¢ctonos La Rubia;Paseo;Zorrilla;200;47008;983426306;354787,03;4610104,26;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pistas Polideportivas Las Moreras;Paseo;"Marcelino Mart°n ""El Catarro""";s/n;47001;983426306;355772,10;4613103,88;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pistas Polideportivas Poblado de Fasa;Paseo;Juan Carlos I;s/n;47013;983426306;356486,40;4610160,05;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Planta de Recuperaci¢n y Compostaje de Residuos S¢lidos Urbanos;Ctra.;Le¢n;KM. 198;47000;983358588;351100,56;4615500,82;Propiedad;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid;;
Polideportivo CinegÇtico Faustino Alonso (El Rebollar);Ctra.;Cigu§uela a Robladillo;s/n;47191;983426306;341645,09;4612165,20;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Polideportivo Mirian Blasco;Calle;Covadonga;16;47005;680441149;357472,13;4613209,06;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Punto de Informaci¢n Tur°stica Aeropuerto de Villanubla;Ctra.;Le¢n;s/n;47620;983561083;346613,63;4618979,50;Cedido al Ayuntamiento;Actividades Tur°sticas;Ayuntamiento de Valladolid;;
Punto de Informaci¢n Tur°stica Fuente Dorada;Plaza;Fuente Dorada;s/n;47001;983330893;356347,03;4612807,69;Propiedad;Actividades Tur°sticas;Ayuntamiento de Valladolid;;
Punto limpio Cabildo;Calle;Peseta;2;47009;639316991;356578,31;4614913,14;Propiedad;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid;;
Punto limpio Camino Viejo de Simancas;Cmno. ;Viejo de Simancas;233;47008;608258017;352662,05;4608643,73;Propiedad;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid;;
Punto limpio Lagunas de Villaf†fila;Calle;Lagunas de Villaf†fila;3;47012;608880613;357324,76;4609871,00;Propiedad;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid;;
Punto limpio Recinto Ferial;Avenida;Mundial 82;2;47014;649037203;353593,34;4612507,21;Propiedad;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid;;
Punto limpio Valle de Ar†n;Calle;Valle de Ar†n;s/n;47010;639380766;357210,38;4614435,79;Propiedad;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid;;
Punto PrÇstamo Bibliotecario Barrio BelÇn;Plaza;Nieves;14;47011;983266390;357939,67;4613423,11;Propiedad;Actividades Culturales;Ayuntamiento de Valladolid;;
Punto PrÇstamo Bibliotecario Barrio de La Overuela;Calle;La 41;12;47009;983358698;357958,83;4617129,91;Propiedad;Actividades Culturales;Ayuntamiento de Valladolid;;
Punto PrÇstamo Bibliotecario Barrio de la Victoria;Calle;San Sebasti†n;7;47009;983424203;355902,72;4614088,16;Propiedad;Actividades Culturales;Ayuntamiento de Valladolid;;
Punto PrÇstamo Bibliotecario Barrio de Puente Duero;Calle;Real;105;47152;983415133;350755,01;4601965,96;Propiedad;Actividades Culturales;Ayuntamiento de Valladolid;;
Punto PrÇstamo Bibliotecario Barrio de San Juan;Calle;Traves°a de la Verbena;1;47005;983130438;357257,67;4612666,87;Propiedad;Actividades Culturales;Ayuntamiento de Valladolid;;
Punto PrÇstamo Bibliotecario Barrio Esgueva;Calle;Madre de Dios;20;47011;983310529;357343,61;4613562,08;Propiedad;Actividades Culturales;Ayuntamiento de Valladolid;;
Punto PrÇstamo Bibliotecario Barrio la Pilarica;Calle;Puente La Reina;1;47011;983396577;357818,81;4612792,33;Propiedad;Actividades Culturales;Ayuntamiento de Valladolid;;
Punto PrÇstamo Bibliotecario Barrio San Pedro Regalado;Calle;Arturo Moliner;17;47011;983252435;358098,01;4614363,87;Propiedad;Actividades Culturales;Ayuntamiento de Valladolid;;
Punto PrÇstamo Bibliotecario Bibliotecarioa Barrio Las Flores;Calle;Margarita;16;47017;983214425;359027,21;4611697,07;Propiedad;Actividades Culturales;Ayuntamiento de Valladolid;;
Sala Municipal Casa de Cultura Revilla;Calle;Torrecilla;5;47003;983426246;356624,22;4613246,73;Propiedad;Actividades Culturales;Fundaci¢n Municipal de Cultura;;
Sala Municipal La Pasi¢n;Calle;Pasi¢n;s/n;47001;983374048;356047,77;4612730,48;Propiedad;Actividades Culturales;Fundaci¢n Municipal de Cultura;;
Sala Municipal Las Francesas;Calle;Santiago;20;47001;983373251;356081,03;4612544,87;Propiedad;Actividades Culturales;Fundaci¢n Municipal de Cultura;;
Sala Municipal San Benito;Calle;San Benito;1;47003;983426193;356090,92;4612996,33;Propiedad;Actividades Culturales;Fundaci¢n Municipal de Cultura;;
Sala Municipal Teatro Calder¢n;Calle;Leopoldo Cano;s/n;47003;983426450;356486,66;4612984,41;Propiedad;Actividades Culturales;Fundaci¢n Municipal de Cultura;;
Servicio Limpieza;Calle;Topacio;63;47012;983352581;357911,24;4607927,77;Propiedad;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid;;
Teatro Calder¢n de la Barca;Calle;Angustias;1;47003;983426444;356523,79;4612994,02;Propiedad;Actividades Culturales;Fundaci¢n Municipal de Cultura;;
Vertedero Municipal;Ctra.;Le¢n;KM. 198;47000;983352216;351100,56;4615500,82;Propiedad;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid;;
Zona Deportiva Campo Grande;Calle;Acera de Recoletos;s/n;47004;983426306;356171,54;4612165,20;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
;;;;;;;;;;;;
;;;;;;;;;;;;
