CODI,NOM,CATEGORIA,LOCALITZACIÓ
12,Jardins d'Antoni Jonch,menys de 10 anys,"(41.602115, 2.288264)"
13,Plaça d'Amadeu Castellanos,menys de 10 anys,"(41.602984, 2.290845)"
65,Placeta de Miquel Joseph,més de 5 anys,"(41.600569, 2.288344)"
11,Jardins dels Voluntaris 92,menys de 10 anys,"(41.598222, 2.288719)"
11,Jardins dels Voluntaris 92,menys de 10 anys,"(41.597838, 2.288638)"
5,Jardins de Marie Curie,menys de 10 anys,"(41.595181, 2.286443)"
6,Plaça d'Alfred Canal,menys de 10 anys,"(41.595335, 2.288881)"
9,Jardins de Lluís Companys,menys de 10 anys,"(41.601358, 2.282018)"
10,Plaça de Sant Miquel,totes les edats,"(41.600717, 2.2854)"
62,Pistes d'Atletisme,més de 10 anys,"(41.600282, 2.279779)"
8,Jardins de Can Corts,menys de 10 anys,"(41.59905, 2.28141)"
54,Plaça de les Arts,menys de 10 anys,"(41.599747, 2.283595)"
7,Parc del Lledoner,més de 5 anys,"(41.617799, 2.286979)"
4,Parc Firal,menys de 10 anys,"(41.596849, 2.278538)"
79,Elements Esportius Parc Firal,totes les edats,"(41.593689, 2.276903)"
52,Parc de la Mediterrània - Esteve Terrades,totes les edats,"(41.593861, 2.289703)"
53,Parc de la Mediterrània,menys de 10 anys,"(41.593188, 2.28867)"
53,Parc de la Mediterrània,menys de 10 anys,"(41.592754, 2.288357)"
3,Jardins d'Esteve Terrades,menys de 10 anys,"(41.591058, 2.289888)"
2,Plaça de Joan Oliver,menys de 10 anys,"(41.590723, 2.286876)"
1,Plaça de Josep Oliveras,menys de 10 anys,"(41.586277, 2.279699)"
20,Placeta d'Agustí Bartra,totes les edats,"(41.609877, 2.282711)"
21,Jardins de Jaume Balmes,menys de 10 anys,"(41.609641, 2.283837)"
73,Passeig de la Conca del Besòs,més de 10 anys,"(41.608265, 2.280062)"
17,Jardins d'Enrica Roca,totes les edats,"(41.606963, 2.282283)"
63,Passeig Fluvial km.0,més de 10 anys,"(41.605112, 2.280177)"
74,Parc de Congost,de 5 a 10 anys,"(41.604329, 2.280363)"
15,Jardins de Conrad Saló,totes les edats,"(41.604283, 2.282593)"
16,Plaça de les Hortes,totes les edats,"(41.605614, 2.28198)"
19,Parc del Congost,totes les edats,"(41.607147, 2.280968)"
66,"Parc de Congost ""skate""",totes les edats,"(41.606629, 2.280979)"
55,"Parc del Congost ""piràmide""",totes les edats,"(41.606127, 2.281111)"
18,Parc del Congost,totes les edats,"(41.604292, 2.280921)"
22,Plaça del Ciclista,menys de 10 anys,"(41.605077, 2.289237)"
77,Parc Torras Villà,menys de 10 anys,"(41.60677, 2.291415)"
14,"Parc Torras i Villà ""skate""",més de 10 anys,"(41.606994, 2.292241)"
81,Plaça de la Corona,menys de 10 anys,"(41.605638, 2.28825)"
84,Placeta de Sant Plàcid,totes les edats,"(41.620508, 2.289063)"
85,Placeta d'Albert Einstein,menys de 10 anys,"(41.619686, 2.288714)"
83,Placeta de Joan Coromines,menys de 10 anys,"(41.618899, 2.28834)"
86,Placeta de Jules Verne,menys de 10 anys,"(41.6188, 2.289459)"
80,Jardins de Manuel Masjoan,totes les edats,"(41.615279, 2.273284)"
