Àrea,Orgànic,Actuació,Servei,% d'execució,Acció ,Una ciutat oberta al món,Governar amb la gent,Igualtat i defensa dels drets socials,Convivència i civisme,Una ciutat educadora,Una ciutat creativa,Espais i serveis de qualitat,Compromís ambiental,Una ciutat econòmicament competitiva,Transparència i eficiència,Cultura de pau,Roca Umbert,Pla de civisme i convivència,Programa global sobre habitatge,Potenciació de la formació professional,Transició energètica i canvi climàtic,C17,Circuit de Catalunya,Redefinició del model comercial,Societat del coneixement,Programa,Grau d'execució,Data actualització grau d'execució,Acció nova o de continuïtat,Any 2015,Any 2016,Any 2017,Any 2018,Any 2019,Barri
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,"Realitzar, a trav&eacute;s de l&rsquo;Observatori local de G&egrave;nere, un proc&eacute;s diagn&ograve;stic continu sobre la igualtat de g&egrave;nere a Granollers",Pla d'Igualtat de Gènere,40%,"Realització d'estudis específics en col·laboració amb universitats i el Centre d'Informació i Recursos per a Dones d'igualtat de gènere, mitjançant convenis",0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Igualtat de gènere i atenció a la dona,En execució,07/04/2016 10:40:46 AM,Nou,0,1,0,0,0,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,Consolidar una oferta estable d&rsquo;activitats de formaci&oacute; i sensibilitzaci&oacute; envers de la igualtat de g&egrave;nere,Pla d'Igualtat de Gènere,56%,Reforç de les activitats realitzades des del CIRD adreçades a la ciutadania amb l'objectiu d'incloure la perspectiva de gènere,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pendent,En execució,03/31/2016 03:35:54 PM,Continuïtat,1,1,1,1,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,Implementaci&oacute; de la transversalitzaci&oacute; de g&egrave;nere en la pol&iacute;tica p&uacute;blica local,Pla d'Igualtat de Gènere,50%,Implementació de les accions del II Pla d'Igualtat de Gènere a través de la Comissió d'Igualtat de Gènere,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Igualtat de gènere i atenció a la dona,En execució,03/31/2016 02:40:15 PM,Continuïtat,1,1,1,1,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,Consolidar una oferta estable d&rsquo;activitats de formaci&oacute; i sensibilitzaci&oacute; envers de la igualtat de g&egrave;nere,Pla d'Igualtat de Gènere,56%,"Realització, amb el servei de Salut Pública, de la campanya anual 28 de maig, Dia Internacional per l'Acció de la Salut de les Dones",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pendent,Primeres accions,07/04/2016 10:45:44 AM,Continuïtat,1,1,1,1,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,"Incrementar l'apoderament de les dones, ja sigui ampliant coneixements i/o estimulant capacitats",Pla d'Igualtat de Gènere,39%,"Creació de noves accions positives adreçades a l'apoderament de les dones, adaptades a la nova situació laboral, social i personal de les dones",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Igualtat de gènere i atenció a la dona,En execució,07/05/2016 10:38:28 AM,Continuïtat,1,1,1,1,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,Implementaci&oacute; de la transversalitzaci&oacute; de g&egrave;nere en la pol&iacute;tica p&uacute;blica local,Pla d'Igualtat de Gènere,50%,"Aprovació i desenvolupament d'un reglament intern d'igualtat, d'acord amb el que estableix la llei",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Igualtat de gènere i atenció a la dona,Pendent,07/20/2016 12:25:58 PM,Nou,0,1,1,0,0,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,"Ampliar el debat, la reflexi&oacute; i la participaci&oacute; ciutadana d'homes i dones envers la igualtat de g&egrave;nere",Participació,33%,"Recerca i suport a altres grups, associacions i entitats de la ciutat que treballin envers la igualtat de gènere",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendent,Pendent,,Continuïtat,1,1,1,1,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,"Ampliar el debat, la reflexi&oacute; i la participaci&oacute; ciutadana d'homes i dones envers la igualtat de g&egrave;nere",Participació,33%,Reforç de la Taula d'Igualtat de Gènere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendent,En execució,07/04/2016 11:04:50 AM,Continuïtat,1,1,1,1,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,"Ampliar el debat, la reflexi&oacute; i la participaci&oacute; ciutadana d'homes i dones envers la igualtat de g&egrave;nere",Participació,33%,Contacte amb els grups d'homes igualitaris per afavorir un espai de debat continu amb homes al voltant de les noves masculinitats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendent,Primeres accions,12/27/2016 12:50:21 PM,Nou,0,1,1,1,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,"Enfortir les l&iacute;nies d'actuaci&oacute; envers la viol&egrave;ncia de g&egrave;nere, intervenint-hi de manera integral",Cohesió social,50%,"Revisió del Protocol local d'intervenció sobre la Violència Masclista, incloent Jutjats de Granollers, Col·legi d'Advocats i serveis de Salut Mental",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Igualtat de gènere i atenció a la dona,En execució,12/19/2016 09:07:33 AM,Continuïtat,0,1,1,0,0,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,"Enfortir les l&iacute;nies d'actuaci&oacute; envers la viol&egrave;ncia de g&egrave;nere, intervenint-hi de manera integral",Cohesió social,50%,Consolidació d'un recurs preventiu i psicopedagògic d'atenció integral a fills/es de dones víctimes de violència masclista per prevenir els seus efectes negatius de la violència en el seu desenvolupament i la seva salut emocional i afectiva,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Igualtat de gènere i atenció a la dona,En execució,07/04/2016 11:06:42 AM,Nou,0,1,1,0,0,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,"Enfortir les l&iacute;nies d'actuaci&oacute; envers la viol&egrave;ncia de g&egrave;nere, intervenint-hi de manera integral",Cohesió social,50%,Creació d'un programa en xarxa de prevenció de la violència de gènere entre adolescents,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Igualtat de gènere i atenció a la dona,Primeres accions,12/19/2016 10:39:55 AM,Nou,0,1,1,0,0,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,"Enfortir les l&iacute;nies d'actuaci&oacute; envers la viol&egrave;ncia de g&egrave;nere, intervenint-hi de manera integral",Cohesió social,50%,"Ampliació de l'atenció i tractament integral a la resta de supòsits de violència masclista, més enllà dels relatius a l'àmbit de la parella",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Igualtat de gènere i atenció a la dona,Primeres accions,03/31/2016 02:37:47 PM,Nou,0,0,0,1,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,"Realitzar, a trav&eacute;s de l&rsquo;Observatori local de G&egrave;nere, un proc&eacute;s diagn&ograve;stic continu sobre la igualtat de g&egrave;nere a Granollers",Pla d'Igualtat de Gènere,40%,Realització d'un estudi sociològic envers la igualtat de gènere de la ciutadania de Granollers,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Igualtat de gènere i atenció a la dona,En execució,03/31/2016 02:40:40 PM,Nou,0,1,0,0,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,Implementaci&oacute; de la transversalitzaci&oacute; de g&egrave;nere en la pol&iacute;tica p&uacute;blica local,Pla d'Igualtat de Gènere,50%,Pròrroga del II Pla d'Igualtat de Gènere per a la Ciutadania 2012-2015 per al període 2016-2019,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Igualtat de gènere i atenció a la dona,Primeres accions,03/31/2016 02:38:01 PM,Nou,0,1,1,1,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,"Realitzar, a trav&eacute;s de l&rsquo;Observatori local de G&egrave;nere, un proc&eacute;s diagn&ograve;stic continu sobre la igualtat de g&egrave;nere a Granollers",Pla d'Igualtat de Gènere,40%,Generació d'un espai estable de debat i reflexió amb agents clau de la ciutadania sobre la informació generada  per l'Observatori local de Gènere,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Igualtat de gènere i atenció a la dona,Pendent,07/20/2016 12:26:14 PM,Continuïtat,0,1,1,1,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,Implementaci&oacute; de la transversalitzaci&oacute; de g&egrave;nere en la pol&iacute;tica p&uacute;blica local,Pla d'Igualtat de Gènere,50%,Impuls i lideratge dels projectes transversals municipals des de la perspectiva de gènere,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Igualtat de gènere i atenció a la dona,En execució,03/31/2016 02:38:09 PM,Nou,0,1,1,1,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,Implementaci&oacute; de la transversalitzaci&oacute; de g&egrave;nere en la pol&iacute;tica p&uacute;blica local,Pla d'Igualtat de Gènere,50%,Desenvolupament d'un pla de formació especialitzat i sectoritzat en igualtat de gènere per al personal municipal,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Igualtat de gènere i atenció a la dona,En execució,07/04/2016 10:27:23 AM,Nou,0,1,1,1,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,Implementaci&oacute; de la transversalitzaci&oacute; de g&egrave;nere en la pol&iacute;tica p&uacute;blica local,Pla d'Igualtat de Gènere,50%,Introducció de la perspectiva de gènere en els projectes transversals d'àmbit comunitari adreçats a la ciutadania,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pendent,En execució,03/31/2016 02:40:34 PM,Continuïtat,1,1,1,1,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,"Enfortir les l&iacute;nies d'actuaci&oacute; envers la viol&egrave;ncia de g&egrave;nere, intervenint-hi de manera integral",Cohesió social,50%,Reforç del suport psicològic i jurídic a dones ofert des del CIRD,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pendent,Primeres accions,12/27/2016 12:44:51 PM,Continuïtat,0,0,1,1,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,"Realitzar, a trav&eacute;s de l&rsquo;Observatori local de G&egrave;nere, un proc&eacute;s diagn&ograve;stic continu sobre la igualtat de g&egrave;nere a Granollers",Pla d'Igualtat de Gènere,40%,"Creació d'informes específics i per sectors, anuals, orientats a monitorar l'assoliment de la igualtat de gènere a la ciutat",0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Igualtat de gènere i atenció a la dona,Primeres accions,12/19/2016 11:28:27 AM,Nou,0,1,1,1,1,
