CODI,PRODUCTE,CARRER,NÚMERO,LOCALITZACIÓ
1261,ROBA INTERIOR,PL ESGLESIA,3,"(41.607835, 2.285962)"
1272,ROBA ORDINARIA,PL PORXADA,39,"(41.607879, 2.286763)"
1286,ROBA INTERIOR,PL PORXADA,29,"(41.607996, 2.287562)"
1306,FRUITA I VERDURA,PL PORXADA,0,"(41.608198, 2.287728)"
1066,ROBA DONA,C ANSELM CLAVE,59,"(41.606558, 2.288588)"
1069,ROBA HOME,C ANSELM CLAVE,49,"(41.606843, 2.28865)"
1081,ROBA DONA,C ANSELM CLAVE,29,"(41.607652, 2.288832)"
1178,ROBA DONA,C SANT ROC,21,"(41.608368, 2.288627)"
1278,ROBA INFANTIL,PL PORXADA,32,"(41.607936, 2.28736)"
1281,BIJUTERIA I COMPLEMENTS,PL PORXADA,28,"(41.607917, 2.287666)"
1288,MERCERIA,PL PORXADA,33,"(41.608018, 2.287391)"
1329,ROBA INFANTIL,PL PORXADA,24,"(41.607981, 2.28791)"
1356,ROBA DONA,PL ESGLESIA,6,"(41.607644, 2.286262)"
1365,PARAMENT DE LA LLAR,C SANT JAUME,9,"(41.607413, 2.28573)"
1366,FRUITA I VERDURA,C SANT JAUME,42,"(41.60743, 2.285647)"
1376,FRUITA I VERDURA,C SANT JOSEP,1,"(41.60766, 2.285006)"
1402,FRUITA I VERDURA,C SANT JOSEP,4,"(41.607723, 2.284844)"
1418,CALÇATS,C SANT JAUME,16,"(41.608507, 2.285796)"
1438,MARROQUINERIA,C REC,2,"(41.608965, 2.285822)"
1025,ROBA DONA,C ANSELM CLAVE,56,"(41.6065, 2.288539)"
1029,PIJAMES,C ANSELM CLAVE,66,"(41.606278, 2.288491)"
1033,ROBA HOME,C ANSELM CLAVE,74,"(41.60606, 2.288445)"
1036,ROBA DONA,PL CORONA,8,"(41.605854, 2.288364)"
1050,ROBA HOME/DONA,PL CORONA,19,"(41.605605, 2.288432)"
1051,ROBA INTERIOR,PL CORONA,18,"(41.605654, 2.288443)"
1370,OUS I VERDURES,C SANT JAUME,42,"(41.607716, 2.285614)"
1397,FRUITA I VERDURA,C SANT JOSEP,12,"(41.607635, 2.284254)"
1407,FRUITA I VERDURA,C SANT JOSEP,2,"(41.607786, 2.285262)"
1410,FRUITA I VERDURA,C SANT JAUME,36,"(41.607911, 2.285616)"
1412,XARCUTERIA,C SANT JAUME,32,"(41.608073, 2.28562)"
1420,FAIXES,C SANT JAUME,10,"(41.608583, 2.285822)"
1441,ROBA HOME,PL CASERNA,1,"(41.608945, 2.28603)"
1012,ROBA DONA,C ANSELM CLAVE,24,"(41.607603, 2.288785)"
1014,CALÇATS,C ANSELM CLAVE,30,"(41.607407, 2.288741)"
1018,ROBA HOME/DONA,C ANSELM CLAVE,38,"(41.607069, 2.288663)"
1021,ROBA DONA,C ANSELM CLAVE,42,"(41.606754, 2.288595)"
1028,ROBA JOVE,C ANSELM CLAVE,62,"(41.606327, 2.288502)"
1032,ROBA ESPORTIVA,C ANSELM CLAVE,72,"(41.606114, 2.288456)"
1075,MITJONS/MITGES,C ANSELM CLAVE,37,"(41.607269, 2.288747)"
1076,ROBA HOME,C ANSELM CLAVE,35,"(41.607318, 2.288758)"
1091,ROBA DONA,PL MALUQUER I SALVADOR,28,"(41.608416, 2.289)"
1058,ROBA DONA,C ANSELM CLAVE,77,"(41.606109, 2.288492)"
1082,MITJONS/MITGES,C ANSELM CLAVE,25,"(41.607745, 2.288852)"
1087,ROBA HOME/DONA,C ANSELM CLAVE,7,"(41.608105, 2.288933)"
1093,HULES,PL MALUQUER I SALVADOR,25,"(41.608606, 2.289037)"
1137,CALÇATS,PL LLUIS PERPINYA,5,"(41.609415, 2.289173)"
1149,ROBA INTERIOR,PL MALUQUER I SALVADOR,24,"(41.608654, 2.28901)"
1158,EINES,PL MALUQUER I SALVADOR,11,"(41.608909, 2.288931)"
1256,ROBA DONA,C SANT JAUME,3,"(41.607959, 2.285703)"
1269,ROBA DONA,PL ESGLESIA,1,"(41.607718, 2.2866)"
1270,ROBA INTERIOR I COMPLEMENTS,PL ESGLESIA,1,"(41.607736, 2.286664)"
1271,ELECTRICITAT,PL PORXADA,39,"(41.607832, 2.286684)"
1298,FRUITA I VERDURA,PL PORXADA,0,"(41.608132, 2.287676)"
1315,ROBA DONA,PL PORXADA,6,"(41.60811, 2.287388)"
1318,ROBA DONA,PL PORXADA,15,"(41.608314, 2.287966)"
1063,ROBA DONA,C ANSELM CLAVE,65,"(41.606398, 2.288554)"
1038,ROBA DONA,PL CORONA,6,"(41.605756, 2.288343)"
1090,ROBA DONA,C ANSELM CLAVE,1,"(41.608291, 2.288975)"
1104,BOLETS,PL LLUIS PERPINYA,30,"(41.609261, 2.289323)"
1112,XARCUTERIA/OUS,PL LLUIS PERPINYA,7,"(41.609404, 2.289298)"
1228,BASAR,C SANT JAUME,1,"(41.60874, 2.28592)"
1358,CALÇATS,PL ESGLESIA,5,"(41.607765, 2.286156)"
1415,ROBA INTERIOR,C SANT JAUME,26,"(41.608273, 2.285689)"
1417,COMPLEMENTS,C SANT JAUME,18,"(41.608411, 2.285779)"
1009,ROBA DONA,C ANSELM CLAVE,20,"(41.607754, 2.288818)"
1035,ROBA HOME,PL CORONA,9,"(41.605902, 2.288374)"
1054,ROBA HOME/DONA,PL CORONA,15,"(41.605832, 2.288481)"
1138,CALÇAT I ROBA ESPORTIVA,PL LLUIS PERPINYA,4,"(41.609347, 2.289157)"
1169,NO ESPECIFICAT,PL MALUQUER I SALVADOR,4,"(41.608825, 2.28872)"
1196,ROBA DE LA LLAR,PL CABRITS,4,"(41.608568, 2.287461)"
1252,CALÇATS,C SANT JAUME,3,"(41.608147, 2.285711)"
1312,XARCUTERIA,PL PORXADA,7,"(41.608212, 2.287521)"
1371,FRUITA I VERDURA,C SANT JOSEP,1,"(41.607745, 2.285577)"
1013,ROBA DONA,C ANSELM CLAVE,28,"(41.607487, 2.288759)"
1037,ROBA DONA,PL CORONA,8,"(41.605805, 2.288353)"
1072,ROBA DONA,C ANSELM CLAVE,47,"(41.607055, 2.288697)"
1157,XARCUTERIA,PL MALUQUER I SALVADOR,11,"(41.60887, 2.288927)"
1238,NO ESPECIFICAT,PL J. M. FOLCH I TORRES,16,"(41.608299, 2.286277)"
1283,ROBA INTERIOR,PL PORXADA,25,"(41.607914, 2.287797)"
1307,FRUITA I VERDURA,PL PORXADA,0,"(41.608186, 2.287823)"
1394,XARCUTERIA,C SANT JOSEP,18,"(41.607594, 2.283983)"
1034,CALÇATS,C ANSELM CLAVE,74,"(41.606011, 2.288434)"
1117,ACCESSORIS AUTOMOCIO,PL LLUIS PERPINYA,7,"(41.609423, 2.289212)"
1147,MARROQUINERIA,PL MALUQUER I SALVADOR,23,"(41.608784, 2.289035)"
1177,ROBA INFANTIL,C SANT ROC,23,"(41.608363, 2.288703)"
1183,ROBA DONA,C SANT ROC,13,"(41.608406, 2.288322)"
1184,ROBA HOME,C SANT ROC,9,"(41.60842, 2.288269)"
1193,ROBA ORDINARIA,PL OLI,5,"(41.60856, 2.28762)"
1325,ROBA DONA,PL PORXADA,20,"(41.608236, 2.287999)"
1331,ROBA HOME/DONA,PL PORXADA,25,"(41.607885, 2.287888)"
1337,ROBA DONA,C SANTA ESPERANÇA,16,"(41.607624, 2.288425)"
1344,HERBORISTERIA,PL ESGLESIA,10,"(41.607785, 2.286751)"
1373,FRUITA I VERDURA,C SANT JOSEP,1,"(41.607723, 2.28543)"
1378,FRUITA I VERDURA,C SANT JOSEP,1,"(41.60763, 2.2848)"
1379,FRUITA I VERDURA,C SANT JOSEP,3,"(41.607612, 2.284682)"
1389,PASTES I FRUIS SECS,C PRINCESA,2,"(41.607337, 2.284013)"
1390,XURRERIA,C PRINCESA,2,"(41.607304, 2.283903)"
1398,FRUITA I VERDURA,C SANT JOSEP,10,"(41.607652, 2.284371)"
1391,FRUITA I VERDURA,C PRINCESA,2,"(41.607397, 2.283856)"
1429,CALÇATS,C REC,5,"(41.608941, 2.285735)"
1045,ROBA DONA,PL CORONA,1,"(41.605378, 2.288262)"
1046,ROBA HOME/DONA,PL CORONA,25,"(41.605374, 2.288383)"
1052,PERFUMERIA I COSMÈTICA,PL CORONA,17,"(41.605711, 2.288455)"
1073,ROBA HOME/DONA,C ANSELM CLAVE,43,"(41.607109, 2.288708)"
1088,ROBA HOME/DONA,C ANSELM CLAVE,3,"(41.608167, 2.288947)"
1323,AROMES,PL PORXADA,18,"(41.608331, 2.288066)"
1347,ROBA INFANTIL,PL ESGLESIA,8,"(41.607646, 2.286651)"
1380,PESCA SALADA,C SANT JOSEP,3,"(41.6076, 2.2846)"
1404,ROSTISSERIA,C SANT JOSEP,2,"(41.60775, 2.285027)"
1214,ROBA DE LA LLAR,C SANTA ANNA,9,"(41.608675, 2.286747)"
1218,ROBA INTERIOR,C SANTA ANNA,17,"(41.608728, 2.286472)"
1219,CONFECCIO,C SANTA ANNA,19,"(41.608743, 2.286392)"
1230,MITJONS/MITGES,C SANT JAUME,1,"(41.608628, 2.285904)"
1244,ROBA DONA,PL J. M. FOLCH I TORRES,12,"(41.608245, 2.286472)"
1259,ROBA HOME,PL ESGLESIA,3,"(41.607833, 2.285782)"
1262,ROBA INTERIOR,PL ESGLESIA,2,"(41.607835, 2.286047)"
1263,ANIMALS I COMPLEMENTS,PL ESGLESIA,2,"(41.607833, 2.286125)"
1264,ROBA DE LA LLAR,PL ESGLESIA,1,"(41.60783, 2.286205)"
1349,CALÇATS,PL ESGLESIA,8,"(41.607653, 2.286507)"
1359,ROBA DONA,PL ESGLESIA,5,"(41.607766, 2.286096)"
1384,FRUITA I VERDURA,C SANT JOSEP,7,"(41.607568, 2.284382)"
1280,ROBA HOME,PL PORXADA,29,"(41.607937, 2.287528)"
1289,ROBA TALLES GRANS,PL PORXADA,29,"(41.608062, 2.287604)"
1297,FRUITA I VERDURA,PL PORXADA,0,"(41.60814, 2.287611)"
1314,NO ESPECIFICAT,PL PORXADA,9,"(41.608101, 2.287453)"
1330,CALÇATS,PL PORXADA,24,"(41.607928, 2.287898)"
