ANY,ID,DATA,DIA,LLOC,INTERSECCIO AMB,NUM/PKM,DILIGÈNCIES,CLASSE,CAUSA,AMPLIACIÓ DE LA CAUSA,NOMBRE PERSONES ALCOHOL +,NOMBRE PERSONES ALCOHOL -,NEGATIVA A PROVA D'ALCHOLÈMIA,JUTJAT,DATA ENTREGA,OBSERVACIONS,TURISMES,CAMIONS,MOTOCICLETES,CICLOMOTORS,BICICLETES,FURGONETES,AUTOBUSOS,ALTRES,TOTAL VEHICLES,CONDUCTORS FERIT LLEUS,CONDUCTORS FERIT GREUS,CONDUCTORS MORTS,VIATGERS FERITS LLEUS,VIATGERS FERITS GREUS,VIATGERS MORTS,PEATONS FERITS LLEUS,PEATONS FERITS GREUS,PEATONS MORTS,VÍCTIMES
2010,451,16/02/2010 11:45:00 PM,Dimarts,MASNOU,,"13,5",NO,Sortida de via,Infracció,CEDIU EL PAS,0,1,0,,,POSSIBLE VEHICLE FUGIT,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
2010,452,17/02/2010 08:40:00 AM,Dimecres,JOSEP MARIA SAGARRA,COSTA RICA,,NO,Col·lisió,Distracció,MANCA D'ATENCIO,0,0,0,,,COL.LISIÓ CONTRA VEHICLE ENGANXAT PER GRUA MNPAL,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,478,18/02/2010 03:15:00 PM,Dijous,RONDA SUD,ESTEVE TERRADES,,NO,Col·lisió,Distracció,MANCA D'ATENCIO,0,2,0,,,,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
2010,483,19/02/2010 10:08:00 AM,Divendres,ROSSELLO,RAMON BERENGUER III,,NO,Col·lisió,Infracció,STOP,0,0,0,,,,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
2010,497,20/02/2010 06:25:00 AM,Dissabte,SANT JULIA,CAN BASSA,,SI,Col·lisió,Infracció,ALCOHOLEMIA,1,0,0,INSTRUCCIÓ,,ACCIDENT + ALC + I DANYS PATRIMONI (ROTONDA),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,529,23/02/2010 03:45:00 PM,Dimarts,ISAAC ALBENIZ,SANTIAGO RUSINYOL,,NO,Col·lisió,Infracció,CEDIU EL PAS,0,0,0,,,,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
2010,530,23/02/2010 04:55:00 PM,Dimarts,ENRIC PRAT DE LA RIBA,,S/N,NO,Col·lisió,Infracció,DISTANCIA SEGURETAT,0,2,0,,,,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
2010,591,28/02/2010 04:20:00 PM,Diumenge,FRANCESC MACIA,MARIE CURIE,S/N,NO,Col·lisió,Infracció,CEDIU EL PAS,0,1,0,,,,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
2010,595,01/03/2010 06:25:00 AM,Dilluns,SERRAT I BONASTRE,,,SI,Sortida de via,Infracció,ALCOHOLEMIA,1,0,0,INSTRUCCIÓ 3,02/03/2010,T32 ALCOHOLÈMIA + I DANYS PATRIMONI,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,615,01/03/2010 04:30:00 PM,Dilluns,SANT ESTEVE,,6,NO,Col·lisió,Distracció,MANCA D'ATENCIO,0,0,0,,,,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
2010,627,02/03/2010 10:45:00 AM,Dimarts,N-152A,,S/N,NO,Col·lisió,Infracció,VELOCITAT INADEQUADA,0,0,0,,,,2,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2
2010,662,05/03/2010 06:45:00 PM,Divendres,JOSEP TORRAS I BAGES,RAFAEL CASANOVA,,NO,Atropellament,Infracció,PAS DE VIANANTS,0,0,0,,,CICLISTA PER PAS DE VIANANTS,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1
2010,673,08/03/2010 10:20:00 PM,Dilluns,N-152A,,16,NO,Col·lisió,Altra,ALTRES CAUSES,0,0,0,,,IMPLICAT G07 (CARRETERA GLAÇADA),2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2010,714,13/03/2010 08:00:00 PM,Dissabte,SANT ESTEVE,PEP VENTURA,,SI,Col·lisió,Infracció,ALCOHOLEMIA,1,0,0,,,T32 ALCOHOLÈMIA POSITIVA,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,2
2010,734,15/03/2010 07:49:00 PM,Dilluns,SANT ESTEVE,,41,NO,Atropellament,Distracció,MANCA D'ATENCIO,0,1,0,,,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2010,736,16/03/2010 08:45:00 AM,Dimarts,CALDES,,36,NO,Atropellament,Distracció,MANCA D'ATENCIO,0,1,0,,,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2010,747,17/03/2010 03:24:00 PM,Dijous,CAMI RAL,,S/N,NO,Sortida de via,Altra,ALTRES CAUSES,0,0,0,,,MANCA PERICIA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2010,752,18/03/2010 08:00:00 AM,Dijous,RAMON LLULL,,S/N,NO,Col·lisió,Distracció,MANCA D'ATENCIO,0,1,0,,,DANYS PATRIMONI (PAPERERA),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
