SCensal,the_geom,Colegi,Adreca
3-5,"MULTIPOLYGON (((2.293795675836011 41.61319052038133, 2.294914332758344 41.613035908438334, 2.29515869924126 41.61299490958185, 2.295403065421497 41.61295391020316, 2.295852066303414 41.612708744357874, 2.2959888439066547 41.61253958823732, 2.2952429022694893 41.610502139444044, 2.2947092452912643 41.608990143404704, 2.2935862120199713 41.60918158422776, 2.293371014423605 41.607976124360846, 2.293369377385904 41.60796695410436, 2.292958455258016 41.60798398515524, 2.293795675836011 41.61319052038133)))",CENTRE SALUT MENTAL BENITO MENNI,"C JOSEP MARIA SAGARRA NUM, 47"
3-6,"MULTIPOLYGON (((2.2992506531513945 41.61034836255625, 2.299416971517592 41.6103576359095, 2.3000582300055656 41.610566947923516, 2.3027822786698553 41.61206387528275, 2.3030878398193146 41.612231779835476, 2.3030908620395354 41.61222574876156, 2.3039630648023532 41.610607396831654, 2.302667255810585 41.607439855785316, 2.30159473100183 41.60636775203478, 2.3013232660497684 41.605868139883846, 2.300163087506934 41.60648346154692, 2.2986116685322755 41.606612519497524, 2.2987214586633264 41.60719691172773, 2.298726493744248 41.6074421998261, 2.2986707003262437 41.60787706395847, 2.2973533949008114 41.60820016056127, 2.296123445340174 41.608152171611046, 2.293386360434789 41.6080620886689, 2.2935862120199713 41.60918158422776, 2.2947092452912643 41.608990143404704, 2.2952429022694893 41.610502139444044, 2.2959888439066547 41.61253958823732, 2.296826219100147 41.61137072675309, 2.2969689909020796 41.611171431907295, 2.297617080982731 41.61075040249848, 2.2983471234101267 41.610429029559704, 2.2985967833702254 41.610377427122565, 2.2988464429392685 41.610325824139665, 2.2992506531513945 41.61034836255625)))",CENTRE SALUT MENTAL BENITO MENNI,"C JOSEP MARIA SAGARRA NUM, 47"
3-7,"MULTIPOLYGON (((2.2943702890594357 41.61639571576374, 2.2968054261093287 41.61587302621633, 2.299240524486885 41.615350284731804, 2.3002731359527724 41.61512859630001, 2.301219431019321 41.61467341217768, 2.302513651914149 41.614050850106516, 2.302514041304119 41.61337681599724, 2.3030878398193146 41.612231779835476, 2.3027822786698553 41.61206387528275, 2.3000582300055656 41.610566947923516, 2.299416971517592 41.6103576359095, 2.2988464429392685 41.610325824139665, 2.2985967833702254 41.610377427122565, 2.2983471234101267 41.610429029559704, 2.297617080982731 41.61075040249848, 2.2969689909020796 41.611171431907295, 2.296826219100147 41.61137072675309, 2.2959888439066547 41.61253958823732, 2.295852066303414 41.612708744357874, 2.295403065421497 41.61295391020316, 2.29515869924126 41.61299490958185, 2.294914332758344 41.613035908438334, 2.293795675836011 41.61319052038133, 2.2943702890594357 41.61639571576374)))",COL·LEGI EDUCEM,"C FRANCESC RIBAS NUM, 8"
3-8,"MULTIPOLYGON (((2.2930757857975816 41.62219682148611, 2.2942153686246134 41.62241952320661, 2.2942903965843944 41.62238461385378, 2.2943757699458796 41.622344890838896, 2.2957856558122622 41.622021190077, 2.295622955688481 41.62184232009722, 2.294711204551031 41.62052143218237, 2.2941968029480413 41.61977272725307, 2.293960215543628 41.61934016172048, 2.293474971083171 41.618165572177396, 2.293008468048381 41.61669650013189, 2.292847304068055 41.6167229081443, 2.2930399104092167 41.617259349415306, 2.293776727246354 41.619308303175046, 2.293784120059806 41.61934486707989, 2.293998550396957 41.62040539430282, 2.2936364006952736 41.62080247475172, 2.2934700569700994 41.62092784305791, 2.2931672774269445 41.62098376395732, 2.2927720543306704 41.62105215894966, 2.2927330331161553 41.6210589116525, 2.293010334502257 41.6219409678942, 2.2930757857975816 41.62219682148611)))",A.V. LLEDONER,"C PRIMER MARQUES FRANQUESES NUM, 125"
3-9,"MULTIPOLYGON (((2.296923441034076 41.60686795663155, 2.298605394952181 41.6065943980399, 2.2982277731131027 41.60550360586223, 2.298081495734109 41.60509462349982, 2.297755740513484 41.60417588088018, 2.297609675437837 41.60364705802161, 2.29752493820291 41.60337149616661, 2.2974157400135833 41.602923656828544, 2.2973730198433824 41.60282281230527, 2.2972605294300257 41.60254601790043, 2.297022473708893 41.602115045280804, 2.2967497632356393 41.60172183482089, 2.296543412029304 41.60143653543668, 2.2961444318639 41.601672685638825, 2.2955733149462865 41.60201071547268, 2.2951719890956177 41.60169658993939, 2.294337367195738 41.60225696629621, 2.294840197647979 41.60259100572453, 2.293449617929137 41.603730063514774, 2.2964835656297966 41.60532112444728, 2.296923441034076 41.60686795663155)))",C.P. GRANULARIUS,"C MARESME NUM, 2"
4-1,"MULTIPOLYGON (((2.2886346668427575 41.606993424489666, 2.289656248167901 41.60641293680297, 2.2905752441610745 41.60589444934204, 2.292415910110461 41.604609553867924, 2.292146842720357 41.60261937452083, 2.2878338369468945 41.60317358366705, 2.2878298392399055 41.603174097277474, 2.2878414074448905 41.60323036703925, 2.2878489815470964 41.60328717740033, 2.288428390625875 41.6059121665457, 2.2886346668427575 41.606993424489666)))",ESCOLA PIA,"AV SANT ESTEVE NUM, 14"
4-2,"MULTIPOLYGON (((2.2878298392399055 41.603174097277474, 2.2878338369468945 41.60317358366705, 2.292146842720357 41.60261937452083, 2.291895280005411 41.60095502994404, 2.2903788285234903 41.60114801885931, 2.289248386999031 41.60129186901145, 2.2883224336777555 41.601409688995574, 2.2874889152744946 41.60151574063388, 2.2878298392399055 41.603174097277474)))",MUSEU LA TELA,"C PALAUDARIES NUM, 100"
4-4,"MULTIPOLYGON (((2.289624358008607 41.59899056289122, 2.2882112441285165 41.599151823904855, 2.2883983025714207 41.60007379872964, 2.2880450180366094 41.60011411854428, 2.2883214230986804 41.60140496956184, 2.2883224336777555 41.601409688995574, 2.289248386999031 41.60129186901145, 2.2903788285234903 41.60114801885931, 2.2903589272318303 41.60014257117012, 2.289842949342648 41.59987731366685, 2.289624358008607 41.59899056289122)))",PALAU OLÍMPIC,"C VOLUNTARIS 92 NUM, 2"
4-3,"MULTIPOLYGON (((2.2874889152744946 41.60151574063388, 2.2883224336777555 41.601409688995574, 2.2883214230986804 41.60140496956184, 2.2880450180366094 41.60011411854428, 2.2883983025714207 41.60007379872964, 2.2882112441285165 41.599151823904855, 2.289624358008607 41.59899056289122, 2.2894764716648095 41.59828133031977, 2.28685779688198 41.598605117902416, 2.2872083968366796 41.60022206379176, 2.2874889152744946 41.60151574063388)))",PALAU OLÍMPIC,"C VOLUNTARIS 92 NUM, 2"
4-6,"MULTIPOLYGON (((2.2903788285234903 41.60114801885931, 2.291895280005411 41.60095502994404, 2.2914608971979376 41.59806689941325, 2.2894764716648095 41.59828133031977, 2.289624358008607 41.59899056289122, 2.289842949342648 41.59987731366685, 2.2903589272318303 41.60014257117012, 2.2903788285234903 41.60114801885931)))",PALAU OLÍMPIC,"C VOLUNTARIS 92 NUM, 2"
