CODI,EPÍGRAF,NOM,ADREÇA,SUPERFICIE (m2),ÚS,SERVEI RESPONSABLE
218,1.1.b Places i vials urbans,Plaça en c/ Fernao Magallanes,"C FERNAO MAGALLANES,      SUELO",1264,Jardins,Espais Verds
305,1.1.b Places i vials urbans,Plaça en Bertran de Seva,"C FRANCESC RIBAS,      SUELO",411,Plaça,
309,1.1.b Places i vials urbans,Plaça de la Llacuna,"C EQUADOR,   20 SUELO",6683,Plaça,
329,1.1.b Places i vials urbans,Passeig del camp futbol,"C JOSEP CARNER,      SUELO",914,passeig,
411,1.1.b Places i vials urbans,Pl. Manuel Muntanya,,327,Plaça,
418,1.1.b Places i vials urbans,PL. de Can Trullas,,1282,Plaça,
421,1.1.b Places i vials urbans,Pl. del Ciclista,,1006,Plaça,
425,1.1.b Places i vials urbans,pl. Esglesia,,2109,Plaça,
429,1.1.b Places i vials urbans,Pl. de Espanya,,677,Plaça,
432,1.1.b Places i vials urbans,Pl. Jaume I,,3343,Plaça,
438,1.1.b Places i vials urbans,Pl. Maluquer i Salvador,,2871,Plaça,
441,1.1.b Places i vials urbans,Pl. de l'11 de setembre,,2137,Plaça,
445,1.1.b Places i vials urbans,Pl. de la Porxada,Porxada,3147,Plaça,
163,1.1.b Places i vials urbans,Plaça interior,"C MARIA PALAU,     · TODOS",91,plaça,
164,1.1.b Places i vials urbans,accés interior,"C MARIA PALAU,      SUELO",232,vialitat,
175,1.1.b Places i vials urbans,Plaça de les Hortes-b,"PL HORTES (LES),     . SUELO",9033,Plaça,
182,1.1.b Places i vials urbans,Plaça de les Arts,"PL ARTS,      SUELO",3827,Plaça,
204,1.1.b Places i vials urbans,Plaça en 14-B,"C ANNIBAL,   15 SUELO",2425,Plaça,
206,1.1.b Places i vials urbans,Plaça en PMU 14-B,"C JOAN PERE FONTANELLA,    2",2102,Plaça,
207,1.1.b Places i vials urbans,Pas en  PMU-14-B,"C JOAN PERE FONTANELLA,    2",19,Pas vianants,Urbanisme
208,1.1.b Places i vials urbans,Plaça en PMU-14-B,"C JOAN PERE FONTANELLA,    2",76,Plaça,
247,1.1.b Places i vials urbans,Rambla Marie Curie,"AV MARIE CURIE,   24B",10165,Passeig,
249,1.1.b Places i vials urbans,Plaça d'Alfred Canal,"C SERRET I ARGEMI,   22 SUELO",4915,Plaça,
250,1.1.b Places i vials urbans,Plaça en Calderon de la Barca,"C CRISTOFOL COLOM,   19 00 01",1123,Plaça,
310,1.1.b Places i vials urbans,Plaça en C.Cingles del Berti,"C EQUADOR,   25 SUELO",3282,Plaça,
311,1.1.b Places i vials urbans,Plaça en C. Argentina,"C ARGENTINA,    7",2472,Plaça,
417,1.1.b Places i vials urbans,Pl.de Can Tinet,,486,Plaça,
419,1.1.b Places i vials urbans,Plaça. de la Caserna,,770,Plaça,
420,1.1.b Places i vials urbans,Pl. de Catalunya,,222,Plaça,
422,1.1.b Places i vials urbans,Pl. de la Corona,,4474,Plaça,
423,1.1.b Places i vials urbans,Pl. Dr. Guillamet,,360,Escales-Plaça,Urbanisme
424,1.1.b Places i vials urbans,Pl. Magraner(Lledoner),,619,Plaça,
426,1.1.b Places i vials urbans,Pl. Folch i Torras,,1030,Plaça,
430,1.1.b Places i vials urbans,Pl. Jacint Verdaguer,,2183,Plaça,
434,1.1.b Places i vials urbans,Pl.Josep Barange,,8094,Plaça,
435,1.1.b Places i vials urbans,Pl.Josep Oliveras (Palou),,647,Plaça,
437,1.1.b Places i vials urbans,Pl. de la Llibertat,,4322,Plaça,
439,1.1.b Places i vials urbans,Pl. del'Oli,,251,Plaça,
440,1.1.b Places i vials urbans,Pl. de les Olles,,768,Plaça,
442,1.1.b Places i vials urbans,Pl. Pau Casals,,2705,Plaça,
443,1.1.b Places i vials urbans,Pl. Del Peix,,364,Plaça,
444,1.1.b Places i vials urbans,Pl. de Perpinya,,2080,Plaça,
447,1.1.b Places i vials urbans,Pl. Serrat i Bonastre,,11072,Plaça,
448,1.1.b Places i vials urbans,Pl. Torras i Bages,,1330,plaça,
450,1.1.b Places i vials urbans,Pl. Salvador Casanova,Pl. salvador Casanova,1316,Plaça,
474,1.1.b Places i vials urbans,Pl. en c. Murillo,Murillo 12,1049,Plaça,
510,1.1.b Places i vials urbans,Plaça de Sant Miquel,Plaça de Sant Miquel,3857,Plaça,
519,1.1.b Places i vials urbans,plaça de la Font Verda,Plaça de la Font Verda,1484,Rotonda  i vial,
196,1.1.b Places i vials urbans,Plaça Sant Tomàs d'Aquino,"C ROGER DE FLOR,   12 SUELO",1485,Parc,Espais Verds
414,1.1.b Places i vials urbans,Pl. dels Cabrits,,195,Placa,
162,1.1.b Places i vials urbans,Plaça interior,C NARCIS MONTURIOL,901,Plaça,
577,1.1.b Places i vials urbans,C VALENTÍ ALMIRALL,,484,carrer,
578,1.1.b Places i vials urbans,C PERE EL GRAN,,441,carrer,
579,1.1.b Places i vials urbans,TRVA FIGUERES,,134,carrer,
580,1.1.b Places i vials urbans,C MOIANES,,1082,carrer,
581,1.1.b Places i vials urbans,C RAMON BERENGUER III,,1688,carrer,
582,1.1.b Places i vials urbans,C FELIP II,,1770,carrer,
