CODI,EPÍGRAF,NOM,ADREÇA,SUPERFICIE (m2),ÚS,SERVEI RESPONSABLE
56,1.1.c Vials no urbans,Camí de la Serra,SERRA DE PONENT               ,1396,Camí,Urbanisme
57,1.1.c Vials no urbans,Camí de la Serra,SERRA DE PONENT               ,4502,Camí,Urbanisme
59,1.1.c Vials no urbans,Rasa/camí de Can Ninou a Can Ferran,SERRA DE PONENT               ,3772,camí,Urbanisme
60,1.1.c Vials no urbans,Camí enllaç amb camí de Can Rei,SERRA DE PONENT               ,1685,camí,Urbanisme
61,1.1.c Vials no urbans,variant del camí de Can Ferran,SERRA DE PONENT               ,403,camí,Urbanisme
63,1.1.c Vials no urbans,Camí de Cal l'Esquella,SERRA DE PONENT               ,2110,camí,Urbanisme
64,1.1.c Vials no urbans,Variant del camí de Can Ferran,SERRA DE PONENT               ,387,camí,Urbanisme
65,1.1.c Vials no urbans,Servitut del camí de Parets(Issac Peral),SERRA DE PONENT               ,1920,camí,Urbanisme
66,1.1.c Vials no urbans,Camí Can Ninou-carrer de Julio Rey Pastor,SERRA DE PONENT               ,5809,camí,Urbanisme
68,1.1.c Vials no urbans,Camí de servitut parale.l al Torrent de Can Ninou,SERRA DE PONENT               ,4946,camí,Urbanisme
69,1.1.c Vials no urbans,Camí d'accés al torrent de Can Ninou,SERRA DE PONENT               ,570,camí,Urbanisme
70,1.1.c Vials no urbans,Camí de Can Ribes,SERRA DE PONENT               ,8646,camí,Urbanisme
72,1.1.c Vials no urbans,Variant camí de la Serra,CIRCUITO                      ,780,Camí,Urbanisme
73,1.1.c Vials no urbans,Camí de Can Ribas de la Serra,CIRCUITO                      ,2129,camí,Urbanisme
74,1.1.c Vials no urbans,Camí del Plà,PLA DE PALOU                  ,5317,carretera,Urbanisme
75,1.1.c Vials no urbans,camí (darrera HIEME),PLA DE PALOU                  ,2520,camí,Urbanisme
77,1.1.c Vials no urbans,Camí accés a Can Julià Maló,PLA DE PALOU                  ,521,camí,Urbanisme
78,1.1.c Vials no urbans,Camí del Plà,PLA DE PALOU                  ,1,carretera,Urbanisme
79,1.1.c Vials no urbans,Camí del Plà,PLA DE PALOU                  ,12488,carretera,Urbanisme
82,1.1.c Vials no urbans,Camí de cal l'Usel,PLA DE PALOU                  ,1067,camí,Urbanisme
83,1.1.c Vials no urbans,Camí en cal l'Usel,PLA DE PALOU                  ,725,camí,Urbanisme
84,1.1.c Vials no urbans,Enllaç amb camí de can Cristófol,PLA DE PALOU                  ,1439,camí,Urbanisme
85,1.1.c Vials no urbans,Camí lateral a camí Can Julianet,PLA DE PALOU                  ,269,camí,Urbanisme
87,1.1.c Vials no urbans,Camí de Can Cristòfol,PLA DE PALOU                  ,1953,camí,Urbanisme
88,1.1.c Vials no urbans,Camí lateral via tren,SERRA DE LLEVANT              ,1470,camí,Urbanisme
90,1.1.c Vials no urbans,Camí de Can Tià,SERRA DE LLEVANT              ,4486,camí,Urbanisme
91,1.1.c Vials no urbans,Camí de Can Malo,SERRA DE LLEVANT              ,3122,camí,Urbanisme
92,1.1.c Vials no urbans,Camí de Can Rei,SERRA DE LLEVANT              ,4949,camí,Urbanisme
94,1.1.c Vials no urbans,Camí paralel.l autopista,SERRA DE LLEVANT              ,4860,camí,Urbanisme
95,1.1.c Vials no urbans,Camí de Can Belitre,SERRA DE LLEVANT              ,2892,camí,Urbanisme
96,1.1.c Vials no urbans,camí lateral a camí de Can Belitre,SERRA DE LLEVANT              ,726,camí,Urbanisme
98,1.1.c Vials no urbans,Camí Santa Quiteria,SERRA DE LLEVANT              ,1963,Camí,Urbanisme
99,1.1.c Vials no urbans,Camí Can Cristòfol (tram),SERRA DE LLEVANT              ,350,camí,Urbanisme
100,1.1.c Vials no urbans,Camí bassa lateral autopista,SERRA DE LLEVANT              ,244,camí,Urbanisme
101,1.1.c Vials no urbans,Camí entre via i autopista,SERRA DE LLEVANT              ,424,camí,Urbanisme
103,1.1.c Vials no urbans,Camí de can Giró,PLA DE PALOU                  ,362,camí,Urbanisme
110,1.1.c Vials no urbans,Camí de Can Mayol,SERRA DE LLEVANT              ,2942,camí,Urbanisme
111,1.1.c Vials no urbans,Camí de Can Mayol,SERRA DE LLEVANT              ,1293,camí,Urbanisme
112,1.1.c Vials no urbans,Camí de Can Mayol,SERRA DE LLEVANT              ,1410,camí,Urbanisme
113,1.1.c Vials no urbans,Camí paralel.l via (Can Nen),SERRA DE LLEVANT              ,3028,camí,Urbanisme
115,1.1.c Vials no urbans,Camí de Can Rei,SERRA DE LLEVANT              ,1948,camí,Urbanisme
116,1.1.c Vials no urbans,Camí de Can Torres,SERRA DE LLEVANT              ,980,camí,Urbanisme
119,1.1.c Vials no urbans,Camí de Can Bou,SERRA DE LLEVANT              ,1556,camí,Urbanisme
121,1.1.c Vials no urbans,Camí de Can Giró,SERRA DE LLEVANT              ,932,camí,Urbanisme
122,1.1.c Vials no urbans,Camí de Can Giró,SERRA DE LLEVANT              ,838,camí,Urbanisme
124,1.1.c Vials no urbans,Camí accés a Can Cristòfol,SERRA DE LLEVANT              ,232,camí,Urbanisme
125,1.1.c Vials no urbans,Camí de Sant Salvador,SERRA DE LLEVANT              ,313,camí,Urbanisme
126,1.1.c Vials no urbans,Camí a Can Juyent,SERRA DE LLEVANT              ,726,camí,Urbanisme
128,1.1.c Vials no urbans,Sobrant atermenament Riu Congost,CAN BASSA                     ,4607,camí-parc,Urbanisme
129,1.1.c Vials no urbans,Sobrant atermenament Riu Congost,PLA DE PALOU                  ,9871,parc-camí,Urbanisme
130,1.1.c Vials no urbans,Sobrant atermenament Riu Congost,PLA DE PALOU                  ,3933,parc-camí,Urbanisme
132,1.1.c Vials no urbans,Lateral camí de Can Bassa,PLA DE PALOU                  ,3830,Lateral  carre de Can Bassa,Urbanisme
133,1.1.c Vials no urbans,Camí Ral,PLA DE PALOU                  ,3134,Camí,Urbanisme
134,1.1.c Vials no urbans,Camí de Cal Covaner,PLA DE PALOU                  ,552,Camí,Urbanisme
136,1.1.c Vials no urbans,Camí Ral,PLA DE PALOU                  ,731,camí,Urbanisme
138,1.1.c Vials no urbans,Camí a Torre de les Aigües,PLA DE PALOU                  ,949,camí,Urbanisme
140,1.1.c Vials no urbans,Camí Torres de les Aigües,PLA DE PALOU                  ,3215,cami,Urbanisme
141,1.1.c Vials no urbans,Camí Torre de les Aigües,PLA DE PALOU                  ,1318,camí,Urbanisme
142,1.1.c Vials no urbans,Camí Torre de les Aigües,PLA DE PALOU                  ,1005,camí,Urbanisme
86,1.1.c Vials no urbans,Camí de Can Ceballot,PLA DE PALOU                  ,2514,camí,Urbanisme
135,1.1.c Vials no urbans,Camí lateral via,PLA DE PALOU                  ,2653,camí,Urbanisme
102,1.1.c Vials no urbans,Sobrant atermenament Riu Congost,PLA DE PALOU                  ,4379,camí,Urbanisme
47,1.1.c Vials no urbans,Camí de Can Guri,SERRA DE PONENT               ,2552,camí,Urbanisme
58,1.1.c Vials no urbans,Carrer/camí d'Issac Peral,SERRA DE PONENT               ,6270,Camí,Urbanisme
147,1.1.d Altres béns d'ús públic,Camp de fútbol de Palou,"BARRI GIRO,     . TODOS",14151,camp fútbol,Esports
148,3.1 Immobles,Sobrant atermenament Riu Congost,"C ARENYS,    1 SUELO",1411,lliure,
267,3.1 Immobles,Solar,"C RIPOLLES,   61 SUELO",1205,Solar,
268,3.1 Immobles,Solar,"C RIPOLLES,   37-51 SUELO",5800,Solar,
270,3.1 Immobles,Solar,"C ROSSELLO,   97-107 SUELO",812,Solar,
285,3.1 Immobles,Solar,"C ROSSELLO,  136 SUELO",494,Solar,
359,3.1 Immobles,Solar,"C JULI VIÑETA,    4 SUELO",600,lliure,
363,3.1 Immobles,Solar,"C JOAN TORRABADELL,   11 SUELO",734,lliure,
366,3.1 Immobles,Solar,"C JOAN TORRABADELL,    2 SUELO",658,lliure,
370,3.1 Immobles,Solar,"C JOAN TORRABADELL,   20 SUELO",600,lliure,
396,3.1 Immobles,Sobrant de vialitat,"PTGE JORDI CAMP,    9 SUELO",188,Lliure,
360,3.1 Immobles,solar,"C JULI VIÑETA,    6 SUELO",603,lliure,
361,3.1 Immobles,Solar,"C JULI VIÑETA,    8 SUELO",600,lliure,
362,3.1 Immobles,Solar,"C JULI VIÑETA,   10 SUELO",617,lliure,
364,3.1 Immobles,Solar,"C JOAN TORRABADELL,    3 SUELO",637,lliure,
365,3.1 Immobles,Solar,"C JOAN TORRABADELL,    1 SUELO",604,lliure,
367,3.1 Immobles,Solar,"C JULI VIÑETA,   18 SUELO",629,lliure,
368,3.1 Immobles,Solar,"C JULI VIÑETA,   20 SUELO",599,lliure,
369,3.1 Immobles,Solar,"C JOAN TORRABADELL,   16 SUELO",727,lliure,
371,3.1 Immobles,Solar,"C JOAN TORRABADELL,   22 SUELO",584,lliure,
319,3.1 Immobles,Solar,"C MANUEL CORNELLA,    1",65,Solar,
272,3.1 Immobles,Solar,"C RIPOLLES,   75-85 SUELO",2318,Solar,
395,3.1 Immobles,Sobrant de vialitat,"C VIC,   19",372,lliure,
409,3.1 Immobles,Casa de Colònies Roques Blanques,Roques Blanques (Ribes de Freser),0,Casa de Colonies,Urbanisme
410,3.1 Immobles,Parcel·la Roques Blanques,Roques Blanques (Ribes de Freser),0,Bosc,Medi Ambient
7,1.2.a Immobles,Centre Educació Especial Montserrat Montero, Camí de Santa Quiteria,7564,Educatiu,Educació
185,1.2.a Immobles,Col.legi públic Salvador Espriu,"C JOAN CAMPS,   42 SUELO",4303,Educatiu,Educació
193,1.2.a Immobles,Antiga E.Bressol Cangur (tancada),"AV ENRIC PRAT DE LA RIBA,   86 SUELO",869,Educatiu,Educació
214,1.2.a Immobles,Equipament en C/ Mig Dia,"C MIGDIA,   24",472,Equipament,Urbanisme
223,1.2.a Immobles,Centre per a l'autonomia personal Sírius,"C RAFAEL CASANOVA,   50 Esc 1 00 04",607,Serveis Socials,
236,1.2.a Immobles,Teatre Auditori,"C JOSEP TORRAS I BAGES,   60 TODOS",4472,Teatre,
240,1.2.a Immobles,Habitatge,"C CONFLENT,    1 Esc 1 03 04",375,Habitatge per ús social,Urbanisme
254,1.2.a Immobles,Llar d'avis-casal,"C NOU,   22 TODOS",1087,Socials,
255,1.2.a Immobles,Museu de Granollers,"C ANSELM CLAVE,   40 TODOS",787,Museu,Cultura
256,1.2.a Immobles,Punt d'informació,"C ANSELM CLAVE,    2 TODOS",26,informació,
257,1.2.a Immobles,Can Puntes,"C SANTA ELISABETH,   16 TODOS",341,Serveis municipals administratius,Servei d'Esports i Servei d'Educació
260,1.2.a Immobles,Col.legi públic Pere Antón,"C ANTONI ESPI I GRAU,    3 TODOS",1653,Educatiu,Educació
280,1.2.a Immobles,Casa Relats,"C MARTI GRIVE,   47 TODOS",532,Lliure,
289,1.2.a Immobles,Camp municipal de Futbol,"C GIRONA,   52 I TODOS",10761,Esportiu,Esports
314,1.2.a Immobles,Hospital de dia Sant Jordi,"C FRANCESC RIBAS,   88",939,Sanitari,
407,1.2.a Immobles,Deixalleria Sud,"c. Palautordera, 31",2265,Deixalleria,Serveis i Via Pública
524,1.2.a Immobles,Solar per equipament benzinera,av. Sant Juliá 239,2835,Lliure,
528,1.2.a Immobles,Edifici Intersectorial,Av. Europa 21,1721,Oficines,
343,1.2.a Immobles,Solar per equipament,CAMI CAN CATALA,14697,Lliure,
344,1.2.a Immobles,Dipòsit aigües,"C JAUME FERRAN,    4",2059,Depósit,Serveis i Via Pública
354,1.2.a Immobles,Gossera,"C SEVERO OCHOA,  103 SUELO",7603,Gossera,
358,1.2.a Immobles,Solar per equipament,"PG ANTONI CUMELLA,    2 SUELO",9841,Lliure,Urbanisme
372,1.2.a Immobles,UOS - Unitat Operativa de Serveis,"CAMI CAN MANY,    8",14822,Unitat Operativa de Serveis,Serveis i Via Pública
144,1.2.a Immobles,Escoles de Palou,"PG FRANCESC FABREGAS,   44 TODOS",331,Sales polivalents,
146,1.2.a Immobles,Centre Cívic de Palou,"C CAMI RAL,      TODOS",186,Centre Cívic,"Programació, Relacions Ciutadanes"
155,1.2.a Immobles,Institut de Granollers,"CTRA CALDES,   23 TODOS",1930,escolar,Educació
158,1.2.a Immobles,Centre Obert Congost,"C NARCIS MONTURIOL,   47 Esc 1 00 01",768,Serveis municipals,
161,1.2.a Immobles,Pavelló del Congost,"C MARIA PALAU, 19-21     TODOS",2417,Esportiu-serveis municipals,Esports i Benestar Social
169,1.2.a Immobles,Pavelló del TUB,"C CAMP DE LES MORERES, 23-25",9758,Esportiu,Esports
177,1.2.a Immobles,Laboratori de Salut Pública i Consum,"C ROGER DE FLOR,   68 Esc E LC 01",445,Salut Pública,Salut Pública
180,1.2.a Immobles,Escola Bressol Giravoltes (Congost),"CTRA CALDES,   52-54",862,Educatiu,Educació
183,1.2.a Immobles,Institut de Bachillerat Antoni Cumella,"C ROGER DE FLOR,   64 TODOS",9265,Educatiu,Educació
184,1.2.a Immobles,Escola del Treball,"C ROGER DE FLOR,   66 TODOS",16773,Educatiu,Educació
189,1.2.a Immobles,Masia Tres Torres,"C TRES TORRES,   18 SUELO",3019,Serveis municipals administratius,
190,1.2.a Immobles,Roca Umbert,"AV ENRIC PRAT DE LA RIBA,   99",21115,Serveis municipals culturals,
192,1.2.a Immobles,Edifici AAVV Sota Camí Ral,"AV ENRIC PRAT DE LA RIBA,   82 TODOS",476,Cultural,"Programació, Relacions Ciutadanes"
194,1.2.a Immobles,Col.legi  públic Ferrer i Guardia,"C ROGER DE FLOR,  123 TODOS",2161,Educatiu,Educació
199,1.2.a Immobles,Terreny,"CTRA MASNOU,      SUELO",439,deposit materials,Urbanisme
202,1.2.a Immobles,Centre Cívic Jaume Oller,"C M.DEU MONTSERRAT,   47 TODOS",861,Centre Cívic,"Programació, Relacions Ciutadanes"
203,1.2.a Immobles,Equipament Can Comas,"C SANT JAUME,   60",419,Lliure,Urbanisme
210,1.2.a Immobles,Granollers Promocions i Servei de Medi Ambient i Espais Verds,"C SANT JAUME,   16 Esc 1 05 01",2423,Oficines municipals,Serveis d'Urbanisme i Servei de Medi Ambient i Espais Verds
211,1.2.a Immobles,Can Jonch,"C REC,   19",646,Centre de cultura per la Pau,"Programació, Relacions Ciutadanes"
220,1.2.a Immobles,Col.legi Joan Solans,"C MALLORCA,   20 TODOS",2175,Educatiu,Educació
221,1.2.a Immobles,Equipament juvenil El GRA,"PL ESGLESIA,    8",483,Cultural,Joventut
222,1.2.a Immobles,Mercat de Sant Carles,"C SANTA ANNA,   27 TODOS",965,Mercat,
224,1.2.a Immobles,Local AAVV Ponent,"C RAFAEL CASANOVA,   52 Esc 1 00 01",378,Cultural,
226,1.2.a Immobles,Local,"C RAFAEL CASANOVA,   70 Esc A 00 1B",3026,Local,
227,1.2.a Immobles,Escola de Ponent,"C RAFAEL CASANOVA, 55  . SUELO",8004,Educatiu,Educació
228,1.2.a Immobles,Solar per equipament,"C CATERINA ALBERT,   13",1748,Equipament,Serveis i Via Pública
231,1.2.a Immobles,Palau d'Esports  de Granollers,"C MIGUEL DE CERVANTES,   10 TODOS",21413,Esportiu,Esports
232,1.2.a Immobles,Edifici Portalet,"C PORTALET,    2 Esc 1 BX 02",308,Administratiu,Benestar Social
234,1.2.a Immobles,Ajuntament,"PL PORXADA,    6 TODOS",511,Serveis municipals administratius,Organització i Logística
235,1.2.a Immobles,Sala Francesc Tarafa,"C JOSEP TORRAS I BAGES,   15 TODOS",997,Cultural,
237,1.2.a Immobles,Solar,"C RAMON LLULL,    4 SUELO",2290,aparcament,Serveis i Via Pública
238,1.2.a Immobles,aparcament,"C RAMON LLULL,   32",1606,aparcament,Serveis i Via Pública
239,1.2.a Immobles,IES Celestí Bellera,"C ESTEVE TERRADES,      TODOS",5527,Educatiu,Educació
241,1.2.a Immobles,Escola Bressol La Tortuga,"C GARROTXA,    2 TODOS",1377,Educatiu,Educació
242,1.2.a Immobles,Centre Civic Can Bassa+Plaça,"PL JOAN OLIVER,    1 SUELO",494,Centre Cívic,"Programació, Relacions Ciutadanes"
243,1.2.a Immobles,Col.legi Públic Mestres Muntanya+Pavelló,"C ESTEVE TERRADES,   62",9567,Educatiu+esportiu,Educació
251,1.2.a Immobles,Museu La Tela,"C FRANCESC MACIA,   47 TODOS",1660,Museu de Ciencies Naturals,Cultura
278,1.2.a Immobles,Local UGT,"C FRANCESC SERRA,   12 LC 01",1133,Local UGT,
279,1.2.a Immobles,B.M. Granollers,"C SANTIAGO RUSINYOL,   17 TODOS",112,Servei esports,Esports
286,1.2.a Immobles,Escola Bressol El Teler,"C MARIA ANGELS ANGLADA,   22 SUELO",2256,Educatiu,Educació
288,1.2.a Immobles,Solar per equipament,"C TETUAN,   20 SUELO",2661,Aparcament,Serveis i Via Pública
290,1.2.a Immobles,Casal de l'esport,"C GIRONA,   52 Esc 2 00 01",596,Oficines,Esports
298,1.2.a Immobles,Habitatge per ús social,"C 1R MARQUES FRANQUESES,  146 Esc C 08 03",3622,Serveis Socilas,Urbanisme
299,1.2.a Immobles,Habitatge per ús social,"C 1R MARQUES FRANQUESES,  146 Esc C 07 04",3622,Serveis Socials,Urbanisme
300,1.2.a Immobles,Associació de veïns Ledoner,"C 1R MARQUES FRANQUESES,  125 TODOS",267,Cultural,"Programació, Relacions Ciutadanes"
301,1.2.a Immobles,CENTRE D'ATENCIÓ INTEGRAL A LES FAMÍLIES (CAIF),"C 1R MARQUES FRANQUESES,  123 TODOS",328,Serveis Socials,Benestar Social
303,1.2.a Immobles,Associació de veïns Font Verda,"PG MUNTANYA,  143 Esc 1 00 02",334,Cultural,"Programació, Relacions Ciutadanes"
312,1.2.a Immobles,Equipament entre Lluis Vives i Carles Riba,"C CARLES RIBA,   33 SUELO",4863,Aparcament,Serveis i Via Pública
313,1.2.a Immobles,Arxiu Comarcal,"C OLIVAR,   10",2496,Cultural,Arxiu
316,1.2.a Immobles,Solar per equipament,C BARTOMEU BRUFALT 46,245,Lliure,
324,1.2.a Immobles,Col.legi públic Granularius,"C MARESME,    4 TODOS",4422,Educatiu,Educació
327,1.2.a Immobles,Centre Formació integral P.A (Centre Vallès),"C VENEÇUELA,   86",6053,Educatiu,Educació
328,1.2.a Immobles,Camp Futbol Font Verda,"C VENEÇUELA,      SUELO",9458,Esportiu,Esports
331,1.2.a Immobles,Deixalleria del Nord,"CAMI CEMENTIRI,    2",3718,Infraestructures,Serveis i Via Pública
521,1.2.a Immobles,Tanatori Municipal,Camí del Cementiri 9,5893,Tanatori,
522,1.2.a Immobles,Pàrking de l' Hospital,Carrer de Francesç Ribas 49,10360,Aparcament,Serveis i Via Pública
523,1.2.a Immobles,ITV,av. Sant Julià 237,4794,Inspecció Tecnica de vehicles,Serveis i Via Pública
525,1.2.a Immobles,Consorci Drenatges del Besòs S.L,Av. Sant Julià 241,3293,Oficines,Serveis i Via Pública
526,1.2.a Immobles,Cementiri Municipal,Camí del Cementiri 4,24662,Cementiri,Serveis i Via Pública
529,1.2.a Immobles,Pavelló de Can Bassa,Carrer Caterina Albert 15,7468,Esportiu,Esports
259,1.2.a Immobles,Biblioteca Can Pedrals,"PL MALUQUER I SALVADOR,    8 TODOS",615,Cultural,Cultura
261,1.2.a Immobles,Casa de Cultura Sant Francesc,"C ANTONI ESPI I GRAU,    1 TODOS",382,Cultural,Cultura
282,1.2.a Immobles,Solar per Equipament,"C JOSEP PLA,    1-3",2173,Solar,
266,1.2.a Immobles,Centre Civic  Lledoner,"C LLEDONER,    6-8 SUELO",1485,Serveis Socials,"Programació, Relacions Ciutadanes"
225,1.2.a Immobles,local,"C RAFAEL CASANOVA,   70 Esc A 00 04",3026,local,
387,1.2.a Immobles,Centre Civic+Camp futbol Can Gili,"C CAMI VELL LLIÇA A.,    1 TODOS",12202,Esportiu,Esports
388,1.2.a Immobles,Oficina gestora ensenyament Generalitat,"C MAS ESTAPER,      SUELO",1599,Administratiu,
389,1.2.a Immobles,Col-legi Pau Vila,"C MANUEL MASJUAN,    1 TODOS",6135,Educatiu,Educació
397,1.2.a Immobles,Solar,Cami del Plà,2588,lliure,
398,1.2.a Immobles,Dipòsits aigües Sorea,Camí de la Torre Pinós,15451,Dipòsits,Serveis i Via Pública
404,1.2.a Immobles,AISS,"av Parc, 9",633,Sanitari,Organització i Logística
405,1.2.a Immobles,Edifici Sant Josep,"C. Sant Josep, 7",409,Serveis municipals administratius,
904,1.2.a Immobles,Pavelló Municipal d'Esports El Parquet,"C/LLUIS COMPANYS, 2-8, av Prat de la Riba, 111",1923,Esportiu,Esports
907,1.2.a Immobles,Pistes municipals d'atletisme,"Carrer Camp de les Moreres, 18",,Esportiu,Esports
908,1.2.a Immobles,Pistes de petanca Granollers,"Carrer Camp de les Moreres, 23-25",,Esportiu,Esports
903,1.2.a Immobles,Escola Salvador Llobet,"C ROGER DE FLOR,   66 TODOS",4524,Educatiu,Educació
905,1.2.a Immobles,Solar antics jutjats,"AV. PARC, 7",537,Equipament administratiu,
