ANY,IDENTIFICADOR,NOM,ADREÇA,BARRI,CODI CATEGORIA,CATEGORIA,GRUP,DATA LLICÈNCIA,LOCALITZACIÓ
2015,101463,Restaurante Chino Gran Capital,,,rest,restaurant,"Lleure, cultura i esport",,"(41.603004, 2.288482)"
2015,101461,Farmàcia Montanya,,,farm,farmàcia i ortopèdia,Serveis tècnics i professionals,,"(41.615616, 2.290938)"
2015,101458,Centre Odontològic Integral,,,dent,dentista,Serveis tècnics i professionals,,"(41.601307, 2.287562)"
2015,101455,Perruqueria Diferent,,,pelu,perruqueria,"Perfumeria, perruqueria i complements",,"(41.599534, 2.287181)"
2015,101453,Ferreteria Quintana,,,ferret,ferreteria,"Decoració de la llar, mobiliari i regal",,"(41.600742, 2.287433)"
2015,101447,El Sol,,,rest,restaurant,"Lleure, cultura i esport",,"(41.61497, 2.292138)"
2015,101444,MGO Centre De Prevenció,,,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,,"(41.611131, 2.286255)"
2015,101439,Ferreteria Sirvent,,,ferret,ferreteria,"Decoració de la llar, mobiliari i regal",,"(41.612516, 2.289976)"
2015,101437,Arcopiel,,,moda,roba i complements,Roba i calçat,,"(41.615537, 2.294889)"
2015,101429,Intersport Carpi,,,ardep,articles esportius,"Lleure, cultura i esport",,"(41.609903, 2.289202)"
2015,101427,Xavier Meneses Perruquers,,,pelu,perruqueria,"Perfumeria, perruqueria i complements",,"(41.615164, 2.291796)"
2015,101426,Taller De Reparacions De L'Automòbil,,,tall,taller mecànic,Serveis a vehicles,,"(41.613849, 2.286726)"
2015,101424,Floristeria Bonsai,,,flor,floristeria,"Perfumeria, perruqueria i complements",,"(41.613529, 2.286595)"
2015,101419,Pere,,,pelu,perruqueria,"Perfumeria, perruqueria i complements",,"(41.61157, 2.289685)"
2015,100930,Cal Joan,,,bar,bar,"Lleure, cultura i esport",,"(41.606505, 2.283289)"
2015,100928,Forn De Pa I Pastisseria Delicies,,,forn,forn de pa,Alimentació,,"(41.606109, 2.282941)"
2015,100924,Catalana Occident,,,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,,"(41.602763, 2.282607)"
2015,100920,Millor Lum,,,llar,"decoració de la llar, mobiliari i regal","Decoració de la llar, mobiliari i regal",,"(41.606664, 2.282877)"
2015,100919,"CEMYSA, SCP",,,cons,centre de salut,Serveis tècnics i professionals,,"(41.606255, 2.282721)"
2015,100916,Estudis I Tècnics Vallès,,,constr,instal·lacions i construcció,Serveis tècnics i professionals,,"(41.604594, 2.284275)"
2015,100914,TAC ARQUITECTURA IMMOBILIÀRIA,,,inmo,agència inmobiliària,Serveis tècnics i professionals,,"(41.601311, 2.284942)"
2015,101066,Júlia,,,perfu,perfumeria i drogueria,"Perfumeria, perruqueria i complements",,"(41.606218, 2.288615)"
2015,101060,Polleria Padros,,,avir,aviram,Alimentació,,"(41.59129, 2.286759)"
2015,101058,"MARGA DIFUSION MODA, SL",,,moda,roba i complements,Roba i calçat,,"(41.606075, 2.288361)"
2015,101057,Desigual,,,moda,roba i complements,Roba i calçat,,"(41.607094, 2.288572)"
2015,101049,Cervesa Sobre Tot,,,bar,bar,"Lleure, cultura i esport",,"(41.603884, 2.288147)"
2015,101048,Viatges El Corte Inglés,,,viat,agència de viatges,"Lleure, cultura i esport",,"(41.604344, 2.28822)"
2015,101045,Bar Joaquim,,,bar,bar,"Lleure, cultura i esport",,"(41.600595, 2.288711)"
2015,101044,Bar Los Claveles,,,bar,bar,"Lleure, cultura i esport",,"(41.591988, 2.287654)"
2015,102665,Sabadell Atlántico,,,banca,banca i serveis financers,Serveis tècnics i professionals,,"(41.610692, 2.289661)"
2015,102664,La Caixa,,,banca,banca i serveis financers,Serveis tècnics i professionals,,"(41.607086, 2.282963)"
2015,102648,Farmàcia Parera,,,farm,farmàcia i ortopèdia,Serveis tècnics i professionals,,"(41.608457, 2.287748)"
2015,102647,Maletes I Bossos Sense Nom,,,moda,roba i complements,Roba i calçat,,"(41.613834, 2.290381)"
2015,102645,J.Palet,,,conc,cotxes i motos,Serveis a vehicles,,"(41.612591, 2.289081)"
2015,102640,Mutual De Conductors,,,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,,"(41.608666, 2.284732)"
2015,102632,Tram,,,moda,roba i complements,Roba i calçat,,"(41.608188, 2.288212)"
2015,102626,Clínica Dental Fuentes,,,dent,dentista,Serveis tècnics i professionals,,"(41.612252, 2.292281)"
2015,102625,JOVENT ESTILISTES,,,pelu,perruqueria,"Perfumeria, perruqueria i complements",,"(41.607824, 2.287344)"
2015,102610,FERNANDO RODRIGUEZ MEDINA,,,xarc,xarcuteria,Alimentació,,"(41.608424, 2.286065)"
2015,102606,Merceria Parera,,,merce,merceria i llenceria,"Perfumeria, perruqueria i complements",,"(41.608782, 2.287859)"
2015,102604,Perruqueria Martínez,,,pelu,perruqueria,"Perfumeria, perruqueria i complements",,"(41.606063, 2.286804)"
2015,102598,BAR MERCAT DE SANT CARLES,,,bar,bar,"Lleure, cultura i esport",,"(41.608662, 2.2861)"
2015,102596,Comestibles,,,colma,queviures al detall,Alimentació,,"(41.613702, 2.28137)"
2015,102592,Porxada Ibericus,,,carn,carnisseria,Alimentació,,"(41.607588, 2.287592)"
2015,103845,Estils Raul Paz,,,pelu,perruqueria,"Perfumeria, perruqueria i complements",,"(41.604645, 2.284289)"
2015,103840,Xanthó Joiers,,,joie,joieria i rellotgeria,"Perfumeria, perruqueria i complements",,"(41.611853, 2.290003)"
2015,103838,L'Atelier,,,rapi,bar i menjar ràpid,"Lleure, cultura i esport",,"(41.606256, 2.289814)"
2015,103833,L'Espardenya,,,cafe,cafeteria,"Lleure, cultura i esport",,"(41.611733, 2.281445)"
2015,103831,Electrodomèstics Amb Cops I D'Exposició,,,elect,electrodomèstics,"Decoració de la llar, mobiliari i regal",,"(41.597985, 2.286521)"
2015,103786,Bar Els 4 Vents,,,bar,bar,"Lleure, cultura i esport",,"(41.612799, 2.294938)"
2015,101772,Farmàcia Caldes,,,farm,farmàcia i ortopèdia,Serveis tècnics i professionals,,"(41.611831, 2.281183)"
2015,101767,Churreria Nati,,,bar,bar,"Lleure, cultura i esport",,"(41.614368, 2.280909)"
2015,101766,Instal·lacions Boza,,,constr,instal·lacions i construcció,Serveis tècnics i professionals,,"(41.606916, 2.297184)"
2015,101764,Bar El Racó Del Congost,,,bar,bar,"Lleure, cultura i esport",,"(41.613479, 2.281012)"
2015,101762,EVA GOLOSINAS,,,colma,queviures al detall,Alimentació,,"(41.614333, 2.281167)"
2015,101756,RETALS,,,moda,roba i complements,Roba i calçat,,"(41.61467, 2.292385)"
2015,101754,Baranur,,,bar,bar,"Lleure, cultura i esport",,"(41.615993, 2.292829)"
2015,102051,Emmy,,,forn,forn de pa,Alimentació,,"(41.606855, 2.293417)"
2015,101819,Pérez Sardà,,,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,,"(41.608133, 2.283429)"
2015,101818,VITAL DENT,,,dent,dentista,Serveis tècnics i professionals,,"(41.608279, 2.283457)"
2015,101809,Targobank,,,banca,banca i serveis financers,Serveis tècnics i professionals,,"(41.603707, 2.288089)"
2015,101808,Champanillo,,,bar,bar,"Lleure, cultura i esport",,"(41.60385, 2.288127)"
2015,101805,Bar Restaurant Can Vilà,,,rest,restaurant,"Lleure, cultura i esport",,"(41.604274, 2.29311)"
2015,100434,Carrefour,,,ccom,supermercat,Alimentació,,"(41.595798, 2.284617)"
2015,100423,Titan Textile Machines,,,maqui,maquinària,Serveis tècnics i professionals,,"(41.606538, 2.301672)"
2015,100404,Eroski,,,ccom,supermercat,Alimentació,,"(41.609816, 2.30208)"
2015,100411,McDonalds,,,rapi,bar i menjar ràpid,"Lleure, cultura i esport",,"(41.611583, 2.303178)"
2015,102564,Locutorio Del Mundo,,,locu,locutori,Serveis tècnics i professionals,,"(41.606741, 2.293093)"
2015,102561,LABORATORI JOAN PUJADAS FERRER,,,cons,centre de salut,Serveis tècnics i professionals,,"(41.608943, 2.288962)"
2015,102546,"BOSCH*MONTSERRAT,JOSEFA",,,pelu,perruqueria,"Perfumeria, perruqueria i complements",,"(41.613093, 2.282697)"
2015,102477,-,,,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,,"(41.606033, 2.284018)"
2015,102531,CONSULTORIA AMBIENTAL GESMAT,,,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,,"(41.616777, 2.290616)"
2015,102523,"MUELA*GALVEZ,MARIA",,,moda,roba i complements,Roba i calçat,,"(41.614542, 2.291709)"
2015,102522,Casellas,,,flor,floristeria,"Perfumeria, perruqueria i complements",,"(41.608408, 2.287908)"
2015,102517,Snack Bar Oasis,,,bar,bar,"Lleure, cultura i esport",,"(41.614415, 2.275654)"
2015,102514,Paredes 4,,,bar,bar,"Lleure, cultura i esport",,"(41.603726, 2.290676)"
2015,102511,Calçats Zinka,,,saba,sabateria,Roba i calçat,,"(41.603574, 2.290677)"
2015,102508,COPIRAPID,,,pape,"papereria, llibreria i copisteria",Serveis tècnics i professionals,,"(41.614697, 2.277146)"
2015,102505,La Bodeguilla,,,colma,queviures al detall,Alimentació,,"(41.601959, 2.29114)"
2015,102045,CAIXA DEL PENEDÉS,,,banca,banca i serveis financers,Serveis tècnics i professionals,,"(41.600729, 2.284614)"
2015,102028,CAJA MEDITERRANEO,,,banca,banca i serveis financers,Serveis tècnics i professionals,,"(41.605762, 2.29038)"
2015,102014,La Llar Del Veterinari,,,vete,veterinaris,Serveis tècnics i professionals,,"(41.613678, 2.282731)"
2015,102006,Don Adelino,,,moda,roba i complements,Roba i calçat,,"(41.60711, 2.288815)"
2015,102280,Pub Evening,,,disco,bar musical,"Lleure, cultura i esport",,"(41.610839, 2.293989)"
2015,102276,Porta,,,moda,roba i complements,Roba i calçat,,"(41.609609, 2.289125)"
2015,103254,"RESIDENCIAS ADARA, SL EN CONSTITUCION",,,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,,"(41.610054, 2.275478)"
2015,103926,Carnisseria J. Carles,,,carn,carnisseria,Alimentació,,"(41.613743, 2.28815)"
2015,103953,Taller Lluis,,,tall,taller mecànic,Serveis a vehicles,,"(41.610519, 2.294154)"
2015,103950,Juan Pulido Perruquers,,,pelu,perruqueria,"Perfumeria, perruqueria i complements",,"(41.610906, 2.295292)"
2015,100807,Ibericus,,,colma,queviures al detall,Alimentació,,"(41.608303, 2.288347)"
2015,100818,Institut Oftalmològic Tres Torres,,,opti,òptica,Serveis tècnics i professionals,,"(41.610869, 2.285461)"
2015,100819,La Closca,,,colma,queviures al detall,Alimentació,,"(41.608824, 2.287769)"
2015,100841,El Racó De Les Tapes,,,rest,restaurant,"Lleure, cultura i esport",,"(41.604818, 2.291005)"
2015,100853,Midas,,,tall,taller mecànic,Serveis a vehicles,,"(41.598705, 2.286685)"
2015,101914,MUHAMMAD SAVAID,,,locu,locutori,Serveis tècnics i professionals,,"(41.606659, 2.282813)"
2015,100609,Recanvis Oller,,,tall,taller mecànic,Serveis a vehicles,,"(41.607002, 2.302327)"
2015,100424,Don Dino,,,infant,infants roba i joguines,Roba i calçat,,"(41.607521, 2.301746)"
2015,100410,Dia,,,ccom,supermercat,Alimentació,,"(41.611217, 2.302324)"
2015,102284,Bar Talgo,,,bar,bar,"Lleure, cultura i esport",,"(41.609922, 2.29092)"
2015,102400,Fincas & Ro,,,inmo,agència inmobiliària,Serveis tècnics i professionals,,"(41.610109, 2.290951)"
2015,101186,Gran Sport S. L.,,,ardep,articles esportius,"Lleure, cultura i esport",,"(41.610521, 2.291057)"
2015,100704,Laboratori D'Anàlisi Dr. Echevarne,,,cons,centre de salut,Serveis tècnics i professionals,,"(41.611472, 2.291352)"
2015,102349,Subirana,,,llar,"decoració de la llar, mobiliari i regal","Decoració de la llar, mobiliari i regal",,"(41.612118, 2.291582)"
2015,102201,Caja Madrid,,,banca,banca i serveis financers,Serveis tècnics i professionals,,"(41.611484, 2.291049)"
2015,100746,Bar M & M,,,bar,bar,"Lleure, cultura i esport",,"(41.603937, 2.284941)"
2015,102371,Carme's,,,pelu,perruqueria,"Perfumeria, perruqueria i complements",,"(41.603938, 2.284845)"
2015,102344,Bar Cal Jordi,,,bar,bar,"Lleure, cultura i esport",,"(41.604047, 2.283812)"
2015,102461,Àrea De Gestió Granollers,,,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,,"(41.604816, 2.283384)"
2015,102476,SILK,,,moda,roba i complements,Roba i calçat,,"(41.604819, 2.28349)"
2015,101995,Saterra Joieirs,,,joie,joieria i rellotgeria,"Perfumeria, perruqueria i complements",,"(41.608085, 2.289047)"
2015,101925,Parc Estudi,,,pelu,perruqueria,"Perfumeria, perruqueria i complements",,"(41.606075, 2.290125)"
2015,101919,MAQUINARIA ANDREU,,,maqui,maquinària,Serveis tècnics i professionals,,"(41.608322, 2.294682)"
2015,101884,Teixits Granollers,,,moda,roba i complements,Roba i calçat,,"(41.608966, 2.28551)"
2015,101871,Peixos Paquita J. Comas,,,peix,peix i marisc,Alimentació,,"(41.605489, 2.283201)"
2015,101858,Carles,,,moda,roba i complements,Roba i calçat,,"(41.608695, 2.286263)"
2015,101794,La Caixa,,,banca,banca i serveis financers,Serveis tècnics i professionals,,"(41.60497, 2.288348)"
2015,101757,Perruqueria Eva,,,pelu,perruqueria,"Perfumeria, perruqueria i complements",,"(41.613345, 2.28197)"
2015,101742,IKKS Junior,,,infant,infants roba i joguines,Roba i calçat,,"(41.608962, 2.285847)"
2015,103893,Freijo,,,pelu,perruqueria,"Perfumeria, perruqueria i complements",,"(41.612875, 2.282601)"
2015,104983,"LACHEL DENTAL, SL",,,salud,estètica i bellesa,Serveis tècnics i professionals,,"(41.60035, 2.290605)"
2015,103870,INNABA SCP,,,salud,estètica i bellesa,Serveis tècnics i professionals,,"(41.621932, 2.294324)"
2015,103868,"BARREIROS*GALLART,DAVID",,,disco,bar musical,"Lleure, cultura i esport",,"(41.613161, 2.266285)"
2015,103867,"MORTERO BENSEC, SL",,,constr,instal·lacions i construcció,Serveis tècnics i professionals,,"(41.564933, 2.268893)"
2015,103864,Abacus,,,pape,"papereria, llibreria i copisteria",Serveis tècnics i professionals,,"(41.608275, 2.284674)"
2015,103854,Agustina Estètica,,,salud,estètica i bellesa,Serveis tècnics i professionals,,"(41.609315, 2.284071)"
2015,103850,"SOCIEDAD ESTATAL GESTION INMOBILIARIA PATRIMONIO, SA",,,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,,"(41.605112, 2.287045)"
2015,102764,Espelt,,,joie,joieria i rellotgeria,"Perfumeria, perruqueria i complements",,"(41.607574, 2.283693)"
2015,103147,Tramuntana,,,bar,bar,"Lleure, cultura i esport",,"(41.607655, 2.284182)"
2015,103568,Le Petit Fondant,,,llar,"decoració de la llar, mobiliari i regal","Decoració de la llar, mobiliari i regal",,"(41.607594, 2.284705)"
2015,100731,Bessitos,,,cafe,cafeteria,"Lleure, cultura i esport",,"(41.604701, 2.284134)"
2015,102171,Parentesi,,,bar,bar,"Lleure, cultura i esport",,"(41.602924, 2.285186)"
2015,102173,Mototrack,,,conc,cotxes i motos,Serveis a vehicles,,"(41.602728, 2.284054)"
2015,101928,DRAGON ROJO,,,bar,bar,"Lleure, cultura i esport",,"(41.602534, 2.282417)"
2015,100915,Ictinum,,,info,informàtica,Serveis tècnics i professionals,,"(41.603526, 2.284398)"
2015,102413,Jarmar,,,llar,"decoració de la llar, mobiliari i regal","Decoració de la llar, mobiliari i regal",,"(41.603733, 2.284559)"
2015,102411,Editorial Alpina,,,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,,"(41.603839, 2.284564)"
2015,100942,Infosystems,,,info,informàtica,Serveis tècnics i professionals,,"(41.605093, 2.284434)"
2015,102431,Centre De Recuperació Funcional Del Vallès,,,cons,centre de salut,Serveis tècnics i professionals,,"(41.605705, 2.284111)"
2015,102453,LONTANO LINES SL,,,llar,"decoració de la llar, mobiliari i regal","Decoració de la llar, mobiliari i regal",,"(41.605401, 2.28421)"
2015,101829,Profinques Artous S. L.,,,inmo,agència inmobiliària,Serveis tècnics i professionals,,"(41.606708, 2.284583)"
2015,102466,Dulce Diseño,,,rega,regals i souvenirs,"Decoració de la llar, mobiliari i regal",,"(41.605231, 2.284962)"
2015,102296,Oller,,,llar,"decoració de la llar, mobiliari i regal","Decoració de la llar, mobiliari i regal",,"(41.605206, 2.285629)"
2015,101198,LAB Vallès. Control Qualitat,,,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,,"(41.607301, 2.295063)"
2015,101800,Finques Marcel,,,inmo,agència inmobiliària,Serveis tècnics i professionals,,"(41.604523, 2.288257)"
2015,101789,NOU ESTIL,,,pelu,perruqueria,"Perfumeria, perruqueria i complements",,"(41.601043, 2.286401)"
2015,101787,INSTITUT CLINIC VALLES,,,cons,centre de salut,Serveis tècnics i professionals,,"(41.613984, 2.283097)"
2015,103427,Solet I Lluna,,,moda,roba i complements,Roba i calçat,,"(41.600841, 2.284627)"
2015,103505,"ESTUDI GRANOLLERS, SCP",,,inmo,agència inmobiliària,Serveis tècnics i professionals,,"(41.60031, 2.282779)"
2015,102828,OPTICA REIXACH,,,opti,òptica,Serveis tècnics i professionals,,"(41.608632, 2.287743)"
2015,103564,JORDI QUERO AGUILA,,,moda,roba i complements,Roba i calçat,,"(41.609041, 2.285672)"
2015,103467,FERRETERIA SIRVENT SL,,,ferret,ferreteria,"Decoració de la llar, mobiliari i regal",,"(41.612744, 2.28923)"
2015,101738,PIKIN - PACK,,,pape,"papereria, llibreria i copisteria",Serveis tècnics i professionals,,"(41.600661, 2.283942)"
2015,101728,Carnisseria Cavallar,,,carn,carnisseria,Alimentació,,"(41.609688, 2.285812)"
2015,101718,Carnisseria - Xarcuteria Isabel,,,carn,carnisseria,Alimentació,,"(41.615106, 2.292541)"
2015,101709,"Ferresuin, S.L.",,,ferret,ferreteria,"Decoració de la llar, mobiliari i regal",,"(41.611214, 2.294408)"
2015,101684,D'Emp,,,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,,"(41.599069, 2.284243)"
2015,101659,AXA,,,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,,"(41.600315, 2.282862)"
2015,101621,Fontaneria Electricitat Montpart S.L,,,constr,instal·lacions i construcció,Serveis tècnics i professionals,,"(41.599103, 2.283067)"
2015,101608,Döner  Kebab Z & A,,,rapi,bar i menjar ràpid,"Lleure, cultura i esport",,"(41.602648, 2.284795)"
2015,101583,CATERING  MERUGA XAPO,,,rapi,bar i menjar ràpid,"Lleure, cultura i esport",,"(41.61646, 2.28971)"
2015,105058,-,,,ferret,ferreteria,"Decoració de la llar, mobiliari i regal",,"(41.60482, 2.285606)"
2015,103957,CatalunyaCaixa,,,banca,banca i serveis financers,Serveis tècnics i professionals,,"(41.593751, 2.287991)"
2015,103942,Granollers Locutori Internet,,,locu,locutori,Serveis tècnics i professionals,,"(41.61103, 2.29121)"
2015,102467,Manuel Serrano,,,pelu,perruqueria,"Perfumeria, perruqueria i complements",,"(41.61192, 2.290015)"
2015,103959,"KHAN,AHMAD",,,locu,locutori,Serveis tècnics i professionals,,"(41.616212, 2.292469)"
2015,104001,"SUNGURUE, SL",,,espop,gimnàs,"Lleure, cultura i esport",,"(41.604256, 2.294686)"
2015,104081,A + D,,,cons,centre de salut,Serveis tècnics i professionals,,"(41.600247, 2.287919)"
2015,104090,Game,,,audiov,audio i video,Serveis tècnics i professionals,,"(41.608619, 2.286648)"
2015,100750,La Roda,,,bar,bar,"Lleure, cultura i esport",,"(41.615618, 2.28909)"
2015,104173,Tribu Urbana Center,,,espop,gimnàs,"Lleure, cultura i esport",,"(41.611996, 2.286541)"
2015,101167,Albi,,,llar,"decoració de la llar, mobiliari i regal","Decoració de la llar, mobiliari i regal",,"(41.610974, 2.290903)"
2015,101157,Xavisan,,,rapi,bar i menjar ràpid,"Lleure, cultura i esport",,"(41.610263, 2.290692)"
2015,102118,Ortemesa,,,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,,"(41.609756, 2.290614)"
2015,102312,Sabateria Pou,,,saba,sabateria,Roba i calçat,,"(41.6097, 2.286196)"
2015,100980,"POUTRES, SL",,,saba,sabateria,Roba i calçat,,"(41.609415, 2.286048)"
2015,102305,Onna,,,moda,roba i complements,Roba i calçat,,"(41.609264, 2.286835)"
2015,102301,Viatges Eurovacances,,,viat,agència de viatges,"Lleure, cultura i esport",,"(41.609705, 2.286946)"
2015,101964,Generali Assegurances,,,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,,"(41.605465, 2.285792)"
2015,102403,SEGURETAT MUNTAN,,,constr,instal·lacions i construcció,Serveis tècnics i professionals,,"(41.605301, 2.285799)"
2015,100974,ZONA EXï¿½TICA,,,masco,mascotes,"Lleure, cultura i esport",,"(41.605165, 2.285781)"
2015,105017,"GONZALEZ*RUESCA,MARIA DOLORES",,,moda,roba i complements,Roba i calçat,,"(41.606019, 2.283237)"
2015,101030,Gabarrella Fotògraf,,,foto,fotografia,Serveis tècnics i professionals,,"(41.604812, 2.286395)"
2015,102106,Carol Bruguera,,,pelu,perruqueria,"Perfumeria, perruqueria i complements",,"(41.60628, 2.286244)"
2015,102105,Impremta Busquets,,,pape,"papereria, llibreria i copisteria",Serveis tècnics i professionals,,"(41.606386, 2.286365)"
2015,101581,Can Barnils,,,colma,queviures al detall,Alimentació,,"(41.611963, 2.287172)"
2015,102117,Llibreria Montseny,,,pape,"papereria, llibreria i copisteria",Serveis tècnics i professionals,,"(41.609928, 2.290048)"
2015,101123,GRANOLLERS SOL,,,salud,estètica i bellesa,Serveis tècnics i professionals,,"(41.609148, 2.289575)"
2015,101121,El Celler De Jabugo,,,rest,restaurant,"Lleure, cultura i esport",,"(41.608883, 2.289187)"
2015,101120,BBVA,,,banca,banca i serveis financers,Serveis tècnics i professionals,,"(41.60838, 2.289103)"
2015,104993,"ESPADA*POUS,RAMON",,,llar,"decoració de la llar, mobiliari i regal","Decoració de la llar, mobiliari i regal",,"(41.610549, 2.28639)"
2015,101116,Bo3,,,saba,sabateria,Roba i calçat,,"(41.60781, 2.288989)"
2015,101096,Bazar Regalo,,,basar,basar,"Decoració de la llar, mobiliari i regal",,"(41.606309, 2.289923)"
2015,101094,La Pulcinella,,,rapi,bar i menjar ràpid,"Lleure, cultura i esport",,"(41.60425, 2.28953)"
2015,101093,Barceló Viatges,,,viat,agència de viatges,"Lleure, cultura i esport",,"(41.603398, 2.290297)"
2015,101090,"EQUIP TÈCNIC VALLÈS, SL",,,inmo,agència inmobiliària,Serveis tècnics i professionals,,"(41.610552, 2.287771)"
2015,101089,"EMYCLIMA DEL BERTI, SL",,,constr,instal·lacions i construcció,Serveis tècnics i professionals,,"(41.617043, 2.288608)"
2015,101500,Mari Luz,,,moda,roba i complements,Roba i calçat,,"(41.600336, 2.289903)"
2015,101469,Instal·lacions Granollers,,,constr,instal·lacions i construcció,Serveis tècnics i professionals,,"(41.61839, 2.292)"
2015,103432,Bar Romántico,,,bar,bar,"Lleure, cultura i esport",,"(41.599673, 2.286993)"
2015,101945,Carnisseries Font,,,carn,carnisseria,Alimentació,,"(41.608545, 2.287079)"
2015,103829,Estem Per Tu,,,pelu,perruqueria,"Perfumeria, perruqueria i complements",,"(41.609296, 2.293763)"
2015,103834,AGROPECUARIA CAN MARINE SL,,,avir,aviram,Alimentació,,"(41.590448, 2.278295)"
2015,103951,"ROMO-MELGUIZO, CB",,,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,,"(41.611176, 2.295391)"
2015,102621,Remei Perruqueria,,,pelu,perruqueria,"Perfumeria, perruqueria i complements",,"(41.606682, 2.283852)"
2015,101418,Naguabo Restaurant,,,rest,restaurant,"Lleure, cultura i esport",,"(41.609846, 2.289193)"
2015,100867,Fleca Peypoch,,,forn,forn de pa,Alimentació,,"(41.609858, 2.289393)"
2015,100989,GABINET DERMATOLÒGIC VALLÈS S.L.,,,salud,estètica i bellesa,Serveis tècnics i professionals,,"(41.609151, 2.28555)"
2015,101730,Clínica Veterinaria Dr. M. Oms,,,vete,veterinaris,Serveis tècnics i professionals,,"(41.609491, 2.28573)"
2015,101462,La Fàbrica,,,llar,"decoració de la llar, mobiliari i regal","Decoració de la llar, mobiliari i regal",,"(41.612867, 2.287221)"
2015,101979,March,,,xarc,xarcuteria,Alimentació,,"(41.608462, 2.287693)"
2015,101974,Casas,,,saba,sabateria,Roba i calçat,,"(41.608535, 2.287925)"
2015,102102,Casa Bassa,,,moda,roba i complements,Roba i calçat,,"(41.607608, 2.28826)"
2015,101942,RACC,,,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,,"(41.606118, 2.290377)"
2015,101097,Sabadell Atlántico,,,banca,banca i serveis financers,Serveis tècnics i professionals,,"(41.606485, 2.290399)"
2015,102356,Mr Boots,,,saba,sabateria,Roba i calçat,,"(41.608309, 2.287031)"
