DIA,TEMPERATURA MÍNIMA (ºC),TEMPERATURA MÀXIMA (ºC),PRECIPITACIÓ (l/m2),HUMITAT,DIRECCIÓ DEL VENT,VELOCITAT DEL VENT (Km/h),HORES DE SOL,ESTAT DEL CEL,NÚVOLS ALTS,NÚVOLS MITJANS,NÚVOLS BAIXOS
23/04/1991,7,17.2,0,70%,,0,8.8,N,OO,AC,CU
24/04/1991,8.1,16,0,75%,,0,4.9,N,OO,AC,SC
25/04/1991,9.2,13.2,7.6,86%,,0,1.2,C,OO,AC,SC
26/04/1991,5.8,15.4,2,72%,,0,4.8,C,CS,AC,CB
27/04/1991,4.8,18.2,0,68%,,0,11.6,N,CI,AC,CU
28/04/1991,6.6,16.6,5.7,78%,,0,0,C,OO,NS,FC
29/04/1991,6.6,19.6,0,71%,,0,10.8,N,OO,AS,CU
30/04/1991,7.8,21.4,0,69%,,0,10.8,N,CS,AC,CU
01/05/1991,9,16.2,15.8,95%,,0,1.7,C,OO,AS,SC
02/05/1991,8.8,18.4,0.7,71%,,0,2.6,C,CS,NS,SC
03/05/1991,6.2,17.2,0,67%,,0,4.8,N,CI,AC,SC
04/05/1991,7.2,15.2,0.3,71%,,0,4.7,C,CI,AC,CU
05/05/1991,5,10.8,11.9,82%,,0,0,C,OO,NS,FS
06/05/1991,3.8,17.2,0,67%,,0,9.2,N,CI,AC,SC
07/05/1991,6.4,17.4,0,68%,,0,9.1,N,CS,AC,SC
08/05/1991,8.6,10.8,36.9,94%,,0,0,C,OO,NS,FS
09/05/1991,5.4,13.6,36.4,82%,,0,1.8,C,OO,AC,SC
10/05/1991,9.4,19.4,3.5,70%,,0,4,N,CI,AC,SC
11/05/1991,9.2,18.2,0.9,72%,,0,6.5,C,CI,AC,CU
12/05/1991,6.8,21.4,0,67%,,0,10.1,N,CI,AC,CU
13/05/1991,8.6,21.6,0,67%,,0,10.7,N,CS,AC,CU
14/05/1991,8.8,22.4,0,64%,,0,10.9,N,CI,OO,CU
15/05/1991,10,23.4,0,65%,,0,10.8,N,CS,AC,CB
16/05/1991,11,21.2,0,69%,,0,4.7,C,CS,AC,CU
17/05/1991,11.8,18,1.7,77%,NE,35,4.2,C,OO,AC,SC
18/05/1991,10.8,17.8,0,75%,SW,35,8.3,N,OO,AC,SC
19/05/1991,8.8,19.6,0,72%,S,29,8.5,N,CI,OO,CU
20/05/1991,9.6,21,0,74%,SE,25,11.3,N,CS,AC,SC
21/05/1991,10.6,22.6,0,61%,SW,29,10.5,O,CI,AC,CU
22/05/1991,10.4,26.8,0,57%,S,25,11.2,O,OO,OO,OO
23/05/1991,13.4,28.8,0,56%,S,27,11.9,N,CI,OO,CU
24/05/1991,14.4,27.4,0,61%,S,32,11.2,N,CI,AC,CU
25/05/1991,11.8,25,0,60%,NE,28,11.7,O,OO,OO,SC
26/05/1991,10.4,23.2,0,68%,S,28,12,O,CI,AC,CU
27/05/1991,12.6,24.8,0,67%,S,67,12.7,O,CI,OO,OO
28/05/1991,13,22.6,0,71%,SE,25,10.6,O,OO,OO,OO
29/05/1991,11.4,23.6,0,62%,S,29,12.2,N,CS,AC,OO
30/05/1991,11.2,23.6,0,60%,E,22,8.7,C,CI,AC,CU
31/05/1991,14.6,25.4,0,54%,E,32,5,N,CC,AC,SC
01/06/1991,13.4,24.2,0,68%,SE,32,8.7,N,CS,AC,CU
02/06/1991,13.4,23.2,0,74%,SE,26,5.7,C,CS,AC,CU
03/06/1991,12.6,23.4,0,73%,SE,25,6.6,C,CI,AC,SC
04/06/1991,16.2,22.4,0,70%,SE,37,5.4,C,OO,AC,SC
05/06/1991,15.4,22.6,0,71%,SE,28,4.2,C,CS,AC,SC
06/06/1991,15.8,23.8,0,77%,SE,32,4.2,C,CS,AC,CB
07/06/1991,15.8,27.4,0,66%,SW,46,4.6,C,CS,AS,CU
08/06/1991,14.4,24.6,0,67%,NE,31,12,N,CS,AC,CU
09/06/1991,13,25.8,0,66%,SE,30,12.2,N,CI,OO,CU
10/06/1991,15.2,25.4,0,69%,SE,28,10.4,N,CS,AC,CU
11/06/1991,17.1,24.6,0,62%,SE,30,10.4,O,OO,AC,CU
12/06/1991,14,27.6,0,64%,CA,35,12,O,OO,OO,OO
13/06/1991,15.6,27.6,0,61%,SE,28,12.7,O,CI,OO,OO
14/06/1991,15.4,26.8,0,64%,SE,52,12.2,O,OO,OO,OO
15/06/1991,15.8,29.8,0,56%,SE,22,10.7,N,CI,AC,OO
16/06/1991,18.8,28.2,0.2,65%,SW,28,5.9,C,OO,AC,SC
17/06/1991,14,19.6,6.6,74%,SW,25,8.5,N,CI,AC,SC
18/06/1991,12.6,20.6,0,75%,SE,32,7.7,N,OO,AC,CB
19/06/1991,11.8,22.6,0,66%,SE,41,9.2,N,CS,AC,CU
20/06/1991,16.8,24.4,0.2,76%,SE,31,6.1,N,OO,AC,CB
21/06/1991,16.2,26.8,0,71%,SW,31,9.6,N,CI,AC,CU
22/06/1991,17.6,28.2,0,59%,SW,28,8.2,N,CI,AC,SC
23/06/1991,16.4,29.6,0,61%,SE,33,10.4,N,CI,AC,CU
24/06/1991,18,31.6,0,67%,SW,35,10.2,N,CI,OO,CU
25/06/1991,17.8,31.4,0,53%,CA,26,11.2,O,OO,OO,OO
26/06/1991,17.6,32.8,0,63%,CA,25,9.8,N,CS,OO,CU
27/06/1991,18.4,28.2,0,68%,SW,32,7.3,N,CS,AC,CU
28/06/1991,15.8,23.2,0,63%,SW,32,9.2,N,OO,AC,CU
29/06/1991,16.4,23.8,0,67%,SE,28,7.2,N,OO,AC,CU
30/06/1991,14.2,27.2,0,60%,CA,32,8.2,O,OO,OO,CU
01/07/1991,15.2,26,0,65%,SW,28,11.2,N,CS,AC,CU
02/07/1991,14.2,26.2,0,61%,W,26,3.7,N,CS,AC,SC
03/07/1991,15.8,26.4,0,66%,S,26,11.5,N,CI,AC,CU
04/07/1991,15.6,28.8,0,59%,SE,29,11.2,N,CS,AC,CU
05/07/1991,17.4,30.4,0,62%,SE,28,12.4,N,OO,AC,OO
06/07/1991,18.2,31.4,0,58%,SW,33,9.5,N,CS,OO,CU
07/07/1991,15.8,32.8,0,44%,SW,38,12.7,O,CI,OO,CU
08/07/1991,17.6,30.6,0,62%,S,27,12.7,N,CS,OO,OO
09/07/1991,19.6,32.6,0,48%,SW,34,10.6,N,CS,AC,CB
10/07/1991,19.8,32.4,0,52%,S,21,12.7,N,CI,AC,OO
11/07/1991,20.2,31.4,0,58%,S,29,12.9,O,CS,OO,OO
12/07/1991,20.4,31.6,0,69%,SW,23,8.6,N,CS,AS,OO
13/07/1991,20.8,30.4,0,69%,S,25,11.8,N,CS,AC,CB
14/07/1991,21.2,28.8,0,79%,E,18,7.5,N,OO,OO,SC
15/07/1991,19.8,31.2,0,66%,SW,28,13,O,OO,OO,OO
16/07/1991,18.6,32.4,0,65%,S,36,11.7,N,CC,AC,CB
17/07/1991,19.4,30.6,0,56%,SE,25,11.2,N,CI,AC,CB
18/07/1991,19.4,30.6,0,63%,S,28,12.5,O,OO,AC,OO
19/07/1991,20.4,31.4,0,69%,SW,27,10.9,N,CS,OO,CU
20/07/1991,20.2,33.6,0,26%,S,26,11.2,N,CS,AC,OO
21/07/1991,21.4,32.4,0,56%,SE,27,12.3,N,CS,AC,SC
22/07/1991,20.2,33.6,0,48%,NE,24,11.8,N,OO,OO,CU
23/07/1991,22,32.4,0,54%,E,32,6,N,CI,AC,SC
24/07/1991,21.6,31.8,0,60%,S,33,10.3,N,CI,OO,CU
25/07/1991,17,23.6,4.3,82%,W,26,2.2,C,OO,AC,FS
26/07/1991,17.4,26.8,0,67%,S,31,11.7,N,OO,AC,SC
27/07/1991,18.6,28.6,0,70%,SW,27,12.3,N,OO,AC,SC
28/07/1991,18.6,29.8,0,75%,SW,34,6.7,N,OO,AC,SC
29/07/1991,20.4,32.4,0,70%,NE,27,10.7,N,CI,AC,CB
30/07/1991,21.4,31.6,0,63%,NE,35,8.2,N,CS,AC,CB
31/07/1991,18.6,30.2,0,55%,NE,40,11.2,N,CI,AC,SC
01/08/1991,18.2,30.2,0,72%,SE,40,12,O,OO,OO,CU
02/08/1991,20.4,28.4,0,67%,SE,33,11.4,N,CI,OO,CU
03/08/1991,18.6,30.6,0,68%,SE,22,11.8,O,OO,OO,CU
04/08/1991,19.8,31.6,0,67%,SW,23,10.3,N,CS,AC,CU
05/08/1991,20.4,32.4,0,60%,SW,32,11.6,N,CS,OO,CU
06/08/1991,20,33.4,0,58%,SW,32,11.5,O,CI,OO,CU
07/08/1991,19.8,33.4,0,51%,SW,29,11.2,O,CI,AC,CU
08/08/1991,17.2,22.6,13.6,77%,NE,28,0,C,CI,AC,CB
09/08/1991,15.2,27.6,0.4,72%,SW,31,4.5,C,CI,AC,SC
10/08/1991,16.4,26.8,21,78%,SW,23,5.2,C,CI,AC,SC
11/08/1991,18.4,27.2,0,74%,,0,9.6,N,CI,AC,CU
12/08/1991,18.2,29.2,0.5,71%,,0,6.9,N,CI,AC,CB
13/08/1991,19.2,32.4,0,71%,,0,11.3,O,OO,OO,CU
14/08/1991,19.8,33.6,0,65%,,0,11.2,O,CI,OO,CU
15/08/1991,20.2,32.6,0,68%,,0,10.9,N,CI,OO,OO
16/08/1991,20.4,32.6,0,66%,,0,11.4,O,CI,AC,CU
17/08/1991,20,31.4,0,62%,,0,11.8,O,OO,OO,CU
18/08/1991,20,30,0,69%,,0,10.9,N,CI,OO,CU
19/08/1991,20,30.4,0,72%,,0,10.8,N,CI,AC,CU
20/08/1991,20.4,31.2,0.4,60%,,0,9.7,N,CI,OO,OO
21/08/1991,19.4,32.4,0,62%,,0,9.1,N,CI,OO,CU
22/08/1991,21.8,30.6,0,83%,,0,11.2,N,CI,OO,CU
23/08/1991,21.4,30.4,0,77%,,0,11.2,N,CI,OO,CU
24/08/1991,18.6,32.4,0,70%,,0,10.7,O,CI,OO,OO
25/08/1991,19.4,33.4,0,63%,,0,11.2,O,OO,OO,CU
26/08/1991,18.2,30,0,70%,,0,11,N,CS,AC,CU
27/08/1991,23.2,36.6,0,59%,,0,9.7,N,CS,AC,CU
28/08/1991,22.2,34.2,0,60%,,0,10.7,N,CI,AC,CU
29/08/1991,22.8,32.8,0,63%,,0,10.5,N,CS,OO,OO
30/08/1991,20.4,30.8,0,74%,,0,9.5,N,CI,AC,SC
31/08/1991,23.4,30.2,0,73%,,0,2.8,C,CI,AC,ST
01/09/1991,20,27.2,25.2,79%,,0,3.7,C,CI,AC,CB
02/09/1991,18.8,27.2,3.6,75%,,0,0.8,C,CI,AC,SC
03/09/1991,19,27.6,0,67%,,0,7.2,N,CI,AC,OO
04/09/1991,17.8,29,0,71%,,0,8.9,N,CI,OO,CU
05/09/1991,19.4,28.6,0.6,71%,,0,3.7,N,CI,AS,CB
06/09/1991,17.2,29.6,0,71%,,0,7.5,N,CI,AS,CB
07/09/1991,17.6,30.2,2,68%,,0,8,N,CI,AC,SC
08/09/1991,16.6,29.4,0,69%,,0,10,O,CI,AC,CU
09/09/1991,17.4,28.8,0,76%,,0,9.2,N,CS,AC,OO
10/09/1991,18.2,28.6,0.2,80%,,0,5.3,N,CI,AC,CU
11/09/1991,19.8,30.4,5.6,76%,,0,8.2,N,CS,AC,CU
12/09/1991,18,29,15.7,73%,,0,7.3,C,CS,AC,CB
13/09/1991,15.8,29,0,80%,,0,7.6,N,CI,AC,CU
14/09/1991,18,26.6,0,77%,,0,5.9,N,CI,AC,CB
15/09/1991,19,28.4,0,77%,,0,9.2,N,CI,AC,CU
16/09/1991,18.8,29.6,0,66%,,0,9.9,N,CS,AC,OO
17/09/1991,19,30.8,0,71%,,0,9.3,N,CI,OO,CU
18/09/1991,18.2,31.4,0,72%,,0,10.1,O,OO,OO,OO
19/09/1991,18.6,31.4,0,68%,,0,10,O,OO,OO,OO
20/09/1991,17.2,28.8,0,71%,,0,9.3,N,CI,OO,CU
21/09/1991,18.2,29.2,0,76%,,0,8.8,N,CI,AC,CU
22/09/1991,18.4,29.8,0,73%,,0,9,N,CI,AC,CU
23/09/1991,18.6,28.2,0.3,76%,,0,5.7,C,CS,OO,CB
24/09/1991,14.4,27.6,0,77%,,0,5.7,N,CI,AC,CU
25/09/1991,18,23.4,30.3,90%,,0,0,C,CI,AC,CB
26/09/1991,13.2,24.4,4.2,69%,,0,9.1,N,CI,AC,CU
27/09/1991,10.6,23,0,69%,,0,9.3,N,CI,AC,CU
28/09/1991,11.2,24.4,2.5,68%,,0,6.2,N,CI,AC,CU
29/09/1991,13.6,18,0.8,82%,,0,1.2,C,CI,NS,FS
30/09/1991,10.6,23.6,0.2,69%,,0,7.4,N,CS,AC,SC
01/10/1991,13,23.8,0,69%,,0,8,N,CI,AC,CU
02/10/1991,14.4,23.8,0,75%,,0,9,N,CI,AC,SC
03/10/1991,12.4,23.8,0,74%,,0,6.1,N,CI,OO,SC
04/10/1991,13.8,23.8,0,75%,NE,27,4.4,N,CI,AC,CU
05/10/1991,17.4,21.2,12.6,90%,NE,25,0,C,CI,NS,CB
06/10/1991,12.4,20.4,0.7,72%,NE,25,9.1,N,OO,AC,SC
07/10/1991,8.6,20.2,0,66%,CA,20,9.7,N,CS,AC,CU
08/10/1991,8.4,20.4,0,79%,CA,10,1.8,C,OO,AC,SC
09/10/1991,15,24.4,0,77%,E,19,6.9,N,CI,OO,FS
10/10/1991,17.4,26.2,0,78%,NE,37,7.6,N,CI,AS,SC
11/10/1991,13.4,22.6,0.2,68%,SW,32,5.7,N,CI,AS,CU
12/10/1991,11.4,22.2,1,67%,NW,22,5.3,N,CI,AC,SC
13/10/1991,8.8,22.2,0,66%,SW,25,9.6,O,CI,AC,CU
14/10/1991,9.6,21.8,0,67%,SW,23,5.9,N,CS,AC,CB
15/10/1991,11.6,19.2,0,72%,NE,20,3.9,N,CI,AC,CS
16/10/1991,8.8,20.8,0,72%,CA,22,8.6,O,OO,AC,CU
17/10/1991,7.8,22.6,0,67%,SW,24,9.3,O,CI,AC,OO
18/10/1991,10,23,0,70%,SE,29,8.8,N,CS,OO,CU
19/10/1991,5.2,12.4,12.5,91%,NE,24,0,C,,NS,FS
20/10/1991,2.4,17.4,0,67%,NW,28,8.7,N,CS,AC,CU
21/10/1991,4.8,15.8,1.1,66%,NW,22,6.2,N,CS,AC,CB
22/10/1991,2.4,15,0,66%,NE,21,8.7,N,OO,AC,CB
23/10/1991,5,16.4,0,65%,NE,34,9.4,N,CI,AC,SC
24/10/1991,4,16.8,0,67%,NW,17,9.2,O,CS,AC,OO
25/10/1991,4.4,18.6,0,68%,NE,18,8.7,N,CS,AC,OO
26/10/1991,9.8,16,27.3,94%,N,29,0,C,,NS,FS
27/10/1991,8.4,19.6,0,78%,CA,14,7.5,N,OO,AC,CB
28/10/1991,8.4,18.4,0,80%,CA,20,6.6,C,CI,AC,SC
29/10/1991,8.8,18.2,0,73%,SW,16,7.8,N,OO,AC,SC
30/10/1991,6.4,17.6,0,77%,SW,22,1.8,C,CS,AS,SC
31/10/1991,11.2,18,0,75%,NE,18,1.5,C,CI,AC,SC
01/11/1991,13.2,16.4,0,85%,SE,15,0,C,OO,NS,FC
02/11/1991,14.2,21,0,78%,S,22,4.9,C,CI,AS,SC
03/11/1991,13.2,21.8,0,79%,SW,18,2.5,N,CI,AC,SC
04/11/1991,15,21.4,0,76%,SW,34,3.3,N,CS,AC,CS
05/11/1991,7.4,17.2,0,63%,W,22,8.2,N,CI,AC,CU
06/11/1991,4.5,17.4,0,59%,S,20,8.9,O,CI,AC,OO
07/11/1991,7.4,15.4,0,65%,S,17,8.8,N,CS,AC,OO
08/11/1991,3.4,16,0,72%,CA,14,8.7,O,CI,OO,OO
09/11/1991,5.6,15.4,0,76%,S,18,7.1,O,CI,OO,SC
10/11/1991,6.4,11.4,0,77%,NE,16,0.3,C,OO,AC,SC
11/11/1991,1.6,16.4,0,74%,CA,24,8.1,N,CS,AC,SC
12/11/1991,3.6,17.6,0,69%,CA,20,7.8,N,CI,AC,SC
13/11/1991,7,15.8,0,85%,CA,19,0.4,C,OO,AC,FC
14/11/1991,5.6,15.8,0,67%,SW,26,8.6,N,CS,AC,SC
15/11/1991,7,15.8,0.2,79%,SW,18,0.7,C,CI,AC,FS
16/11/1991,6.2,17.2,0,72%,SW,36,8.6,N,CI,OO,CU
17/11/1991,2.8,15.6,0,72%,NW,22,5.8,N,CI,AC,CU
18/11/1991,5.5,18.6,0,73%,NW,25,6,N,CS,AC,CU
19/11/1991,9.4,15.4,1.6,73%,NE,28,2.6,N,OO,AC,SC
20/11/1991,3.4,12.4,0,77%,CA,24,6.6,N,CI,AC,CU
21/11/1991,3.8,12.2,2.6,71%,CA,12,6.8,N,CI,AC,CU
22/11/1991,0.5,10.4,0,78%,CA,22,6,N,CI,OO,CU
23/11/1991,-0.4,11.2,0,71%,CA,11,7.3,O,CI,OO,CU
24/11/1991,1.2,12,0,68%,CA,16,7.8,O,OO,AC,OO
25/11/1991,1.6,16,0,67%,CA,11,7.9,N,CS,AC,OO
26/11/1991,2.6,16.2,0,76%,CA,9,6,N,CS,OO,OO
27/11/1991,5.6,15.8,0,82%,NW,18,3.7,N,CI,AC,CU
28/11/1991,10.4,15.2,0,78%,NW,19,0,C,,NS,FS
29/11/1991,11.4,15,2,84%,NE,18,0,C,,,FS
30/11/1991,11.2,12.4,31.7,95%,NE,29,0,C,,NS,FS
01/12/1991,11.6,12.6,40.9,97%,NE,25,0,C,OO,NS,FC
02/12/1991,9.4,12.8,30.9,93%,NE,23,1.2,C,OO,OO,SC
03/12/1991,9.2,12,20.1,77%,NE,29,0,C,OO,NS,FC
04/12/1991,7.4,15.6,0,71%,N,26,7.5,N,CI,AC,SC
05/12/1991,4,14.2,0,83%,S,18,6.8,O,OO,OO,OO
06/12/1991,3,13,0,69%,NW,18,7.8,O,CI,OO,OO
07/12/1991,1.6,9.4,0,82%,NE,18,0.3,N,CI,AC,SC
08/12/1991,6,11.4,0,82%,NE,12,0.2,C,OO,AC,OO
09/12/1991,4,10.4,0,74%,NE,18,4.8,N,OO,AC,SC
10/12/1991,5.8,8.8,54,94%,NE,22,0,C,OO,NS,FC
11/12/1991,6.6,9,12.1,91%,NE,26,0,C,OO,NS,FC
12/12/1991,7.2,8.8,7.9,81%,N,36,0,C,OO,AC,SC
13/12/1991,3.4,11.6,0.1,69%,N,29,5.7,N,CI,AC,SC
14/12/1991,5.4,10.6,0.8,91%,N,17,0,C,OO,AC,SC
15/12/1991,3.2,9.2,0.5,88%,NW,8,0.8,C,OO,AC,CU
16/12/1991,5.6,11.6,0.1,82%,NW,8,1.5,N,OO,AC,FC
17/12/1991,2.4,12.4,0,78%,W,13,7.7,O,OO,AC,OO
18/12/1991,2.4,9.4,0,83%,S,20,1.2,N,CI,AC,SC
19/12/1991,3.6,14.2,0,84%,NW,20,3.2,C,CS,AC,OO
20/12/1991,5.4,15,0,70%,NW,43,7.7,O,CS,AC,CU
21/12/1991,2.6,12.2,0,73%,W,22,1.3,N,CI,AC,OO
