IDENTIFICADOR,ANY,NOM,CODI CATEGORIA,CATEGORIA,GRUP,LOCALITZACIÓ
103829,2017,Estem Per Tu,pelu,perruqueria,"Perfumeria, perruqueria i complements","(41.609296, 2.293763)"
103267,2017,Torrent Carns Selectes,carn,carnisseria,Alimentació,"(41.609233, 2.293766)"
105070,2017,"GIMENEZ*VICENTE,SONIA",pelu,perruqueria,"Perfumeria, perruqueria i complements","(41.608972, 2.293696)"
101695,2017,Caprabo,colma,queviures al detall,Alimentació,"(41.608767, 2.293671)"
101712,2017,Restaurant Xinès Bona Sort,rest,restaurant,"Lleure, cultura i esport","(41.608602, 2.293662)"
101683,2017,CatalunyaCaixa,banca,banca i serveis financers,Serveis tècnics i professionals,"(41.608295, 2.293623)"
100832,2017,BBVA,banca,banca i serveis financers,Serveis tècnics i professionals,"(41.608243, 2.293619)"
100637,2017,Galerias Del Tresillo,llar,"decoració de la llar, mobiliari i regal","Decoració de la llar, mobiliari i regal","(41.607731, 2.30232)"
100612,2017,Local Buit,llar,"decoració de la llar, mobiliari i regal","Decoració de la llar, mobiliari i regal","(41.607657, 2.3019)"
100424,2017,Don Dino,infant,infants roba i joguines,Roba i calçat,"(41.607521, 2.301746)"
100609,2017,Recanvis Oller,tall,taller mecànic,Serveis a vehicles,"(41.607002, 2.302327)"
104369,2017,Vallmar,constr,instal·lacions i construcció,Serveis tècnics i professionals,"(41.606695, 2.301852)"
100423,2017,Titan Textile Machines,maqui,maquinària,Serveis tècnics i professionals,"(41.606538, 2.301672)"
105623,2017,"ACSA, OBRAS E INFRAESTRUCTURAS,S.A.",ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,"(41.610551, 2.29003)"
105622,2017,"PEDREÑO*GUTIERREZ,MONTSERRAT",rega,regals i souvenirs,"Decoració de la llar, mobiliari i regal","(41.607998, 2.288389)"
105621,2017,"FAMILYBEAUTY,SL",salud,estètica i bellesa,Serveis tècnics i professionals,"(41.609157, 2.283918)"
105620,2017,"HUSSAIN,TASSWAR",movi,telefonia,Serveis tècnics i professionals,"(41.608708, 2.283764)"
105617,2017,IFI ALIMENTACIÓ,ccom,supermercat,Alimentació,"(41.605305, 2.291937)"
105616,2017,"MIL PINS, SL",bar,bar,"Lleure, cultura i esport","(41.606149, 2.289959)"
105615,2017,"BOTE*CHASSEROT,DANIEL",cons,centre de salut,Serveis tècnics i professionals,"(41.597529, 2.287367)"
105614,2017,"CERDA*GIL,FRANCISCA",moda,roba i complements,Roba i calçat,"(41.609266, 2.285369)"
105613,2017,"VILLA VIATGES, SA",viat,agència de viatges,"Lleure, cultura i esport","(41.609535, 2.290464)"
105612,2017,"COMAPOSADA*GUASCH,MARIA DOLORS",forn,forn de pa,Alimentació,"(41.605209, 2.291417)"
105611,2017,"SERRADELL*BAENA,SANTIAGO",elect,electrodomèstics,"Decoració de la llar, mobiliari i regal","(41.599533, 2.283868)"
105609,2017,MOBILECENTERMAN SL,audiov,audio i video,Serveis tècnics i professionals,"(41.608628, 2.287263)"
105608,2017,ARCO IRIS,ccom,supermercat,Alimentació,"(41.603932, 2.284802)"
105607,2017,"CH CHILD BCN,SL",moda,roba i complements,Roba i calçat,"(41.608443, 2.288765)"
105606,2017,"WIDEX AUDIFONOS, SA",foto,fotografia,Serveis tècnics i professionals,"(41.608972, 2.285499)"
105603,2017,PROCOMP GRUP SCP,inmo,agència inmobiliària,Serveis tècnics i professionals,"(41.610135, 2.284263)"
105601,2017,"ERGO ADVOCATS,SCP",ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,"(41.607215, 2.283378)"
105600,2017,OYSHO ESPAÑA SA,moda,roba i complements,Roba i calçat,"(41.607155, 2.288571)"
105599,2017,HUPA DESCANS GRUP SL,llar,"decoració de la llar, mobiliari i regal","Decoració de la llar, mobiliari i regal","(41.613515, 2.290496)"
105598,2017,"MARLEX GESTIO E.T.T., SL",ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,"(41.602852, 2.287894)"
105597,2017,VIAPLANA,xarc,xarcuteria,Alimentació,"(41.608548, 2.284079)"
105596,2017,"SAMPAIO*SANTOS DOS,IVANILDO",pelu,perruqueria,"Perfumeria, perruqueria i complements","(41.608389, 2.288749)"
105593,2017,FINCAS ROMO 2005 SL,inmo,agència inmobiliària,Serveis tècnics i professionals,"(41.606377, 2.290389)"
105591,2017,"ELECTRO FITNESS BARCELONA, SL",salud,estètica i bellesa,Serveis tècnics i professionals,"(41.606201, 2.29143)"
105590,2017,"NIETO*GONZALEZ,FAUSTINO",llar,"decoració de la llar, mobiliari i regal","Decoració de la llar, mobiliari i regal","(41.608954, 2.285352)"
105589,2017,"DAVILA*CORDERO,GRETA ALBA",llar,"decoració de la llar, mobiliari i regal","Decoració de la llar, mobiliari i regal","(41.610416, 2.287339)"
105588,2017,"CASTELLA CRIBILLES ASSOCIATS, S.C.P.",ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,"(41.605466, 2.284382)"
105587,2017,CUINEM PER VOSALTRES,rapi,bar i menjar ràpid,"Lleure, cultura i esport","(41.619561, 2.292135)"
105586,2017,"ENRICH*TORRES,JAIME",bar,bar,"Lleure, cultura i esport","(41.616862, 2.292719)"
105584,2017,"RESTAURANIGO,SL",salud,estètica i bellesa,Serveis tècnics i professionals,"(41.599334, 2.287226)"
105580,2017,"MAURICIO*JUAN,RAFAEL",info,informàtica,Serveis tècnics i professionals,"(41.593174, 2.287513)"
105579,2017,"MARTIN*JARIOD,VICTOR MANUEL",merce,merceria i llenceria,"Perfumeria, perruqueria i complements","(41.610246, 2.288567)"
105578,2017,"MUHAMMAD,AHSAN",movi,telefonia,Serveis tècnics i professionals,"(41.612129, 2.291241)"
105573,2017,"ICART*NAVARRO,MARIA DEL CARMEN",farm,farmàcia i ortopèdia,Serveis tècnics i professionals,"(41.614818, 2.289038)"
105572,2017,HAIR CARE CONCEPT SL,pelu,perruqueria,"Perfumeria, perruqueria i complements","(41.603491, 2.288053)"
105571,2017,"SPORTS CYCLING, SCP",tall,taller mecànic,Serveis a vehicles,"(41.602076, 2.287489)"
105568,2017,R.I.B. INSTAL·LACIONS INDUS. LLERONA SL,constr,instal·lacions i construcció,Serveis tècnics i professionals,"(41.619108, 2.292626)"
105567,2017,MES-SALUD 2015 SL UNIPERSONAL,foto,fotografia,Serveis tècnics i professionals,"(41.600628, 2.283798)"
105566,2017,"RUIZ*BACAS,MARIA FELICITAT",perfu,perfumeria i drogueria,"Perfumeria, perruqueria i complements","(41.608857, 2.285742)"
105565,2017,"JIMENEZ*PASTRANO,JAVIER",ferret,ferreteria,"Decoració de la llar, mobiliari i regal","(41.609949, 2.290063)"
105563,2017,TUS MEDIA S.L.U.,info,informàtica,Serveis tècnics i professionals,"(41.591783, 2.285889)"
105562,2017,"CABRERA*CRUZ,MONTSERRAT",moda,roba i complements,Roba i calçat,"(41.60887, 2.285102)"
105561,2017,"MOREIRA*SILVA,JUAN JOSE",pelu,perruqueria,"Perfumeria, perruqueria i complements","(41.612769, 2.290039)"
105560,2017,"F3 PJ2 GRANOLLERS, SL",salud,estètica i bellesa,Serveis tècnics i professionals,"(41.606744, 2.289494)"
105556,2017,"PANDIOMA, SCP",ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,"(41.605516, 2.290361)"
105554,2017,"MARTI*DURAN,LAURA",flor,floristeria,"Perfumeria, perruqueria i complements","(41.603539, 2.287804)"
105548,2017,"LLORET*REDONDO,OSCAR",ferret,ferreteria,"Decoració de la llar, mobiliari i regal","(41.602692, 2.286392)"
105547,2017,ASOCIACION RETO A LA ESPERANZA,llar,"decoració de la llar, mobiliari i regal","Decoració de la llar, mobiliari i regal","(41.601733, 2.290631)"
105545,2017,"JAIME*GARAY,DAVID",salud,estètica i bellesa,Serveis tècnics i professionals,"(41.609191, 2.287512)"
105544,2017,LA RESERVA,bar,bar,"Lleure, cultura i esport","(41.609088, 2.288998)"
105542,2017,"ASTER DINAMICS, SL",ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,"(41.593661, 2.285981)"
105540,2017,"INMOLLEDONER, SL",inmo,agència inmobiliària,Serveis tècnics i professionals,"(41.615141, 2.292558)"
105539,2017,"OBON SAN JOSE,ANNA",arte,galeria d'art i quadres,"Decoració de la llar, mobiliari i regal","(41.602631, 2.287554)"
105538,2017,ASOCIACION SONIDOVIBRACION,audiov,audio i video,Serveis tècnics i professionals,"(41.59754, 2.287329)"
105536,2017,"JIMENEZ*RETAMAL,NUNA ORIELE",past,pastisseria,Alimentació,"(41.600329, 2.284079)"
105535,2017,"FAQD 2015, SL",opti,òptica,Serveis tècnics i professionals,"(41.607547, 2.28848)"
105534,2017,EVASIO SLU,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,"(41.612022, 2.289823)"
105528,2017,"MORALES*NAVARRO,JOSEFA",perfu,perfumeria i drogueria,"Perfumeria, perruqueria i complements","(41.6058, 2.289987)"
105527,2017,EDEN,salud,estètica i bellesa,Serveis tècnics i professionals,"(41.599765, 2.291174)"
105522,2017,IRON SHOP,colma,queviures al detall,Alimentació,"(41.608169, 2.291569)"
105521,2017,"OLIVER*CORBACHO,EUDALD",salud,estètica i bellesa,Serveis tècnics i professionals,"(41.614088, 2.290126)"
105517,2017,"PORCAR*MILLAN,MARIA DEL PILAR",pape,"papereria, llibreria i copisteria",Serveis tècnics i professionals,"(41.608178, 2.291324)"
105516,2017,"MORALES*VIDAL,NATALIA",audiov,audio i video,Serveis tècnics i professionals,"(41.607224, 2.288328)"
105515,2017,"ESPIN SOLE,XAVIER",ardep,articles esportius,"Lleure, cultura i esport","(41.607592, 2.283837)"
105513,2017,"NUVIES D'OR,SL",moda,roba i complements,Roba i calçat,"(41.609059, 2.283745)"
105512,2017,"ROUEYEL EL,ABDESLAM",rentat,autorentat,Serveis a vehicles,"(41.614001, 2.291111)"
105510,2017,PEGA I MASTEGA,colma,queviures al detall,Alimentació,"(41.607453, 2.284997)"
105508,2017,BARBA ROSSA BEACH BAR,bar,bar,"Lleure, cultura i esport","(41.608306, 2.286179)"
105507,2017,"MUTUA GENERAL DE CATALUÑA, MUTUA DE SEG",ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,"(41.604573, 2.288035)"
105505,2017,GELATIAMO,bar,bar,"Lleure, cultura i esport","(41.605461, 2.288718)"
105504,2017,CUINA PRET-À-PORTER,bar,bar,"Lleure, cultura i esport","(41.603542, 2.288062)"
105502,2017,"SANCHEZ TORRES,ISMAEL",saba,sabateria,Roba i calçat,"(41.607575, 2.2868)"
105501,2017,LA PREMIERE,rest,restaurant,"Lleure, cultura i esport","(41.607641, 2.286115)"
105498,2017,"RODRIGUEZ*SANTA CRUZ,MARIA DEL PILAR",moda,roba i complements,Roba i calçat,"(41.60766, 2.288339)"
105497,2017,"XU,XIULING",moda,roba i complements,Roba i calçat,"(41.600706, 2.290205)"
105492,2017,"PARERA*PI,GEMMA",colma,queviures al detall,Alimentació,"(41.612294, 2.291614)"
105491,2017,INTERDOMICILIO FACILITIES SL,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,"(41.606072, 2.291574)"
105489,2017,"SANTANA*FELIX,ERLICH RADHAMES",pelu,perruqueria,"Perfumeria, perruqueria i complements","(41.600067, 2.289374)"
105487,2017,"VILLEGAS*VINAGRE,YOLANDA",pelu,perruqueria,"Perfumeria, perruqueria i complements","(41.613247, 2.289329)"
105485,2017,PROLASE SLU,moda,roba i complements,Roba i calçat,"(41.60905, 2.284373)"
105484,2017,CARNISSERIA TORRENT,xarc,xarcuteria,Alimentació,"(41.608847, 2.285039)"
105481,2017,"GOMEZ*DIAZ,CESAR",forn,forn de pa,Alimentació,"(41.610182, 2.290159)"
105479,2017,PASTISSERIA GOMINOLES FORN DE PA,past,pastisseria,Alimentació,"(41.613479, 2.280837)"
105478,2017,EL SEGÀ,forn,forn de pa,Alimentació,"(41.608276, 2.283532)"
105477,2017,XOCFRUIT,past,pastisseria,Alimentació,"(41.604637, 2.283151)"
105475,2017,PERRUQUERIA GRACIA SL,pelu,perruqueria,"Perfumeria, perruqueria i complements","(41.612302, 2.291225)"
105473,2017,"LASSANA,JABBI",viat,agència de viatges,"Lleure, cultura i esport","(41.599934, 2.287935)"
105472,2017,"CENTRAL DE REPARACIONS I MANTENIMENTS CLIMA, SL",elect,electrodomèstics,"Decoració de la llar, mobiliari i regal","(41.598431, 2.284665)"
105466,2017,SA COTTET,foto,fotografia,Serveis tècnics i professionals,"(41.607846, 2.288967)"
105465,2017,MAXIMUM GELATERIA,bar,bar,"Lleure, cultura i esport","(41.609121, 2.289012)"
105461,2017,"CALA*OJO DEL,JOAQUIN",rega,regals i souvenirs,"Decoració de la llar, mobiliari i regal","(41.602903, 2.287916)"
105460,2017,HIMALAYA MINISUPERMERCADO,xarc,xarcuteria,Alimentació,"(41.610489, 2.28333)"
105459,2017,AKTUAL MODA I COMPLEMENTS,moda,roba i complements,Roba i calçat,"(41.608757, 2.286585)"
105458,2017,E-SPORTIA BASKET STORE,ardep,articles esportius,"Lleure, cultura i esport","(41.619651, 2.292418)"
105457,2017,"SANCHEZ*COLLADO,CRISTIAN",constr,instal·lacions i construcció,Serveis tècnics i professionals,"(41.614172, 2.290306)"
105455,2017,"GUTIERREZ*OLIVA,MARTA",salud,estètica i bellesa,Serveis tècnics i professionals,"(41.6039, 2.28534)"
105454,2017,"CORTES*CARRELERO,PEDRO MANUEL",constr,instal·lacions i construcció,Serveis tècnics i professionals,"(41.603203, 2.2882)"
105453,2017,"DIAZ*SOTO,JESUS",auto,autoescola,Serveis tècnics i professionals,"(41.611787, 2.29147)"
105451,2017,"UNCLE SAM, SL",moda,roba i complements,Roba i calçat,"(41.608669, 2.286995)"
105450,2017,"DIGICAMBER, SL",ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,"(41.606924, 2.286937)"
105449,2017,"XU,WEI",basar,basar,"Decoració de la llar, mobiliari i regal","(41.61137, 2.291328)"
105447,2017,SANITAS NUEVOS NEGOCIOS S.L.U.,dent,dentista,Serveis tècnics i professionals,"(41.601208, 2.290617)"
105446,2017,S.A.T. MUÑOZ SCP,audiov,audio i video,Serveis tècnics i professionals,"(41.595701, 2.286463)"
105442,2017,SUPERMERCAT BARCELONA,colma,queviures al detall,Alimentació,"(41.605477, 2.287005)"
105438,2017,"GONZALEZ*SABATER,RAQUEL",moda,roba i complements,Roba i calçat,"(41.60843, 2.287081)"
105433,2017,GRUPOMPLEO EMPRESA DE TRABAJO TEMPORAL SL,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,"(41.607781, 2.289007)"
105432,2017,"RECHE*MIRAS,ANTONIA",pelu,perruqueria,"Perfumeria, perruqueria i complements","(41.602635, 2.282616)"
105429,2017,JURISCONSULTES I GESTIONS SL,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,"(41.602813, 2.288665)"
105426,2017,DIETFLASH,colma,queviures al detall,Alimentació,"(41.609183, 2.286622)"
105424,2017,"GRANOLLERS TELEFONIA, SL",movi,telefonia,Serveis tècnics i professionals,"(41.608463, 2.28826)"
105423,2017,"BEDAGA 2013, SL",movi,telefonia,Serveis tècnics i professionals,"(41.608248, 2.288408)"
105422,2017,"OLMODEL, SL",forn,forn de pa,Alimentació,"(41.602256, 2.289787)"
105421,2017,"CALA*OJO DEL,JAVIER",vete,veterinaris,Serveis tècnics i professionals,"(41.600358, 2.284278)"
105417,2017,SUPERMARKET,ccom,supermercat,Alimentació,"(41.599883, 2.288438)"
105416,2017,"OVANIE AGENCY, S.L.",ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,"(41.608723, 2.284028)"
105415,2017,"JULIAN*LAGUNAS,MAXIMO",moda,roba i complements,Roba i calçat,"(41.606986, 2.288775)"
105409,2017,ESSENTIA,espop,gimnàs,"Lleure, cultura i esport","(41.610159, 2.289251)"
105408,2017,"SABEM COM, SCP",audiov,audio i video,Serveis tècnics i professionals,"(41.606688, 2.284594)"
105406,2017,"JUSTICIA*TROYANO,MONICA",salud,estètica i bellesa,Serveis tècnics i professionals,"(41.609706, 2.284022)"
105405,2017,ESTETICA LOW COST SL,salud,estètica i bellesa,Serveis tècnics i professionals,"(41.616184, 2.291359)"
105404,2017,"PERSONAL SIETE, E. T. T., SA",ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,"(41.60297, 2.291141)"
105403,2017,EGARSAT MATEPSS NUM 276,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,"(41.610295, 2.290993)"
105402,2017,LA TAKERIA VS VULL SUSHI,colma,queviures al detall,Alimentació,"(41.608149, 2.288187)"
105401,2017,BRUMET GESTION SL,inmo,agència inmobiliària,Serveis tècnics i professionals,"(41.612953, 2.290114)"
105400,2017,PICA-PICA 24 horas,rapi,bar i menjar ràpid,"Lleure, cultura i esport","(41.600645, 2.284359)"
105398,2017,RAIMI & GRUP SOLUCIONS AMBIENTALS SL,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,"(41.616235, 2.288871)"
105397,2017,"ASSESSORIA PEREZ SARDA, SL",ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,"(41.608032, 2.283431)"
105396,2017,"SANCHEZ*FALGUERA,JORGE",joie,joieria i rellotgeria,"Perfumeria, perruqueria i complements","(41.609572, 2.287917)"
105395,2017,SANKT PAULI,rest,restaurant,"Lleure, cultura i esport","(41.605719, 2.289753)"
105394,2017,"IGLESIS-MARTIN COMICS,  S.L.",flor,floristeria,"Perfumeria, perruqueria i complements","(41.609244, 2.285854)"
105392,2017,LOTERIA VIPLA SL,tall,taller mecànic,Serveis tècnics i professionals,"(41.600641, 2.290213)"
105390,2017,"GARGALLO*BURRIEL,ELIA",flor,floristeria,"Perfumeria, perruqueria i complements","(41.606238, 2.28328)"
105386,2017,"LESANO*MOSQUERA,LUIS ALEX",basar,basar,"Decoració de la llar, mobiliari i regal","(41.602157, 2.287512)"
105381,2017,SUPERMERCAT (indian),colma,queviures al detall,Alimentació,"(41.597434, 2.288184)"
105374,2017,"MEDICAL SERVICES ACTIVITA, SLU",cons,centre de salut,Serveis tècnics i professionals,"(41.612907, 2.290094)"
105372,2017,"RUS*NAVA,MONTSERRAT",perfu,perfumeria i drogueria,"Perfumeria, perruqueria i complements","(41.604423, 2.28799)"
105371,2017,"MAINITIES, SCP",llar,"decoració de la llar, mobiliari i regal","Decoració de la llar, mobiliari i regal","(41.606506, 2.289189)"
105367,2017,"TORREGROSA*ENCINAS,JOSE RAMON",pelu,perruqueria,"Perfumeria, perruqueria i complements","(41.609674, 2.289658)"
