ANY,PUNT DE RECOLLIDA,ID MOSTRA,DATA RECOLLIDA,DATA D'ENTRADA,DATA FINAL ANÀLISI,GRUP,PARÀMETRE,RESULTAT,UNITAT,LLOC,ORDRE
01/01/2004 12:00:00 AM,CONGOST - DESPRÉS DE DEPURADORA,35676,31/03/2004,31/03/2004,,PARÀMETRES FISICOQUÍMICS,Sílice,0.8,mg/l,AIGUA RIU CONGOST,1100
01/01/2004 12:00:00 AM,CONGOST - DESPRÉS DE DEPURADORA,35676,31/03/2004,31/03/2004,,PARÀMETRES FISICOQUÍMICS,Fosfats (P2O5),1.3,mg/l,AIGUA RIU CONGOST,1370
01/01/2004 12:00:00 AM,CONGOST - DESPRÉS DE DEPURADORA,35676,31/03/2004,31/03/2004,,PARÀMETRES FISICOQUÍMICS,Amoni,1.5,mg/l,AIGUA RIU CONGOST,1220
01/01/2004 12:00:00 AM,CONGOST - DESPRÉS DE DEPURADORA,35676,31/03/2004,31/03/2004,,PARÀMETRES FISICOQUÍMICS,Ferro (mg/l),0.035,mg/l,AIGUA RIU CONGOST,1330
01/01/2004 12:00:00 AM,CONGOST - DESPRÉS DE DEPURADORA,35676,31/03/2004,31/03/2004,,PARÀMETRES FISICOQUÍMICS,Conductivitat (25ºC),378,µS/cm,AIGUA RIU CONGOST,1071
01/01/2004 12:00:00 AM,CONGOST - DESPRÉS DE DEPURADORA,35676,31/03/2004,31/03/2004,,PARÀMETRES FISICOQUÍMICS,Manganès,0.1,mg/l,AIGUA RIU CONGOST,1340
01/01/2004 12:00:00 AM,CONGOST - DESPRÉS DE DEPURADORA,35676,31/03/2004,31/03/2004,,PARÀMETRES FISICOQUÍMICS,Nitrats,2.2,mg/l,AIGUA RIU CONGOST,1200
01/01/2004 12:00:00 AM,CONGOST - DESPRÉS DE DEPURADORA,35676,31/03/2004,31/03/2004,,PARÀMETRES FISICOQUÍMICS,Coure,0.15,mg/l,AIGUA RIU CONGOST,1350
01/01/2004 12:00:00 AM,CONGOST - DESPRÉS DE DEPURADORA,35676,31/03/2004,31/03/2004,,PARÀMETRES FISICOQUÍMICS,Alumini,0.07,mg/l,AIGUA RIU CONGOST,1151
01/01/2004 12:00:00 AM,CONGOST - DESPRÉS DE DEPURADORA,35676,31/03/2004,31/03/2004,,PARÀMETRES FISICOQUÍMICS,Partícules sedimentables,0.9,g/l,AIGUA RIU CONGOST,1402
01/01/2004 12:00:00 AM,CONGOST - DESPRÉS DE DEPURADORA,35676,31/03/2004,31/03/2004,,PARÀMETRES FISICOQUÍMICS,Residu sec a 110ºC,0.95,g/l,AIGUA RIU CONGOST,1172
01/01/2004 12:00:00 AM,CONGOST - DESPRÉS DE DEPURADORA,35676,31/03/2004,31/03/2004,,PARÀMETRES FISICOQUÍMICS,Nitrits,0.25,mg/l,AIGUA RIU CONGOST,1210
01/01/2004 12:00:00 AM,CONGOST - DESPRÉS DE DEPURADORA,35676,31/03/2004,31/03/2004,,PARÀMETRES FISICOQUÍMICS,Oxidabilitat al permanganat,14,mg O2/l,AIGUA RIU CONGOST,1240
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35420,08/01/2004,08/01/2004,29/01/2004,PARÀMETRES FISICOQUÍMICS,Manganès,0.03,mg/l,CONGOST - ARQUÍMEDES,1340
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35420,08/01/2004,08/01/2004,29/01/2004,PARÀMETRES FISICOQUÍMICS,Magnesi,34.5,mg/l,CONGOST - ARQUÍMEDES,1120
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35420,08/01/2004,08/01/2004,29/01/2004,PARÀMETRES FISICOQUÍMICS,Ferro (mg/l),0.02,mg/l,CONGOST - ARQUÍMEDES,1330
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35420,08/01/2004,08/01/2004,29/01/2004,PARÀMETRES FISICOQUÍMICS,Nitrits,0.35,mg/l,CONGOST - ARQUÍMEDES,1210
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35420,08/01/2004,08/01/2004,29/01/2004,PARÀMETRES FISICOQUÍMICS,Sulfats,120.3,mg/l,CONGOST - ARQUÍMEDES,1090
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35420,08/01/2004,08/01/2004,29/01/2004,PARÀMETRES FISICOQUÍMICS,Duresa total,432,mg CaCO3/l,CONGOST - ARQUÍMEDES,1160
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35420,08/01/2004,08/01/2004,29/01/2004,PARÀMETRES FISICOQUÍMICS,Conductivitat (25ºC),1067,µS/cm,CONGOST - ARQUÍMEDES,1071
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35420,08/01/2004,08/01/2004,29/01/2004,PARÀMETRES FISICOQUÍMICS,Calci,116.2,mg/l,CONGOST - ARQUÍMEDES,1110
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35420,08/01/2004,08/01/2004,29/01/2004,PARÀMETRES FISICOQUÍMICS,Sílice,1,mg/l,CONGOST - ARQUÍMEDES,1100
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35420,08/01/2004,08/01/2004,29/01/2004,PARÀMETRES FISICOQUÍMICS,Residu sec a 110°,0.8,mg/l,CONGOST - ARQUÍMEDES,1171
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35420,08/01/2004,08/01/2004,29/01/2004,PARÀMETRES FISICOQUÍMICS,Fosfats (P2O5),1.8,mg/l,CONGOST - ARQUÍMEDES,1370
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35420,08/01/2004,08/01/2004,29/01/2004,PARÀMETRES FISICOQUÍMICS,Oxidabilitat al permanganat,3.2,mg O2/l,CONGOST - ARQUÍMEDES,1240
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35420,08/01/2004,08/01/2004,29/01/2004,PARÀMETRES FISICOQUÍMICS,Alumini,0.12,µg/l,CONGOST - ARQUÍMEDES,1150
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35420,08/01/2004,08/01/2004,29/01/2004,PARÀMETRES FISICOQUÍMICS,pH,8.63,unitats,CONGOST - ARQUÍMEDES,1060
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35420,08/01/2004,08/01/2004,29/01/2004,PARÀMETRES FISICOQUÍMICS,Alcalinitat (TAC),278,mg CaCO3/l,CONGOST - ARQUÍMEDES,1161
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35420,08/01/2004,08/01/2004,29/01/2004,PARÀMETRES FISICOQUÍMICS,Amoni,0.31,mg/l,CONGOST - ARQUÍMEDES,1220
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35582,26/02/2004,26/02/2004,09/03/2004,PARÀMETRES FISICOQUÍMICS,Partícules sedimentables,3.5,g/l,CONGOST - ARQUÍMEDES,1402
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35582,26/02/2004,26/02/2004,09/03/2004,PARÀMETRES FISICOQUÍMICS,Níquel,0,mg/l,CONGOST - ARQUÍMEDES,1501
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35582,26/02/2004,26/02/2004,09/03/2004,PARÀMETRES FISICOQUÍMICS,Alumini,0.07,mg/l,CONGOST - ARQUÍMEDES,1151
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35582,26/02/2004,26/02/2004,09/03/2004,PARÀMETRES FISICOQUÍMICS,Nitrats,10.4,mg/l,CONGOST - ARQUÍMEDES,1200
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35582,26/02/2004,26/02/2004,09/03/2004,PARÀMETRES FISICOQUÍMICS,Manganès,0.03,mg/l,CONGOST - ARQUÍMEDES,1340
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35582,26/02/2004,26/02/2004,09/03/2004,PARÀMETRES FISICOQUÍMICS,Magnesi,19.9,mg/l,CONGOST - ARQUÍMEDES,1120
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35582,26/02/2004,26/02/2004,09/03/2004,PARÀMETRES FISICOQUÍMICS,Ferro (mg/l),0.02,mg/l,CONGOST - ARQUÍMEDES,1330
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35582,26/02/2004,26/02/2004,09/03/2004,PARÀMETRES FISICOQUÍMICS,Nitrits,0.87,mg/l,CONGOST - ARQUÍMEDES,1210
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35582,26/02/2004,26/02/2004,09/03/2004,PARÀMETRES FISICOQUÍMICS,Clorurs,84.9,mg/l,CONGOST - ARQUÍMEDES,1080
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35582,26/02/2004,26/02/2004,09/03/2004,PARÀMETRES FISICOQUÍMICS,Residu sec a 110ºC,0.76,g/l,CONGOST - ARQUÍMEDES,1172
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35582,26/02/2004,26/02/2004,09/03/2004,PARÀMETRES FISICOQUÍMICS,Amoni,1.4,mg/l,CONGOST - ARQUÍMEDES,1220
01/01/2004 12:00:00 AM,CONGOST - ARQUÍMEDES,35582,26/02/2004,26/02/2004,09/03/2004,PARÀMETRES FISICOQUÍMICS,Oxidabilitat al permanganat,12,mg O2/l,CONGOST - ARQUÍMEDES,1240
