DATA DE RECOLLIDA,SO2 (µg/m³),NO (µg/m³),NO2 (µg/m³),O3 (µg/m³),CO (mg/m³),PM10 (µg/m³)
18/04/2014,,13,27,60,,
19/04/2014,,3,17,74,,
20/04/2014,,1,11,76,,
21/04/2014,,1,11,67,,
22/04/2014,,9,27,42,,
23/04/2014,,42,40,33,,
24/04/2014,,13,28,53,,
25/04/2014,,5,21,63,,
26/04/2014,,11,23,51,,
27/04/2014,,2,7,82,,
28/04/2014,,5,17,68,,
29/04/2014,,15,26,51,,
30/04/2014,,16,23,51,,
01/05/2014,,3,13,63,,
02/05/2014,,6,19,58,,
03/05/2014,,8,17,61,,
04/05/2014,,2,11,81,,
05/05/2014,,20,36,51,,
06/05/2014,,12,45,52,,
07/05/2014,,7,35,61,,
08/05/2014,,19,45,45,,
09/05/2014,,18,46,52,,
10/05/2014,,11,39,62,,
11/05/2014,,3,20,67,,
12/05/2014,,9,27,48,,
13/05/2014,,3,20,52,,
14/05/2014,,14,25,52,,
15/05/2014,,19,33,62,,
16/05/2014,,11,31,65,,
17/05/2014,,5,33,72,,
18/05/2014,,3,18,83,,
19/05/2014,,9,26,83,,
20/05/2014,,2,9,91,,
21/05/2014,,3,16,69,,
22/05/2014,,16,24,54,,
23/05/2014,,13,28,59,,
24/05/2014,,2,12,72,,
25/05/2014,,4,23,56,,
26/05/2014,,7,23,43,,
27/05/2014,,19,32,48,,
28/05/2014,,20,33,48,,
29/05/2014,,20,39,39,,
30/05/2014,,25,37,26,,
31/05/2014,,23,34,31,,
01/06/2014,,10,28,61,,
02/06/2014,,4,31,74,,
03/06/2014,,7,33,74,,
04/06/2014,,14,36,63,,
05/06/2014,,13,27,57,,
06/06/2014,,4,29,64,,
07/06/2014,,2,18,89,,
08/06/2014,,2,17,85,,
09/06/2014,,16,47,54,,
10/06/2014,,19,45,60,,
11/06/2014,,16,55,56,,
12/06/2014,,22,66,53,,
13/06/2014,,15,51,69,,
14/06/2014,,10,35,80,,
15/06/2014,,2,13,78,,
16/06/2014,,13,32,51,,
17/06/2014,,11,40,42,,
18/06/2014,,13,24,70,,
19/06/2014,,6,27,74,,
20/06/2014,,13,47,53,,
21/06/2014,,6,36,72,,
22/06/2014,,2,15,72,,
23/06/2014,,7,17,55,,
24/06/2014,,3,15,57,,
25/06/2014,,7,32,52,,
26/06/2014,,5,27,69,,
27/06/2014,,7,22,70,,
28/06/2014,,10,27,65,,
29/06/2014,,4,10,67,,
30/06/2014,,5,19,51,,
01/07/2014,,9,25,54,,
02/07/2014,,2,9,68,,
03/07/2014,,2,11,79,,
04/07/2014,,8,23,77,,
05/07/2014,,4,25,82,,
06/07/2014,,5,28,71,,
07/07/2014,,6,26,44,,
08/07/2014,,10,21,52,,
09/07/2014,,8,19,45,,
10/07/2014,,5,19,59,,
11/07/2014,,4,20,70,,
12/07/2014,,2,14,64,,
13/07/2014,,4,21,59,,
14/07/2014,,3,15,57,,
15/07/2014,,8,27,46,,
16/07/2014,,15,31,51,,
17/07/2014,,19,44,52,,
18/07/2014,,17,41,61,,
19/07/2014,,2,16,83,,
20/07/2014,,2,18,70,,
21/07/2014,,10,28,61,,
22/07/2014,,11,30,62,,
23/07/2014,,12,27,59,,
24/07/2014,,14,25,63,,
25/07/2014,,6,28,69,,
26/07/2014,,5,20,83,,
27/07/2014,,2,16,82,,
28/07/2014,,4,20,54,,
29/07/2014,,4,14,62,,
30/07/2014,,10,25,64,,
31/07/2014,,19,31,66,,
01/08/2014,,11,25,59,,
02/08/2014,,2,12,71,,
03/08/2014,,2,12,67,,
04/08/2014,,3,14,64,,
05/08/2014,,6,17,64,,
06/08/2014,,11,25,54,,
07/08/2014,,9,16,48,,
08/08/2014,,6,21,54,,
09/08/2014,,2,13,69,,
10/08/2014,,2,11,70,,
11/08/2014,,4,15,65,,
12/08/2014,,4,25,49,,
13/08/2014,,3,17,62,,
14/08/2014,,4,13,61,,
15/08/2014,,2,5,68,,
16/08/2014,,2,9,72,,
17/08/2014,,3,22,60,,
18/08/2014,,9,31,52,,
19/08/2014,,3,13,74,,
20/08/2014,,2,14,70,,
21/08/2014,,3,13,64,,
22/08/2014,,2,11,60,,
23/08/2014,,3,12,61,,
24/08/2014,,3,23,51,,
25/08/2014,,15,29,40,,
26/08/2014,,8,26,55,,
27/08/2014,,18,25,45,,
28/08/2014,,20,28,39,,
29/08/2014,,5,22,44,,
30/08/2014,,14,30,43,,
31/08/2014,,8,27,46,,
01/09/2014,,7,29,42,,
02/09/2014,,13,31,42,,
03/09/2014,,4,23,64,,
04/09/2014,,5,25,57,,
05/09/2014,,4,21,55,,
06/09/2014,,8,27,40,,
07/09/2014,,4,20,45,,
08/09/2014,,13,28,40,,
09/09/2014,,4,21,53,,
10/09/2014,,28,37,39,,
11/09/2014,,9,25,56,,
12/09/2014,,6,30,59,,
13/09/2014,,4,21,68,,
14/09/2014,,2,14,63,,
15/09/2014,,3,18,60,,
16/09/2014,,12,20,53,,
17/09/2014,,8,25,49,,
18/09/2014,,27,29,29,,
19/09/2014,,24,20,17,,
20/09/2014,,,,,,
21/09/2014,,,,,,
22/09/2014,,25,65,10,,
23/09/2014,,6,27,40,,
24/09/2014,,9,27,37,,
25/09/2014,,17,24,43,,
26/09/2014,,13,42,37,,
27/09/2014,,9,25,53,,
28/09/2014,,1,12,61,,
29/09/2014,,11,27,41,,
30/09/2014,,9,26,42,,
01/10/2014,,34,42,17,,
02/10/2014,,42,41,30,,
03/10/2014,,25,41,32,,
04/10/2014,,21,35,41,,
05/10/2014,,3,14,62,,
06/10/2014,,26,45,29,,
07/10/2014,,34,57,20,,
08/10/2014,,36,53,22,,
09/10/2014,,47,52,25,,
10/10/2014,,24,45,21,,
11/10/2014,,10,22,34,,
12/10/2014,,5,25,34,,
13/10/2014,,36,47,22,,
14/10/2014,,22,37,19,,
15/10/2014,,44,38,24,,
16/10/2014,,39,53,20,,
17/10/2014,,44,54,17,,
18/10/2014,,33,52,22,,
19/10/2014,,22,37,33,,
20/10/2014,,39,66,13,,
21/10/2014,,67,52,36,,
22/10/2014,,5,25,44,,
23/10/2014,,33,46,26,,
24/10/2014,,98,73,11,,
25/10/2014,,53,54,22,,
26/10/2014,,14,32,30,,
27/10/2014,,18,36,30,,
28/10/2014,,18,40,33,,
29/10/2014,,53,49,21,,
30/10/2014,,30,43,25,,
31/10/2014,,11,37,29,,
01/11/2014,,10,36,35,,
02/11/2014,,23,39,22,,
03/11/2014,,39,54,16,,
04/11/2014,,11,35,36,,
05/11/2014,,47,42,18,,
06/11/2014,,53,42,16,,
07/11/2014,,60,45,18,,
08/11/2014,,50,50,15,,
09/11/2014,,29,42,18,,
10/11/2014,,57,49,14,,
11/11/2014,,128,74,8,,
12/11/2014,,46,48,17,,
13/11/2014,,93,55,13,,
14/11/2014,,119,66,2,,
15/11/2014,,24,36,27,,
16/11/2014,,4,23,41,,
17/11/2014,,49,48,21,,
18/11/2014,,100,59,15,,
19/11/2014,,107,61,11,,
20/11/2014,,55,51,17,,
21/11/2014,,18,40,22,,
22/11/2014,,11,33,18,,
23/11/2014,,2,10,50,,
24/11/2014,,4,19,38,,
25/11/2014,,53,41,8,,
26/11/2014,,51,43,7,,
27/11/2014,,102,56,8,,
28/11/2014,,7,22,46,,
29/11/2014,,2,8,61,,
30/11/2014,,2,8,56,,
01/12/2014,,22,32,27,,
02/12/2014,,46,43,9,,
03/12/2014,,55,43,3,,
04/12/2014,,12,24,12,,
05/12/2014,,90,42,5,,
06/12/2014,,77,39,9,,
07/12/2014,,32,35,21,,
08/12/2014,,43,42,13,,
09/12/2014,,29,36,40,,
10/12/2014,,95,70,12,,
11/12/2014,,119,71,7,,
12/12/2014,,133,73,8,,
13/12/2014,,90,68,5,,
14/12/2014,,54,44,19,,
15/12/2014,,37,44,25,,
16/12/2014,,73,50,7,,
17/12/2014,,114,60,3,,
18/12/2014,,77,50,10,,
19/12/2014,,118,52,4,,
20/12/2014,,36,36,7,,
21/12/2014,,87,43,6,,
22/12/2014,,156,60,4,,
23/12/2014,,162,66,3,,
24/12/2014,,128,63,3,,
25/12/2014,,54,41,7,,
26/12/2014,,54,44,10,,
27/12/2014,,81,48,8,,
28/12/2014,,20,30,23,,
29/12/2014,,44,49,19,,
30/12/2014,,67,62,8,,
31/12/2014,,92,70,7,,
01/01/2015,,20,36,26,,
02/01/2015,,156,74,7,,
03/01/2015,,126,73,8,,
04/01/2015,,73,59,8,,
05/01/2015,,100,61,5,,
06/01/2015,,54,42,9,,
07/01/2015,,164,71,3,,
08/01/2015,,124,58,3,,
09/01/2015,,102,57,4,,
10/01/2015,,133,67,6,,
11/01/2015,,66,48,6,,
12/01/2015,,137,70,6,,
13/01/2015,,74,65,8,,
14/01/2015,,90,65,9,,
15/01/2015,,65,63,8,,
16/01/2015,,101,56,9,,
17/01/2015,,37,40,18,,
18/01/2015,,49,44,14,,
19/01/2015,,7,31,25,,
20/01/2015,,39,48,6,,
21/01/2015,,47,45,8,,
22/01/2015,,89,52,7,,
23/01/2015,,92,55,11,,
24/01/2015,,20,37,27,,
25/01/2015,,13,34,46,,
26/01/2015,,75,64,6,,
27/01/2015,,82,65,8,,
28/01/2015,,83,57,10,,
29/01/2015,,32,39,24,,
30/01/2015,,9,30,38,,
31/01/2015,,13,29,36,,
01/01/2013,10,43,55,7,0.4,
02/01/2013,11,82,51,7,0.6,
03/01/2013,16,134,75,7,0.7,
04/01/2013,22,220,99,5,0.9,
05/01/2013,19,148,80,6,0.7,
06/01/2013,14,83,61,11,0.6,
07/01/2013,21,185,89,4,0.8,
08/01/2013,21,176,82,5,0.8,
09/01/2013,17,112,66,6,0.6,
10/01/2013,15,135,73,7,0.6,
11/01/2013,12,125,71,8,0.7,
12/01/2013,14,126,69,9,0.8,
13/01/2013,5,45,49,15,0.5,
14/01/2013,13,117,60,6,0.7,
15/01/2013,8,45,50,19,0.5,
16/01/2013,12,84,61,13,0.6,
17/01/2013,6,27,41,27,0.4,
18/01/2013,10,67,70,6,0.5,
19/01/2013,10,67,57,18,0.5,
20/01/2013,5,13,44,27,0.4,
21/01/2013,8,31,54,20,0.4,
22/01/2013,12,45,58,22,0.5,
23/01/2013,8,23,41,32,0.3,
24/01/2013,7,23,45,29,0.4,
25/01/2013,16,69,67,21,0.6,
26/01/2013,,34,63,24,0.3,
27/01/2013,,35,59,15,0.3,
28/01/2013,1,29,49,28,0.2,
29/01/2013,7,130,75,14,0.4,
30/01/2013,11,157,78,10,0.6,
31/01/2013,5,130,75,8,0.5,
01/02/2013,2,87,62,13,0.4,
02/02/2013,1,5,20,50,0.2,
03/02/2013,1,8,27,57,0.3,
04/02/2013,3,71,69,17,0.4,
05/02/2013,1,37,56,19,0.4,
06/02/2013,1,17,37,43,0.2,
07/02/2013,1,12,33,45,0.5,
08/02/2013,1,32,59,18,0.3,
09/02/2013,1,25,50,27,0.6,
10/02/2013,1,29,50,28,0.7,
11/02/2013,1,8,34,50,0.3,
12/02/2013,5,12,36,48,0.2,
13/02/2013,10,47,60,20,0.7,
14/02/2013,6,62,65,16,0.5,
15/02/2013,4,55,63,20,0.5,
16/02/2013,1,6,36,37,0.3,
17/02/2013,1,2,21,52,0.2,
18/02/2013,1,3,25,50,0.2,
19/02/2013,1,10,37,54,0.4,
20/02/2013,5,74,67,21,0.6,
21/02/2013,3,49,65,17,0.6,
22/02/2013,2,3,29,39,0.6,
23/02/2013,6,10,31,47,0.5,
24/02/2013,7,13,32,51,0.4,
25/02/2013,7,19,38,35,0.5,
26/02/2013,8,42,53,28,0.4,
27/02/2013,8,63,57,35,0.7,
28/02/2013,2,1,17,77,0.6,
01/03/2013,3,11,26,72,0.4,
02/03/2013,3,26,56,28,0.5,
03/03/2013,3,33,53,36,0.6,
04/03/2013,2,7,33,56,0.4,
05/03/2013,1,1,14,78,0.3,
06/03/2013,2,30,43,36,0.6,
07/03/2013,7,73,61,13,0.5,
08/03/2013,5,14,37,52,0.3,
09/03/2013,4,11,35,52,0.2,
10/03/2013,4,15,38,45,0.3,
11/03/2013,4,6,30,50,0.2,
12/03/2013,4,4,24,58,0.2,
13/03/2013,7,24,40,26,0.5,
14/03/2013,12,27,45,36,0.5,
15/03/2013,10,19,46,41,0.5,
16/03/2013,9,24,45,42,0.4,
17/03/2013,5,5,46,38,0.3,
18/03/2013,5,6,33,51,0.3,
19/03/2013,5,14,43,44,0.4,
20/03/2013,5,8,38,46,0.3,
21/03/2013,6,22,49,35,0.4,
22/03/2013,7,25,61,35,0.4,
23/03/2013,6,14,41,45,0.3,
24/03/2013,6,6,32,38,0.5,
25/03/2013,6,7,29,49,0.2,
26/03/2013,5,12,27,51,0.2,
27/03/2013,5,3,26,49,0.3,
28/03/2013,5,7,25,45,0.3,
29/03/2013,5,5,20,43,0.3,
30/03/2013,4,1,14,60,0.2,
31/03/2013,5,4,21,56,0.3,
01/04/2013,5,1,13,59,0.2,
02/04/2013,6,4,24,53,0.2,
03/04/2013,5,16,26,47,0.2,
04/04/2013,2,3,31,48,0.2,
05/04/2013,3,10,35,42,0.4,
06/04/2013,5,4,25,59,0.3,
07/04/2013,4,2,20,67,0.3,
08/04/2013,5,27,39,43,0.3,
09/04/2013,5,24,35,50,0.3,
10/04/2013,4,12,37,58,0.3,
11/04/2013,4,23,48,31,0.3,
12/04/2013,3,8,31,59,0.2,
13/04/2013,3,7,31,53,0.2,
14/04/2013,5,6,33,54,0.3,
15/04/2013,6,33,62,36,0.4,
16/04/2013,5,48,66,35,0.3,
17/04/2013,4,37,58,41,0.3,
18/04/2013,4,24,48,49,0.3,
19/04/2013,3,24,43,35,0.3,
20/04/2013,2,5,20,63,0.2,
21/04/2013,2,1,13,80,0.2,
22/04/2013,6,21,39,53,0.3,
23/04/2013,2,8,34,63,0.4,
24/04/2013,1,10,24,82,0.3,
25/04/2013,3,1,11,103,0.2,
26/04/2013,5,3,27,78,0.3,
27/04/2013,5,3,21,54,0.2,
28/04/2013,5,1,12,60,0.3,
29/04/2013,4,2,15,61,0.2,
30/04/2013,7,10,39,45,0.4,
01/05/2013,7,8,30,57,0.2,
02/05/2013,6,17,40,52,0.3,
03/05/2013,,21,40,51,0.3,
04/05/2013,,9,36,54,0.3,
05/05/2013,,7,31,51,0.3,
06/05/2013,,31,54,39,0.4,
07/05/2013,,20,41,60,0.3,
08/05/2013,,21,46,54,0.4,
09/05/2013,,17,44,35,0.3,
10/05/2013,,5,25,50,0.2,
11/05/2013,,3,19,63,0.2,
12/05/2013,,1,10,69,0.2,
13/05/2013,,9,30,55,0.2,
14/05/2013,1,18,54,21,0.3,
15/05/2013,1,8,25,37,0.2,
16/05/2013,2,13,34,36,0.2,
17/05/2013,1,8,26,49,0.2,
18/05/2013,1,3,17,63,0.2,
19/05/2013,1,1,13,62,0.2,
20/05/2013,1,3,20,53,0.2,
21/05/2013,3,18,32,39,0.2,
22/05/2013,2,3,18,67,0.3,
23/05/2013,3,10,25,60,0.2,
24/05/2013,1,6,18,68,0.2,
25/05/2013,1,2,10,71,0.2,
26/05/2013,1,2,19,61,0.2,
27/05/2013,1,11,30,46,0.3,
28/05/2013,2,14,30,39,0.2,
29/05/2013,2,5,20,44,0.2,
30/05/2013,1,13,27,39,0.2,
31/05/2013,3,4,30,56,0.3,
01/06/2013,1,3,26,77,0.2,
02/06/2013,1,2,25,79,0.2,
03/06/2013,2,14,29,64,0.3,
04/06/2013,3,7,35,58,0.3,
05/06/2013,2,15,40,56,0.3,
06/06/2013,2,19,44,55,0.3,
07/06/2013,2,11,44,54,0.2,
08/06/2013,2,3,28,59,0.2,
09/06/2013,2,4,18,53,0.2,
10/06/2013,2,15,25,49,0.7,
11/06/2013,1,7,39,95,0.2,
12/06/2013,,2,20,118,,
13/06/2013,1,7,51,103,0.2,
14/06/2013,2,9,58,56,0.2,
15/06/2013,6,4,33,62,0.3,
16/06/2013,8,3,27,78,0.3,
17/06/2013,5,1,16,91,0.2,
18/06/2013,2,1,13,81,0.2,
19/06/2013,1,7,30,58,0.2,
20/06/2013,2,6,21,67,0.2,
21/06/2013,2,7,25,64,0.2,
22/06/2013,2,4,20,61,0.3,
23/06/2013,3,1,15,58,0.2,
24/06/2013,3,1,12,66,0.2,
25/06/2013,3,5,24,58,0.2,
26/06/2013,4,7,29,56,0.2,
27/06/2013,4,16,40,46,0.3,
28/06/2013,6,6,28,61,0.4,
29/06/2013,4,7,30,68,0.2,
30/06/2013,2,11,26,62,0.2,
01/07/2013,4,5,29,62,0.2,
02/07/2013,2,3,24,55,0.2,
03/07/2013,2,3,24,48,0.2,
04/07/2013,4,4,28,44,0.2,
05/07/2013,5,13,40,43,0.3,
06/07/2013,2,11,41,61,0.4,
07/07/2013,3,7,44,74,0.4,
08/07/2013,8,5,47,68,0.3,
09/07/2013,2,13,44,76,0.4,
10/07/2013,2,14,49,62,0.3,
11/07/2013,2,2,24,73,0.3,
12/07/2013,8,2,33,93,0.2,
13/07/2013,3,5,37,64,0.2,
14/07/2013,1,1,17,110,0.2,
15/07/2013,2,3,30,92,0.2,
16/07/2013,2,15,41,67,0.2,
17/07/2013,2,5,35,80,0.2,
18/07/2013,2,3,30,96,0.2,
19/07/2013,3,12,38,76,0.2,
20/07/2013,4,3,29,76,0.3,
21/07/2013,2,1,20,79,0.3,
22/07/2013,1,5,38,73,0.2,
23/07/2013,2,18,60,43,0.2,
24/07/2013,5,3,38,87,0.2,
25/07/2013,8,15,43,52,0.4,
26/07/2013,12,3,31,96,0.4,
27/07/2013,4,1,20,85,0.2,
28/07/2013,4,1,27,74,0.3,
29/07/2013,1,9,23,74,0.2,
30/07/2013,3,2,28,60,0.2,
31/07/2013,8,24,42,60,0.3,
01/08/2013,1,3,29,85,0.2,
02/08/2013,2,24,49,55,0.3,
03/08/2013,4,4,34,61,0.3,
04/08/2013,1,3,28,62,0.2,
05/08/2013,3,15,44,51,0.3,
06/08/2013,2,4,19,73,0.2,
07/08/2013,,2,24,66,0.2,
08/08/2013,,4,23,67,0.2,
09/08/2013,,10,25,60,0.2,
10/08/2013,,2,17,71,0.3,
11/08/2013,,4,24,59,0.3,
12/08/2013,,15,39,51,0.2,
13/08/2013,,6,21,78,0.2,
14/08/2013,,3,15,70,0.3,
15/08/2013,,1,14,75,0.2,
16/08/2013,,5,21,59,0.3,
17/08/2013,,1,14,78,0.2,
18/08/2013,,2,16,67,0.3,
19/08/2013,,4,19,60,0.3,
20/08/2013,,2,12,62,0.2,
21/08/2013,,4,16,71,0.2,
22/08/2013,1,3,24,65,0.3,
23/08/2013,1,,,73,0.2,
24/08/2013,1,,,66,0.2,
25/08/2013,4,,,65,0.2,
26/08/2013,3,,,50,0.2,
27/08/2013,1,,,44,0.2,
28/08/2013,1,,,52,0.3,
29/08/2013,3,,,56,0.2,
30/08/2013,4,,,71,0.2,
31/08/2013,2,,,82,0.2,
01/09/2013,1,,,78,0.2,
02/09/2013,3,,,59,0.2,
03/09/2013,1,1,20,69,0.2,
04/09/2013,2,8,30,62,0.2,
05/09/2013,3,19,36,58,0.2,
06/09/2013,3,28,45,42,0.2,
07/09/2013,1,8,20,40,0.2,
08/09/2013,3,3,10,47,0.3,
09/09/2013,1,4,25,49,0.2,
10/09/2013,5,17,27,43,0.2,
11/09/2013,,1,20,43,0.2,
12/09/2013,1,12,31,43,0.2,
13/09/2013,1,8,25,57,0.2,
14/09/2013,1,10,21,54,0.2,
15/09/2013,3,1,9,58,0.2,
16/09/2013,2,9,33,48,0.3,
17/09/2013,2,14,36,41,0.2,
18/09/2013,1,15,40,39,0.2,
19/09/2013,3,24,40,31,0.3,
20/09/2013,3,20,44,34,0.3,
21/09/2013,1,7,28,49,0.2,
22/09/2013,1,4,26,51,0.2,
23/09/2013,1,17,37,42,0.2,
24/09/2013,4,22,42,40,0.3,
25/09/2013,2,25,44,33,0.2,
26/09/2013,,,,43,,
27/09/2013,1,8,58,45,,
28/09/2013,1,9,43,35,,
29/09/2013,2,6,27,48,,
30/09/2013,4,29,39,39,,
01/10/2013,4,27,43,42,0.2,
02/10/2013,2,21,36,40,0.2,
03/10/2013,2,1,14,57,0.2,
04/10/2013,2,3,24,51,0.2,
05/10/2013,5,11,21,42,0.2,
06/10/2013,2,4,21,38,0.2,
07/10/2013,3,8,24,31,0.2,
08/10/2013,4,,,40,0.2,
09/10/2013,1,,,47,0.2,
10/10/2013,1,,,46,0.2,
11/10/2013,3,4,29,37,0.2,
12/10/2013,4,9,30,38,0.2,
13/10/2013,3,9,26,48,0.4,
14/10/2013,5,44,51,28,0.4,
15/10/2013,5,45,55,20,0.4,
16/10/2013,2,28,46,25,0.3,
17/10/2013,2,25,45,19,0.4,
18/10/2013,4,27,51,20,0.4,
19/10/2013,2,10,33,30,0.2,
20/10/2013,1,11,38,22,0.3,
21/10/2013,3,24,43,25,0.3,
22/10/2013,4,23,44,18,0.3,
23/10/2013,5,39,44,23,0.3,
24/10/2013,9,64,53,23,0.3,
25/10/2013,2,16,29,34,0.3,
26/10/2013,1,3,11,48,0.3,
27/10/2013,8,31,37,31,0.2,
28/10/2013,6,42,60,18,0.4,
29/10/2013,1,23,37,18,0.2,
30/10/2013,2,69,53,7,0.3,
31/10/2013,2,65,59,13,0.4,
01/11/2013,2,46,57,18,0.4,
02/11/2013,7,25,52,25,0.5,
03/11/2013,1,14,28,38,0.2,
04/11/2013,,22,34,27,0.4,
05/11/2013,1,27,39,33,0.4,
06/11/2013,4,53,49,16,0.5,
07/11/2013,4,100,57,14,0.4,
08/11/2013,3,63,46,15,0.5,
09/11/2013,2,23,34,27,0.2,
10/11/2013,6,13,21,37,0.4,
11/11/2013,3,38,42,24,0.4,
12/11/2013,4,66,61,13,0.4,
13/11/2013,7,99,71,6,0.7,
14/11/2013,6,80,55,9,0.5,
15/11/2013,3,40,45,29,0.3,
16/11/2013,1,6,9,48,0.3,
17/11/2013,1,2,2,47,0.3,
18/11/2013,1,6,16,46,0.2,
19/11/2013,5,27,44,16,0.2,
20/11/2013,2,59,47,28,0.2,
21/11/2013,2,28,37,30,0.2,
22/11/2013,5,30,36,32,0.3,
23/11/2013,2,37,42,17,0.3,
24/11/2013,4,53,50,12,0.5,
25/11/2013,5,113,62,9,0.5,
26/11/2013,5,128,69,9,0.5,
27/11/2013,12,76,48,25,0.4,
28/11/2013,4,73,59,20,0.4,
29/11/2013,8,92,68,16,0.4,
30/11/2013,4,66,62,10,0.5,
01/12/2013,5,52,55,17,0.5,
02/12/2013,6,109,69,4,0.6,
03/12/2013,9,179,91,11,0.8,
04/12/2013,18,312,121,6,1.2,
05/12/2013,9,187,91,6,0.7,
06/12/2013,5,89,61,11,0.4,
07/12/2013,18,116,73,8,0.7,
08/12/2013,2,41,50,14,0.5,
09/12/2013,2,123,70,8,0.6,
10/12/2013,12,149,79,7,0.6,
11/12/2013,9,176,88,8,0.7,
12/12/2013,8,184,91,7,0.7,
13/12/2013,10,139,69,4,0.6,
14/12/2013,9,117,61,9,0.6,
15/12/2013,12,93,53,9,0.7,
16/12/2013,4,19,32,17,0.3,
17/12/2013,6,78,61,9,0.6,
18/12/2013,7,144,74,7,0.7,
19/12/2013,13,109,69,2,0.6,
20/12/2013,5,69,52,6,0.5,
21/12/2013,1,83,49,6,0.6,
22/12/2013,10,102,55,11,0.6,
23/12/2013,4,146,71,4,0.6,
24/12/2013,6,80,60,6,0.5,
25/12/2013,9,13,38,21,0.3,
26/12/2013,3,14,23,43,0.2,
27/12/2013,12,91,58,15,0.5,
28/12/2013,6,42,43,15,0.4,
29/12/2013,3,39,40,16,0.4,
30/12/2013,12,112,58,9,0.5,
31/12/2013,2,98,64,6,0.5,
12/11/2008,1,30,53,7,0.2,
13/11/2008,2,66,54,4,0.2,
14/11/2008,7,116,67,5,1,
15/11/2008,5,66,50,8,0.4,
16/11/2008,5,60,46,10,0.8,
17/11/2008,9,112,59,4,0.7,
18/11/2008,14,197,71,2,1.3,
19/11/2008,12,163,69,4,1.1,
20/11/2008,7,94,47,6,0.6,
21/11/2008,6,73,46,10,0.6,
22/11/2008,4,39,44,12,0.4,
