CODI,NOM DEL CENTRE,ADREÇA,LOCALITZACIÓ,TIPUS SUBMINISTRAMENT,ANY,MES,DATA,CONSUM,COST
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2013,Abril,04/01/2013 12:00:00 AM,76,€96.99
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2013,Maig,05/01/2013 12:00:00 AM,96,€109.15
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2013,Juny,06/01/2013 12:00:00 AM,59,€100.81
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2013,Juliol,07/01/2013 12:00:00 AM,54,€112.06
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2013,Agost,08/01/2013 12:00:00 AM,76,€198.22
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2013,Setembre,09/01/2013 12:00:00 AM,74,€249.67
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2013,Octubre,10/01/2013 12:00:00 AM,57,€247.02
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2013,Novembre,11/01/2013 12:00:00 AM,68,€249.02
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2013,Desembre,12/01/2013 12:00:00 AM,47,€245.25
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2014,Gener,01/01/2014 12:00:00 AM,48,€245.68
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2014,Febrer,02/01/2014 12:00:00 AM,39,€248.59
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2014,Març,03/01/2014 12:00:00 AM,45,€250.69
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2014,Abril,04/01/2014 12:00:00 AM,54,€253.01
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2014,Maig,05/01/2014 12:00:00 AM,47,€250.63
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2014,Juny,06/01/2014 12:00:00 AM,55,€251.89
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2014,Juliol,07/01/2014 12:00:00 AM,64,€253.19
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2014,Agost,08/01/2014 12:00:00 AM,55,€252.08
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2014,Setembre,09/01/2014 12:00:00 AM,74,€255.64
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2014,Octubre,10/01/2014 12:00:00 AM,77,€255.42
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2014,Novembre,11/01/2014 12:00:00 AM,47,€251.00
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2014,Desembre,12/01/2014 12:00:00 AM,60,€254.75
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2015,Gener,01/01/2015 12:00:00 AM,49,€251.35
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2015,Febrer,02/01/2015 12:00:00 AM,38,€249.54
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2015,Març,03/01/2015 12:00:00 AM,41,€250.81
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2015,Abril,04/01/2015 12:00:00 AM,55,€252.16
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2015,Maig,05/01/2015 12:00:00 AM,48,€251.16
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2015,Juny,06/01/2015 12:00:00 AM,63,€253.63
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2015,Juliol,07/01/2015 12:00:00 AM,54,€251.89
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2015,Agost,08/01/2015 12:00:00 AM,67,€254.29
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2015,Setembre,09/01/2015 12:00:00 AM,63,€253.10
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2015,Octubre,10/01/2015 12:00:00 AM,61,€252.88
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2015,Novembre,11/01/2015 12:00:00 AM,65,€253.39
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2015,Desembre,12/01/2015 12:00:00 AM,54,€251.81
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2016,Gener,01/01/2016 12:00:00 AM,35,€248.96
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2016,Febrer,02/01/2016 12:00:00 AM,101,€88.73
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2016,Abril,04/01/2016 12:00:00 AM,68,€44.41
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2016,Maig,05/01/2016 12:00:00 AM,53,€37.57
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2016,Juny,06/01/2016 12:00:00 AM,60,€38.83
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2016,Juliol,07/01/2016 12:00:00 AM,79,€65.30
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2016,Agost,08/01/2016 12:00:00 AM,57,€38.37
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2016,Setembre,09/01/2016 12:00:00 AM,60,€38.83
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2016,Octubre,10/01/2016 12:00:00 AM,68,€40.06
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2016,Novembre,11/01/2016 12:00:00 AM,51,€37.44
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2011,Gener,01/01/2011 12:00:00 AM,640,€131.45
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2011,Febrer,02/01/2011 12:00:00 AM,580,€122.81
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2011,Març,03/01/2011 12:00:00 AM,540,€114.35
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2011,Abril,04/01/2011 12:00:00 AM,640,€135.53
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2011,Maig,05/01/2011 12:00:00 AM,600,€127.05
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2011,Juny,06/01/2011 12:00:00 AM,600,€127.05
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2011,Juliol,07/01/2011 12:00:00 AM,640,€136.66
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2011,Agost,08/01/2011 12:00:00 AM,660,€141.60
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2011,Setembre,09/01/2011 12:00:00 AM,560,€120.15
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2011,Octubre,10/01/2011 12:00:00 AM,600,€128.73
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2011,Novembre,11/01/2011 12:00:00 AM,600,€128.73
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2012,Gener,01/01/2012 12:00:00 AM,880,€190.25
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2012,Febrer,02/01/2012 12:00:00 AM,33,€34.34
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2012,Abril,04/01/2012 12:00:00 AM,505,€137.78
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2012,Juny,06/01/2012 12:00:00 AM,733,€183.46
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2012,Juliol,07/01/2012 12:00:00 AM,398,€101.72
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2012,Agost,08/01/2012 12:00:00 AM,1073,€242.45
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2012,Octubre,10/01/2012 12:00:00 AM,689,€186.80
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2012,Novembre,11/01/2012 12:00:00 AM,373,€99.05
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2012,Desembre,12/01/2012 12:00:00 AM,486,€116.28
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2013,Gener,01/01/2013 12:00:00 AM,385,€96.10
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2013,Març,03/01/2013 12:00:00 AM,0,€18.04
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2013,Abril,04/01/2013 12:00:00 AM,0,€36.66
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2013,Juny,06/01/2013 12:00:00 AM,560,€142.90
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2013,Agost,08/01/2013 12:00:00 AM,547,€169.98
EDI005,EDIFICI AISS,AV DEL PARC 9,"(41.607625, 2.290575)",Electricitat,2011,Juliol,07/01/2011 12:00:00 AM,0,€82.79
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2013,Octubre,10/01/2013 12:00:00 AM,291,€120.33
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2013,Desembre,12/01/2013 12:00:00 AM,652,€186.12
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2014,Febrer,02/01/2014 12:00:00 AM,402,€149.65
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2014,Abril,04/01/2014 12:00:00 AM,311,€137.08
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2014,Juny,06/01/2014 12:00:00 AM,589,€179.75
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2014,Agost,08/01/2014 12:00:00 AM,0,€80.50
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2014,Octubre,10/01/2014 12:00:00 AM,0,€80.50
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2014,Desembre,12/01/2014 12:00:00 AM,75,€96.45
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2015,Febrer,02/01/2015 12:00:00 AM,360,€143.35
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2015,Abril,04/01/2015 12:00:00 AM,318,€136.17
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2015,Juny,06/01/2015 12:00:00 AM,181,€113.47
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2015,Agost,08/01/2015 12:00:00 AM,0,€80.50
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2015,Octubre,10/01/2015 12:00:00 AM,0,€80.50
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2015,Desembre,12/01/2015 12:00:00 AM,0,€80.50
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2016,Febrer,02/01/2016 12:00:00 AM,47,€91.60
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2016,Abril,04/01/2016 12:00:00 AM,121,€102.51
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,"(41.608213, 2.287789)",Electricitat,2016,Octubre,10/01/2016 12:00:00 AM,186,€287.33
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2011,Gener,01/01/2011 12:00:00 AM,620,€126.11
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2011,Febrer,02/01/2011 12:00:00 AM,600,€127.05
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2011,Març,03/01/2011 12:00:00 AM,1080,€228.68
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2011,Abril,04/01/2011 12:00:00 AM,700,€148.23
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2011,Maig,05/01/2011 12:00:00 AM,600,€127.05
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2011,Juny,06/01/2011 12:00:00 AM,560,€119.30
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2011,Juliol,07/01/2011 12:00:00 AM,600,€128.73
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2011,Agost,08/01/2011 12:00:00 AM,0,€23.97
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2011,Setembre,09/01/2011 12:00:00 AM,600,€128.70
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2011,Octubre,10/01/2011 12:00:00 AM,0,€23.97
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2012,Gener,01/01/2012 12:00:00 AM,8,€13.55
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2012,Febrer,02/01/2012 12:00:00 AM,0,€22.69
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2012,Abril,04/01/2012 12:00:00 AM,0,€37.84
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2012,Juny,06/01/2012 12:00:00 AM,442,€124.32
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2012,Juliol,07/01/2012 12:00:00 AM,28,€29.23
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2012,Agost,08/01/2012 12:00:00 AM,292,€82.81
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2012,Setembre,09/01/2012 12:00:00 AM,25,€26.92
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2012,Octubre,10/01/2012 12:00:00 AM,296,€83.70
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2012,Novembre,11/01/2012 12:00:00 AM,620,€148.39
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2012,Desembre,12/01/2012 12:00:00 AM,0,€18.04
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2013,Gener,01/01/2013 12:00:00 AM,0,€18.04
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2013,Febrer,02/01/2013 12:00:00 AM,0,€18.04
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2013,Abril,04/01/2013 12:00:00 AM,0,€36.69
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2013,Juny,06/01/2013 12:00:00 AM,0,€34.28
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2013,Agost,08/01/2013 12:00:00 AM,358,€125.44
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,"(41.608213, 2.287789)",Electricitat,2013,Octubre,10/01/2013 12:00:00 AM,549,€165.14
