Data Inici,Data Final,President,Assumpte públic
18/09/2017 10:00:00 AM,18/09/2017 11:00:00 AM,Josep Mayoral Antigas,Institut Cerdà
18/09/2017 09:00:00 AM,18/09/2017 10:00:00 AM,Josep Mayoral Antigas,Pressupost inversions
17/09/2017 08:30:00 PM,17/09/2017 09:30:00 PM,Josep Mayoral Antigas,Fi de festes Hogar Extremeño de Canovelles
17/09/2017 09:00:00 AM,17/09/2017 10:00:00 AM,Josep Mayoral Antigas,VI caminada popular i butifarrada Av. Lledoner
16/09/2017 06:00:00 PM,16/09/2017 07:00:00 PM,Josep Mayoral Antigas,"Festa de l'Antiga Escola Pau Vila - 50è aniv. del barri. Actuació ""Niñas Del Mago"""
16/09/2017 06:00:00 PM,16/09/2017 07:00:00 PM,Josep Mayoral Antigas,Pregó de l'Hogar Extremeño de Canovelles
16/09/2017 02:00:00 PM,16/09/2017 03:00:00 PM,Josep Mayoral Antigas,Casament
16/09/2017 01:00:00 PM,16/09/2017 02:00:00 PM,Josep Mayoral Antigas,Casament
16/09/2017 12:30:00 PM,16/09/2017 12:50:00 PM,Josep Mayoral Antigas,Visita la llotja del disseny
16/09/2017 12:00:00 PM,16/09/2017 01:00:00 PM,Josep Mayoral Antigas,Casament
16/09/2017 11:00:00 AM,16/09/2017 12:00:00 PM,Josep Mayoral Antigas,Casament
16/09/2017 09:30:00 AM,16/09/2017 10:30:00 AM,Josep Mayoral Antigas,Presentació de la Fira Taral·la
15/09/2017 08:00:00 PM,15/09/2017 09:00:00 PM,Josep Mayoral Antigas,Casament
15/09/2017 07:00:00 PM,15/09/2017 08:00:00 PM,Josep Mayoral Antigas,Casament
15/09/2017 06:00:00 PM,15/09/2017 07:00:00 PM,Josep Mayoral Antigas,Casament
15/09/2017 05:00:00 PM,15/09/2017 06:00:00 PM,Josep Mayoral Antigas,Casament
15/09/2017 11:00:00 AM,15/09/2017 01:00:00 PM,Josep Mayoral Antigas,Visita incendi carrer Girona
15/09/2017 09:00:00 AM,15/09/2017 10:00:00 AM,Josep Mayoral Antigas,Golda El Khoury - Cap de la secció de les ciutats inclusives de la UNESCO
14/09/2017 05:00:00 PM,14/09/2017 08:30:00 PM,Josep Mayoral Antigas,Golda El Khoury - Cap de la secció de les ciutats inclusives de la UNESCO
14/09/2017 10:00:00 AM,14/09/2017 11:00:00 AM,Josep Mayoral Antigas,Roger Pallarès
13/09/2017 07:00:00 PM,13/09/2017 08:00:00 PM,Josep Mayoral Antigas,Junta de Portaveus
13/09/2017 04:00:00 PM,13/09/2017 05:00:00 PM,Josep Mayoral Antigas,Comitè executiu AMTU
13/09/2017 09:00:00 AM,13/09/2017 10:00:00 AM,Josep Mayoral Antigas,Intervenció
12/09/2017 07:00:00 PM,12/09/2017 08:00:00 PM,Josep Mayoral Antigas,"Inauguració exposició "" Granollers, 25 anys dels Jocs Olímpics"""
12/09/2017 05:15:00 PM,12/09/2017 06:15:00 PM,Josep Mayoral Antigas,Equip de Govern 
12/09/2017 05:00:00 PM,12/09/2017 05:15:00 PM,Josep Mayoral Antigas,Junta de Govern Local
12/09/2017 04:00:00 PM,12/09/2017 05:00:00 PM,Josep Mayoral Antigas,Regidora d'Urbanisme
12/09/2017 01:00:00 PM,12/09/2017 02:00:00 PM,Josep Mayoral Antigas,Presentació cloenda any Garrell
