DATA,ANY,TIPUS ELECCIONS,NOM PARTIT,PARTIT,SIGLES,NOMBRE VOTS,% VOTS,NOMBRE REGIDORS
13/06/1999,1999,Municipals,Partit Popular,PP,PP,2075,9.12%,2
13/06/1999,1999,Municipals,Esquerra Republicana de Catalunya,ERC,ERC,2056,9.04%,2
13/06/1999,1999,Municipals,Els Verds - Confederació Ecologista de Catalunya,EV-CEC,VERDS,496,2.18%,0
13/06/1999,1999,Municipals,Esquerra Unida i Alternativa,EUiA,ICV,320,1.41%,0
25/05/2003,2003,Municipals,Vots en blanc,BLANCS,BLANCS,384,1.49%,0
25/05/2003,2003,Municipals,Vots nuls,NULS,NULS,105,0.41%,0
13/06/1999,1999,Municipals,Centro Democrático y Social,CDS,CDS,61,0.27%,0
22/05/2011,2011,Municipals,Convergència i Unió,CiU,CiU,4458,21.38%,6
22/05/2011,2011,Municipals,Partit Popular,PP,PP,2641,12.67%,4
25/05/2003,2003,Municipals,Partit Popular,PP,PP,2650,10.3%,3
25/05/2003,2003,Municipals,Iniciativa per Catalunya - Verds - Esquerra Alternativa - Entesa Progrés Municipal,ICV-EA-EPM,ICV,1735,6.75%,1
13/06/1999,1999,Municipals,Iniciativa per Catalunya - Verds - Entesa Progrés Municipal,ICV-EPM,ICV,916,4.03%,0
13/06/1999,1999,Municipals,Partit per la Independència,PI,PI,73,0.32%,0
13/06/1999,1999,Municipals,Vots en blanc,BLANCS,BLANCS,339,1.49%,0
13/06/1999,1999,Municipals,Vots nuls,NULS,NULS,142,0.62%,0
28/05/1995,1995,Municipals,Partit Socialistes Catalunya,PSC,PSC,9656,36.56%,10
28/05/1995,1995,Municipals,Convergència i Unió,CiU,CiU,10297,40.09%,10
28/05/1995,1995,Municipals,Esquerra Republicana de Catalunya,ERC,ERC,2157,8.17%,2
28/05/1995,1995,Municipals,Partit Popular,PP,PP,2050,7.76%,2
28/05/1995,1995,Municipals,Iniciativa - Els Verds,IC-EV,ICV,1486,5.63%,1
28/05/1995,1995,Municipals,Vots en blanc,BLANCS,BLANCS,248,0.94%,0
28/05/1995,1995,Municipals,Centro Democrático y Social,CDS,CDS,224,0.85%,0
28/05/1995,1995,Municipals,Vots nuls,NULS,NULS,114,0.43%,0
24/05/2015,2015,Municipals,Vots en blanc,BLANCS,BLANCS,288,1.21%,
24/05/2015,2015,Municipals,Vots nuls,NULS,NULS,126,0.53%,
24/05/2015,2015,Municipals,Partit Socialistes Catalunya,PSC-CP,PSC,10209,43.28%,13
24/05/2015,2015,Municipals,Convergència i Unió,CiU,CiU,3740,15.86%,4
24/05/2015,2015,Municipals,Esquerra Republicana de Catalunya - Acció Granollers - Acord Municipal,ERC-AG-AM,ERC,2737,11.6%,3
24/05/2015,2015,Municipals,Ciutadans - Partit de la Ciutadania,C's,C's,1898,8.05%,2
24/05/2015,2015,Municipals,Crida per Granollers - CUP,CpG-CUP-PA,CUP,1563,6.63%,2
24/05/2015,2015,Municipals,Partit Popular,PP,PP,1299,5.51%,1
24/05/2015,2015,Municipals,Guanyem Granollers,GANEMOS,GANEMOS,712,3.02%,0
24/05/2015,2015,Municipals,"VOX - Partit ""Família i Vida""",VOX-PFiV,PFiV,56,0.24%,0
26/05/1991,1991,Municipals,Partit Socialistes Catalunya,PSC-PSOE,PSC,9774,43.87%,13
27/05/1991,1991,Municipals,Convergència i Unió,CiU,CiU,8994,40.37%,12
28/05/1991,1991,Municipals,Esquerra Republicana de Catalunya,ERC,ERC,1111,4.99%,0
29/05/1991,1991,Municipals,Partit Popular,PP,PP,718,3.22%,0
01/06/1991,1991,Municipals,Centro Democrático y Social,CDS,CDS,374,1.68%,0
02/06/1991,1991,Municipals,Vots en blanc,BLANCS,BLANCS,130,0.58%,
03/06/1991,1991,Municipals,Vots nuls,NULS,NULS,76,0.34%,
10/06/1987,1987,Municipals,Partit Socialistes Catalunya,PSC,PSC,10186,44.19%,11
11/06/1987,1987,Municipals,Convergència i Unió,CiU,CiU,9299,40.34%,10
13/06/1987,1987,Municipals,Alianza Popular,AP,PP,1005,4.36%,0
14/06/1987,1987,Municipals,Centro Democrático y Social,CDS,CDS,887,3.87%,0
15/06/1987,1987,Municipals,Partit Humanista,PHum,PHum,317,1.38%,0
16/06/1987,1987,Municipals,Vots en blanc,BLANCS,BLANCS,220,0.95%,
17/06/1987,1987,Municipals,Vots nuls,NULS,NULS,217,0.93%,
30/05/1991,1991,Municipals,Iniciativa per Catalunya,IC,ICV,665,2.99%,0
31/05/1991,1991,Municipals,Esquerra Verds,EV,ICV,511,2.29%,0
24/05/2015,2015,Municipals,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,ICV,1087,4.61%,0
12/06/1987,1987,Municipals,Entesa per Granollers,EpG,ERC,1138,4.94%,0
